dataID,HHuniqueID,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,past_Outcome,Y_AcceptedOffer
4945,HH4585f3bcae,NA,21,may,1,-1,0,NA,NA
4825,HH943b98ad43,cellular,22,aug,2,-1,0,NA,NA
4377,HH393068f2eb,NA,18,jun,3,-1,0,NA,NA
4777,HHc513a7c040,cellular,15,may,1,298,2,failure,NA
4583,HH3dba4e4e05,cellular,30,apr,1,-1,0,NA,NA
4903,HH882fe2e644,cellular,5,may,2,350,2,failure,NA
4643,HH35267293a3,NA,19,jun,1,-1,0,NA,NA
4173,HHf120692c27,cellular,2,mar,1,152,2,success,NA
4758,HH5b683e9a00,cellular,15,may,3,-1,0,NA,NA
4354,HHf9216e09b1,cellular,13,aug,2,-1,0,NA,NA
4308,HH1755081001,cellular,19,aug,6,-1,0,NA,NA
4909,HH368b72d8b4,NA,17,jun,6,-1,0,NA,NA
4695,HH3fcad04855,NA,21,may,1,-1,0,NA,NA
4741,HH127ebc9974,cellular,26,jan,4,96,3,success,NA
4984,HH03530fa326,cellular,7,jul,3,-1,0,NA,NA
4576,HH25558c4208,cellular,31,jul,9,-1,0,NA,NA
4942,HH21433f7549,telephone,12,aug,1,178,20,failure,NA
4479,HH18cd0c68fd,cellular,17,apr,2,150,2,failure,NA
4116,HH1971d80684,cellular,23,jun,2,292,10,failure,NA
4209,HHf86c3a13e5,NA,8,may,3,-1,0,NA,NA
4616,HH3ad8827159,telephone,1,apr,3,370,1,failure,NA
4089,HHf9fed97c25,NA,16,may,5,-1,0,NA,NA
4812,HH8489eb2822,NA,26,may,1,-1,0,NA,NA
4925,HH2ec224b2df,cellular,12,aug,4,-1,0,NA,NA
4048,HH0f05d8eb6d,NA,9,jun,1,-1,0,NA,NA
4276,HH892a464330,NA,19,jun,1,-1,0,NA,NA
4509,HH1c3a8cf5f2,cellular,15,sep,1,183,1,success,NA
4491,HH1fdb4c763d,NA,7,may,2,-1,0,NA,NA
4847,HH527c77d858,cellular,15,dec,2,-1,0,NA,NA
4873,HH757062ed0e,NA,7,may,7,-1,0,NA,NA
4934,HH167e834508,NA,3,jul,1,-1,0,NA,NA
4203,HHc5c1770498,cellular,13,apr,1,348,1,success,NA
4835,HH7b64e60645,cellular,26,apr,3,192,4,other,NA
4286,HHc84556b311,cellular,5,aug,3,-1,0,NA,NA
4271,HH6026fcd268,cellular,10,mar,1,-1,0,NA,NA
4190,HH44dd51e518,cellular,5,feb,2,196,4,other,NA
4049,HHd2568e3f03,cellular,28,aug,4,-1,0,NA,NA
4421,HH4cb2dd7efb,cellular,13,may,1,87,10,success,NA
4953,HHf134d2ac30,cellular,3,dec,1,97,2,failure,NA
4025,HHeb21a65c6d,cellular,2,feb,1,-1,0,NA,NA
4016,HH495acba15a,NA,21,may,1,-1,0,NA,NA
4287,HH590e2c7d23,cellular,21,nov,2,127,4,other,NA
4893,HHdf85abfa69,NA,29,may,2,-1,0,NA,NA
4454,HHa8d37f359d,cellular,8,apr,1,141,3,other,NA
4037,HHb721af2358,NA,26,may,2,-1,0,NA,NA
4510,HH972d29adfe,NA,21,may,1,-1,0,NA,NA
4131,HHad15a796e1,cellular,1,jun,1,90,1,success,NA
4721,HHc4638b608c,cellular,22,aug,2,-1,0,NA,NA
4894,HH32aac454ac,cellular,28,jan,1,-1,0,NA,NA
4831,HH9fb6b00973,cellular,28,jan,1,-1,0,NA,NA
4376,HHc9b1d48c10,cellular,11,oct,1,182,2,success,NA
4461,HH9cece9e6c0,NA,11,jun,4,-1,0,NA,NA
4633,HHba60a3dfae,cellular,14,aug,4,-1,0,NA,NA
4780,HH66c1f65089,cellular,22,jul,2,-1,0,NA,NA
4620,HHac886c095c,cellular,5,jun,1,-1,0,NA,NA
4922,HH3309e0fe10,NA,30,may,3,-1,0,NA,NA
4248,HH55d161df35,cellular,19,may,1,90,6,success,NA
4654,HHa790aa13fe,cellular,17,jul,2,-1,0,NA,NA
4657,HH8965596dde,cellular,25,jul,3,-1,0,NA,NA
4265,HH4ca6c3b4b1,NA,17,jun,3,-1,0,NA,NA
4243,HH6774d50abe,cellular,9,jul,5,-1,0,NA,NA
4793,HH8a3d1571a2,cellular,27,aug,15,-1,0,NA,NA
4284,HHfae7d85e3b,NA,7,may,4,-1,0,NA,NA
4900,HH2746dd2fb1,cellular,21,nov,1,-1,0,NA,NA
4261,HHb28d9b18df,cellular,6,apr,1,-1,0,NA,NA
4220,HH54d42d47ec,cellular,15,jun,1,-1,0,NA,NA
4784,HH43c8759373,cellular,27,oct,1,111,8,other,NA
4899,HH523d6ac4ce,cellular,6,feb,1,-1,0,NA,NA
4161,HH840309a256,cellular,7,jul,1,-1,0,NA,NA
4334,HH9e38f146f7,cellular,30,jan,3,-1,0,NA,NA
4444,HH127984b0f0,cellular,6,aug,1,-1,0,NA,NA
4086,HHf41f768482,NA,13,may,1,-1,0,NA,NA
4105,HH6632d16d5e,cellular,20,nov,2,-1,0,NA,NA
4079,HH1bb7bbc664,cellular,8,sep,1,92,3,success,NA
4373,HH0d50eeacf4,NA,14,may,4,-1,0,NA,NA
4635,HHe255262ebb,cellular,17,jul,1,-1,0,NA,NA
4100,HHeaa7853cf8,cellular,13,may,1,345,8,failure,NA
4056,HH07d8cade5d,telephone,9,sep,1,79,3,failure,NA
4010,HHd9cebc99b0,cellular,21,nov,2,-1,0,NA,NA
4844,HHf5bbb7f7e6,cellular,30,apr,1,160,5,other,NA
4464,HH6edbc8212a,cellular,20,jul,2,92,8,failure,NA
4288,HH6a4f969b8b,NA,15,may,2,-1,0,NA,NA
4987,HH022baeee67,NA,18,jun,2,-1,0,NA,NA
4217,HHfa7bf3a6f1,NA,2,jun,1,-1,0,NA,NA
4887,HH37d9a6a708,cellular,22,oct,5,-1,0,NA,NA
4897,HH708b47d542,NA,29,may,1,-1,0,NA,NA
4563,HHa9f291f1ed,cellular,14,may,1,-1,0,NA,NA
4404,HH4629c1896f,cellular,18,jul,10,-1,0,NA,NA
4435,HH54949a4169,cellular,11,aug,1,-1,0,NA,NA
4104,HH0ae2a78e77,cellular,14,aug,2,-1,0,NA,NA
4318,HHccf91e0845,NA,9,may,1,-1,0,NA,NA
4090,HHcb160001c5,cellular,8,jul,2,-1,0,NA,NA
4770,HHcdeb71fe6c,NA,21,may,4,-1,0,NA,NA
4238,HH5712ea23af,NA,26,may,1,-1,0,NA,NA
4596,HH2edda90cad,cellular,21,nov,1,-1,0,NA,NA
4431,HH4b43f875a1,NA,6,jun,1,-1,0,NA,NA
4084,HHe8c454dfab,cellular,21,oct,2,184,1,success,NA
4481,HHb1eed06357,cellular,9,feb,7,-1,0,NA,NA
4865,HH38a851c90d,cellular,28,aug,30,-1,0,NA,NA
4068,HH3e470ae6c5,NA,2,jun,9,-1,0,NA,NA
4150,HHc2c60c0c18,telephone,31,aug,2,283,1,success,NA
4638,HH5f687b1fcc,cellular,26,may,2,98,1,success,NA
4662,HH8e42c924a4,cellular,21,nov,6,-1,0,NA,NA
4389,HH7ddae57e62,cellular,21,nov,4,-1,0,NA,NA
4701,HH2065aa1928,NA,20,may,15,-1,0,NA,NA
4316,HHa1049b72f2,cellular,19,aug,6,-1,0,NA,NA
4492,HH2675257c86,cellular,9,feb,5,209,12,failure,NA
4814,HH667dc98fec,cellular,21,aug,1,462,1,success,NA
4833,HH2b793a0aea,NA,7,may,2,-1,0,NA,NA
4171,HH1a33226c3d,cellular,4,mar,2,-1,0,NA,NA
4429,HH4dee08a099,cellular,6,aug,2,-1,0,NA,NA
4950,HHea2bc539ce,cellular,21,nov,1,177,1,other,NA
4753,HHdd7ab8dc96,cellular,9,nov,1,91,7,success,NA
4126,HH27872e31f3,cellular,10,jul,6,-1,0,NA,NA
4240,HH20e081f152,NA,30,may,3,-1,0,NA,NA
4898,HH393671e1cf,cellular,19,nov,1,-1,0,NA,NA
4380,HHb22796fe47,cellular,25,nov,1,-1,0,NA,NA
4853,HH677f34897e,cellular,4,may,5,-1,0,NA,NA
4453,HHdde8e2bbbd,cellular,13,mar,1,-1,0,NA,NA
4415,HH802f9a6dd3,cellular,5,may,2,294,4,other,NA
4805,HH2f7d9850cc,cellular,5,may,5,-1,0,NA,NA
4600,HH9eeca21301,cellular,18,jul,1,-1,0,NA,NA
4834,HH736213ac3d,NA,9,may,2,-1,0,NA,NA
4064,HH3a1af27751,cellular,17,nov,1,-1,0,NA,NA
4085,HH636e005de9,cellular,29,jan,3,142,6,success,NA
4428,HH161bc4c4c0,cellular,6,oct,1,40,5,success,NA
4003,HH4cd1f61b84,cellular,15,may,10,-1,0,NA,NA
4629,HH59fb5af134,cellular,5,may,4,-1,0,NA,NA
4718,HH67db67e6df,cellular,11,aug,2,112,1,success,NA
4763,HH59ddc844b6,cellular,4,aug,1,-1,0,NA,NA
4070,HH7832f6974d,cellular,22,mar,2,181,4,success,NA
4864,HH26a73195a0,cellular,17,apr,3,-1,0,NA,NA
4830,HHebaa51c47f,cellular,13,oct,2,-1,0,NA,NA
4970,HHcdcb991c1c,NA,29,may,1,-1,0,NA,NA
4232,HHa9356de7a6,cellular,7,apr,1,-1,0,NA,NA
4008,HH438c6aaa95,cellular,3,apr,1,302,3,failure,NA
4806,HH205b964fef,cellular,10,feb,1,-1,0,NA,NA
4433,HHae743aa4de,cellular,12,apr,1,-1,0,NA,NA
4587,HH615062838c,NA,2,jul,2,-1,0,NA,NA
4795,HH5246fdaed7,cellular,8,aug,3,-1,0,NA,NA
4054,HHf8203d299d,cellular,5,feb,10,-1,0,NA,NA
4877,HH063e29b62b,NA,15,may,1,-1,0,NA,NA
4356,HH2a8888028a,cellular,21,oct,1,-1,0,NA,NA
4738,HHcb4146fbb9,cellular,28,jul,2,-1,0,NA,NA
4921,HHd9f4d8677c,cellular,12,aug,1,182,2,success,NA
4357,HH5b246dd665,cellular,25,aug,7,-1,0,NA,NA
4823,HH270fcd3b90,cellular,29,aug,2,-1,0,NA,NA
4841,HHad613bc2eb,cellular,7,jul,1,-1,0,NA,NA
4854,HHf4b6000870,NA,3,jun,1,-1,0,NA,NA
4572,HHccc4bcb00c,cellular,13,jul,1,91,2,success,NA
4246,HH71e3650843,cellular,30,apr,1,269,1,failure,NA
4917,HHb89f3be5fb,NA,7,jan,1,-1,0,NA,NA
4023,HH176f843ff4,cellular,4,aug,1,-1,0,NA,NA
4871,HH5e0c2b7402,cellular,1,jun,1,-1,0,NA,NA
4760,HH29c6b3c797,NA,29,may,3,-1,0,NA,NA
4907,HHe8aafcb552,cellular,10,jul,1,-1,0,NA,NA
4792,HH78b5064852,NA,4,jul,11,-1,0,NA,NA
4538,HHb7e94e998d,cellular,25,jul,2,-1,0,NA,NA
4159,HHcc7dcf3b71,telephone,11,jul,4,-1,0,NA,NA
4978,HH75b726f294,NA,9,may,1,-1,0,NA,NA
4310,HH3e9fae814e,telephone,4,may,7,-1,0,NA,NA
4460,HH9e685e6980,NA,11,jun,1,-1,0,NA,NA
4656,HH0c9e3e5a58,cellular,10,jul,1,-1,0,NA,NA
4912,HH3d6a261e15,telephone,22,jun,3,-1,0,NA,NA
4157,HHc2d068f82f,cellular,11,aug,1,81,6,failure,NA
4516,HHec00c0c426,cellular,20,apr,2,348,3,failure,NA
4715,HH446184e6cf,cellular,15,apr,1,-1,0,NA,NA
4703,HH8f9d5680b6,cellular,18,aug,6,-1,0,NA,NA
4280,HHdf573278fa,cellular,5,feb,1,-1,0,NA,NA
4360,HH6f316799ee,NA,15,may,3,-1,0,NA,NA
4574,HH99d3215281,cellular,4,jun,1,-1,0,NA,NA
4014,HHef2f1dfbaa,cellular,25,aug,4,-1,0,NA,NA
4544,HH39c67249e2,NA,9,may,2,-1,0,NA,NA
4882,HH02879e1220,cellular,11,jan,1,91,1,success,NA
4782,HHfbca732f2c,cellular,12,jun,7,357,2,failure,NA
4518,HHeeab16665c,NA,7,may,1,-1,0,NA,NA
4099,HH17a4403a7b,cellular,8,jul,2,-1,0,NA,NA
4739,HH5ed73b551f,cellular,21,oct,1,182,1,failure,NA
4098,HH26ae37f2cb,cellular,16,feb,2,-1,0,NA,NA
4802,HH2b5e426863,telephone,7,jul,2,-1,0,NA,NA
4187,HH49fbe6d10d,telephone,28,oct,1,-1,0,NA,NA
4160,HH129bf512e7,NA,28,may,2,-1,0,NA,NA
4179,HH0f4f2d2610,cellular,8,may,1,347,2,failure,NA
4672,HHb395536c6c,cellular,27,jul,1,90,4,success,NA
4484,HHb16815369c,cellular,11,may,1,308,4,failure,NA
4876,HH58516f963b,cellular,21,nov,2,140,11,failure,NA
4165,HHe8d0347758,cellular,18,nov,1,-1,0,NA,NA
4039,HH80dcaa77eb,cellular,14,aug,3,457,1,other,NA
4878,HH9e427c8728,cellular,19,nov,3,-1,0,NA,NA
4829,HH99d639871a,cellular,18,may,1,-1,0,NA,NA
4714,HH2b2c208ce6,cellular,18,nov,1,-1,0,NA,NA
4081,HH28fa3f3bc4,cellular,8,may,1,-1,0,NA,NA
4294,HHd6efa868f6,NA,13,may,1,-1,0,NA,NA
4005,HHc78254e402,cellular,2,feb,1,-1,0,NA,NA
4359,HHfbaf4748cd,telephone,1,jul,4,150,9,failure,NA
4891,HH38e43fd3af,telephone,30,jul,15,-1,0,NA,NA
4234,HHa1727a4bf4,cellular,23,jul,1,535,1,failure,NA
4964,HH10e8f70589,NA,3,jun,2,-1,0,NA,NA
4512,HH09a83de3b5,cellular,1,oct,1,94,9,other,NA
4747,HHc82d6b3b85,cellular,4,feb,6,-1,0,NA,NA
4267,HHf67d1c2b7c,cellular,30,oct,2,-1,0,NA,NA
4578,HH7bee4c07a9,cellular,13,aug,2,192,1,failure,NA
4564,HHaa66459333,cellular,15,jun,1,207,1,other,NA
4764,HHe2fa220967,cellular,21,nov,2,136,3,failure,NA
4135,HHaf6b7ac6c6,cellular,28,aug,7,-1,0,NA,NA
4149,HHd5915c4d00,cellular,27,jul,1,180,4,failure,NA
4856,HH8219d6e9a4,cellular,10,aug,1,-1,0,NA,NA
4076,HH7780b850c2,cellular,6,may,1,363,1,other,NA
4118,HH76a7d618b8,cellular,15,may,1,-1,0,NA,NA
4441,HH701dcabec3,cellular,29,jul,3,-1,0,NA,NA
4579,HH62cd119969,cellular,18,may,1,-1,0,NA,NA
4413,HH6f785edefd,cellular,5,feb,4,-1,0,NA,NA
4298,HHe0bcf03279,NA,12,may,4,-1,0,NA,NA
4369,HHaa73c50ee1,NA,20,may,2,-1,0,NA,NA
4001,HH0534604f12,NA,12,may,12,-1,0,NA,NA
4476,HH7e5d9ebe4d,cellular,2,jun,1,95,1,failure,NA
4031,HH3831fb3805,cellular,20,apr,2,342,1,failure,NA
4340,HH533b7e27fc,cellular,30,jul,2,-1,0,NA,NA
4668,HHf661e3994d,cellular,11,aug,4,-1,0,NA,NA
4193,HH734dd0d602,cellular,21,nov,2,-1,0,NA,NA
4285,HHc2ebfbbe83,telephone,30,apr,1,-1,0,NA,NA
4523,HH154dee6d38,cellular,18,aug,2,-1,0,NA,NA
4797,HH668a4b5575,cellular,17,apr,2,-1,0,NA,NA
4043,HH7641d3c1a6,NA,8,may,3,-1,0,NA,NA
4517,HHe5252221ce,cellular,26,jul,7,292,1,other,NA
4319,HH1912711143,telephone,6,aug,1,-1,0,NA,NA
4547,HH7f2aed4232,cellular,11,may,2,304,2,failure,NA
4440,HH25dfd3064b,telephone,17,nov,1,-1,0,NA,NA
4221,HHbb2f4465df,cellular,6,aug,1,179,2,success,NA
4424,HH4ffa96cee1,cellular,13,jul,3,182,2,success,NA
4598,HHbd9a3e7e94,cellular,17,jun,1,-1,0,NA,NA
4536,HH348c13aec4,cellular,27,aug,6,-1,0,NA,NA
4569,HHb0bfef925c,cellular,30,jul,4,-1,0,NA,NA
4189,HHaa56aba918,cellular,28,aug,3,-1,0,NA,NA
4919,HH35b98c146d,NA,15,may,1,-1,0,NA,NA
4166,HH00b9f84f33,NA,27,may,2,-1,0,NA,NA
4092,HH6351f5ee3b,cellular,27,aug,4,-1,0,NA,NA
4666,HH3c795ca637,cellular,15,jun,1,-1,0,NA,NA
4585,HHbe2c08badb,cellular,14,may,3,358,1,other,NA
4724,HH03cef866a2,NA,21,may,4,-1,0,NA,NA
4278,HH8cacb60619,cellular,11,jul,1,-1,0,NA,NA
4164,HHe742e0f52c,cellular,20,apr,1,-1,0,NA,NA
4088,HHa069b24baa,cellular,4,mar,1,122,3,failure,NA
4483,HH849db06c3c,cellular,14,apr,1,147,2,failure,NA
4838,HHf470493e21,cellular,5,aug,1,-1,0,NA,NA
4143,HH3eb4de3eec,cellular,21,aug,1,-1,0,NA,NA
4858,HHe10e6ea5c2,cellular,17,apr,1,-1,0,NA,NA
4254,HH25d8a2c2af,NA,20,jun,2,-1,0,NA,NA
4300,HH744dc14237,cellular,20,nov,1,-1,0,NA,NA
4866,HH9350dda149,NA,2,jun,1,-1,0,NA,NA
4496,HH43e1e7a9a9,cellular,13,may,1,-1,0,NA,NA
4860,HHb81ff3301e,cellular,21,nov,1,-1,0,NA,NA
4178,HH0730542f7a,NA,7,may,1,-1,0,NA,NA
4842,HHc78c816962,cellular,30,apr,3,-1,0,NA,NA
4113,HHcda8c1fa4b,cellular,17,apr,2,-1,0,NA,NA
4712,HH3b8927f0b6,cellular,30,apr,1,-1,0,NA,NA
4052,HH094872e0cc,cellular,11,may,3,265,2,failure,NA
4539,HHb0e1869f1a,cellular,25,jul,3,-1,0,NA,NA
4337,HHa7b665cac2,NA,15,may,1,-1,0,NA,NA
4436,HHa20e253bcb,cellular,15,may,5,372,2,failure,NA
4094,HH6bc5e432d5,cellular,2,jun,1,182,1,success,NA
4188,HHd3a2a62f98,cellular,30,apr,1,-1,0,NA,NA
4191,HH7beacbd3d2,cellular,2,feb,1,-1,0,NA,NA
4065,HH7cc1fbe989,cellular,29,jul,6,-1,0,NA,NA
4432,HH50680d2b6f,cellular,6,may,2,-1,0,NA,NA
4938,HH7ada840fcc,cellular,15,oct,2,-1,0,NA,NA
4269,HH1157d07a9c,cellular,3,mar,2,-1,0,NA,NA
4846,HHb2eec2c397,telephone,17,oct,1,-1,0,NA,NA
4673,HH7057883c68,cellular,21,oct,2,184,1,success,NA
4270,HH4f6a9274e0,cellular,10,aug,1,414,4,failure,NA
4141,HHdb21ad995f,cellular,17,apr,1,-1,0,NA,NA
4541,HHcbbbfd49b1,cellular,12,may,3,-1,0,NA,NA
4387,HH41bd2bd02b,cellular,19,nov,1,-1,0,NA,NA
4549,HH299f42d617,NA,23,may,1,-1,0,NA,NA
4634,HHca84cc79a6,cellular,20,apr,1,-1,0,NA,NA
4134,HH3ec1aac9f2,cellular,27,oct,1,91,2,success,NA
4717,HH059de9b9f5,NA,21,may,2,-1,0,NA,NA
4565,HH1fba1b2f16,cellular,27,oct,3,148,1,success,NA
4908,HH1bc073497e,cellular,27,feb,1,-1,0,NA,NA
4791,HHbfa242e150,cellular,11,may,1,-1,0,NA,NA
4226,HH2bebea1c52,cellular,28,jul,2,-1,0,NA,NA
4769,HH642dac7448,cellular,22,jun,5,-1,0,NA,NA
4963,HH4bea678720,NA,21,may,1,-1,0,NA,NA
4111,HHc7707daa69,cellular,4,mar,1,181,4,failure,NA
4174,HHc47c129a68,cellular,12,oct,1,-1,0,NA,NA
4350,HH38b558270f,cellular,17,mar,3,-1,0,NA,NA
4040,HH609f8f4f04,NA,6,may,3,-1,0,NA,NA
4958,HH97e85a9232,cellular,7,jul,3,-1,0,NA,NA
4906,HH756508d670,cellular,20,nov,1,-1,0,NA,NA
4213,HH43154ad8fd,cellular,15,jul,2,244,4,other,NA
4918,HH3b5d73de6d,cellular,16,apr,4,146,5,failure,NA
4204,HH49df785161,cellular,5,may,1,195,4,success,NA
4192,HHa26270f7ae,NA,17,jun,7,-1,0,NA,NA
4540,HH2a2547b94e,telephone,29,jan,1,-1,0,NA,NA
4545,HH9aa934b49b,cellular,31,jul,8,-1,0,NA,NA
4462,HHc56f4a7602,NA,9,jun,1,-1,0,NA,NA
4552,HH7f1d57f6c2,NA,23,may,2,-1,0,NA,NA
4647,HHa0f69d2c70,telephone,20,nov,3,-1,0,NA,NA
4768,HHdacaad98dc,NA,20,may,1,-1,0,NA,NA
4109,HH4358a938cb,cellular,7,apr,1,266,2,other,NA
4282,HH3b923ff2e4,cellular,29,aug,2,-1,0,NA,NA
4916,HH345507e9aa,cellular,8,apr,1,-1,0,NA,NA
4455,HH1c9ef4d9c3,NA,11,jun,2,-1,0,NA,NA
4108,HH7c7dd7dec8,telephone,31,jul,2,-1,0,NA,NA
4241,HHde17029c47,cellular,28,jan,3,-1,0,NA,NA
4348,HH83a4f704bb,cellular,7,may,1,-1,0,NA,NA
4480,HHde0d9f5044,NA,26,may,2,-1,0,NA,NA
4012,HH1805194517,cellular,4,feb,4,-1,0,NA,NA
4470,HHce63f58b49,cellular,4,may,4,-1,0,NA,NA
4207,HH22fd5cb8f6,cellular,10,nov,5,-1,0,NA,NA
4013,HH5473b06c02,cellular,11,may,3,-1,0,NA,NA
4901,HH0fae559616,cellular,23,apr,4,-1,0,NA,NA
4603,HHe69ab2377f,cellular,18,aug,4,-1,0,NA,NA
4202,HHb07512eace,cellular,17,apr,1,-1,0,NA,NA
4341,HHc865162808,NA,28,may,3,-1,0,NA,NA
4364,HH9b6b093a08,cellular,3,jun,1,-1,0,NA,NA
4252,HH1bb7a31883,cellular,28,jun,1,182,1,failure,NA
4599,HH7744ff7ce3,NA,15,may,1,-1,0,NA,NA
4729,HHeaa7d2ba48,cellular,16,apr,1,-1,0,NA,NA
4543,HHa79d9ec190,NA,8,may,1,-1,0,NA,NA
4260,HH5bacce9ca8,cellular,10,aug,2,-1,0,NA,NA
4617,HH20091cda84,telephone,16,sep,3,-1,0,NA,NA
4077,HH537e6f1c68,telephone,28,jan,2,254,2,failure,NA
4857,HH0e899bce96,cellular,7,oct,1,-1,0,NA,NA
4262,HH405544de37,cellular,20,nov,1,-1,0,NA,NA
4242,HHc7e61cf6e1,NA,23,may,6,-1,0,NA,NA
4689,HH327239a4f4,NA,15,may,1,-1,0,NA,NA
4645,HHfd8744e79e,cellular,20,apr,2,326,1,other,NA
4905,HH8068bae256,telephone,18,jan,4,-1,0,NA,NA
4305,HHa5f19d2d3f,NA,14,may,2,-1,0,NA,NA
4601,HHd60991b43c,cellular,11,feb,2,-1,0,NA,NA
4506,HH2e26e09d9a,cellular,13,may,3,370,1,failure,NA
4787,HH022a7bb11c,cellular,28,jan,2,-1,0,NA,NA
4201,HHee3f05a8af,cellular,3,apr,1,-1,0,NA,NA
