Name,Year,Conference,points,points_avg,fg_made,fg_attempted,fg_pct,ft_made,ft_attempted,ft_pct,threefg_made,threefg_attempted,threefg_pct,rebounds_total,rebounds_total_avg,rebounds_offensive,rebounds_offensive_avg,rebounds_defensive,rebounds_defensive_avg,assists,assists_avg,assist_turnover_ratio,assist_pct,turnovers,turnovers_avg,turnover_pct,steals,steals_avg,steal_pct,blocks,blocks_avg,block_pct,fouls,fouls_avg,dqs,possessions,possessions_avg,points_possession_avg,floor_pct,efficiency,effective_fg_pct,true_shooting_pct,ft_rate_pct,fg_dist_pct,Seeds,Game Region,Game ID,Unique Game ID,Round 1 game score,R1 Class 1=win
Oklahoma State,2000 2001,Big 12,2129,71,767,1652,46.4,466,736,63.3,129,395,32.7,1139,38,364,12.1,775,25.8,403,13.4,0.8,52.5,500,16.7,23.4,240,8,11.2,115,3.8,6.7,566,18.9,13,2135,71.2,1,52.5,99.7,50.3,53.1,44.5,72,11,East,E6,2001E6,54,0
USC,2000 2001,Pac 12,2620,77.1,898,1955,45.9,616,875,70.4,208,597,34.8,1250,36.8,422,12.4,828,24.4,504,14.8,1,56.1,512,15.1,20.8,259,7.6,10.5,151,4.4,7.4,614,18.1,14,2456,72.2,1.1,53.5,106.7,51.2,55.2,44.7,68.5,6,East,E6,2001E6,69,1
Creighton,2000 2001,Missouri Valley,2325,72.7,788,1783,44.2,500,712,70.2,249,694,35.9,1084,33.9,357,11.2,727,22.7,490,15.3,1.2,62.1,426,13.3,19.4,293,9.2,13.3,114,3.6,7.1,646,20.2,13,2189,68.4,1.1,51.8,106.2,51.1,54.8,39.9,67.7,10,East,E7,2001E7,56,0
Iowa,2000 2001,Big Ten,2593,74.1,815,1894,43,753,1068,70.5,210,573,36.6,1351,38.6,482,13.8,869,24.8,474,13.5,0.9,58.1,520,14.9,21.2,191,5.5,7.8,83,2.4,4.3,784,22.4,24,2443,69.8,1.1,53.7,106.1,48.5,53.9,56.3,62.8,7,East,E7,2001E7,69,1
Holy Cross,2000 2001,Patriot,2034,67.8,640,1437,44.5,618,941,65.7,136,389,35,1154,38.5,388,12.9,766,25.5,382,12.7,0.7,59.6,512,17.1,25.4,188,6.3,9.3,156,5.2,9.5,583,19.4,12,2011,67,1,52.7,101.1,49.2,53.9,65.4,62.9,15,East,E8,2001E8,68,0
Kentucky,2000 2001,SEC,2713,79.8,988,2051,48.2,492,751,65.5,245,708,34.6,1311,38.6,464,13.6,847,24.9,535,15.7,1,54.1,514,15.1,20.8,228,6.7,9.2,151,4.4,7.2,630,18.5,5,2461,72.4,1.1,56.6,110.2,54.1,56.3,36.6,72.8,2,East,E8,2001E8,72,1
Northwestern State,2000 2001,Southland,2292,71.6,768,1862,41.2,581,878,66.2,175,553,31.6,1175,36.7,410,12.8,765,23.9,382,11.9,0.7,49.7,533,16.7,22,304,9.5,12.5,129,4,7,766,23.9,20,2416,75.5,0.9,49.1,94.9,45.9,50.2,47.1,67,16,Midwest,MW1,2001MW1,54,0
Illinois,2000 2001,Big Ten,2725,77.9,929,2046,45.4,620,880,70.5,247,678,36.4,1400,40,479,13.7,921,26.3,550,15.7,1,59.2,524,15,20.8,269,7.7,10.7,146,4.2,7.5,772,22.1,29,2513,71.8,1.1,54.7,108.4,51.4,55.2,43,68.1,1,Midwest,MW1,2001MW1,96,1
Tennessee,2000 2001,SEC,2668,80.8,909,1980,45.9,593,872,68,257,697,36.9,1301,39.4,421,12.8,880,26.7,528,16,1,58,528,16,21.1,232,7,9.2,190,5.8,9,712,21.6,16,2496,75.6,1.1,53,106.9,52.3,55.7,44,68.1,8,Midwest,MW2,2001MW2,63,0
Charlotte,2000 2001,C-USA,2583,78.3,873,1998,43.7,532,777,68.5,305,848,36,1267,38.4,411,12.5,856,25.9,471,14.3,1.1,53.9,419,12.7,17.5,231,7,9.6,97,2.9,4.8,660,20,16,2383,72.2,1.1,53.1,108.4,51.3,54.5,38.8,67.5,9,Midwest,MW2,2001MW2,70,1
Hawaii,2000 2001,WAC,2254,72.7,797,1703,46.8,483,666,72.5,177,507,34.9,999,32.2,335,10.8,664,21.4,557,18,1.1,69.8,516,16.6,23.4,183,5.9,8.3,74,2.4,4.1,604,19.5,14,2198,70.9,1,51,102.5,51.9,55.8,39.1,70.7,12,Midwest,MW3,2001MW3,69,0
Syracuse,2000 2001,Big East,2475,72.8,885,2029,43.6,520,727,71.5,185,552,33.5,1213,35.7,442,13,771,22.7,545,16,1.2,61.5,441,13,18.5,325,9.6,13.7,203,6,10.6,680,20,26,2371,69.7,1,53.7,104.4,48.1,52.1,35.8,71.5,5,Midwest,MW3,2001MW3,79,1
Cal State Northridge,2000 2001,Big Sky,2650,82.8,910,1842,49.4,613,865,70.9,217,547,39.7,1158,36.2,373,11.7,785,24.5,606,18.9,1.2,66.5,489,15.3,20.5,267,8.3,11.2,76,2.4,4,716,22.4,18,2380,74.4,1.1,55,111.3,55.2,58.8,46.9,68.6,13,Midwest,MW4,2001MW4,75,0
Kansas,2000 2001,Big 12,2707,82,1002,1996,50.2,520,789,65.9,183,465,39.4,1407,42.6,443,13.4,964,29.2,638,19.3,1.2,63.6,532,16.1,21.6,218,6.6,8.8,169,5.1,8.1,648,19.6,19,2456,74.4,1.1,57.1,110.2,54.7,57,39.5,74,4,Midwest,MW4,2001MW4,99,1
Iona,2000 2001,MAAC,2549,77.2,912,1896,48.1,566,822,68.9,159,415,38.3,1239,37.5,378,11.5,861,26.1,481,14.6,0.9,52.7,557,16.9,22.5,259,7.8,10.4,183,5.5,9.4,715,21.7,23,2471,74.9,1,52.5,103.2,52.2,55.7,43.3,71.5,14,Midwest,MW5,2001MW5,70,0
Mississippi,2000 2001,SEC,2496,71.3,865,1958,44.2,542,829,65.4,224,655,34.2,1227,35.1,416,11.9,811,23.2,500,14.3,1,57.8,500,14.3,20.5,285,8.1,11.6,115,3.3,6.1,717,20.5,16,2438,69.7,1,52.1,102.4,49.8,53,42.3,69.3,3,Midwest,MW5,2001MW5,72,1
Xavier,2000 2001,A-10,2130,73.4,706,1653,42.7,540,768,70.3,178,587,30.3,1125,38.8,391,13.5,734,25.3,398,13.7,1,56.3,415,14.3,20.3,208,7.2,10.1,115,4,6.7,551,19,16,2041,70.4,1,53,104.4,48,52.7,46.4,66.2,11,Midwest,MW6,2001MW6,71,0
Notre Dame,2000 2001,Big East,2338,77.9,814,1763,46.2,491,713,68.9,219,570,38.4,1214,40.5,370,12.3,844,28.1,527,17.6,1.2,64.7,434,14.5,20,199,6.6,9.2,178,5.9,8.9,501,16.7,13,2162,72.1,1.1,53.8,108.1,52.3,55.6,40.4,69.6,6,Midwest,MW6,2001MW6,83,1
Wake Forest,2000 2001,ACC,2296,76.5,838,1815,46.2,443,609,72.7,177,494,35.8,1104,36.8,342,11.4,762,25.4,465,15.5,1.2,55.4,375,12.5,17.6,219,7.3,10.2,136,4.5,7.9,570,19,13,2129,71,1.1,53.8,107.8,51,54.5,33.5,72.9,7,Midwest,MW7,2001MW7,63,0
Butler,2000 2001,Horizon,2228,69.6,755,1643,46,467,652,71.6,251,617,40.7,922,28.8,305,9.5,617,19.3,388,12.1,1,51.3,377,11.8,18.5,222,6.9,10.9,89,2.8,5.3,505,15.8,11,2029,63.4,1.1,52.4,109.8,53.5,57,39.6,67.7,10,Midwest,MW7,2001MW7,79,1
Eastern Illinois,2000 2001,Ohio Valley,2564,82.7,915,1928,47.5,504,650,77.5,230,583,39.5,1123,36.2,359,11.6,764,24.6,514,16.6,1.2,56.1,431,13.9,18.6,197,6.4,8.5,115,3.7,5.8,576,18.6,14,2309,74.5,1.1,54,111,53.4,57.3,33.7,71.3,15,Midwest,MW8,2001MW8,76,0
Arizona,2000 2001,Pac 12,2926,81.3,1015,2131,47.6,703,940,74.8,193,544,35.5,1433,39.8,487,13.5,946,26.3,586,16.3,1.1,57.7,547,15.2,20.8,283,7.9,10.7,160,4.4,7.3,628,17.4,9,2624,72.9,1.1,56,111.5,52.1,56.7,44.1,69.3,2,Midwest,MW8,2001MW8,101,1
Alabama State,2000 2001,SWAC,2135,68.9,755,1708,44.2,460,697,66,165,504,32.7,1180,38.1,386,12.5,794,25.6,410,13.2,0.8,54.3,516,16.6,23.7,262,8.5,12,89,2.9,4.7,512,16.5,7,2170,70,1,51.3,98.4,49,52.3,40.8,70.7,16,South,S1,2001S1,35,0
Michigan State,2000 2001,Big Ten,2553,77.4,957,1957,48.9,493,686,71.9,146,453,32.2,1409,42.7,514,15.6,895,27.1,580,17.6,1.3,60.6,451,13.7,20.3,209,6.3,9.4,134,4.1,7.3,611,18.5,10,2214,67.1,1.2,61,115.3,52.6,55.9,35,74.9,1,South,S1,2001S1,69,1
California,2000 2001,Pac 12,2304,74.3,813,1699,47.9,502,732,68.6,176,503,35,998,32.2,281,9.1,717,23.1,508,16.4,1.2,62.4,424,13.7,19.4,225,7.3,10.3,66,2.1,3.9,570,18.4,1,2183,70.4,1.1,51.5,105.5,53,56.2,43,70.5,8,South,S2,2001S2,70,0
Fresno State,2000 2001,WAC,2689,81.5,954,2031,47,540,793,68.1,241,678,35.5,1239,37.5,389,11.8,850,25.8,595,18,1.1,62.3,552,16.7,21.5,331,10,12.9,210,6.4,10.1,626,19,10,2563,77.7,1,51.9,104.9,52.9,55.8,39,70.9,9,South,S2,2001S2,82,1
Virginia,2000 2001,ACC,2464,85,852,1872,45.5,556,755,73.6,204,553,36.9,1131,39,437,15.1,694,23.9,420,14.5,1.1,49.2,400,13.8,18.3,221,7.6,10.1,98,3.4,5.8,592,20.4,15,2185,75.3,1.1,56.7,112.8,50.9,55.2,40.3,69.1,5,South,S3,2001S3,85,0
Gonzaga,2000 2001,West Coast,2720,82.4,915,1793,51,645,947,68.1,245,606,40.4,1263,38.3,369,11.2,894,27.1,535,16.2,1.1,58.4,474,14.4,20.2,192,5.8,8.2,133,4,6.6,620,18.8,14,2339,70.9,1.2,56.6,116.3,57.8,60.6,52.8,67.2,12,South,S3,2001S3,86,1
Oklahoma,2000 2001,Big 12,2454,74.4,859,1924,44.6,494,668,74,242,636,38.1,1184,35.9,420,12.7,764,23.2,443,13.4,1.1,51.5,420,12.7,18.6,281,8.5,12.4,91,2.8,5.4,705,21.4,22,2250,68.2,1.1,54.5,109.1,50.9,54.7,34.7,70,4,South,S4,2001S4,68,0
Indiana State,2000 2001,Missouri Valley,2479,72.9,861,1872,46,544,772,70.5,213,594,35.9,1069,31.4,334,9.8,735,21.6,521,15.3,1.3,60.5,402,11.8,17.5,237,7,10.3,100,2.9,5.3,574,16.9,13,2295,67.5,1.1,52.5,108,51.6,55.3,41.2,69.4,13,South,S4,2001S4,70,1
Western Kentucky,2000 2001,Sun Belt,2303,74.3,812,1789,45.4,466,674,69.1,213,605,35.2,1240,40,441,14.2,799,25.8,451,14.5,1,55.5,453,14.6,21.2,246,7.9,11.5,155,5,9.3,587,18.9,7,2127,68.6,1.1,55.8,108.3,51.3,54.5,37.6,70.5,14,South,S5,2001S5,56,0
Florida,2000 2001,SEC,2509,80.9,849,1764,48.1,555,761,72.9,256,668,38.3,1145,36.9,319,10.3,826,26.6,538,17.4,1.2,63.3,451,14.5,20,271,8.7,12,114,3.7,6.2,589,19,10,2252,72.6,1.1,52.7,111.4,55.3,59,43.1,67.6,3,South,S5,2001S5,69,1
Texas,2000 2001,Big 12,2396,70.5,819,1990,41.2,543,835,65,215,626,34.3,1346,39.6,483,14.2,863,25.4,414,12.2,0.8,50.5,502,14.8,20.9,268,7.9,11.1,191,5.6,10.1,771,22.7,23,2394,70.4,1,52.2,100.1,46.5,50.1,41.9,68.3,6,South,S6,2001S6,65,0
Temple,2000 2001,A-10,2604,70.4,926,2168,42.7,471,673,70,281,815,34.5,1322,35.7,494,13.4,828,22.4,416,11.2,1.4,44.9,305,8.2,13.2,270,7.3,11.7,138,3.7,6.8,585,15.8,10,2297,62.1,1.1,57.4,113.4,49.1,52.3,31,71.1,11,South,S6,2001S6,79,1
Providence,2000 2001,Big East,2359,76.1,806,1809,44.6,498,693,71.9,249,622,40,1129,36.4,391,12.6,738,23.8,506,16.3,1.1,62.7,467,15.1,21,286,9.2,12.8,172,5.5,9.6,641,20.7,9,2220,71.6,1.1,52.5,106.3,51.4,55.1,38.3,68.3,10,South,S7,2001S7,59,0
Penn State,2000 2001,Big Ten,2535,76.8,835,1962,42.6,587,768,76.4,278,757,36.7,1069,32.4,349,10.6,720,21.8,481,14.6,1.2,57.6,407,12.3,17,279,8.5,11.7,117,3.5,5.9,656,19.9,14,2382,72.2,1.1,49.9,106.4,49.6,54.4,39.1,65.8,7,South,S7,2001S7,69,1
Princeton,2000 2001,Ivy League,1562,57.9,540,1203,44.9,264,363,72.7,218,619,35.2,692,25.6,174,6.4,518,19.2,383,14.2,1.1,70.9,340,12.6,21.9,180,6.7,11.6,61,2.3,4.8,457,16.9,17,1549,57.4,1,46.2,100.8,53.9,56.7,30.1,69.1,15,South,S8,2001S8,48,0
North Carolina,2000 2001,ACC,2611,79.1,945,1972,47.9,532,794,67,189,519,36.4,1363,41.3,411,12.5,952,28.8,576,17.5,1.1,60.9,518,15.7,21.1,244,7.4,9.9,181,5.5,8.2,576,17.5,8,2452,74.3,1.1,54.4,106.5,52.7,55.5,40.2,72.3,2,South,S8,2001S8,70,1
North Carolina-Greensboro,2000 2001,SoCon,2282,73.6,773,1741,44.4,552,718,76.9,184,480,38.3,1050,33.9,343,11.1,707,22.8,413,13.3,0.9,53.4,476,15.4,21.5,273,8.8,12.3,117,3.8,6.6,649,20.9,20,2210,71.3,1,50.3,103.3,49.6,54.8,41.2,67.7,16,West,W1,2001W1,60,0
Stanford,2000 2001,Pac 12,2829,83.2,953,1865,51.1,671,903,74.3,252,587,42.9,1244,36.6,365,10.7,879,25.9,565,16.6,1.3,59.2,439,12.9,18.5,187,5.5,7.8,107,3.1,5.4,583,17.1,5,2370,69.7,1.2,57.2,119.4,57.8,61.6,48.4,67.3,1,West,W1,2001W1,89,1
Georgia Tech,2000 2001,ACC,2269,75.6,776,1822,42.6,457,662,69,260,700,37.1,1125,37.5,345,11.5,780,26,488,16.3,1,62.8,474,15.8,20.9,238,7.9,10.5,136,4.5,7.4,644,21.5,20,2265,75.5,1,48.8,100.2,49.7,53.1,36.3,68.4,8,West,W2,2001W2,62,0
St. Joseph's (PA),2000 2001,A-10,2625,79.5,905,1879,48.2,560,808,69.3,255,716,35.6,1241,37.6,368,11.2,873,26.5,590,17.9,1.2,65.1,480,14.5,20.1,204,6.2,8.5,128,3.9,6.4,652,19.8,20,2381,72.2,1.1,53.9,110.2,54.9,58,43,68.9,9,West,W2,2001W2,66,1
Brigham Young,2000 2001,Mountain West,2324,70.4,744,1620,45.9,651,835,78,185,485,38.1,1053,31.9,292,8.8,761,23.1,411,12.5,0.9,55.2,454,13.8,20.8,203,6.2,9.3,107,3.2,6.4,690,20.9,23,2174,65.9,1.1,49.9,106.9,51.6,57.6,51.5,64,12,West,W3,2001W3,59,0
Cincinnati,2000 2001,C-USA,2586,73.9,921,2076,44.4,530,760,69.7,214,601,35.6,1216,34.7,464,13.3,752,21.5,448,12.8,1.2,48.6,380,10.9,16.1,194,5.5,8.2,117,3.3,6.1,664,19,13,2350,67.1,1.1,56.3,110,49.5,53,36.6,71.2,5,West,W3,2001W3,84,1
Indiana,2000 2001,Big Ten,2408,70.8,858,1896,45.3,511,804,63.6,181,500,36.2,1268,37.3,377,11.1,891,26.2,517,15.2,1,60.2,497,14.6,20.7,227,6.7,9.4,178,5.2,9.2,648,19.1,14,2391,70.3,1,51.6,100.7,50,52.8,42.4,71.2,4,West,W4,2001W4,73,0
Kent State,2000 2001,MAC,2390,70.3,823,1917,42.9,564,739,76.3,180,516,34.9,1103,32.4,403,11.9,700,20.6,429,12.6,1.2,52.1,346,10.2,15.6,233,6.9,10.5,105,3.1,6.1,668,19.6,21,2208,64.9,1.1,54.1,108.2,47.6,52.6,38.5,68.8,13,West,W4,2001W4,77,1
George Mason,2000 2001,CAA,2127,70.9,784,1705,46,417,633,65.9,142,439,32.3,1017,33.9,357,11.9,660,22,410,13.7,1,52.2,429,14.3,20.7,250,8.3,12.1,128,4.3,8,544,18.1,11,2066,68.9,1,53.4,103,50.1,53,37.1,73.7,14,West,W5,2001W5,80,0
Maryland,2000 2001,ACC,3067,85.2,1120,2313,48.4,622,894,69.6,205,540,38,1478,41.1,543,15.1,935,26,692,19.2,1.3,61.7,523,14.5,19.3,322,8.9,11.9,213,5.9,9.6,711,19.8,10,2699,75,1.1,58.6,113.6,52.8,56,38.6,73,3,West,W5,2001W5,83,1
Wisconsin,2000 2001,Big Ten,1723,59.4,575,1351,42.6,399,568,70.2,174,476,36.6,868,29.9,233,8,635,21.9,358,12.3,1.1,62.2,337,11.6,19.4,170,5.9,9.8,67,2.3,4.9,520,17.9,10,1733,59.8,1,47.8,99.4,49,53.1,42,66.7,6,West,W6,2001W6,49,0
Georgia State,2000 2001,Atlantic Sun,2701,79.4,929,2068,44.9,567,808,70.2,276,780,35.4,1171,34.4,441,13,730,21.5,449,13.2,1,48.3,435,12.8,17.8,351,10.3,14.4,129,3.8,6.6,616,18.1,12,2436,71.6,1.1,54.7,110.9,51.5,55,39,68.7,11,West,W6,2001W6,50,1
Arkansas,2000 2001,SEC,2476,79.9,881,1990,44.3,441,639,69,273,741,36.8,1100,35.5,410,13.2,690,22.3,475,15.3,1.1,53.9,451,14.5,19.4,365,11.8,15.7,124,4,7,657,21.2,12,2322,74.9,1.1,52.8,106.6,51.1,53.9,32.1,71.1,7,West,W7,2001W7,61,0
Georgetown,2000 2001,Big East,2574,78,924,2115,43.7,540,817,66.1,186,561,33.2,1481,44.9,607,18.4,874,26.5,547,16.6,1,59.1,550,16.7,22.5,324,9.8,13.2,198,6,10.3,694,21,12,2444,74.1,1.1,57.4,105.3,48,51.4,38.6,71.7,10,West,W7,2001W7,63,1
Iowa State,2000 2001,Big 12,2451,79.1,823,1735,47.4,623,856,72.8,182,436,41.7,1227,39.6,375,12.1,852,27.5,429,13.8,0.9,52.1,467,15.1,20.8,190,6.1,8.5,102,3.3,5.7,634,20.5,20,2235,72.1,1.1,54.4,109.7,52.6,57.2,49.3,67.1,2,West,W8,2001W8,57,0
Hampton,2000 2001,MEAC,2468,77.1,849,1846,46,571,835,68.4,199,574,34.7,1240,38.8,434,13.6,806,25.2,445,13.9,0.9,52.4,489,15.3,21.2,218,6.8,9.4,183,5.7,9.3,593,18.5,13,2296,71.8,1.1,54.9,107.5,51.3,55,45.2,68.8,15,West,W8,2001W8,58,1
Siena,2001 2002,MAAC,2517,69.9,853,2044,41.7,561,754,74.4,250,722,34.6,1361,37.8,402,11.2,959,26.6,465,12.9,0.8,54.5,550,15.3,21.5,199,5.5,7.7,149,4.1,7.1,765,21.3,25,2557,69.1,1,48.3,98.4,47.8,52.3,36.8,67.7,16,East,E1,2002E1,70,0
Maryland,2001 2002,ACC,3060,85,1083,2248,48.2,677,933,72.6,217,580,37.4,1479,41.1,473,13.1,1006,27.9,714,19.8,1.4,65.9,495,13.8,18.3,302,8.4,11.1,216,6,9.3,640,17.8,8,2700,75,1.1,56.7,113.3,53,56.8,41.5,70.7,1,East,E1,2002E1,85,1
St. John's,2001 2002,Big East,2250,70.3,784,1953,40.1,543,811,67,139,484,28.7,1206,37.7,498,15.6,708,22.1,368,11.5,0.8,46.9,484,15.1,20.8,323,10.1,13.9,120,3.8,6.7,646,20.2,14,2317,72.4,1,52.6,97.1,43.7,48.1,41.5,69.6,9,East,E2,2002E2,70,0
Wisconsin,2001 2002,Big Ten,2144,67,731,1675,43.6,471,655,71.9,211,593,35.6,1032,32.2,328,10.3,704,22,407,12.7,1,55.6,414,12.9,19.9,188,5.9,9,60,1.9,3.5,537,16.8,12,2075,64.8,1,50.6,103.3,49.9,53.9,39.1,68.1,8,East,E2,2002E2,80,1
Marquette,2001 2002,C-USA,2413,73.1,871,1841,47.3,498,720,69.2,173,456,37.9,1170,35.5,420,12.7,750,22.7,460,13.9,1,52.8,455,13.8,20.5,279,8.5,12.5,113,3.4,6.4,599,18.2,13,2216,67.2,1.1,56.2,108.9,52,55.2,39.1,72.1,5,East,E3,2002E3,69,0
Tulsa,2001 2002,WAC,2726,80.2,961,2015,47.7,545,724,75.3,259,638,40.6,1214,35.7,373,11,841,24.7,584,17.2,1.3,60.7,436,12.8,17.9,269,7.9,11.1,153,4.5,7.6,565,16.6,6,2423,71.3,1.1,54.4,112.5,54.1,57.7,35.9,70.5,12,East,E3,2002E3,71,1
Valparaiso,2001 2002,Mid-Continent,2564,77.7,893,1989,44.9,503,754,66.7,275,785,35,1240,37.6,448,13.6,792,24,570,17.3,1.3,63.8,437,13.2,18.7,334,10.1,14.3,136,4.1,7.2,567,17.2,13,2325,70.5,1.1,55.2,110.3,51.8,54.6,37.9,69.6,13,East,E4,2002E4,68,0
Kentucky,2001 2002,SEC,2460,76.9,905,2021,44.8,431,638,67.6,219,693,31.6,1283,40.1,492,15.4,791,24.7,471,14.7,1,52,460,14.4,20,252,7.9,10.9,153,4.8,8,581,18.2,6,2297,71.8,1.1,56.3,107.1,50.1,52.9,31.5,73.5,4,East,E4,2002E4,83,1
Murray State,2001 2002,Ohio Valley,2514,78.6,941,2093,45,422,584,72.3,210,652,32.2,1281,40,510,15.9,771,24.1,465,14.5,1,49.4,456,14.3,19.6,258,8.1,11.1,158,4.9,8.6,614,19.2,20,2321,72.5,1.1,56.9,108.3,49.9,53,27.9,74.8,14,East,E5,2002E5,68,0
Georgia,2001 2002,SEC,2444,76.4,871,1947,44.7,513,696,73.7,189,588,32.1,1228,38.4,468,14.6,760,23.8,495,15.5,1.1,56.8,455,14.2,20,281,8.8,12.4,114,3.6,5.8,541,16.9,13,2264,70.8,1.1,55.7,108,49.5,53.6,35.7,71.2,3,East,E5,2002E5,85,1
Texas Tech,2001 2002,Big 12,2532,79.1,931,1999,46.6,524,768,68.2,146,388,37.6,1230,38.4,419,13.1,811,25.3,588,18.4,1.5,63.1,397,12.4,17,243,7.6,10.4,134,4.2,6.4,509,15.9,3,2334,72.9,1.1,56.3,108.5,50.2,53.5,38.4,73.5,6,East,E6,2002E6,68,0
Southern Illinois,2001 2002,Missouri Valley,2717,75.5,976,2115,46.1,545,880,61.9,220,601,36.6,1394,38.7,483,13.4,911,25.3,547,15.2,1.1,56,493,13.7,19.4,263,7.3,10.3,171,4.8,8.4,747,20.8,14,2538,70.5,1.1,55.9,107.1,51.3,53.6,41.6,71.8,11,East,E6,2002E6,76,1
Michigan State,2001 2002,Big Ten,2150,69.4,764,1654,46.2,442,574,77,180,458,39.3,1163,37.5,377,12.2,786,25.4,438,14.1,0.9,57.3,463,14.9,23,156,5,7.7,93,3,5.3,581,18.7,15,2010,64.8,1.1,53.8,107,51.6,55.7,34.7,71,10,East,E7,2002E7,58,0
NC State,2001 2002,ACC,2565,75.4,863,1910,45.2,561,743,75.5,278,773,36,1119,32.9,354,10.4,765,22.5,546,16.1,1.2,63.2,452,13.3,19,269,7.9,11.3,72,2.1,3.9,643,18.9,6,2368,69.6,1.1,51.5,108.3,52.4,56.6,38.9,67.2,7,East,E7,2002E7,69,1
Hampton,2001 2002,MEAC,2623,79.5,933,1940,48.1,539,805,67,218,615,35.4,1240,37.6,457,13.8,783,23.7,470,14.2,1,50.3,489,14.8,20.8,265,8,11.2,115,3.5,5.8,604,18.3,7,2347,71.1,1.1,57.2,111.8,53.7,56.4,41.4,71.1,15,East,E8,2002E8,67,0
Connecticut,2001 2002,Big East,2646,77.8,972,2012,48.3,548,787,69.6,154,391,39.4,1382,40.6,464,13.6,918,27,494,14.5,0.9,50.8,545,16,22,256,7.5,10.3,236,6.9,10.8,612,18,12,2472,72.7,1.1,56.1,107,52.1,55.4,39.1,73.4,2,East,E8,2002E8,78,1
