Name,Cost,Set Name,R,High,Med,Low
 Firestorm Hellkite,4UR, Visions,R,$19.99 ,$0.50 ,$0.21 
 Flooded Shoreline,UU, Visions,R,$19.99 ,$1.14 ,$0.36 
 Forbidden Ritual,2BB, Visions,R,$19.99 ,$0.99 ,$0.45 
 Foreshadow,1U, Visions,U,$4.99 ,$0.25 ,$0.08 
 Freewind Falcon,1W, Visions,C,$0.99 ,$0.20 ,$0.05 
 Funeral Charm,B, Visions,C,$4.99 ,$0.50 ,$0.17 
 Giant Caterpillar,3G, Visions,C,$0.99 ,$0.19 ,$0.03 
 Goblin Recruiter,1R, Visions,U,$14.89 ,$7.95 ,$5.25 
 Goblin Swine-Rider,R, Visions,C,$0.99 ,$0.19 ,$0.03 
 Gossamer Chains,WW, Visions,C,$0.99 ,$0.21 ,$0.08 
 Griffin Canyon,, Visions,R,$19.99 ,$2.10 ,$1.07 
 Guiding Spirit,1WU, Visions,R,$19.99 ,$1.44 ,$0.66 
 Hearth Charm,R, Visions,C,$2.49 ,$0.20 ,$0.04 
 Heat Wave,2R, Visions,U,$4.99 ,$0.25 ,$0.05 
 Helm of Awakening,2, Visions,U,$16.49 ,$4.13 ,$1.67 
 Honorable Passage,1W, Visions,U,$4.99 ,$0.24 ,$0.05 
 Hope Charm,W, Visions,C,$4.99 ,$0.19 ,$0.05 
 Hulking Cyclops,3RR, Visions,U,$1.99 ,$0.24 ,$0.04 
 Impulse,1U, Visions,C,$4.99 ,$0.48 ,$0.20 
 Infantry Veteran,W, Visions,C,$1.80 ,$0.18 ,$0.03 
 Infernal Harvest,1B, Visions,C,$1.81 ,$0.20 ,$0.02 
 Inspiration,3U, Visions,C,$2.50 ,$0.20 ,$0.03 
 Iron-Heart Chimera,4, Visions,U,$2.50 ,$0.25 ,$0.05 
 Jamuraan Lion,2W, Visions,C,$1.18 ,$0.20 ,$0.04 
 Juju Bubble,1, Visions,U,$1.87 ,$0.25 ,$0.05 
 Jungle Basin,, Visions,U,$4.99 ,$0.34 ,$0.14 
 Kaervek's Spite,BBB, Visions,R,$19.99 ,$0.94 ,$0.39 
 Karoo,, Visions,U,$4.99 ,$0.38 ,$0.10 
 Katabatic Winds,2G, Visions,R,$19.99 ,$0.89 ,$0.43 
 Keeper of Kookus,R, Visions,C,$0.94 ,$0.20 ,$0.04 
 King Cheetah,3G, Visions,C,$0.94 ,$0.19 ,$0.04 
 Knight of the Mists,2U, Visions,C,$2.99 ,$0.20 ,$0.03 
 Knight of Valor,2W, Visions,C,$0.99 ,$0.20 ,$0.04 
 Kookus,3RR, Visions,R,$19.99 ,$0.50 ,$0.25 
 Kyscu Drake,3G, Visions,U,$2.99 ,$0.24 ,$0.05 
 Lead-Belly Chimera,4, Visions,U,$2.50 ,$0.24 ,$0.07 
 Lichenthrope,3GG, Visions,R,$19.99 ,$0.50 ,$0.24 
 Lightning Cloud,3R, Visions,R,$19.99 ,$0.50 ,$0.22 
 Longbow Archer,WW, Visions,U,$4.99 ,$0.27 ,$0.09 
 Magma Mine,1, Visions,U,$2.99 ,$0.25 ,$0.06 
 Man-o'-War,2U, Visions,C,$1.00 ,$0.24 ,$0.07 
 Matopi Golem,5, Visions,U,$1.85 ,$0.24 ,$0.05 
 Miraculous Recovery,4W, Visions,U,$4.99 ,$0.30 ,$0.08 
 Mob Mentality,R, Visions,U,$1.99 ,$0.32 ,$0.11 
 Mortal Wound,G, Visions,C,$0.99 ,$0.19 ,$0.03 
 Mundungu,1UB, Visions,U,$4.99 ,$0.29 ,$0.09 
 Mystic Veil,1U, Visions,C,$1.20 ,$0.20 ,$0.05 
 Natural Order,2GG, Visions,R,$28.76 ,$21.93 ,$16.00 
 Necromancy,2B, Visions,U,$99.99 ,$17.67 ,$14.17 
 Necrosavant,3BBB, Visions,R,$9.99 ,$0.40 ,$0.08 
 Nekrataal,2BB, Visions,U,$4.99 ,$0.29 ,$0.10 
 Ogre Enforcer,3RR, Visions,R,$19.99 ,$0.48 ,$0.20 
 Ovinomancer,2U, Visions,U,$1.99 ,$0.25 ,$0.09 
 Panther Warriors,4G, Visions,C,$9.60 ,$0.20 ,$0.04 
 Parapet,1W, Visions,C,$9.60 ,$0.20 ,$0.04 
 Peace Talks,1W, Visions,U,$9.99 ,$0.25 ,$0.10 
 Phyrexian Marauder,X, Visions,R,$19.99 ,$1.20 ,$0.60 
 Phyrexian Walker,0, Visions,C,$5.00 ,$0.59 ,$0.24 
 Pillar Tombs of Aku,2BB, Visions,R,$19.99 ,$0.60 ,$0.25 
 Prosperity,XU, Visions,U,$9.99 ,$1.19 ,$0.39 
 Pygmy Hippo,GU, Visions,R,$19.99 ,$1.70 ,$0.80 
 Python,1BB, Visions,C,$0.99 ,$0.19 ,$0.03 
 Quicksand,, Visions,U,$4.99 ,$0.28 ,$0.10 
 Quirion Druid,2G, Visions,R,$19.99 ,$0.86 ,$0.32 
 Quirion Ranger,G, Visions,C,$16.49 ,$3.25 ,$2.19 
 Raging Gorilla,2R, Visions,C,$1.18 ,$0.20 ,$0.03 
 Rainbow Efreet,3U, Visions,R,$19.99 ,$0.93 ,$0.46 
 Relentless Assault,2RR, Visions,R,$9.99 ,$1.45 ,$0.57 
 Relic Ward,1W, Visions,U,$2.49 ,$0.24 ,$0.07 
 Remedy,1W, Visions,C,$0.99 ,$0.20 ,$0.02 
 Resistance Fighter,W, Visions,C,$1.36 ,$0.20 ,$0.04 
 Retribution of the Meek,2W, Visions,R,$39.99 ,$13.20 ,$9.19 
 Righteous Aura,1W, Visions,C,$1.46 ,$0.22 ,$0.08 
 Righteous War,1WB, Visions,R,$249.99 ,$2.08 ,$1.13 
 River Boa,1G, Visions,C,$2.99 ,$0.25 ,$0.08 
 Rock Slide,XR, Visions,C,$1.81 ,$0.20 ,$0.03 
 Rowen,2GG, Visions,R,$9.99 ,$0.48 ,$0.20 
 Sands of Time,4, Visions,R,$19.99 ,$2.20 ,$0.64 
 Scalebane's Elite,3WG, Visions,U,$2.99 ,$0.25 ,$0.05 
 Shimmering Efreet,2U, Visions,U,$1.99 ,$0.25 ,$0.10 
 Shrieking Drake,U, Visions,C,$9.99 ,$1.70 ,$0.75 
 Simoon,RG, Visions,U,$1.99 ,$0.24 ,$0.06 
 Sisay's Ring,4, Visions,C,$8.69 ,$0.64 ,$0.24 
 Snake Basket,4, Visions,R,$16.49 ,$1.47 ,$0.75 
 Solfatara,2R, Visions,C,$9.60 ,$0.20 ,$0.04 
 Song of Blood,1R, Visions,C,$1.18 ,$0.20 ,$0.05 
 Spider Climb,G, Visions,C,$0.94 ,$0.20 ,$0.03 
 Spitting Drake,3R, Visions,U,$1.07 ,$0.23 ,$0.06 
 Squandered Resources,BG, Visions,R,$249.99 ,$26.20 ,$20.26 
 Stampeding Wildebeests,2GG, Visions,U,$2.99 ,$0.25 ,$0.07 
 Suleiman's Legacy,RW, Visions,R,$19.99 ,$0.71 ,$0.26 
 Summer Bloom,1G, Visions,U,$9.99 ,$1.42 ,$0.75 
 Sun Clasp,1W, Visions,C,$1.08 ,$0.19 ,$0.05 
 Suq'Ata Assassin,1BB, Visions,U,$1.99 ,$0.28 ,$0.10 
 Suq'Ata Lancer,2R, Visions,C,$0.94 ,$0.19 ,$0.04 
 Talruum Champion,4R, Visions,C,$1.00 ,$0.19 ,$0.04 
 Talruum Piper,4R, Visions,U,$1.99 ,$0.25 ,$0.06 
 Tar Pit Warrior,2B, Visions,C,$0.99 ,$0.20 ,$0.03 
 Teferi's Honor Guard,2W, Visions,U,$4.99 ,$0.24 ,$0.05 
 Teferi's Puzzle Box,4, Visions,R,$49.99 ,$8.50 ,$5.00 
 Teferi's Realm,1UU, Visions,R,$249.99 ,$2.23 ,$0.95 
 Tempest Drake,1WU, Visions,U,$2.99 ,$0.25 ,$0.05 
 Three Wishes,1UU, Visions,R,$249.99 ,$1.35 ,$0.50 
 Time and Tide,UU, Visions,U,$4.99 ,$0.25 ,$0.05 
 Tin-Wing Chimera,4, Visions,U,$1.84 ,$0.25 ,$0.06 
 Tithe,W, Visions,R,$44.99 ,$23.00 ,$16.00 
 Tremor,R, Visions,C,$0.99 ,$0.19 ,$0.02 
 Triangle of War,1, Visions,R,$19.99 ,$0.94 ,$0.50 
 Uktabi Orangutan,2G, Visions,U,$9.99 ,$0.26 ,$0.10 
 Undiscovered Paradise,, Visions,R,$99.99 ,$18.98 ,$5.48 
 Undo,1UU, Visions,C,$0.99 ,$0.20 ,$0.05 
 Urborg Mindsucker,2B, Visions,C,$0.94 ,$0.19 ,$0.03 
 Vampiric Tutor,B, Visions,R,$119.99 ,$99.99 ,$89.99 
 Vampirism,1B, Visions,U,$1.07 ,$0.25 ,$0.04 
 Vanishing,U, Visions,C,$9.99 ,$0.39 ,$0.10 
 Viashino Sandstalker,1RR, Visions,U,$2.99 ,$0.25 ,$0.05 
 Viashivan Dragon,2RRGG, Visions,R,$19.99 ,$0.76 ,$0.38 
 Vision Charm,U, Visions,C,$4.99 ,$0.25 ,$0.10 
 Wake of Vultures,3B, Visions,C,$0.94 ,$0.19 ,$0.04 
 Wand of Denial,2, Visions,R,$9.99 ,$0.42 ,$0.10 
 Warrior's Honor,2W, Visions,C,$1.80 ,$0.19 ,$0.02 
 Warthog,1GG, Visions,C,$1.81 ,$0.19 ,$0.03 
 Waterspout Djinn,2UU, Visions,U,$1.99 ,$0.24 ,$0.06 
 Wicked Reward,1B, Visions,C,$0.94 ,$0.20 ,$0.03 
 Wind Shear,2G, Visions,U,$1.82 ,$0.24 ,$0.04 
 Zhalfirin Crusader,1WW, Visions,R,$19.99 ,$0.68 ,$0.28 
