Name,Cost,Set Name,R,  High  ,  Med  ,  Low  
 Boar // Food (15) Double-sided Token,, Throne of Eldraine,T,5.5,0.36,0.21
 Boar // Food (16) Double-sided Token,, Throne of Eldraine,T,5,1.49,0.35
 Boar // Food (17) Double-sided Token,, Throne of Eldraine,T,5.5,2.04,1.7
 Boar // Food (18) Double-sided Token,, Throne of Eldraine,T,18.89,0.83,0.59
 Boar Token,, Throne of Eldraine,T,1.7,0.15,0.03
 Bog Naughty,3BB, Throne of Eldraine,U,5,0.21,0.01
 Bonecrusher Giant,2R, Throne of Eldraine,R,5.99,2.28,1.06
 Bonecrusher Giant (Showcase),2R, Throne of Eldraine,R,14.11,2.99,1.69
 Bramblefort Fink,1G, Throne of Eldraine,U,3.99,0.25,0.08
 Brazen Borrower,1UU // 1U, Throne of Eldraine,M,22.99,12.99,9.01
 Brazen Borrower (Showcase),1UU // 1U, Throne of Eldraine,M,38.93,25.17,21.21
 Brimstone Trebuchet,2R, Throne of Eldraine,C,1.7,0.15,0.01
 Burning-Yard Trainer,4R, Throne of Eldraine,U,99,0.23,0.01
 Castle Ardenvale,, Throne of Eldraine,R,4.1,0.74,0.15
 Castle Ardenvale (Extended Art),, Throne of Eldraine,R,90.73,6.19,2.75
 Castle Embereth,, Throne of Eldraine,R,4.1,1,0.4
 Castle Embereth (Extended Art),, Throne of Eldraine,R,12.21,5.59,3
 Castle Garenbrig,, Throne of Eldraine,R,6.98,1.94,0.75
 Castle Garenbrig (Extended Art),, Throne of Eldraine,R,34.28,13.23,9.99
 Castle Locthwain,, Throne of Eldraine,R,6,1.91,0.88
 Castle Locthwain (Extended Art),, Throne of Eldraine,R,49.99,10.68,7.25
 Castle Vantress,, Throne of Eldraine,R,4.98,1.73,0.99
 Castle Vantress (Extended Art),, Throne of Eldraine,R,22,9.99,7.1
 Cauldron Familiar,B, Throne of Eldraine,U,3.01,0.27,0.05
 Cauldron's Gift,4B, Throne of Eldraine,U,100,0.22,0.02
 Charmed Sleep,1UU, Throne of Eldraine,C,100,0.15,0.01
 Charming Prince,1W, Throne of Eldraine,R,5.1,1,0.4
 Charming Prince (Extended Art),1W, Throne of Eldraine,R,34,8,4.85
 Chittering Witch,3B, Throne of Eldraine,R,6.5,2.15,0.78
" Chulane, Teller of Tales",2GWU, Throne of Eldraine,M,39.99,11.59,7.33
 Clackbridge Troll,3BB, Throne of Eldraine,R,7.99,0.51,0.2
 Clackbridge Troll (Extended Art),3BB, Throne of Eldraine,R,30,3.99,1.99
 Claim the Firstborn,R, Throne of Eldraine,U,1.7,0.25,0.04
 Clockwork Servant,3, Throne of Eldraine,U,100,0.2,0.01
 Command Tower,, Throne of Eldraine,C,5,1.75,0.8
 Corridor Monitor,1U, Throne of Eldraine,C,100,0.15,0.01
 Covetous Urge,(U/B)(U/B)(U/B)(U/B), Throne of Eldraine,U,5,0.2,0.01
 Crashing Drawbridge,2, Throne of Eldraine,C,100,0.15,0.01
 Crystal Slipper,1R, Throne of Eldraine,C,100,0.15,0.01
 Curious Pair,1G, Throne of Eldraine,C,1.7,0.15,0.01
 Curious Pair (Showcase),1G, Throne of Eldraine,C,8.19,0.53,0.17
 Dance of the Manse,XWU, Throne of Eldraine,R,5,0.99,0.27
 Dance of the Manse (Extended Art),XWU, Throne of Eldraine,R,25,5.86,3.74
 Deafening Silence,W, Throne of Eldraine,U,4.99,0.69,0.17
 Deathless Knight,(B/G)(B/G)(B/G)(B/G), Throne of Eldraine,U,5,0.2,0.05
 Didn't Say Please,1UU, Throne of Eldraine,C,1.7,0.15,0.01
 Doom Foretold,2WB, Throne of Eldraine,R,5,0.7,0.05
 Doom Foretold (Extended Art),2WB, Throne of Eldraine,R,20.98,4.55,1.5
 Drown in the Loch,UB, Throne of Eldraine,U,7.99,1.89,0.46
 Dwarf // Food (15) Double-sided Token,, Throne of Eldraine,T,5.5,1.98,1.49
 Dwarf // Food (16) Double-sided Token,, Throne of Eldraine,T,3.25,1.71,1.29
 Dwarf // Food (17) Double-sided Token,, Throne of Eldraine,T,5.5,2,1.65
 Dwarf // Food (18) Double-sided Token,, Throne of Eldraine,T,3.76,2.77,2.09
 Dwarf Token,, Throne of Eldraine,T,1.7,0.19,0.03
 Dwarven Mine,, Throne of Eldraine,C,1.7,0.15,0.03
 Edgewall Innkeeper,G, Throne of Eldraine,U,5,0.27,0.05
 Elite Headhunter,(B/R)(B/R)(B/R)(B/R), Throne of Eldraine,U,6,0.19,0.01
 Embercleave,4RR, Throne of Eldraine,M,25.98,14.97,10.94
 Embercleave (Extended Art),4RR, Throne of Eldraine,M,49.99,25.68,20.53
 Embereth Paladin,3R, Throne of Eldraine,C,100,0.15,0.01
 Embereth Shieldbreaker,1R, Throne of Eldraine,U,5,0.24,0.04
 Embereth Shieldbreaker (Showcase),1R/R, Throne of Eldraine,U,7.99,0.39,0.05
 Embereth Skyblazer,3R, Throne of Eldraine,R,5.5,0.75,0.37
" Emblem - Garruk, Cursed Huntsman",, Throne of Eldraine,T,1.14,0.24,0.03
" Emry, Lurker of the Loch",2U, Throne of Eldraine,R,19.95,5.19,3
" Emry, Lurker of the Loch (Extended Art)",2U, Throne of Eldraine,R,59.95,25,18.15
 Enchanted Carriage,5, Throne of Eldraine,U,5,0.23,0.01
 Epic Downfall,1B, Throne of Eldraine,U,5,0.24,0.02
 Escape to the Wilds,3RG, Throne of Eldraine,R,3,0.34,0.03
 Escape to the Wilds (Extended Art),3RG, Throne of Eldraine,R,29,2.49,0.95
 Eye Collector,B, Throne of Eldraine,C,100,0.15,0.01
 Fabled Passage,, Throne of Eldraine,R,29.99,19.22,15
 Fabled Passage (Extended Art),, Throne of Eldraine,R,100,39.99,35
 Fae of Wishes,3U, Throne of Eldraine,R,5.67,1.19,0.65
 Fae of Wishes (Showcase),3U, Throne of Eldraine,R,10.12,2.61,1.15
 Faeburrow Elder,1GW, Throne of Eldraine,R,6.98,1.35,0.45
 Faeburrow Elder (Extended Art),1GW, Throne of Eldraine,R,99.99,10.68,8.63
 Faerie // Food (15) Double-sided Token,, Throne of Eldraine,T,3,1.47,1
 Faerie // Food (16) Double-sided Token,, Throne of Eldraine,T,5.5,1.89,1.39
 Faerie // Food (17) Double-sided Token,, Throne of Eldraine,T,3.45,1.58,1
 Faerie // Food (18) Double-sided Token,, Throne of Eldraine,T,2.68,1.5,0.99
 Faerie Formation,4U, Throne of Eldraine,R,14.99,3.67,2.01
 Faerie Guidemother,1W, Throne of Eldraine,C,100,0.15,0.01
 Faerie Guidemother (Showcase),1W, Throne of Eldraine,C,5.4,1,0.3
 Faerie Token,, Throne of Eldraine,T,0.99,0.25,0.07
 Faerie Vandal,1U, Throne of Eldraine,U,5,0.24,0.05
 Feasting Troll King,2GGGG, Throne of Eldraine,R,5,0.74,0.2
 Feasting Troll King (Extended Art),2GGGG, Throne of Eldraine,R,20.9,3.99,1.75
 Fell the Pheasant,1G, Throne of Eldraine,C,100,0.15,0.01
 Ferocity of the Wilds,2R, Throne of Eldraine,U,5,0.2,0.01
 Fervent Champion,R, Throne of Eldraine,R,7.9,2,0.95
 Fervent Champion (Extended Art),R, Throne of Eldraine,R,194.29,8.17,4.25
 Festive Funeral,4B, Throne of Eldraine,C,150,0.15,0.01
 Fierce Witchstalker,2GG, Throne of Eldraine,C,1.7,0.15,0.01
 Fireborn Knight,(R/W)(R/W)(R/W)(R/W), Throne of Eldraine,U,1.7,0.2,0.01
 Fires of Invention,3R, Throne of Eldraine,R,100,2.69,1.25
 Fires of Invention (Extended Art),3R, Throne of Eldraine,R,19.78,10,8.62
 Flaxen Intruder,G/5GG, Throne of Eldraine,U,5,0.24,0.04
 Flaxen Intruder (Showcase),G/5GG, Throne of Eldraine,U,6.49,0.3,0.01
 Fling,2R, Throne of Eldraine,C,100,0.15,0.01
 Flutterfox,1W, Throne of Eldraine,C,100,0.15,0.01
 Folio of Fancies,1U, Throne of Eldraine,R,5,0.38,0.12
 Folio of Fancies (Extended Art),1U, Throne of Eldraine,R,49.94,3,1.85
 Food Token,, Throne of Eldraine,T,1.7,0.15,0.04
 Food Token (16),, Throne of Eldraine,T,0.99,0.15,0.04
 Food Token (17),, Throne of Eldraine,T,1.7,0.15,0.04
 Food Token (18),, Throne of Eldraine,T,1.7,0.15,0.03
 Foreboding Fruit,2B, Throne of Eldraine,C,100,0.15,0.01
 Forest,, Throne of Eldraine,L,0.96,0.2,0.04
 Forest (267),, Throne of Eldraine,L,0.92,0.14,0.03
 Forest (268),, Throne of Eldraine,L,150,0.14,0.02
 Forest (269),, Throne of Eldraine,L,0.92,0.14,0.03
 Forever Young,1B, Throne of Eldraine,C,100,0.15,0.01
 Fortifying Provisions,2W, Throne of Eldraine,C,100,0.15,0.01
 Foulmire Knight,B/2B, Throne of Eldraine,U,5,0.3,0.02
 Foulmire Knight (Showcase),B/2B, Throne of Eldraine,U,5.15,0.52,0.08
 Frogify,1U, Throne of Eldraine,U,5,0.21,0.02
" Gadwick, the Wizened",XUUU, Throne of Eldraine,R,5,0.5,0.14
" Gadwick, the Wizened (Extended Art)",XUUU, Throne of Eldraine,R,72,4.96,2.48
 Garenbrig Carver,3G, Throne of Eldraine,C,100,0.15,0.01
 Garenbrig Carver (Showcase),3G, Throne of Eldraine,C,4.62,0.38,0.1
 Garenbrig Paladin,4G, Throne of Eldraine,C,150,0.15,0.01
 Garenbrig Squire,1G, Throne of Eldraine,C,100,0.15,0.01
 Garrison Griffin,2W, Throne of Eldraine,C,2.99,0.24,0.01
" Garruk, Cursed Huntsman",4BG, Throne of Eldraine,M,29.99,7.79,5.25
" Garruk, Cursed Huntsman (Borderless)",4BG, Throne of Eldraine,M,249.99,17.87,12.98
 Giant // Food (15) Double-sided Token,, Throne of Eldraine,T,3.25,1.6,1.19
 Giant // Food (16) Double-sided Token,, Throne of Eldraine,T,5.5,1.31,1.12
 Giant // Food (17) Double-sided Token,, Throne of Eldraine,T,5.5,1.73,0.99
 Giant // Food (18) Double-sided Token,, Throne of Eldraine,T,3.22,0.99,0.49
 Giant Killer,2W, Throne of Eldraine,R,4,0.35,0.1
 Giant Killer (Showcase),2W, Throne of Eldraine,R,4.89,0.76,0.04
 Giant Opportunity,2G, Throne of Eldraine,U,5,0.22,0.02
 Giant Token,, Throne of Eldraine,T,1.7,0.16,0.04
 Giant's Skewer,1B, Throne of Eldraine,C,5,0.15,0.01
 Gilded Goose,G, Throne of Eldraine,R,9.95,5.11,3.75
 Gilded Goose (Extended Art),G, Throne of Eldraine,R,68.89,17,14.45
 Gingerbread Cabin,, Throne of Eldraine,C,1.7,0.15,0.03
 Gingerbrute,1, Throne of Eldraine,C,1.7,0.16,0.04
 Glass Casket,1W, Throne of Eldraine,U,5,0.25,0.04
 Gluttonous Troll,2BG, Throne of Eldraine,R,5.5,0.99,0.34
 Goat // Food (15) Double-sided Token,, Throne of Eldraine,T,14.99,2.79,2.29
 Goat // Food (16) Double-sided Token,, Throne of Eldraine,T,3.29,1,0.74
 Goat // Food (17) Double-sided Token,, Throne of Eldraine,T,5.5,2.82,2.48
 Goat Token,, Throne of Eldraine,T,1.7,0.25,0.04
 Golden Egg,G, Throne of Eldraine,C,100,0.15,0.01
" Grumgully, the Generous",1RG, Throne of Eldraine,U,5,0.25,0.05
 Happily Ever After,2W, Throne of Eldraine,R,3.01,0.33,0.03
 Happily Ever After (Extended Art),2W, Throne of Eldraine,R,19.99,2.99,1.44
 Harmonious Archon,4WW, Throne of Eldraine,M,9.99,1.16,0.44
 Harmonious Archon (Extended Art),4WW, Throne of Eldraine,M,57.97,5.83,2.25
 Henge Walker,3, Throne of Eldraine,C,100,0.15,0.01
 Heraldic Banner,3, Throne of Eldraine,U,1.91,0.25,0.05
 Human // Food (15) Double-sided Token,, Throne of Eldraine,T,3.48,1.18,0.75
 Human // Food (16) Double-sided Token,, Throne of Eldraine,T,5.5,1.2,0.91
 Human // Food (17) Double-sided Token,, Throne of Eldraine,T,2.98,1,0.5
 Human // Food (18) Double-sided Token,, Throne of Eldraine,T,5.5,1.95,0.95
 Human Cleric // Food (15) Double-sided Token,, Throne of Eldraine,T,5.5,4,2.95
 Human Cleric // Food (16) Double-sided Token,, Throne of Eldraine,T,4.74,2.68,2.25
 Human Cleric // Food (18) Double-sided Token,, Throne of Eldraine,T,3.7,3.35,2.99
 Human Cleric Token,, Throne of Eldraine,T,1.7,0.2,0.03
 Human Rogue // Food (16) Double-sided Token,, Throne of Eldraine,T,3.99,2.49,2
 Human Rogue // Food (18) Double-sided Token,, Throne of Eldraine,T,2.01,1.99,1.69
 Human Rogue Token,, Throne of Eldraine,T,0.99,0.19,0.03
 Human Token,, Throne of Eldraine,T,1.7,0.15,0.03
 Human Warrior // Food (16) Double-sided Token,, Throne of Eldraine,T,4.33,3,2.51
 Human Warrior // Food (18) Double-sided Token,, Throne of Eldraine,T,5.5,1,0.79
 Human Warrior Token,, Throne of Eldraine,T,1.7,0.18,0.04
 Hushbringer,1W, Throne of Eldraine,R,7.41,1.04,0.53
 Hushbringer (Extended Art),1W, Throne of Eldraine,R,14.99,7.52,3.49
 Hypnotic Sprite,UU, Throne of Eldraine,U,5,0.25,0.04
 Hypnotic Sprite (Showcase),UU, Throne of Eldraine,U,29,0.49,0.17
 Idyllic Grange,, Throne of Eldraine,C,1.7,0.15,0.01
 Improbable Alliance,UR, Throne of Eldraine,U,5,0.25,0.04
 Inquisitive Puppet,1, Throne of Eldraine,U,5,0.2,0.01
 Insatiable Appetite,1G, Throne of Eldraine,C,100,0.15,0.01
 Inspiring Veteran,RW, Throne of Eldraine,U,5,0.28,0.04
 Into the Story,5UU, Throne of Eldraine,U,5,0.3,0.09
 Irencrag Feat,1RRR, Throne of Eldraine,R,5,0.49,0.18
 Irencrag Feat (Extended Art),1RRR, Throne of Eldraine,R,11.5,3.6,2.7
 Irencrag Pyromancer,2R, Throne of Eldraine,R,100,0.76,0.34
 Irencrag Pyromancer (Extended Art),2R, Throne of Eldraine,R,9.99,3.99,2.53
 Island,, Throne of Eldraine,L,1.03,0.25,0.05
 Island (255),, Throne of Eldraine,L,150,0.14,0.04
 Island (256),, Throne of Eldraine,L,1.01,0.15,0.04
 Island (257),, Throne of Eldraine,L,1.01,0.15,0.01
 Joust,1R, Throne of Eldraine,U,5,0.2,0.01
 Jousting Dummy,2, Throne of Eldraine,C,150,0.15,0.01
 Keeper of Fables,3GG, Throne of Eldraine,U,5,0.22,0.03
 Kenrith's Transformation,1G, Throne of Eldraine,U,5,0.25,0.04
" Kenrith, the Returned King (Non-Foil)",4W, Throne of Eldraine,M,25,13.18,8.5
 Knight // Food (15) Double-sided Token,, Throne of Eldraine,T,3,1,0.39
 Knight // Food (16) Double-sided Token,, Throne of Eldraine,T,3.25,1.65,1.23
 Knight // Food (17) Double-sided Token,, Throne of Eldraine,T,3.25,1.45,0.94
 Knight // Food (18) Double-sided Token,, Throne of Eldraine,T,5.5,1,0.45
 Knight of the Keep,2W, Throne of Eldraine,C,100,0.15,0.01
 Knight Token,, Throne of Eldraine,T,1.7,0.15,0.03
 Knights' Charge,1WB, Throne of Eldraine,R,38.99,5.99,4.2
" Korvold, Fae-Cursed King",2BRG, Throne of Eldraine,M,29.99,10.75,7
 Lash of Thorns,B, Throne of Eldraine,C,100,0.15,0.01
" Linden, the Steadfast Queen",WWW, Throne of Eldraine,R,95,0.35,0.1
" Linden, the Steadfast Queen (Extended Art)",WWW, Throne of Eldraine,R,23.9,3.29,1.02
 Loch Dragon,(U/R)(U/R)(U/R)(U/R), Throne of Eldraine,U,5,0.2,0.01
 Lochmere Serpent,4UB, Throne of Eldraine,R,3.99,0.35,0.05
 Lochmere Serpent (Extended Art),4UB, Throne of Eldraine,R,28.12,4,1.98
 Locthwain Gargoyle,1, Throne of Eldraine,C,100,0.15,0.01
 Locthwain Paladin,3B, Throne of Eldraine,C,100,0.15,0.01
 Lonesome Unicorn,4W, Throne of Eldraine,C,100,0.15,0.01
 Lonesome Unicorn (Showcase),4W, Throne of Eldraine,C,5.27,0.61,0.09
 Lost Legion,1BB, Throne of Eldraine,C,100,0.15,0.01
 Lovestruck Beast,2G/G, Throne of Eldraine,R,3.99,0.65,0.05
 Lovestruck Beast (Showcase),2G/G, Throne of Eldraine,R,7.02,1.58,0.54
 Lucky Clover,2, Throne of Eldraine,U,1.7,0.35,0.05
 Mace of the Valiant,2W, Throne of Eldraine,R,21.99,1.99,0.79
 Mad Ratter,3R, Throne of Eldraine,U,5,0.2,0.02
 Malevolent Noble,1B, Throne of Eldraine,C,150,0.15,0.01
 Mantle of Tides,U, Throne of Eldraine,C,150,0.15,0.02
 Maraleaf Pixie,GU, Throne of Eldraine,U,5,0.2,0.04
 Maraleaf Rider,1G, Throne of Eldraine,C,1.7,0.15,0.01
 Memory Theft,2B, Throne of Eldraine,C,150,0.15,0.01
 Merchant of the Vale,2R, Throne of Eldraine,C,1.7,0.2,0.01
 Merchant of the Vale (Showcase),2R, Throne of Eldraine,C,9.99,2.46,1.31
 Merfolk Secretkeeper,U // U, Throne of Eldraine,C,1.7,0.17,0.03
 Merfolk Secretkeeper (Showcase),U // U, Throne of Eldraine,C,9.41,1.75,0.7
 Midnight Clock,2U, Throne of Eldraine,R,5,0.47,0.1
 Midnight Clock (Extended Art),2U, Throne of Eldraine,R,249.99,3.52,1.56
 Mirrormade,1UU, Throne of Eldraine,R,5,1.48,0.5
 Mirrormade (Extended Art),1UU, Throne of Eldraine,R,37.99,9.5,6
 Mistford River Turtle,3U, Throne of Eldraine,C,100,0.15,0.01
 Moonlit Scavengers,5U, Throne of Eldraine,C,150,0.15,0.01
 Mountain,, Throne of Eldraine,L,0.96,0.19,0.03
 Mountain (263),, Throne of Eldraine,L,1.01,0.14,0.03
 Mountain (264),, Throne of Eldraine,L,1.01,0.15,0.02
 Mountain (265),, Throne of Eldraine,L,150,0.15,0.01
 Mouse // Food (15) Double-sided Token,, Throne of Eldraine,T,5.5,1.66,0.98
 Mouse // Food (16) Double-sided Token,, Throne of Eldraine,T,2.84,1,0.87
 Mouse // Food (17) Double-sided Token,, Throne of Eldraine,T,2.95,1.4,0.99
 Mouse // Food (18) Double-sided Token,, Throne of Eldraine,T,5.5,0.99,0.73
 Mouse Token,, Throne of Eldraine,T,1.7,0.15,0.05
 Murderous Rider,1BB, Throne of Eldraine,R,15.99,7.95,4.95
 Murderous Rider (Showcase),1BB, Throne of Eldraine,R,25,10,7
 Mysterious Pathlighter,2W, Throne of Eldraine,U,100,0.2,0.01
 Mystic Sanctuary,, Throne of Eldraine,C,3.01,0.5,0.15
 Mystical Dispute,2U, Throne of Eldraine,U,1.99,0.37,0.05
 Oakhame Adversary,3G, Throne of Eldraine,U,5,0.2,0.04
 Oakhame Ranger,(G/W)(G/W)(G/W)(G/W), Throne of Eldraine,U,1.7,0.21,0.01
 Oakhame Ranger (Showcase),(G/W)(G/W)(G/W)(G/W), Throne of Eldraine,U,6.49,0.31,0.04
 Oathsworn Knight,1BB, Throne of Eldraine,R,5.21,0.4,0.05
 Oathsworn Knight (Extended Art),1BB, Throne of Eldraine,R,9.99,2.91,0.93
 Ogre Errant,3R, Throne of Eldraine,C,150,0.15,0.01
 Oko's Accomplices,2U, Throne of Eldraine,C,1.88,0.2,0.05
 Oko's Hospitality,3GU, Throne of Eldraine,R,6,0.43,0.01
" Oko, the Trickster",4GU, Throne of Eldraine,M,29.99,2.96,1.04
" Oko, Thief of Crowns",1GU, Throne of Eldraine,M,88.94,60,49.98
" Oko, Thief of Crowns (Borderless)",1GU, Throne of Eldraine,M,249.99,82.5,69.2
 On An Adventure Emblem,, Throne of Eldraine,T,0.99,0.15,0.01
 Once and Future,3G, Throne of Eldraine,U,5,0.2,0.02
 Once Upon a Time,1G, Throne of Eldraine,R,24.88,17,14.17
 Once Upon a Time (Extended Art),1G, Throne of Eldraine,R,69.99,38.98,28.92
 Opportunistic Dragon,2RR, Throne of Eldraine,R,5,0.32,0.05
 Opportunistic Dragon (Extended Art),2RR, Throne of Eldraine,R,12.89,2.31,0.99
 Opt,U, Throne of Eldraine,C,5,0.2,0.01
 Order of Midnight,1B/1B, Throne of Eldraine,U,5,0.25,0.05
 Order of Midnight (Showcase),1B/1B, Throne of Eldraine,U,6.99,0.92,0.33
 Outflank,W, Throne of Eldraine,C,100,0.15,0.01
 Outlaws' Merriment,1RWW, Throne of Eldraine,M,9.99,1.25,0.59
 Outlaws' Merriment (Extended Art),1RWW, Throne of Eldraine,M,14.95,5.76,3.6
 Outmuscle,3G, Throne of Eldraine,C,100,0.15,0.01
 Overwhelmed Apprentice,U, Throne of Eldraine,U,5,0.25,0.01
 Piper of the Swarm,1B, Throne of Eldraine,R,4.93,0.42,0.05
 Piper of the Swarm (Extended Art),1B, Throne of Eldraine,R,249.99,3.24,1.58
 Plains,, Throne of Eldraine,L,1.03,0.19,0.03
 Plains (251),, Throne of Eldraine,L,1.01,0.15,0.01
 Plains (252),, Throne of Eldraine,L,1.01,0.14,0.03
 Plains (253),, Throne of Eldraine,L,1.01,0.15,0.03
 Prized Griffin,4W, Throne of Eldraine,C,100,0.15,0.01
 Prophet of the Peak,6, Throne of Eldraine,C,150,0.15,0.01
 Queen of Ice,2U // 1U, Throne of Eldraine,C,100,0.15,0.01
 Queen of Ice (Showcase),2U // 1U, Throne of Eldraine,C,8.39,0.94,0.19
 Questing Beast,2GG, Throne of Eldraine,M,1000,36.99,29.99
 Questing Beast (Extended Art),2GG, Throne of Eldraine,M,84.99,59.99,48
 Raging Redcap,2R, Throne of Eldraine,C,100,0.15,0.01
 Rally for the Throne,2W, Throne of Eldraine,U,100,0.2,0.01
 Rampart Smasher,(R/G)(R/G)(R/G)(R/G), Throne of Eldraine,U,5,0.19,0.01
" Rankle, Master of Pranks",2BB, Throne of Eldraine,M,17.98,8.99,7.49
" Rankle, Master of Pranks (Extended Art)",2BB, Throne of Eldraine,M,249.99,19.88,15
 Rat // Food (15) Double-sided Token,, Throne of Eldraine,T,5.5,1.61,1.29
 Rat // Food (16) Double-sided Token,, Throne of Eldraine,T,3.25,1.35,0.77
 Rat // Food (17) Double-sided Token,, Throne of Eldraine,T,3.25,1.49,1.21
 Rat // Food (18) Double-sided Token,, Throne of Eldraine,T,3.99,1.26,0.95
 Rat Token,, Throne of Eldraine,T,0.99,0.25,0.06
 Realm-Cloaked Giant,5WW // 3WW, Throne of Eldraine,M,14.99,4.05,2.28
 Realm-Cloaked Giant (Showcase),5WW // 3WW, Throne of Eldraine,M,19.99,9.59,8
 Reaper of Night,5BB // 3B, Throne of Eldraine,C,150,0.15,0.01
 Reaper of Night (Showcase),5BB // 3B, Throne of Eldraine,C,9.8,0.5,0.15
 Reave Soul,1B, Throne of Eldraine,C,100,0.15,0.01
 Redcap Melee,R, Throne of Eldraine,U,5,0.21,0.02
 Redcap Raiders,2R, Throne of Eldraine,C,150,0.15,0.01
 Resolute Rider,(W/B)(W/B)(W/B)(W/B), Throne of Eldraine,U,1.7,0.19,0.01
 Return of the Wildspeaker,4G, Throne of Eldraine,R,5,0.4,0.06
 Return of the Wildspeaker (Extended Art),4G, Throne of Eldraine,R,26.34,3.4,1.85
 Return to Nature,1G, Throne of Eldraine,C,100,0.15,0.01
 Revenge of Ravens,3B, Throne of Eldraine,U,5,0.25,0.03
 Righteousness,W, Throne of Eldraine,U,100,0.21,0.01
 Rimrock Knight,1R // R, Throne of Eldraine,C,1.7,0.15,0.01
 Rimrock Knight (Showcase),1R // R, Throne of Eldraine,C,50,0.75,0.2
 Robber of the Rich,1R, Throne of Eldraine,M,28.99,4.97,3.04
 Robber of the Rich (Extended Art),1R, Throne of Eldraine,M,49.95,10.06,6
 Rosethorn Acolyte,2G, Throne of Eldraine,C,100,0.15,0.01
 Rosethorn Acolyte (Showcase),2G, Throne of Eldraine,C,7.12,0.74,0.2
 Rosethorn Halberd,G, Throne of Eldraine,C,100,0.15,0.01
 Roving Keep,7, Throne of Eldraine,C,150,0.15,0.01
 Rowan's Battleguard,3R, Throne of Eldraine,U,2.99,0.25,0.02
 Rowan's Stalwarts,4R, Throne of Eldraine,R,7.99,0.49,0.11
" Rowan, Fearless Sparkmage",3RR, Throne of Eldraine,M,29.99,2.53,1.48
 Run Away Together,1U, Throne of Eldraine,C,100,0.15,0.01
 Sage of the Falls,4U, Throne of Eldraine,U,5,0.2,0.02
 Savvy Hunter,1BG, Throne of Eldraine,U,5,0.24,0.04
 Scalding Cauldron,1, Throne of Eldraine,C,150,0.15,0.01
 Scorching Dragonfire,1R, Throne of Eldraine,C,100,0.15,0.01
 Searing Barrage,4R, Throne of Eldraine,C,100,0.15,0.01
 Seven Dwarves,1R, Throne of Eldraine,C,1.89,0.2,0.01
 Shambling Suit,3, Throne of Eldraine,U,5,0.2,0.01
 Shepherd of the Flock,1W, Throne of Eldraine,U,1.7,0.24,0.04
 Shepherd of the Flock (Showcase),1W, Throne of Eldraine,U,5.15,0.35,0.05
 Shimmer Dragon,4UU, Throne of Eldraine,R,29.99,5.97,3.25
 Shinechaser,1WU, Throne of Eldraine,U,5,0.2,0.01
 Shining Armor,1W, Throne of Eldraine,C,100,0.15,0.01
 Signpost Scarecrow,4, Throne of Eldraine,C,150,0.15,0.01
