HHuniqueID,DefaultOnRecord,RecentBalance,HHInsurance,CarLoan
HHf5dc303bdb,0,-402,1,0
HH9ed4c29e13,0,3904,0,0
HH4df40f8db8,0,1123,0,0
HH7fd2ad651a,0,159,0,0
HH53f4ec50cd,0,5,1,1
HH5183ac1e85,0,3289,0,0
HH031400227a,0,391,1,0
HH53e2c5eab2,0,854,0,0
HH68ea78a2b4,0,7111,1,0
HH62a0b673fd,0,0,1,0
HH3ffff1b607,0,3109,0,0
HHcaddfd7c5d,0,129,0,0
HH6ba8a9c6ce,0,569,0,0
HHffba30578e,0,4466,1,0
HH1ca4dde0f1,0,1521,1,1
HHf28a9cb962,0,8038,1,0
HH632ba6f235,0,116,0,0
HHa1c75cca2a,0,641,0,0
HHc8baf51f2c,0,2020,0,0
HH021b6ec2cc,0,208,0,0
HH28cf708b70,0,52587,0,0
HH473d543aa5,0,2561,0,0
HHcf399ce0f5,0,82,1,0
HHa690c3f539,0,729,0,1
HH1b351133b6,0,273,0,0
HHddc5d7e1fe,0,2840,0,0
HH2db0b81ec2,0,253,0,1
HHe5e4af9a76,0,2921,0,0
HHa9ff3f516a,0,16178,1,0
HH0191cb3776,0,0,0,0
HH3986c74e6d,0,557,1,0
HHc6bed78d0e,0,4348,1,0
HH23a510c2ae,0,683,1,0
HH7911908e5f,0,1579,0,0
HHe8596d0ee4,0,2827,1,0
HH296a4e224c,0,0,0,0
HHe6991eb235,0,108,0,0
HHaf0d83fd13,0,243,1,1
HHff9a453dad,0,-27,1,1
HH5443a0a55d,0,205,0,0
HHcf17506547,0,0,0,0
HH76dd8f3b41,0,497,0,0
HH321761e5bc,0,985,1,0
HHa569e6af2b,0,3739,0,0
HHe0e5e582c2,0,6784,0,0
HH6259f2e9b4,0,-9,1,1
HHe2853124d0,0,0,0,0
HHba8db7a8ff,0,113,0,0
HH5e6e0ae9db,0,118,0,0
HHce47eed4c4,0,595,1,0
HH9897cfd4d3,0,0,0,0
HHbe3282ce15,0,3143,0,0
HHca0aa680ee,0,53,1,0
HH123d7db239,0,1447,1,1
HHf1d86989da,0,6385,1,0
HH6afc323f25,0,3186,0,0
HH219229fcf8,0,290,1,0
HHeb03604bff,0,8163,0,0
HHa3e56aae92,0,13551,0,0
HH40820fe861,0,431,0,0
HHc9ac431ea5,0,711,0,0
HH558096884f,0,0,0,0
HHb4f205e933,0,7108,1,1
HHdfad080c87,1,4,0,0
HHf05d4b176d,0,3658,1,0
HH3e6a18fed0,0,699,0,0
HHfe44c2824d,0,8491,1,0
HHecbb8e2404,0,423,1,1
HHabd552c2f1,0,0,0,0
HHea022a4f06,0,790,1,0
HHc4e5de9ec3,0,341,0,0
HH47caf686f8,0,582,1,0
HHa245ba88a0,0,623,0,0
HH91e64bf99e,0,1045,0,0
HH8873e09b65,0,0,1,0
HHfde106c458,0,281,0,0
HHf9ff823453,0,-295,1,0
HHb4620fea14,0,160,0,0
HH4e8aefe1bf,0,134,1,1
HHa74f268554,0,472,1,0
HHd9c5f4942c,0,-95,1,0
HH47935c3434,0,0,1,0
HH5817008489,0,179,0,1
HHa0040d1fcd,0,0,0,0
HHe2866c9c03,0,641,1,0
HH4021859473,0,3041,1,0
HH8a46fd890f,0,502,1,0
HH18e857c28d,0,2531,0,0
HHd9d5e47bf3,0,218,1,1
HH478a0f5e9a,0,11115,0,0
HH7b9259e459,0,-119,1,0
HH27f9cc5243,0,158,0,0
HH0d22fbf44b,0,70,0,0
HHc2485f4a17,0,3735,0,0
HH868f4f6c5e,0,8553,1,0
HHeec2db88da,0,84,1,0
HH03e62d8039,0,942,0,0
HH3193e2f279,0,68,1,1
HHafd62e69da,0,459,1,0
HHf327ab65df,0,1070,0,0
HH5c28b19014,0,3400,1,0
HH5f7a65815d,0,1730,1,0
HH25dfa64c45,0,6993,1,0
HHf3578790e1,0,1529,1,0
HHeccf75afc3,0,-547,0,0
HHcc427f7650,0,168,1,0
HH3cdb02e5fe,0,891,0,0
HH0766aa6450,0,-119,1,0
HH1625fc4a02,0,1181,1,0
HHd703976689,0,2630,0,0
HHdd216b074f,0,2696,0,0
HH70b07429c3,0,0,1,0
HHb67df5ab83,0,-130,1,0
HHc2b5ea1fdb,0,-244,1,0
HHc43880e05c,0,711,1,0
HHcf437e4320,0,184,0,1
HHe20c4429db,0,1830,0,0
HH57ac27e32f,0,649,0,0
HHffeac33a29,0,480,0,1
HH5eb01c469f,1,720,0,1
HH5c611964fd,0,-33,1,1
HHd7eca1899c,0,762,0,0
HHe6a062c6fa,0,1415,1,0
HHeffe070ee9,0,14,1,0
HH2c0b287274,0,742,0,0
HHc713eeffe1,0,0,0,0
HH84705ae3b8,0,5,0,0
HHe2799373cc,0,114,1,0
HHb0e6b52aae,0,3249,1,0
HH67d4ee25ab,0,440,0,0
HHbb9f5b9086,0,201,0,0
HHce483106f5,0,1090,0,0
HHe31ea43851,0,-584,0,0
HH1eea4fcd2f,0,2055,1,0
HHa76bf0ae6d,0,697,0,0
HH1adbc9e4b6,0,120,1,0
HHcd31f16dc8,1,1,1,0
HHcc10e8a88a,0,76,1,0
HH8e34dd6335,1,-333,0,1
HHc2c24b98ca,0,1382,0,0
HH3974ea80c1,0,804,1,1
HHfbee1c21ee,0,87,0,0
HH57c5f44785,0,514,0,0
HH9ef4a0b898,0,0,0,0
HHbe57db1aa0,0,4951,0,0
HH8fe736f6ad,0,1160,1,0
HH9c42f584d9,0,0,0,0
HH3cceee68ec,0,799,0,1
HH38c23bfce6,0,105,0,0
HH1997893c91,0,166,0,0
HH067ee31675,0,903,1,0
HH59d4cca396,0,0,0,1
HH0cc871a380,0,64,1,0
HHc325db4303,0,457,0,0
HH994ba0159c,0,42,1,0
HH4004995a9b,0,220,0,0
HHa1959a9af5,0,279,1,0
HHa48683c666,0,275,0,1
HH6a3965ff4b,0,0,0,0
HH610edac5c8,0,2344,1,0
HH37d5c03e67,0,8,0,0
HHcf5e0f281f,0,3737,0,0
HH9189bfb995,0,147,0,0
HH409a605f75,0,1631,1,0
HH51ff3589e3,0,1779,0,0
HHd9c844fcfa,0,933,1,0
HH94d5e6cfb6,0,394,0,0
HHcf895f335f,0,1227,0,0
HH797ec13894,0,805,0,0
HH963f85d3f1,0,722,0,0
HH1aa10d1b70,0,0,1,0
HH0168eeef96,0,46,0,0
HHc6302d4a4c,0,555,1,1
HHcdf373e1be,0,1,1,0
HHb6e7997ab2,0,3,1,0
HHb0d046a270,0,17056,1,0
HHcb04f98695,0,1255,1,0
HH2f2ea1e268,0,386,0,0
HH663a641cfa,0,0,1,0
HHeb6c7aceac,0,94,0,0
HHaf638a4dc5,0,725,1,0
HH2b770c9b00,0,1568,1,0
HHa7587ee9e6,0,152,0,0
HH5d022527bd,0,28,1,0
HH6dcec70aaf,0,438,1,0
HH4974d1ad75,0,29340,0,0
HH5e14622e47,0,-105,1,0
HH748f3fc904,0,535,0,0
HHe7226352b9,0,797,1,0
HHb298f22e9b,0,985,0,0
HH2eb693e15c,0,1297,0,0
HH256a956d59,0,-46,1,0
HHc2e23b1231,0,2240,1,0
HH1b58db9ea0,0,829,0,0
HH0fbfbe7bea,0,110,1,0
HH2c210940a5,0,47,1,0
HHe918894929,0,885,1,0
HHc4149cfcda,0,0,0,0
HH0f3a7bdae1,0,536,1,0
HH7ed674c73a,0,137,0,0
HH32b4848fe9,0,170,1,0
HH6bcc3b4a5d,0,-297,1,0
HH3fa8a7aa9d,0,53,1,0
HH44b683a192,0,1245,0,0
HH557e060326,0,480,0,0
HH4ea56bc13b,0,1750,1,0
HH43b2afc841,0,5,0,0
HH0dde819c86,0,4182,1,0
HHfc1ce031dc,0,241,1,0
HHd98708d67f,0,49,1,0
HH0efedb211c,0,0,0,0
HH467f56079b,0,458,0,0
HH53e37f22e4,0,1101,1,0
HH51b93a5ae5,0,9,1,0
HHdb48b5e27e,0,49,1,0
HHe52a3685d6,0,625,1,0
HHa9da9595f9,0,1110,1,0
HHed900baf21,0,138,1,0
HHfa500aebde,0,3,0,0
HH73f17b79da,0,180,1,0
HH970eea9336,0,5086,0,0
HH37e25675e0,0,1052,1,0
HH62fb8689b8,0,0,0,0
HH649cec12a5,0,322,1,0
HH96e57b6cd8,0,647,1,1
HH6b842aa08e,0,10613,0,1
HH026f72a1a5,0,136,0,1
HH6f4d4e2a00,0,612,0,0
HHa28ecc1559,0,434,1,0
HH7e92b9e7fa,0,1168,1,0
HH765ba90acd,0,4,1,0
HHceb202e456,0,480,0,0
HHed8237f6dc,0,4787,0,0
HHf92e9d0e23,0,2685,0,0
HHdddc75988b,0,187,0,0
HHdfe0650776,0,216,0,0
HHb054345625,0,-363,1,0
HHd5e5c3144d,0,93,0,0
HH8dbd5e6cf7,0,3870,1,0
HH4e5aaa9029,0,298,0,0
HH5fb3869dda,0,249,0,0
HHcdcfba5966,0,0,1,1
HH18b1ee61d6,0,1216,1,0
HH0616d973f6,0,1265,1,0
HHb89580239b,0,143,0,0
HH17b73bf4a7,0,0,1,1
HH2fcf2580cc,0,4721,0,0
HHde15803d8b,0,5909,1,0
HH9b27dc597c,0,1737,0,0
HH11172b7529,0,1262,1,1
HH90da9d746f,0,1849,1,0
HH9187b6111a,0,448,0,0
HH4d13c51933,0,0,0,0
HH24c2ea8286,0,221,1,0
HH1dc977c1b0,0,157,1,0
HH3485112c40,0,882,0,1
HH4ad484d15d,0,3950,1,0
HHeec8d6638b,0,814,1,0
HH2eec84443f,0,-19,1,0
HH7de56e7ab8,0,0,1,0
HH53ac541bd3,0,674,1,0
HH1333099837,0,451,1,0
HHefd26beae1,0,992,0,0
HHa4ebce9cc0,0,0,0,0
HH01aaaf84c8,0,608,1,1
HH9b0691c964,0,387,1,0
HHa75111cded,0,4775,0,0
HH4ce2f3f173,0,62,1,0
HH733a5276e0,0,2704,1,0
HH45f6a024b9,0,-75,1,0
HH92e83ef693,0,-324,0,1
HH13a59c0ffe,0,1729,0,0
HH4907cd9914,0,387,1,0
HH299c337847,0,9,1,0
HHb0833f6c03,0,0,1,0
HHbabac78145,0,129,1,1
HH74a18df6f0,0,678,1,0
HH8f4b54b915,0,19313,0,0
HH24970dcb5b,0,2551,1,0
HH85bcca1c92,0,2923,0,0
HH79d38c8c24,0,0,1,0
HH332d71bc88,0,2062,1,0
HHbfd3209b1e,0,119,1,0
HHfd6aa1b938,0,1231,1,0
HH9e1d07bd66,0,108,0,0
HH623f62e616,0,1047,0,0
HHd023247c1c,0,19,0,0
HH608e1d0e0a,0,33,1,0
HH8fc3dab251,0,204,1,0
HH6ccaf226ff,0,0,0,1
HH3902263577,0,808,0,0
HH46530b0fbd,0,272,1,0
HH304d928881,0,983,1,0
HH03c194f387,0,3177,0,0
HH32fa9617d4,0,-258,1,0
HH55f41271ec,0,669,1,0
HH96422530c8,0,121,0,0
HH9d3f9fa410,0,62,1,0
HH78d43df7b3,0,34,1,0
HH67aa8dc38d,0,208,0,0
HHaa352f8a83,0,0,0,0
HH4416cd21fd,0,948,0,0
HHa91e81bacb,0,2,1,1
HHfb6009687a,0,169,1,0
HH86147ddf98,0,913,1,0
HHc5c20ec3cc,0,0,0,0
HH6056a01976,0,1072,0,1
HH6a03a7750b,0,2149,1,0
HH7cfea59df4,0,1299,1,0
HH0e6bcdbca0,0,728,1,1
HH1ac57dda1e,0,24,1,0
HH79440cc7d0,0,1519,0,0
HH921c11a974,0,0,0,0
HH26d4816895,0,799,0,0
HHe17e6fe48b,0,36,0,0
HH0c1211e588,0,631,0,0
HH4f97d7d564,0,286,0,0
HH03bafe9e57,0,536,1,0
HH98c5f1b68a,0,265,1,0
HH98193da48a,0,202,1,0
HHaa73d65b2e,0,538,0,0
HHe3d6418208,0,-97,1,0
HH35024df9a7,0,0,0,0
HHfa57afce56,0,1981,1,0
HHd10bbd5367,0,0,1,0
HHc72f932c5b,0,789,1,1
HH32da664105,0,455,1,0
HH878aa59cf1,0,108,0,0
HHbabdf65a96,0,77,1,0
HH7dd9a4a8cc,0,350,1,0
HH8eee72fe2b,0,624,0,0
HHe3766c9e1d,0,505,1,0
HH61c4d13455,0,3784,0,0
HHeddf75cb9f,0,830,1,0
HH3df26df760,0,791,1,1
HHee0da8af7e,0,4465,1,0
HH302f9c60d5,0,0,0,0
HH66157fb041,0,718,1,0
HH14078490b0,0,1790,1,0
HH952393661f,0,2913,0,0
HHd6eb986c82,0,5455,1,0
HH10dcf2e364,0,1,1,0
HH14be4f2234,0,408,0,0
HH69a23d6a63,0,981,0,0
HHc0307bc866,0,6596,1,0
HH74b8cbf21a,0,3779,0,0
HHf547afc7f7,0,20772,0,0
HH6f8d0d647a,0,786,0,0
HH0d5205ea7c,0,28,0,0
HH31be0336df,0,284,0,1
HHf0956cc4ab,0,516,1,0
HH26581bfe69,0,155,1,0
HH554150a915,0,-191,1,1
HH400574b755,0,17,0,0
HH3af253f1ec,0,795,0,0
HHe44d9ed35d,0,331,0,0
HH5e8c926323,0,846,0,0
HHff5abf655e,0,12264,0,0
HH04de84df71,0,292,1,1
HH1d9e1a7fff,0,95,1,0
HHd5254f1696,0,775,0,0
HHf3f88680dc,0,6402,1,0
HH08ca74d5dc,0,275,0,0
HHd20fbbd33e,0,489,1,0
HH53d3dbe403,0,599,1,0
HHf62cc18620,0,1429,1,0
HH9fdabeeacd,0,2416,1,0
HH7917a9766f,0,380,0,0
HHd820cdb050,0,0,0,0
HH6c790beb23,0,223,1,0
HHa4ebd6e88a,0,654,0,0
HH2497453b43,0,2261,1,0
HH928ffe8514,0,410,1,0
HHcc57e0e738,0,177,1,0
HH5c7a961966,0,2163,0,0
HHf72fa22b4d,0,320,1,0
HH681de77718,0,254,0,0
HH9494c2f703,0,240,0,0
HHb44038c457,0,-72,1,0
HH2486ecbc87,0,535,0,0
HHc54fb79c97,0,-1730,1,1
HHab842ae8ab,0,1364,0,0
HH77895f0552,0,344,1,1
HH262da601e1,0,412,1,0
HH6c2a1d8447,0,393,0,0
HHd0e5a8d057,0,603,1,1
HH8261fbea40,0,5715,0,0
HHc2531bf867,0,2257,0,1
HHe740740ce6,0,1190,1,0
HH04ecea50c5,0,86,0,0
HH616f670450,0,0,0,0
HH8445aecb5a,0,2589,0,0
HH215a20a3c6,0,201,1,0
HHbad18c57a2,0,1522,0,1
HH187e59cc96,0,1429,1,0
HHbfdefebbf7,0,7724,0,0
HH1d2c1f3d69,0,3136,1,0
HHaad29d15db,0,19,0,0
HH6ac34b4d75,0,10576,0,0
HH767d1eb324,0,927,0,0
HH4100e25d27,0,203,0,0
HH513e014405,0,41,0,0
HH3cc5839cbf,0,38,0,0
HHdd39d9b761,0,8412,0,0
HH83ea81cb99,0,324,0,0
HH4e553d3fec,0,3623,0,0
HH693c0ca95d,0,1221,1,0
HHdf093f7dd3,0,3123,1,0
HH9a341435d0,0,13711,1,0
HH58781b1860,0,-106,1,1
HH02675ce6be,0,0,0,0
HH3e7ba09901,0,422,0,0
HH75aae8812e,0,693,0,0
HH55eeea6294,0,1152,0,0
HH1010b83f22,0,2143,1,1
HHd1b22e6288,0,1035,0,0
HHebe410178c,0,1081,0,0
HHb891e039f7,0,566,1,0
HHf03a65ad03,0,142,1,0
HH1994f3fba2,0,560,0,0
HH01a6c09dee,1,-1007,1,1
HH1afc2e2b53,0,867,1,0
HH8852b3c39f,0,-228,1,1
HH31cf50595a,0,1742,0,0
HH47eb7e5e58,0,169,0,0
HH816883e7c3,0,26,0,0
HH9acc48605a,0,-23,0,1
HHb924997828,0,621,1,0
HH8df1369592,0,1624,0,0
HHa10512cfcb,0,346,1,0
HH6d222f31cc,0,1027,0,0
HH71735c743f,0,189,1,0
HHd1812e91f5,0,247,0,0
HH0d964df497,0,142,1,1
HH30f6ab4b6b,0,534,0,0
HH069245ac93,0,294,1,1
HHc2356bcaee,0,-393,1,1
HHd5496b5ca4,0,3384,0,0
HH08c529fccd,0,2812,0,0
HH86dccf6961,0,107,1,1
HH014da9314d,0,3610,1,0
HH028dc36324,0,684,1,0
HHfd331cb508,0,603,0,1
HH60abea3f3e,0,49,1,0
HH793f7bc0e4,0,-403,0,1
HHd29d4e86da,0,867,1,0
HH8eb4fe70b9,0,50,0,0
HH0083f9d484,0,2525,0,0
HH6fcddcf2be,0,505,1,1
HHf917e9c442,0,5,0,0
HH6761963976,0,512,1,0
HH0b593c2b85,0,6450,1,0
HH02b7a71e41,0,2915,0,0
HHb38fbc5761,0,2576,1,0
HHa54003b012,0,661,1,0
HH73cb02c4d9,0,37,0,0
HH8f31a01f07,0,0,1,0
HH8ad034a422,0,136,1,0
HHff35ed00c6,0,108,1,1
HH65d951c860,0,2416,0,0
HH87063b55ae,0,1364,1,0
HHd98c78dce8,0,2144,1,0
HHa208b3c5fd,0,732,0,0
HH50f9320bce,0,0,1,0
HH0c57aca7cc,0,383,1,0
HH863a7b6310,0,306,1,0
HH690f950fcf,0,459,0,0
HH71196592b5,0,1085,0,1
HH55d9ae6a9c,0,216,0,0
HHa684cd11d7,0,314,1,0
HHc78da3fed1,0,4695,0,0
HHd49ec03074,0,25,1,1
HHbae0366443,0,1356,1,0
HH20b0d31083,0,1941,1,0
HHdd5aafd2f5,0,-285,1,1
HH5a7fde7e77,0,320,1,0
HHb46595a35b,0,2040,1,0
HHb82aa380fe,0,4917,1,1
HH786580bbe7,0,100,0,0
HH44fb7f881d,0,4312,0,0
HH08d37c31c6,0,2987,1,0
HH1e7ffdf60d,0,200,0,0
HHb29e91c84d,0,5,1,0
HH99828465ad,0,46,0,0
HHe870b00868,0,180,1,1
HH30f3a1aff4,0,46,1,1
HH138e41d66f,0,320,1,0
HH45c47b859c,0,161,0,0
HHe89451bd04,0,11,1,0
HH4b9aec9c66,0,-970,1,0
HHa828a0c52f,0,0,0,0
HH82299208e8,0,1490,0,0
HH567f5c89f8,0,774,0,0
HH248262d6d9,1,-61,0,1
HHaa340e53e5,0,397,1,1
HHc96c81e6f4,0,3611,0,0
HH95486e7442,0,466,1,0
HHc52c3a831d,0,2232,0,0
HH9dede973f2,0,2605,0,0
HH68ba79fce0,0,15561,1,0
HH63f8684065,0,-165,0,1
HH784ce5b9d6,0,3732,1,0
HH4a146c33f9,0,4718,0,0
HHc68a19bb37,0,25,0,1
HHb2272593f1,0,6,1,0
HH3389cf7cac,0,3107,0,1
HH5099100364,0,56,0,0
HHbd197332f7,0,2885,1,0
HHc657addfad,0,630,0,0
HH3ee2cf00fd,0,5969,0,0
HHe087398b51,0,12067,0,0
HHd767b53f2a,0,46,0,0
HH6910377870,0,241,0,0
HH1feb8c41f1,0,3,1,0
HH6a2b59a414,0,521,0,0
HH63ed51314b,0,1167,1,0
HH45e2699ded,0,1293,0,0
HHba89955cbd,0,-1206,1,0
HHad377fc59e,0,1796,0,0
HHa2b12f73c1,0,109,1,0
HH7fef01efa6,0,993,0,0
HHa7018f748b,0,420,0,0
HH6cf9e94420,0,-327,1,0
HH035e04301b,0,722,1,0
HHe6539d02d0,0,-522,1,1
HHd91f99be42,0,197,0,0
HH3fa3f13107,0,941,1,0
HHa58c8de131,0,171,1,0
HH75eb719b02,0,4204,0,0
HHbff5966e20,0,2152,0,0
HH3f152c7d4b,0,593,1,1
HH1a1d68622c,0,2266,0,0
HHcd643159c5,0,-271,1,1
HH54a84f4940,0,328,1,0
HH641220ddc7,0,529,1,1
HHfba2e85fe2,0,771,1,0
HHfc47d7c964,0,417,0,0
HH8df9b40f02,0,797,1,0
HHf6e61e73bb,0,322,1,0
HHce932bf9c0,0,2169,1,0
HHad1135eaea,0,400,1,0
HH14a11ec0b8,0,172,0,0
HH4d2dce56de,0,3498,0,0
HH217a90f756,0,2305,0,0
HHcd247eab1b,0,1051,0,0
HH115a28298d,0,11516,0,0
HH70b9b7cd45,0,1625,0,0
HH396adcd7af,0,1017,0,0
HH4c52d56259,0,78,1,1
HH0c5d6ee0d5,0,866,0,0
HH5ce626d344,0,874,1,0
HH2127d2c74a,0,-191,1,0
HHb930cdc92b,0,98,1,0
HH5d7539520b,0,224,0,1
HHb7140b172e,0,600,0,1
HHc1239afe78,0,5253,0,0
HH6aabaa8877,0,3068,1,1
HHaad625f60a,0,2167,1,0
HH0db8599630,0,0,0,0
HH5fdb059d5a,0,1017,0,0
HHb780811611,0,1818,1,1
HH5f66de6807,0,290,0,1
HHc035629ce6,0,3091,1,0
HHf3398ac67f,0,1288,1,0
HHeb30d320a3,0,-24,1,1
HHbc505be0e1,0,-286,1,0
HH91282fc4ee,0,0,1,0
HH88c7602b22,0,5903,1,0
HH8e90740b32,0,105,1,0
HHacb70132df,0,104,0,1
HHc8a65eac74,0,289,1,0
HH54f4323942,0,2218,1,0
HH660e2f285f,0,3528,0,0
HHe34d2b7130,0,36,1,0
HH5d0a28e0e7,0,668,1,0
HH2e365c2be7,0,399,1,1
HHaf7bbbe8a2,0,1588,1,0
HH052db190c1,1,-247,0,0
HHc9adfa1d99,0,946,1,0
HHb1d81adeb1,0,-295,1,0
HH749f554391,0,1679,0,0
HHae8dcb3eec,0,566,1,0
HHc539ece9d4,0,1727,0,0
HH5fc28ec73a,0,0,0,0
HH0ce80ad1ee,0,3713,0,0
HH162654aaee,0,2139,0,0
HHed59c280ef,0,1077,1,0
HHfe19e5d8b0,0,994,0,0
HH2412de169c,0,192,1,0
HH03f7d75637,0,141,1,0
HHe7088e755d,0,628,1,0
HHbe4b5328ab,0,262,0,0
HH0137bd8dfd,0,66,0,1
HH5fd280d977,0,543,1,0
HH15fa701b70,0,0,0,0
HH82ac0028b3,0,191,0,0
HH34bc50116b,0,-435,1,0
HHd262244299,0,780,0,0
HHbb765fc4f6,0,231,1,0
HHe95dbab52c,0,1781,0,0
HHf3cfd9579e,0,2223,0,0
HH6f64d60e14,0,101,1,0
HH7b409ca9c6,0,665,1,0
HH7fb003d60a,0,7098,0,0
HH21ca9a8df5,0,828,0,1
HH2571a2d651,0,6964,0,0
HH15e67586ce,0,501,1,1
HH35e6237e6f,0,187,0,0
HH3624aa022a,0,863,1,0
HH4befe3a25b,0,895,1,0
HHc7ea7f26e0,0,150,1,0
HH380d186426,0,133,0,0
HH6f33e1e4f4,0,74,1,0
HH3993d463d7,0,1384,1,0
HHa7467a4a61,0,1894,1,0
HH2c006c6044,0,920,0,0
HHc70c846639,0,13014,0,0
HHdecc2e4f4a,0,288,0,0
HHc479623ac5,0,0,1,0
HH9d449c31eb,0,62,1,1
HHb211d5e186,0,160,0,0
HH67e712b9c4,0,388,1,0
HH45d2882354,0,882,0,0
HH1c697a073e,0,5517,1,1
HH568a453021,0,391,1,1
HHe0ba8dd6ec,0,1373,0,0
