"word","sentiment"
"aching","negative"
"aching","sadness"
"acid","negative"
"acknowledgment","positive"
"acquire","positive"
"acquiring","anticipation"
"acquiring","positive"
"acrobat","fear"
"acrobat","joy"
"acrobat","positive"
"acrobat","trust"
"action","positive"
"actionable","anger"
"actionable","disgust"
"actionable","negative"
"actual","positive"
"acuity","positive"
"acumen","positive"
"adapt","positive"
"adaptable","positive"
"adder","anger"
"adder","disgust"
"adder","fear"
"adder","negative"
"adder","sadness"
"addiction","negative"
"addresses","anticipation"
"addresses","positive"
"adept","positive"
"adequacy","positive"
"adhering","trust"
"adipose","negative"
"adjudicate","fear"
"adjudicate","negative"
"adjunct","positive"
"administrative","trust"
"admirable","joy"
"admirable","positive"
"admirable","trust"
"admiral","positive"
"admiral","trust"
"admiration","joy"
"admiration","positive"
"admiration","trust"
"admire","positive"
"admire","trust"
"admirer","positive"
"admissible","positive"
"admissible","trust"
"admonition","fear"
"admonition","negative"
"adorable","joy"
"adorable","positive"
"adoration","joy"
"adoration","positive"
"adoration","trust"
"adore","anticipation"
"adore","joy"
"adore","positive"
"adore","trust"
"adrift","anticipation"
"adrift","fear"
"adrift","negative"
"adrift","sadness"
"adulterated","negative"
"adultery","disgust"
"adultery","negative"
"adultery","sadness"
"advance","anticipation"
"advance","fear"
"advance","joy"
"advance","positive"
"advance","surprise"
"advanced","positive"
"advancement","positive"
"advantage","positive"
"advantageous","positive"
"advent","anticipation"
"advent","joy"
"advent","positive"
"advent","trust"
"adventure","anticipation"
"adventure","positive"
"adventurous","positive"
"adversary","anger"
"adversary","negative"
"adverse","anger"
"adverse","disgust"
"adverse","fear"
"adverse","negative"
"adverse","sadness"
"adversity","anger"
"adversity","fear"
"adversity","negative"
"adversity","sadness"
"advice","trust"
"advisable","positive"
"advisable","trust"
"advise","positive"
"advise","trust"
"advised","trust"
"adviser","positive"
"adviser","trust"
"advocacy","anger"
"advocacy","anticipation"
"advocacy","joy"
"advocacy","positive"
"advocacy","trust"
"advocate","trust"
"aesthetic","positive"
"aesthetics","joy"
"aesthetics","positive"
"affable","positive"
"affection","joy"
"affection","positive"
"affection","trust"
"affiliated","positive"
"affirm","positive"
"affirm","trust"
"affirmation","positive"
"affirmative","positive"
"affirmatively","positive"
"affirmatively","trust"
"afflict","fear"
"afflict","negative"
"afflict","sadness"
"afflicted","negative"
"affliction","disgust"
"affliction","fear"
"affliction","negative"
"affliction","sadness"
"affluence","joy"
"affluence","positive"
"affluent","positive"
"afford","positive"
"affront","anger"
"affront","disgust"
"affront","fear"
"affront","negative"
"affront","sadness"
"affront","surprise"
"afraid","fear"
"afraid","negative"
"aftermath","anger"
"aftermath","disgust"
"aftermath","fear"
"aftermath","negative"
"aftermath","sadness"
"aftertaste","negative"
"aga","fear"
"aga","positive"
"aga","trust"
"aggravated","anger"
"aggravated","negative"
"aggravating","anger"
"aggravating","negative"
"aggravating","sadness"
"aggravation","anger"
"aggravation","disgust"
"aggravation","negative"
"aggression","anger"
"aggression","fear"
"aggression","negative"
"aggressive","anger"
"aggressive","fear"
"aggressive","negative"
"aggressor","anger"
"aggressor","fear"
"aggressor","negative"
"aghast","disgust"
"aghast","fear"
"aghast","negative"
"aghast","surprise"
"agile","positive"
"agility","positive"
"agitated","anger"
"agitated","negative"
"agitation","anger"
"agitation","negative"
"agonizing","fear"
"agonizing","negative"
"agony","anger"
"agony","fear"
"agony","negative"
"agony","sadness"
"agree","positive"
"agreeable","positive"
"agreeable","trust"
"agreed","positive"
"agreed","trust"
"agreeing","positive"
"agreeing","trust"
"agreement","positive"
"agreement","trust"
"agriculture","positive"
"aground","negative"
"ahead","positive"
"aid","positive"
"aiding","positive"
"ail","negative"
"ail","sadness"
"ailing","fear"
"ailing","negative"
"ailing","sadness"
"aimless","negative"
"airport","anticipation"
"airs","disgust"
"airs","negative"
"akin","trust"
"alabaster","positive"
"alarm","fear"
"alarm","negative"
"alarm","surprise"
"alarming","fear"
"alarming","negative"
"alarming","surprise"
"alb","trust"
"alcoholism","anger"
"alcoholism","disgust"
"alcoholism","fear"
"alcoholism","negative"
"alcoholism","sadness"
"alertness","anticipation"
"alertness","fear"
"alertness","positive"
"alertness","surprise"
"alerts","anticipation"
"alerts","fear"
"alerts","surprise"
"alien","disgust"
"alien","fear"
"alien","negative"
"alienate","anger"
"alienate","disgust"
"alienate","negative"
"alienated","negative"
"alienated","sadness"
"alienation","anger"
"alienation","disgust"
"alienation","fear"
"alienation","negative"
"alienation","sadness"
"alimentation","positive"
"alimony","negative"
"alive","anticipation"
"alive","joy"
"alive","positive"
"alive","trust"
"allay","positive"
"allegation","anger"
"allegation","negative"
"allege","negative"
"allegiance","positive"
"allegiance","trust"
"allegro","positive"
"alleviate","positive"
"alleviation","positive"
"alliance","trust"
"allied","positive"
"allied","trust"
"allowable","positive"
"allure","anticipation"
"allure","joy"
"allure","positive"
"allure","surprise"
"alluring","positive"
"ally","positive"
"ally","trust"
"almighty","positive"
"aloha","anticipation"
"aloha","joy"
"aloha","positive"
"aloof","negative"
"altercation","anger"
"altercation","negative"
"amaze","surprise"
"amazingly","joy"
"amazingly","positive"
"amazingly","surprise"
"ambassador","positive"
"ambassador","trust"
"ambiguous","negative"
"ambition","anticipation"
"ambition","joy"
"ambition","positive"
"ambition","trust"
"ambulance","fear"
"ambulance","trust"
"ambush","anger"
"ambush","fear"
"ambush","negative"
"ambush","surprise"
"ameliorate","positive"
"amen","joy"
"amen","positive"
"amen","trust"
"amenable","positive"
"amend","positive"
"amends","positive"
"amenity","positive"
"amiable","positive"
"amicable","joy"
"amicable","positive"
"ammonia","disgust"
"amnesia","negative"
"amnesty","joy"
"amnesty","positive"
"amortization","trust"
"amour","anticipation"
"amour","joy"
"amour","positive"
"amour","trust"
"amphetamines","disgust"
"amphetamines","negative"
"amuse","joy"
"amuse","positive"
"amused","joy"
"amused","positive"
"amusement","joy"
"amusement","positive"
"amusing","joy"
"amusing","positive"
"anaconda","disgust"
"anaconda","fear"
"anaconda","negative"
"anal","negative"
"analyst","anticipation"
"analyst","positive"
"analyst","trust"
"anarchism","anger"
"anarchism","fear"
"anarchism","negative"
"anarchist","anger"
"anarchist","fear"
"anarchist","negative"
"anarchy","anger"
"anarchy","fear"
"anarchy","negative"
"anathema","anger"
"anathema","disgust"
"anathema","fear"
"anathema","negative"
"anathema","sadness"
"ancestral","trust"
"anchor","positive"
"anchorage","positive"
"anchorage","sadness"
"ancient","negative"
"angel","anticipation"
"angel","joy"
"angel","positive"
"angel","surprise"
"angel","trust"
"angelic","joy"
"angelic","positive"
"angelic","trust"
"anger","anger"
"anger","negative"
"angina","fear"
"angina","negative"
"angling","anticipation"
"angling","negative"
"angry","anger"
"angry","disgust"
"angry","negative"
"anguish","anger"
"anguish","fear"
"anguish","negative"
"anguish","sadness"
"animate","positive"
"animated","joy"
"animated","positive"
"animosity","anger"
"animosity","disgust"
"animosity","fear"
"animosity","negative"
"animosity","sadness"
"animus","anger"
"animus","negative"
"annihilate","anger"
"annihilate","fear"
"annihilate","negative"
"annihilated","anger"
"annihilated","fear"
"annihilated","negative"
"annihilated","sadness"
"annihilation","anger"
"annihilation","fear"
"annihilation","negative"
"annihilation","sadness"
"announcement","anticipation"
"annoy","anger"
"annoy","disgust"
"annoy","negative"
"annoyance","anger"
"annoyance","disgust"
"annoyance","negative"
"annoying","anger"
"annoying","negative"
"annul","negative"
"annulment","negative"
"annulment","sadness"
"anomaly","fear"
"anomaly","negative"
"anomaly","surprise"
"anonymous","negative"
"answerable","trust"
"antagonism","anger"
"antagonism","negative"
"antagonist","anger"
"antagonist","negative"
"antagonistic","anger"
"antagonistic","disgust"
"antagonistic","negative"
"anthrax","disgust"
"anthrax","fear"
"anthrax","negative"
"anthrax","sadness"
"antibiotics","positive"
"antichrist","anger"
"antichrist","disgust"
"antichrist","fear"
"antichrist","negative"
"anticipation","anticipation"
"anticipatory","anticipation"
"antidote","anticipation"
"antidote","positive"
"antidote","trust"
"antifungal","positive"
"antifungal","trust"
"antipathy","anger"
"antipathy","disgust"
"antipathy","negative"
"antiquated","negative"
"antique","positive"
"antiseptic","positive"
"antiseptic","trust"
"antisocial","anger"
"antisocial","disgust"
"antisocial","fear"
"antisocial","negative"
"antisocial","sadness"
"antithesis","anger"
"antithesis","negative"
"anxiety","anger"
"anxiety","anticipation"
"anxiety","fear"
"anxiety","negative"
"anxiety","sadness"
"anxious","anticipation"
"anxious","fear"
"anxious","negative"
"apache","fear"
"apache","negative"
"apathetic","negative"
"apathetic","sadness"
"apathy","negative"
"apathy","sadness"
"aphid","disgust"
"aphid","negative"
"aplomb","positive"
"apologetic","positive"
"apologetic","trust"
"apologize","positive"
"apologize","sadness"
"apologize","trust"
"apology","positive"
"apostle","positive"
"apostle","trust"
"apostolic","trust"
"appalling","disgust"
"appalling","fear"
"appalling","negative"
"apparition","fear"
"apparition","surprise"
"appeal","anticipation"
"appendicitis","fear"
"appendicitis","negative"
"appendicitis","sadness"
"applause","joy"
"applause","positive"
"applause","surprise"
"applause","trust"
"applicant","anticipation"
"appreciation","joy"
"appreciation","positive"
"appreciation","trust"
"apprehend","fear"
"apprehension","fear"
"apprehension","negative"
"apprehensive","anticipation"
"apprehensive","fear"
"apprehensive","negative"
"apprentice","trust"
"approaching","anticipation"
"approbation","positive"
"approbation","trust"
"appropriation","negative"
"approval","positive"
"approve","joy"
"approve","positive"
"approve","trust"
"approving","positive"
"apt","positive"
"aptitude","positive"
"arbiter","trust"
"arbitration","anticipation"
"arbitrator","trust"
"archaeology","anticipation"
"archaeology","positive"
"archaic","negative"
"architecture","trust"
"ardent","anticipation"
"ardent","joy"
"ardent","positive"
"ardor","positive"
"arduous","negative"
"argue","anger"
"argue","negative"
"argument","anger"
"argument","negative"
"argumentation","anger"
"argumentative","negative"
"arguments","anger"
"arid","negative"
"arid","sadness"
"aristocracy","positive"
"aristocratic","positive"
"armament","anger"
"armament","fear"
"armaments","fear"
"armaments","negative"
"armed","anger"
"armed","fear"
"armed","negative"
"armed","positive"
"armor","fear"
"armor","positive"
"armor","trust"
"armored","fear"
"armory","trust"
"aroma","positive"
"arouse","anticipation"
"arouse","positive"
"arraignment","anger"
"arraignment","fear"
"arraignment","negative"
"arraignment","sadness"
"array","positive"
"arrears","negative"
"arrest","negative"
"arrival","anticipation"
"arrive","anticipation"
"arrogance","negative"
"arrogant","anger"
"arrogant","disgust"
"arrogant","negative"
"arsenic","disgust"
"arsenic","fear"
"arsenic","negative"
"arsenic","sadness"
"arson","anger"
"arson","fear"
"arson","negative"
"art","anticipation"
"art","joy"
"art","positive"
"art","sadness"
"art","surprise"
"articulate","positive"
"articulation","positive"
"artillery","fear"
"artillery","negative"
"artisan","positive"
"artiste","positive"
"artistic","positive"
"ascendancy","positive"
"ascent","positive"
"ash","negative"
"ashamed","disgust"
"ashamed","negative"
"ashamed","sadness"
"ashes","negative"
"ashes","sadness"
"asp","fear"
"aspiration","anticipation"
"aspiration","joy"
"aspiration","positive"
"aspiration","surprise"
"aspiration","trust"
"aspire","anticipation"
"aspire","joy"
"aspire","positive"
"aspiring","anticipation"
"aspiring","joy"
"aspiring","positive"
"aspiring","trust"
"ass","negative"
"assail","anger"
"assail","fear"
"assail","negative"
"assail","surprise"
"assailant","anger"
"assailant","fear"
"assailant","negative"
"assailant","sadness"
"assassin","anger"
"assassin","fear"
"assassin","negative"
"assassin","sadness"
"assassinate","anger"
"assassinate","fear"
"assassinate","negative"
"assassination","anger"
"assassination","fear"
"assassination","negative"
"assassination","sadness"
"assault","anger"
"assault","fear"
"assault","negative"
"assembly","positive"
"assembly","trust"
"assent","positive"
"asserting","positive"
"asserting","trust"
"assessment","surprise"
"assessment","trust"
"assessor","trust"
"assets","positive"
"asshole","anger"
"asshole","disgust"
"asshole","negative"
"assignee","trust"
"assist","positive"
"assist","trust"
"assistance","positive"
"associate","positive"
"associate","trust"
"association","trust"
"assuage","positive"
"assurance","positive"
"assurance","trust"
"assure","trust"
"assured","positive"
"assured","trust"
"assuredly","trust"
"astonishingly","positive"
"astonishingly","surprise"
"astonishment","joy"
"astonishment","positive"
"astonishment","surprise"
"astray","fear"
"astray","negative"
"astringent","negative"
"astrologer","anticipation"
"astrologer","positive"
"astronaut","positive"
"astronomer","anticipation"
"astronomer","positive"
"astute","positive"
"asylum","fear"
"asylum","negative"
"asymmetry","disgust"
"atheism","negative"
"atherosclerosis","fear"
"atherosclerosis","negative"
"atherosclerosis","sadness"
"athlete","positive"
"athletic","positive"
"atom","positive"
"atone","anticipation"
"atone","joy"
"atone","positive"
"atone","trust"
"atonement","positive"
"atrocious","anger"
"atrocious","disgust"
"atrocious","negative"
"atrocity","anger"
"atrocity","disgust"
"atrocity","fear"
"atrocity","negative"
"atrocity","sadness"
"atrophy","disgust"
"atrophy","fear"
"atrophy","negative"
"atrophy","sadness"
"attachment","positive"
"attack","anger"
"attack","fear"
"attack","negative"
"attacking","anger"
"attacking","disgust"
"attacking","fear"
"attacking","negative"
"attacking","sadness"
"attacking","surprise"
"attainable","anticipation"
"attainable","positive"
"attainment","positive"
"attempt","anticipation"
"attendance","anticipation"
"attendant","positive"
"attendant","trust"
"attention","positive"
"attentive","positive"
"attentive","trust"
"attenuated","negative"
"attenuation","negative"
"attenuation","sadness"
"attest","positive"
"attest","trust"
"attestation","trust"
"attorney","anger"
"attorney","fear"
"attorney","positive"
"attorney","trust"
"attraction","positive"
"attractiveness","positive"
"auction","anticipation"
"audacity","negative"
"audience","anticipation"
"auditor","fear"
"auditor","trust"
"augment","positive"
"august","positive"
"aunt","positive"
"aunt","trust"
"aura","positive"
"auspicious","anticipation"
"auspicious","joy"
"auspicious","positive"
"austere","fear"
"austere","negative"
"austere","sadness"
"austerity","negative"
"authentic","joy"
"authentic","positive"
"authentic","trust"
"authenticate","trust"
"authentication","trust"
"authenticity","positive"
"authenticity","trust"
"author","positive"
"author","trust"
"authoritative","positive"
"authoritative","trust"
"authority","positive"
"authority","trust"
"authorization","positive"
"authorization","trust"
"authorize","trust"
"authorized","positive"
"autocratic","negative"
"automatic","trust"
"autopsy","disgust"
"autopsy","fear"
"autopsy","negative"
"autopsy","sadness"
"avalanche","fear"
"avalanche","negative"
"avalanche","sadness"
"avalanche","surprise"
"avarice","anger"
"avarice","disgust"
"avarice","negative"
"avatar","positive"
"avenger","anger"
"avenger","negative"
"averse","anger"
"averse","disgust"
"averse","fear"
"averse","negative"
"aversion","anger"
"aversion","disgust"
"aversion","fear"
"aversion","negative"
"avoid","fear"
"avoid","negative"
"avoidance","fear"
"avoidance","negative"
"avoiding","fear"
"await","anticipation"
"award","anticipation"
"award","joy"
"award","positive"
"award","surprise"
"award","trust"
"awful","anger"
"awful","disgust"
"awful","fear"
"awful","negative"
"awful","sadness"
"awkwardness","disgust"
"awkwardness","negative"
"awry","negative"
"axiom","trust"
"axiomatic","trust"
"ay","positive"
"aye","positive"
"babble","negative"
"babbling","negative"
"baboon","disgust"
"baboon","negative"
"baby","joy"
"baby","positive"
"babysitter","trust"
"baccalaureate","positive"
"backbone","anger"
"backbone","positive"
"backbone","trust"
"backer","trust"
"backward","negative"
"backwards","disgust"
"backwards","negative"
"backwater","negative"
"backwater","sadness"
"bacteria","disgust"
"bacteria","fear"
"bacteria","negative"
"bacteria","sadness"
"bacterium","disgust"
"bacterium","fear"
"bacterium","negative"
"bad","anger"
"bad","disgust"
"bad","fear"
"bad","negative"
"bad","sadness"
"badge","trust"
"badger","anger"
"badger","negative"
"badly","negative"
"badly","sadness"
"badness","anger"
"badness","disgust"
"badness","fear"
"badness","negative"
"bailiff","fear"
"bailiff","negative"
"bailiff","trust"
"bait","fear"
"bait","negative"
"bait","trust"
"balance","positive"
"balanced","positive"
"bale","fear"
"bale","negative"
"balk","negative"
"ballad","positive"
"ballet","positive"
"ballot","anticipation"
"ballot","positive"
"ballot","trust"
"balm","anticipation"
"balm","joy"
"balm","negative"
"balm","positive"
"balsam","positive"
"ban","negative"
"bandit","negative"
"bane","anger"
"bane","disgust"
"bane","fear"
"bane","negative"
"bang","anger"
"bang","disgust"
"bang","fear"
"bang","negative"
"bang","sadness"
"bang","surprise"
"banger","anger"
"banger","anticipation"
"banger","fear"
"banger","negative"
"banger","surprise"
"banish","anger"
"banish","disgust"
"banish","fear"
"banish","negative"
"banish","sadness"
"banished","anger"
"banished","fear"
"banished","negative"
"banished","sadness"
"banishment","anger"
"banishment","disgust"
"banishment","negative"
"banishment","sadness"
"bank","trust"
"banker","trust"
"bankrupt","fear"
"bankrupt","negative"
"bankrupt","sadness"
"bankruptcy","anger"
"bankruptcy","disgust"
"bankruptcy","fear"
"bankruptcy","negative"
"bankruptcy","sadness"
"banquet","anticipation"
"banquet","joy"
"banquet","positive"
"banshee","anger"
"banshee","disgust"
"banshee","fear"
"banshee","negative"
"banshee","sadness"
"baptism","positive"
"baptismal","joy"
"baptismal","positive"
"barb","anger"
"barb","negative"
"barbarian","fear"
"barbarian","negative"
"barbaric","anger"
"barbaric","disgust"
"barbaric","fear"
"barbaric","negative"
"barbarism","negative"
"bard","positive"
"barf","disgust"
"bargain","positive"
"bargain","trust"
"bark","anger"
"bark","negative"
"barred","negative"
"barren","negative"
"barren","sadness"
"barricade","fear"
"barricade","negative"
"barrier","anger"
"barrier","negative"
"barrow","disgust"
"bartender","trust"
"barter","trust"
"base","trust"
"baseless","negative"
"basketball","anticipation"
"basketball","joy"
"basketball","positive"
"bastard","disgust"
"bastard","negative"
"bastard","sadness"
"bastion","anger"
"bastion","positive"
"bath","positive"
"battalion","anger"
"batter","anger"
"batter","fear"
"batter","negative"
"battered","fear"
"battered","negative"
"battered","sadness"
"battery","anger"
"battery","negative"
"battle","anger"
"battle","negative"
"battled","anger"
"battled","fear"
"battled","negative"
"battled","sadness"
"battlefield","fear"
"battlefield","negative"
"bawdy","negative"
"bayonet","anger"
"bayonet","fear"
"bayonet","negative"
"beach","joy"
"beam","joy"
"beam","positive"
"beaming","anticipation"
"beaming","joy"
"beaming","positive"
"bear","anger"
"bear","fear"
"bearer","negative"
"bearish","anger"
"bearish","fear"
"beast","anger"
"beast","fear"
"beast","negative"
"beastly","disgust"
"beastly","fear"
"beastly","negative"
"beating","anger"
"beating","fear"
"beating","negative"
"beating","sadness"
"beautification","joy"
"beautification","positive"
"beautification","trust"
"beautiful","joy"
"beautiful","positive"
"beautify","joy"
"beautify","positive"
"beauty","joy"
"beauty","positive"
"bedrock","positive"
"bedrock","trust"
"bee","anger"
"bee","fear"
"beer","joy"
"beer","positive"
"befall","negative"
"befitting","positive"
"befriend","joy"
"befriend","positive"
"befriend","trust"
"beg","negative"
"beg","sadness"
"beggar","negative"
"beggar","sadness"
"begging","negative"
"begun","anticipation"
"behemoth","fear"
"behemoth","negative"
"beholden","negative"
"belated","negative"
"believed","trust"
"believer","trust"
"believing","positive"
"believing","trust"
"belittle","anger"
"belittle","disgust"
"belittle","fear"
"belittle","negative"
"belittle","sadness"
"belligerent","anger"
"belligerent","fear"
"belligerent","negative"
"bellows","anger"
"belt","anger"
"belt","fear"
"belt","negative"
"bender","negative"
"benefactor","positive"
"benefactor","trust"
"beneficial","positive"
"benefit","positive"
"benevolence","joy"
"benevolence","positive"
"benevolence","trust"
"benign","joy"
"benign","positive"
"bequest","trust"
"bereaved","negative"
"bereaved","sadness"
"bereavement","negative"
"bereavement","sadness"
"bereft","negative"
"berserk","anger"
"berserk","negative"
"berth","positive"
"bestial","disgust"
"bestial","fear"
"bestial","negative"
"betray","anger"
"betray","disgust"
"betray","negative"
"betray","sadness"
"betray","surprise"
"betrayal","anger"
"betrayal","disgust"
"betrayal","negative"
"betrayal","sadness"
"betrothed","anticipation"
"betrothed","joy"
"betrothed","positive"
"betrothed","trust"
"betterment","positive"
"beverage","positive"
"beware","anticipation"
"beware","fear"
"beware","negative"
"bewildered","fear"
"bewildered","negative"
"bewildered","surprise"
"bewilderment","fear"
"bewilderment","surprise"
"bias","anger"
"bias","negative"
"biased","negative"
"biblical","positive"
"bickering","anger"
"bickering","disgust"
"bickering","negative"
"biennial","anticipation"
"bier","fear"
"bier","negative"
"bier","sadness"
"bigot","anger"
"bigot","disgust"
"bigot","fear"
"bigot","negative"
"bigoted","anger"
"bigoted","disgust"
"bigoted","fear"
"bigoted","negative"
"bigoted","sadness"
"bile","anger"
"bile","disgust"
"bile","negative"
"bilingual","positive"
"biopsy","fear"
"biopsy","negative"
"birch","anger"
"birch","disgust"
"birch","fear"
"birch","negative"
"birth","anticipation"
"birth","fear"
"birth","joy"
"birth","positive"
"birth","trust"
"birthday","anticipation"
"birthday","joy"
"birthday","positive"
"birthday","surprise"
"birthplace","anger"
"birthplace","negative"
"bitch","anger"
"bitch","disgust"
"bitch","fear"
"bitch","negative"
"bitch","sadness"
"bite","negative"
"bitterly","anger"
"bitterly","disgust"
"bitterly","negative"
"bitterly","sadness"
"bitterness","anger"
"bitterness","disgust"
"bitterness","negative"
"bitterness","sadness"
"bizarre","negative"
"bizarre","surprise"
"black","negative"
"black","sadness"
"blackjack","negative"
"blackmail","anger"
"blackmail","fear"
"blackmail","negative"
"blackness","fear"
"blackness","negative"
"blackness","sadness"
"blame","anger"
"blame","disgust"
"blame","negative"
"blameless","positive"
"bland","negative"
"blanket","trust"
"blasphemous","anger"
"blasphemous","disgust"
"blasphemous","negative"
"blasphemy","anger"
"blasphemy","negative"
"blast","anger"
"blast","fear"
"blast","negative"
"blast","surprise"
"blatant","anger"
"blatant","disgust"
"blatant","negative"
"blather","negative"
"blaze","anger"
"blaze","negative"
"bleak","negative"
"bleak","sadness"
"bleeding","disgust"
"bleeding","fear"
"bleeding","negative"
"bleeding","sadness"
"blemish","anger"
"blemish","disgust"
"blemish","fear"
"blemish","negative"
"blemish","sadness"
"bless","anticipation"
"bless","joy"
"bless","positive"
"bless","trust"
"blessed","joy"
"blessed","positive"
"blessing","anticipation"
"blessing","joy"
"blessing","positive"
"blessing","trust"
"blessings","anticipation"
"blessings","joy"
"blessings","positive"
"blessings","surprise"
"blessings","trust"
"blight","disgust"
"blight","fear"
"blight","negative"
"blight","sadness"
"blighted","disgust"
"blighted","negative"
"blighted","sadness"
"blind","negative"
"blinded","negative"
"blindfold","anticipation"
"blindfold","fear"
"blindfold","surprise"
"blindly","negative"
"blindly","sadness"
"blindness","negative"
"blindness","sadness"
"bliss","joy"
"bliss","positive"
"blissful","joy"
"blissful","positive"
"blister","disgust"
"blister","negative"
"blitz","surprise"
"bloated","disgust"
"bloated","negative"
"blob","disgust"
"blob","fear"
"blob","negative"
"blockade","anger"
"blockade","fear"
"blockade","negative"
"blockade","sadness"
"bloodless","positive"
"bloodshed","anger"
"bloodshed","disgust"
"bloodshed","fear"
"bloodshed","negative"
"bloodshed","sadness"
"bloodshed","surprise"
"bloodthirsty","anger"
"bloodthirsty","disgust"
"bloodthirsty","fear"
"bloodthirsty","negative"
"bloody","anger"
"bloody","disgust"
"bloody","fear"
"bloody","negative"
"bloody","sadness"
"bloom","anticipation"
"bloom","joy"
"bloom","positive"
"bloom","trust"
"blossom","joy"
"blossom","positive"
"blot","negative"
"blower","negative"
"blowout","negative"
"blue","sadness"
"blues","fear"
"blues","negative"
"blues","sadness"
"bluff","negative"
"blunder","disgust"
"blunder","negative"
"blunder","sadness"
"blur","negative"
"blurred","negative"
"blush","negative"
"board","anticipation"
"boast","negative"
"boast","positive"
"boasting","negative"
"bodyguard","positive"
"bodyguard","trust"
"bog","negative"
"bogus","anger"
"bogus","disgust"
"bogus","negative"
"boil","disgust"
"boil","negative"
"boilerplate","negative"
"boisterous","anger"
"boisterous","anticipation"
"boisterous","joy"
"boisterous","negative"
"boisterous","positive"
"bold","positive"
"boldness","positive"
"bolster","positive"
"bomb","anger"
"bomb","fear"
"bomb","negative"
"bomb","sadness"
"bomb","surprise"
"bombard","anger"
"bombard","fear"
"bombard","negative"
"bombardment","anger"
"bombardment","fear"
"bombardment","negative"
"bombed","disgust"
"bombed","negative"
"bomber","fear"
"bomber","sadness"
"bonanza","joy"
"bonanza","positive"
"bondage","fear"
"bondage","negative"
"bondage","sadness"
"bonds","negative"
"bonne","positive"
"bonus","anticipation"
"bonus","joy"
"bonus","positive"
"bonus","surprise"
"boo","negative"
"booby","negative"
"bookish","positive"
"bookshop","positive"
"bookworm","negative"
"bookworm","positive"
"boomerang","anticipation"
"boomerang","trust"
"boon","positive"
"booze","negative"
"bore","negative"
"boredom","negative"
"boredom","sadness"
"boring","negative"
"borrower","negative"
"bother","negative"
"bothering","anger"
"bothering","negative"
"bothering","sadness"
"bottom","negative"
"bottom","sadness"
"bottomless","fear"
"bound","negative"
"bountiful","anticipation"
"bountiful","joy"
"bountiful","positive"
"bounty","anticipation"
