"uniqueID","tires","Weight","Quarterly_Tax","Doors","CC","Automatic","Met_Color","HP","Fuel_Type","KM","Age_08_04","Price"
69,1,1275,234,5,2000,0,1,110,"Diesel",30000,22,22250
70,1,1110,85,5,1400,0,1,97,"Petrol",29719,25,15950
71,1,1110,85,5,1400,0,1,97,"Petrol",29206,28,15950
72,1,1060,85,5,1400,0,1,97,"Petrol",29198,32,12995
73,1,1130,85,5,1598,0,1,110,"Petrol",28817,28,18950
74,1,1110,85,5,1400,0,1,97,"Petrol",28227,23,15750
75,1,1130,85,5,1600,0,0,110,"Petrol",28000,28,19950
76,1,1115,85,5,1600,0,1,110,"Petrol",28000,23,16950
77,1,1130,85,5,1600,0,1,110,"Petrol",25266,31,18750
78,1,1115,85,5,1600,0,0,110,"Petrol",23489,27,18450
79,1,1115,85,5,1600,0,1,110,"Petrol",22575,29,16895
80,1,1110,85,5,1400,0,1,97,"Petrol",22000,30,14900
81,1,1180,100,5,16000,1,1,110,"Petrol",20019,25,18950
82,1,1115,85,5,1600,0,1,110,"Petrol",20000,29,17250
83,1,1110,85,5,1400,0,1,97,"Petrol",17003,25,15450
84,1,1180,100,5,1600,1,1,110,"Petrol",16238,31,17950
85,1,1110,85,5,1400,0,1,97,"Petrol",15414,25,16650
86,1,1130,85,5,1600,0,1,110,"Petrol",8537,28,17450
87,1,1100,85,5,1400,0,1,97,"Petrol",7000,30,14900
88,1,1245,210,3,2000,0,1,90,"Diesel",66966,20,17950
89,1,1100,85,3,1400,0,1,97,"Petrol",51884,19,15950
90,1,1265,234,3,2000,0,1,110,"Diesel",50005,19,21950
91,1,1100,85,3,1400,0,1,97,"Petrol",48110,20,16450
92,1,1260,234,3,2000,0,1,90,"Diesel",37500,20,22250
93,1,1260,234,3,1995,0,1,90,"Diesel",34472,16,19950
94,1,1100,85,3,1400,0,1,97,"Petrol",33329,20,15950
95,1,1120,85,3,1600,0,0,110,"Petrol",31850,20,18900
96,1,1260,234,3,1995,0,1,90,"Diesel",30351,17,19950
97,1,1100,85,3,1400,0,1,97,"Petrol",29435,19,15950
98,1,1100,85,3,1400,0,1,97,"Petrol",25948,19,15950
99,1,1120,85,3,1600,0,1,110,"Petrol",24500,11,18750
100,1,1100,85,3,1400,0,1,97,"Petrol",23902,18,17450
101,1,1120,85,3,1600,0,1,110,"Petrol",23175,20,18990
102,1,1100,85,3,1400,0,1,97,"Petrol",19200,19,16250
103,1,1125,85,3,1400,0,0,71,"Petrol",18000,13,18500
104,1,1105,85,3,1600,0,1,110,"Petrol",16123,11,18500
105,1,1155,100,3,1600,1,1,110,"Petrol",14635,11,19450
106,1,1100,85,3,1400,0,1,97,"Petrol",13748,19,16950
107,1,1045,69,3,1600,0,1,110,"Petrol",11500,14,18800
108,1,1100,85,3,1400,0,1,97,"Petrol",10000,17,17450
109,1,1105,85,3,1600,0,1,110,"Petrol",7187,20,17950
110,1,1480,283,5,2000,0,0,116,"Diesel",1,4,32500
111,1,1480,283,5,2000,0,1,116,"Diesel",4000,4,31000
112,1,1480,283,5,2000,0,1,116,"Diesel",1500,4,31275
113,1,1320,234,5,2000,0,1,116,"Diesel",13253,8,24950
114,1,1320,234,5,2000,0,1,116,"Diesel",13253,8,24950
115,1,1270,234,5,2000,0,1,116,"Diesel",10000,7,22950
116,1,1280,234,5,2000,0,1,90,"Diesel",6000,8,24990
117,1,1270,234,5,2000,0,1,90,"Diesel",10841,8,21950
118,1,1105,85,3,1600,0,1,110,"Petrol",1,7,17900
119,1,1255,234,5,2000,0,1,90,"Diesel",63000,20,19250
120,1,1275,234,5,2000,0,1,110,"Diesel",57313,17,22250
121,1,1115,85,5,1600,0,0,110,"Petrol",57037,13,18950
122,1,1255,234,5,2000,0,1,90,"Diesel",51099,19,19950
123,1,1115,85,5,1600,0,1,110,"Petrol",40010,14,16350
124,1,1130,85,5,1600,0,1,110,"Petrol",39115,20,18950
125,1,1130,85,5,1600,0,0,110,"Petrol",36012,17,16950
126,1,1130,85,5,1600,0,1,110,"Petrol",36000,16,21750
127,1,1075,19,5,1600,0,1,110,"Petrol",36000,20,15950
128,1,1110,85,5,1400,0,1,97,"Petrol",35000,20,16500
129,1,1135,85,5,1400,0,1,97,"Petrol",33740,17,17950
130,1,1075,19,5,1600,0,1,110,"Petrol",33477,13,15850
131,1,1110,85,5,1400,0,1,97,"Petrol",32627,20,16250
132,1,1110,85,5,1400,0,1,97,"Petrol",29797,20,15950
133,1,1110,85,5,1400,0,1,97,"Petrol",29441,19,16250
134,1,1105,19,4,1600,0,1,110,"Petrol",29371,13,15950
135,1,1110,85,5,1400,0,0,97,"Petrol",29000,20,16500
136,1,1110,85,5,1400,0,0,97,"Petrol",27821,19,16500
137,1,1135,85,5,1400,0,0,97,"Petrol",27371,19,18450
138,1,1105,19,5,1600,0,1,110,"Petrol",25170,13,16250
139,1,1320,64,5,2000,0,1,116,"Diesel",25000,11,23000
140,1,1130,85,5,1600,0,1,110,"Petrol",23000,20,19900
141,1,1110,85,5,1400,0,1,97,"Petrol",22588,20,16450
142,1,1185,19,5,1800,0,1,192,"Petrol",21684,19,23950
143,1,1130,85,5,1600,0,1,110,"Petrol",21428,13,19950
144,1,1090,85,4,1600,0,1,110,"Petrol",20629,16,18500
145,1,1130,85,5,1600,0,1,110,"Petrol",20270,15,18950
146,1,1110,85,5,1400,0,0,97,"Petrol",20105,16,16450
147,1,1165,100,5,1600,1,0,110,"Petrol",20000,20,20500
148,1,1130,85,5,1600,0,1,110,"Petrol",19988,13,24500
149,1,1130,85,5,1600,0,0,110,"Petrol",18328,19,19450
150,1,1150,85,4,1600,1,1,110,"Petrol",17896,14,20950
151,1,1110,85,5,1400,0,1,97,"Petrol",17300,20,17200
152,1,1130,85,5,1600,0,0,110,"Petrol",17038,19,19950
153,1,1110,85,5,1400,0,1,97,"Petrol",13747,10,18450
154,1,1115,85,5,1600,0,1,110,"Petrol",13634,12,19500
155,1,1130,85,5,1600,0,1,110,"Petrol",13178,13,21750
156,1,1085,85,4,1400,0,1,97,"Petrol",13157,15,16868
157,1,1105,85,4,1600,0,1,110,"Petrol",13000,16,19500
158,1,1115,85,5,1600,0,1,110,"Petrol",12500,11,18900
159,1,1130,85,5,1600,0,1,110,"Petrol",11999,17,19750
160,1,1180,100,5,1600,1,0,110,"Petrol",11754,16,19750
161,1,1105,85,4,1600,0,1,110,"Petrol",11000,16,18950
162,1,1105,85,5,1598,0,0,110,"Petrol",10000,17,20750
163,1,1115,85,5,1600,0,1,110,"Petrol",7650,9,19600
164,1,1100,85,4,1600,0,1,110,"Petrol",6500,14,19500
165,1,1110,85,5,1400,0,1,97,"Petrol",6155,11,17650
166,1,1130,85,5,1600,0,0,110,"Petrol",6000,14,19950
167,1,1130,85,5,1600,0,1,110,"Petrol",5459,14,19950
168,1,1150,85,4,1600,1,1,110,"Petrol",5278,14,20950
169,1,1130,85,5,1600,0,1,110,"Petrol",5000,12,20500
170,1,1065,19,4,1400,0,1,98,"Petrol",1,9,17795
171,1,1075,19,5,1600,0,1,110,"Petrol",1,9,18245
172,1,1130,85,5,1600,0,1,110,"Petrol",11000,8,23750
173,1,1110,85,5,1400,0,1,97,"Petrol",10077,8,19500
174,1,1110,85,5,1400,0,1,97,"Petrol",10000,8,18950
175,1,1130,85,5,1600,0,1,110,"Petrol",9788,8,21950
176,1,1130,85,5,1600,0,1,110,"Petrol",8574,8,19950
177,1,1115,85,5,1600,0,0,110,"Petrol",7000,8,18950
178,1,1115,85,5,1600,0,1,110,"Petrol",6250,7,19950
179,1,1130,85,5,1600,0,1,110,"Petrol",5000,8,21950
180,1,1130,85,5,1600,0,0,110,"Petrol",3000,6,22500
181,1,1075,19,5,1600,0,0,110,"Petrol",2000,7,18500
182,1,1110,85,5,1400,0,1,97,"Petrol",450,7,18700
183,1,1110,85,5,1400,0,1,97,"Petrol",225,2,21125
184,1,1130,85,5,1600,0,1,110,"Petrol",15,2,21500
185,1,1100,19,4,1400,0,1,98,"Petrol",1,1,17795
186,1,1075,19,5,1600,0,1,110,"Petrol",1,1,18245
187,1,1110,185,3,1900,0,0,69,"Diesel",243000,43,6950
188,1,1160,210,4,2000,0,0,90,"Diesel",180638,38,9500
189,1,1205,210,5,2000,0,1,90,"Diesel",179860,40,11950
190,1,1084,197,3,1600,0,0,110,"CNG",178858,43,7750
191,1,1105,185,3,1900,0,1,69,"Diesel",161000,40,11950
192,1,1110,64,5,1800,0,0,69,"Diesel",158320,44,4350
193,1,1110,64,5,1800,0,1,69,"Diesel",131273,44,4750
194,1,1140,185,5,1900,0,1,69,"Diesel",130062,40,11750
195,1,1140,185,5,1900,0,1,69,"Diesel",123425,41,13250
196,1,1075,85,5,1600,0,1,110,"Petrol",118217,37,11950
197,1,1095,185,5,1900,0,1,69,"Diesel",110000,44,11900
198,1,1205,210,5,2000,0,1,90,"Diesel",108847,39,14750
199,1,1025,69,3,1400,0,1,97,"Petrol",105699,42,9950
200,1,1119,197,5,1600,0,1,110,"CNG",98823,39,11950
201,1,1075,85,5,1600,0,1,110,"Petrol",96829,44,11495
202,1,1025,69,3,1400,0,1,97,"Petrol",96518,40,11250
203,1,1075,85,5,1600,0,1,110,"Petrol",92204,42,10500
204,1,1110,185,3,1900,0,1,69,"Diesel",91456,35,10450
205,1,1140,185,5,1900,0,1,69,"Diesel",89968,43,12950
206,1,1045,69,3,1600,0,1,110,"Petrol",89757,44,11500
207,1,1075,85,5,1600,0,1,110,"Petrol",85389,40,12500
208,1,1060,85,5,1400,0,0,97,"Petrol",85017,43,10950
209,1,1080,85,5,1600,0,0,110,"Petrol",84312,41,11450
210,1,1121,197,5,1600,0,1,110,"CNG",82743,37,11950
211,1,1140,185,5,1900,0,1,69,"Diesel",81106,41,13250
212,1,1205,210,5,2000,0,1,90,"Diesel",80425,40,14750
213,1,1105,85,5,1600,1,1,110,"Petrol",78677,34,11790
214,1,1075,85,5,1600,0,1,110,"Petrol",78425,40,11450
215,1,1170,210,3,2000,0,1,90,"Diesel",78108,33,13500
216,1,1075,85,5,1600,0,1,110,"Petrol",77321,33,10950
217,1,1105,185,3,1900,0,0,69,"Diesel",75699,33,13500
218,1,1025,69,3,1400,0,1,97,"Petrol",75697,41,10950
219,1,1025,69,3,1400,0,1,97,"Petrol",74846,44,10950
220,1,1075,85,5,1600,0,1,110,"Petrol",74319,38,12950
221,1,1075,85,5,1600,0,1,110,"Petrol",74285,43,11950
222,1,1615,163,5,1600,0,1,110,"Petrol",74172,44,12450
223,1,1075,85,5,1598,0,1,110,"Petrol",73042,40,11950
224,1,1067,197,4,1600,0,1,110,"CNG",71793,44,14950
225,1,1075,85,5,1600,0,1,110,"Petrol",71200,35,12450
226,1,1075,85,5,1600,0,1,110,"Petrol",67805,38,12950
227,1,1040,69,3,1600,0,1,110,"Petrol",65988,35,11950
228,1,1060,85,5,1400,0,1,97,"Petrol",65345,34,11690
229,1,1080,85,5,1600,0,1,110,"Petrol",64564,42,12450
230,1,1060,85,5,1400,0,1,97,"Petrol",63459,36,12750
231,1,1025,69,3,1400,0,0,97,"Petrol",63451,44,11925
232,1,1075,19,5,1600,0,1,110,"Petrol",62000,33,12950
233,1,1030,69,3,1400,0,1,97,"Petrol",61300,42,11950
234,1,1045,69,3,1600,0,1,110,"Petrol",61200,41,12900
235,1,1075,85,5,1600,0,0,110,"Petrol",61000,41,11900
236,1,1075,85,5,1600,0,1,110,"Petrol",60829,38,11650
237,1,1075,85,5,1600,0,0,110,"Petrol",60500,44,10950
238,1,1110,64,3,1900,0,1,69,"Diesel",59500,35,13950
239,1,1110,85,5,1600,1,0,110,"Petrol",59000,44,13950
240,1,1080,85,5,1600,0,1,110,"Petrol",58954,40,11950
241,1,1075,85,5,1600,0,1,110,"Petrol",58798,38,10950
242,1,1055,85,3,1600,0,1,110,"Petrol",58363,38,12450
243,1,1045,69,3,1600,0,1,110,"Petrol",58277,43,11950
244,1,1165,210,3,2000,0,1,90,"Diesel",57711,33,13500
245,1,1075,85,5,1600,0,1,110,"Petrol",57269,33,11690
246,1,1075,85,5,1600,0,1,110,"Petrol",56001,39,13500
247,1,1050,69,3,1600,0,0,110,"Petrol",55968,42,11950
248,1,1030,69,4,1600,0,1,110,"Petrol",55678,39,12900
249,1,1085,85,5,1600,0,1,110,"Petrol",55539,43,13500
250,1,1075,85,5,1600,0,0,110,"Petrol",55400,42,11750
251,1,1075,85,5,1600,0,0,110,"Petrol",55350,33,11750
252,1,1030,69,4,1600,0,0,110,"Petrol",54600,43,10850
253,1,1075,85,5,1600,0,1,110,"Petrol",53773,43,11750
254,1,1105,85,5,1600,1,1,110,"Petrol",53719,42,14950
255,1,1075,19,5,1600,0,1,110,"Petrol",53644,39,9940
256,1,1075,85,5,1600,0,0,110,"Petrol",53350,42,12900
257,1,1075,85,5,1600,0,1,110,"Petrol",53000,38,13500
258,1,1025,69,3,1400,0,1,97,"Petrol",52084,44,11750
259,1,1025,69,3,1400,0,0,97,"Petrol",52000,44,11950
260,1,1075,85,5,1600,0,1,110,"Petrol",51945,33,13450
261,1,1025,69,3,1400,0,1,97,"Petrol",51732,41,11950
262,1,1075,85,5,1600,0,1,110,"Petrol",50873,39,12495
263,1,1030,69,4,1600,0,0,110,"Petrol",50856,41,13500
264,1,1075,85,5,1600,0,1,110,"Petrol",50640,40,12750
265,1,1060,85,5,1400,0,1,97,"Petrol",50000,39,12000
266,1,1075,85,5,1600,0,1,110,"Petrol",49500,38,11950
267,1,1080,85,5,1600,0,1,110,"Petrol",49332,44,12495
268,1,1040,69,3,1600,0,1,110,"Petrol",49291,34,12450
269,1,1205,210,5,2000,0,1,90,"Diesel",48952,40,14750
270,1,1040,69,3,1600,0,0,110,"Petrol",48945,39,10950
271,1,1105,185,3,1900,0,1,69,"Diesel",48928,33,13500
272,1,1075,85,5,1600,0,1,110,"Petrol",48197,38,12950
273,1,1105,185,3,1900,0,1,69,"Diesel",48052,35,13500
274,1,1030,69,4,1600,0,1,110,"Petrol",48011,34,13450
275,1,1075,85,5,1600,0,1,110,"Petrol",48000,43,13500
276,1,1075,85,5,1600,0,1,110,"Petrol",47350,41,11480
277,1,1060,85,5,1400,0,1,97,"Petrol",46821,39,13450
278,1,1040,69,3,1600,0,0,110,"Petrol",46694,39,11495
279,1,1025,69,5,1400,0,0,97,"Petrol",46515,43,12750
280,1,1055,85,3,1600,0,1,110,"Petrol",46327,38,14990
281,1,1060,85,5,1400,0,1,97,"Petrol",46304,35,12950
282,1,1080,85,5,1600,0,1,110,"Petrol",45886,40,12950
283,1,1085,19,5,1400,0,1,97,"Petrol",45713,39,12850
284,1,1105,85,5,1600,1,1,110,"Petrol",45600,40,13950
285,1,1075,85,5,1600,0,1,110,"Petrol",45287,41,11950
286,1,1075,85,5,1600,0,1,110,"Petrol",45081,39,12950
287,1,1075,85,5,1600,0,1,110,"Petrol",44830,40,11700
288,1,1025,69,3,1400,0,0,97,"Petrol",44757,37,9950
289,1,1060,85,5,1400,0,1,97,"Petrol",44218,44,11895
290,1,1075,85,5,1600,0,1,110,"Petrol",43632,43,12950
291,1,1040,69,3,1600,0,1,110,"Petrol",43427,36,12500
292,1,1075,85,5,1600,0,1,110,"Petrol",43254,39,13875
293,1,1050,69,3,1600,0,0,110,"Petrol",43000,35,10500
294,1,1075,85,5,1600,0,1,110,"Petrol",42823,33,12295
295,1,1080,85,5,1600,0,1,110,"Petrol",42560,42,13950
296,1,1040,69,3,1600,0,0,110,"Petrol",41754,38,10950
297,1,1103,197,5,1600,0,1,110,"CNG",41499,44,12950
298,1,1080,85,5,1600,0,1,110,"Petrol",41339,40,12850
299,1,1075,85,5,1600,0,1,110,"Petrol",41000,35,13995
300,1,1055,85,3,1600,0,1,110,"Petrol",40000,39,13750
301,1,1075,85,5,1600,0,1,110,"Petrol",39757,37,12750
302,1,1045,69,3,1600,0,1,110,"Petrol",39659,41,12500
303,1,1055,85,3,1600,0,0,110,"Petrol",39650,43,13950
304,1,1025,69,3,1398,0,1,97,"Petrol",39524,39,11500
305,1,1060,85,5,1400,0,1,97,"Petrol",39516,44,13950
306,1,1060,85,5,1400,0,0,97,"Petrol",39439,41,11895
307,1,1025,69,3,1400,0,1,97,"Petrol",39000,44,9950
308,1,1040,69,3,1600,0,1,110,"Petrol",38932,42,13500
309,1,1025,69,3,1400,0,0,97,"Petrol",38812,37,11450
310,1,1075,85,5,1600,0,1,110,"Petrol",38665,42,12450
311,1,1080,85,5,1600,0,1,110,"Petrol",38653,40,12950
312,1,1080,85,5,1600,0,1,110,"Petrol",38461,44,13995
313,1,1025,69,3,1400,0,0,97,"Petrol",38078,42,11750
314,1,1060,85,5,1400,0,1,97,"Petrol",37782,39,11650
315,1,1030,69,3,1400,0,0,97,"Petrol",37576,43,9950
316,1,1075,85,5,1600,0,1,110,"Petrol",37533,41,13950
317,1,1080,85,5,1600,0,1,110,"Petrol",37389,44,12950
318,1,1025,69,3,1400,0,1,97,"Petrol",37320,38,10950
319,1,1025,69,3,1400,0,1,97,"Petrol",37000,42,9900
320,1,1075,19,4,1600,0,0,110,"Petrol",37000,44,11950
321,1,1090,85,5,1600,0,0,110,"Petrol",36566,40,11990
322,1,1075,85,5,1600,0,1,110,"Petrol",36269,36,10750
323,1,1075,19,5,1600,1,1,110,"Petrol",36074,37,13950
324,1,1040,69,3,1600,0,1,110,"Petrol",36066,44,11250
325,1,1075,85,5,1600,0,1,110,"Petrol",34599,39,12950
326,1,1075,85,5,1600,0,1,110,"Petrol",34000,41,11950
327,1,1025,69,3,1400,0,1,97,"Petrol",33623,42,10950
328,1,1075,85,5,1600,0,1,110,"Petrol",33591,33,12950
329,1,1075,85,5,1600,0,1,110,"Petrol",33258,35,12950
330,1,1075,85,5,1600,0,1,110,"Petrol",33113,43,11695
331,1,1075,19,5,1600,1,1,110,"Petrol",33000,41,11000
332,1,1080,85,5,1600,0,1,110,"Petrol",32941,35,13950
333,1,1075,85,5,1600,0,0,110,"Petrol",32781,38,11950
334,1,1040,69,3,1600,0,1,110,"Petrol",32532,40,11750
335,1,1060,85,5,1400,0,1,97,"Petrol",32431,34,12400
336,1,1040,69,3,1600,0,0,110,"Petrol",32000,35,12500
337,1,1075,19,5,1600,0,1,110,"Petrol",31000,33,12900
338,1,1045,69,3,1600,0,0,110,"Petrol",30989,41,12200
339,1,1040,69,3,1600,0,1,110,"Petrol",30742,43,12750
340,1,1075,85,5,1600,0,1,110,"Petrol",30190,42,11950
341,1,1075,85,5,1600,0,1,116,"Petrol",29716,41,11900
342,1,1070,85,3,1600,1,1,110,"Petrol",29716,44,11950
343,1,1055,85,3,1600,0,0,110,"Petrol",29640,42,14950
344,1,1060,85,5,1400,0,1,97,"Petrol",29056,41,11950
345,1,1075,85,5,1600,0,1,110,"Petrol",28715,33,12950
346,1,1090,85,5,1600,0,0,110,"Petrol",28571,41,14950
347,1,1040,69,3,1600,0,1,110,"Petrol",28362,40,13450
348,1,1075,85,5,1600,0,1,110,"Petrol",28150,38,13750
349,1,1040,69,3,1600,0,1,110,"Petrol",27301,43,12950
350,1,1075,85,5,1600,0,1,110,"Petrol",27240,33,12750
351,1,1060,85,5,1400,0,1,97,"Petrol",27170,39,11895
352,1,1060,85,5,1400,0,1,97,"Petrol",27141,42,9950
353,1,1075,85,5,1600,0,1,110,"Petrol",26262,38,12450
354,1,1060,85,5,1400,0,1,97,"Petrol",26000,38,12500
355,1,1045,69,3,1600,0,1,110,"Petrol",25228,43,14950
356,1,1080,85,5,1600,0,1,110,"Petrol",25062,39,13750
357,1,1060,85,4,1600,1,1,110,"Petrol",24723,39,12695
358,1,1055,85,3,1600,0,1,110,"Petrol",24650,33,14990
359,1,1080,85,5,1600,0,1,110,"Petrol",24553,43,12750
360,1,1030,69,5,1600,0,1,110,"Petrol",24475,41,14350
361,1,1040,69,3,1600,0,1,110,"Petrol",24444,39,12950
362,1,1025,69,3,1400,0,0,97,"Petrol",24011,35,11500
363,1,1025,69,3,1400,0,1,97,"Petrol",24000,41,11950
364,1,1075,85,5,1600,0,1,110,"Petrol",23616,40,13450
365,1,1075,85,5,1600,0,1,110,"Petrol",22865,38,12900
366,1,1035,69,5,1300,0,1,86,"Petrol",22780,41,10500
367,1,1025,69,3,1400,0,0,97,"Petrol",21904,35,10950
368,1,1025,69,3,1400,0,0,97,"Petrol",21651,41,11950
369,1,1030,69,5,1600,0,1,110,"Petrol",21500,37,11450
370,1,1080,85,5,1600,0,1,110,"Petrol",21027,44,13250
371,1,1030,69,4,1600,0,0,110,"Petrol",18500,39,10250
372,1,1075,85,5,1600,0,1,110,"Petrol",18000,35,13995
373,1,1060,85,5,1400,0,0,97,"Petrol",17051,40,11950
374,1,1085,19,5,1400,0,1,97,"Petrol",16512,33,13250
375,1,1080,85,5,1600,0,1,110,"Petrol",16325,40,12950
376,1,1060,85,5,1400,0,1,97,"Petrol",16000,38,11750
377,1,1075,85,5,1600,0,1,110,"Petrol",12000,39,11500
378,1,1060,85,5,1400,0,1,97,"Petrol",10000,43,13500
379,1,1110,185,3,1900,0,0,69,"Diesel",216000,53,6500
380,1,1095,185,4,1900,0,0,69,"Diesel",198167,51,6400
381,1,1105,185,3,1900,0,0,69,"Diesel",176000,53,7000
382,1,1100,185,4,2000,0,1,72,"Diesel",174139,54,7750
383,1,1095,185,5,1900,0,1,69,"Diesel",174000,45,8900
384,1,1075,72,3,1600,0,1,110,"CNG",150000,55,8500
385,1,1135,185,5,2000,0,1,72,"Diesel",149329,54,8950
386,1,1080,85,5,1600,0,1,110,"Petrol",146736,51,9900
387,1,1140,185,5,1900,0,0,69,"Diesel",143513,53,10250
388,1,1119,197,5,1600,0,0,110,"CNG",142130,48,9250
389,1,1110,64,5,1900,0,1,69,"Diesel",140700,48,7750
390,1,1095,185,4,1900,0,1,69,"Diesel",138394,54,9450
391,1,1135,185,5,2000,0,1,72,"Diesel",137000,55,7750
392,1,1140,185,5,1900,0,1,69,"Diesel",135258,52,8250
393,1,1075,85,5,1600,0,1,110,"Petrol",131364,49,9950
394,1,1110,64,5,1800,0,0,69,"Diesel",129155,56,4450
395,1,1055,85,3,1600,0,0,110,"Petrol",126110,50,9950
396,1,1080,85,5,1600,0,1,110,"Petrol",119742,48,9000
397,1,1110,64,5,1900,0,1,69,"Diesel",117913,53,9950
398,1,1165,210,3,2000,0,1,90,"Diesel",117430,47,12450
399,1,1035,69,4,1600,0,1,110,"Petrol",117175,55,10500
400,1,1035,69,4,1600,0,1,110,"Petrol",115558,54,10750
401,1,1025,69,3,1400,0,1,97,"Petrol",115113,53,8950
402,1,1140,185,5,1900,0,1,69,"Diesel",115046,54,10500
403,1,1135,64,5,2000,0,1,72,"Diesel",113997,56,5150
404,1,1060,85,5,1400,0,0,97,"Petrol",107859,49,10950
405,1,1025,69,3,1400,0,1,97,"Petrol",104805,52,9450
406,1,1075,85,5,1600,0,1,110,"Petrol",103454,54,9950
407,1,1140,185,5,1900,0,0,69,"Diesel",103018,51,10950
408,1,1080,85,5,1600,0,1,110,"Petrol",102352,47,11900
