"tmpID","ReligiousContributorInHome","PoliticalContributerInHome","DonatesEnvironmentCauseInHome","DonatesToCharityInHome","DonatestoAnimalWelfare","DonatestoArtsandCulture","DonatestoChildrensCauses","DonatestoHealthcare","DonatestoInternationalAidCauses","DonatestoVeteransCauses","DonatestoHealthcare1","DonatestoInternationalAidCauses1","DonatestoWildlifePreservation","DonatestoLocalCommunity"
5033,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
52,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2064,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
4520,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
3053,"","","Unknown","Yes","","","","","","","","","",""
5279,"","1 political contribution  in home","Unknown","Yes","Yes","","","","","","","","",""
3433,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
5005,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4863,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
3745,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
4163,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
4348,"","","Unknown","Unknown","","","","Yes","Yes","","Yes","Yes","","Yes"
5018,"","","Unknown","Unknown","","","","","","","","","",""
4720,"","","Unknown","Unknown","","","","","","","","","",""
3801,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
1654,"","1 political contribution  in home","Unknown","Yes","","","Yes","Yes","","","Yes","","","Yes"
5188,"","","Unknown","Unknown","","","","","","","","","",""
4418,"1 religious contribution  in home","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
1970,"","","Unknown","Yes","","","","","","","","","Yes","Yes"
3962,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
5193,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
4578,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2817,"","","Unknown","Unknown","","","","","","","","","",""
1782,"","","Unknown","Yes","Yes","","","","","","","","",""
2397,"","","Unknown","Yes","","","","","","","","","",""
5940,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
3118,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
4522,"","","Unknown","Unknown","","","","","","","","","",""
3555,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
4189,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3542,"","","Yes","Unknown","","","","","","","","","",""
3322,"","","Unknown","Unknown","","","","","","","","","","Yes"
2252,"","","Unknown","Yes","","","","","","","","","",""
5720,"","","Unknown","Unknown","","","","","","","","","",""
3457,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","Yes","Yes"
990,"","","Unknown","Unknown","","","","","","","","","",""
1323,"","","Unknown","Yes","","","","","","","","","","Yes"
1500,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
5806,"","","Unknown","Yes","","","","","","","","","",""
3140,"","1 political contribution  in home","Unknown","Unknown","Yes","","","","","","","","",""
2290,"","","Unknown","Yes","","","","","","","","","",""
3824,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
3859,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
3998,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes",""
1035,"","","Unknown","Unknown","","","","","","","","","",""
3269,"","","Unknown","Yes","","","","","","","","","",""
1867,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
2886,"","","Unknown","Yes","Yes","","","","","","","","","Yes"
5667,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
1251,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
4549,"","","Yes","Unknown","","","","","","","","","","Yes"
4568,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
4849,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
4020,"","","Unknown","Unknown","Yes","","","","","","","","",""
2716,"","","Unknown","Yes","","","","","","","","","",""
1389,"","","Unknown","Unknown","","","","","","","","","",""
196,"","","Yes","Unknown","","","","","","","","","","Yes"
715,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","Yes","Yes"
1969,"","","Unknown","Unknown","","","","","","","","","",""
965,"","","Unknown","Unknown","","","","","","","","","","Yes"
885,"","","Unknown","Unknown","","","","","","","","","",""
4532,"","","Unknown","Yes","","","","","","","","","",""
1583,"","","Unknown","Unknown","","","","","","","","","","Yes"
1462,"","","Unknown","Unknown","","","","","","","","","","Yes"
2069,"","","Unknown","Yes","","","","","","","","","",""
1421,"","","Unknown","Yes","","","","","","","","","",""
5183,"","","Unknown","Unknown","","","","","","","","","",""
3061,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","",""
1663,"","","Unknown","Unknown","","","","","","","","","",""
4322,"","","Unknown","Unknown","","","","","","","","","","Yes"
1952,"","","Unknown","Unknown","","","","","","","","","",""
2339,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
1468,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
1165,"","","Unknown","Yes","","","","","","","","","",""
1599,"","","Unknown","Yes","","","","","","","","","",""
455,"","","Unknown","Yes","","","","","","","","","",""
1870,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
3690,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
429,"","","Unknown","Yes","","","","","","","","","",""
5434,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
5533,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","Yes","Yes","","Yes","Yes"
5150,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
3170,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","Yes","Yes"
1045,"","2 political contributions in home","Unknown","Unknown","","","","","","","","","",""
839,"","","Unknown","Unknown","","","","","","","","","",""
5616,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","Yes","Yes"
445,"","","Unknown","Unknown","","","","","","","","","",""
745,"","","Unknown","Yes","Yes","","","","","","","","","Yes"
4553,"","","Unknown","Unknown","","","","","","","","","",""
4261,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
5090,"","","Unknown","Yes","","","","","","","","","",""
3471,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
868,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
5004,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
5763,"","","Unknown","Unknown","","","","","","","","","",""
2299,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3702,"","","Unknown","Yes","","","","","","","","","",""
5373,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","","Yes"
1,"","","Unknown","Unknown","","","","","","","","","",""
3234,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
4814,"","","Unknown","Unknown","","","","","","","","","",""
2096,"1 religious contribution  in home","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
3505,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
27,"","","Unknown","Yes","","","","","","","","","",""
3983,"","","Unknown","Unknown","","","","","","","","","",""
3196,"1 religious contribution  in home","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
2593,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5203,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2923,"","","Unknown","Unknown","","","","","","","","","",""
3150,"","","Unknown","Yes","","","","","","","","","Yes","Yes"
4466,"","","Unknown","Yes","","","","","","","","","","Yes"
3183,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
2296,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5391,"","","Unknown","Unknown","","","","","","","","","",""
1385,"","","Unknown","Unknown","","","","","","","","","",""
4690,"","","Yes","Unknown","","","","","","","","","","Yes"
2811,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
3529,"","","Yes","Unknown","","","","","","","","","Yes","Yes"
5841,"","","Unknown","Unknown","Yes","","","","","","","","Yes","Yes"
2834,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1799,"","","Unknown","Unknown","Yes","","","Yes","","","Yes","","",""
789,"","","Unknown","Unknown","","","","","","","","","","Yes"
2918,"","","Unknown","Yes","","","","","","","","","",""
4585,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
649,"","","Unknown","Unknown","","","","","","","","","",""
1192,"","","Unknown","Unknown","","","","","","","","","",""
3885,"","","Unknown","Unknown","Yes","","Yes","","","","","","","Yes"
2147,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4101,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
5112,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2091,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
318,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
4207,"","","Unknown","Yes","","","","","","","","","",""
2697,"","1 political contribution  in home","Yes","Yes","","","","Yes","","","Yes","","Yes","Yes"
4439,"","","Unknown","Unknown","","","","","","","","","",""
1326,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
5473,"","","Unknown","Unknown","","Yes","","","","","","","",""
5563,"2 religious contributions in home","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","Yes",""
2144,"","","Unknown","Unknown","","","","","","","","","","Yes"
1283,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","",""
4383,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1381,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
3193,"","1 political contribution  in home","Unknown","Unknown","","","Yes","Yes","","","Yes","","",""
4283,"","1 political contribution  in home","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
3227,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5846,"","","Unknown","Unknown","","","","","Yes","","","Yes","","Yes"
2782,"","","Yes","Unknown","Yes","","","","","","","","",""
2136,"","","Unknown","Unknown","","","","","","","","","",""
1810,"","","Unknown","Unknown","","","","","","","","","Yes","Yes"
1709,"","","Unknown","Yes","","","","","","","","","",""
5665,"","","Unknown","Unknown","","","","","","","","","",""
5070,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
1558,"","","Unknown","Unknown","Yes","","","Yes","","","Yes","","","Yes"
5621,"","","Unknown","Unknown","","","","","","","","","",""
1757,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
1788,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
4552,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
5060,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
2851,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1344,"","","Unknown","Unknown","","","","","","","","","",""
3968,"1 religious contribution  in home","","Unknown","Yes","Yes","","","","","","","","",""
2711,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","","Yes"
3543,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
976,"","","Unknown","Unknown","","","","","","","","","Yes",""
5668,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
4925,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
4858,"2 religious contributions in home","","Unknown","Unknown","","","","","","","","","",""
735,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
4206,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
4438,"","","Yes","Yes","","","","","","","","","",""
1741,"","","Unknown","Unknown","","","","","","","","","",""
2347,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1449,"","","Unknown","Unknown","Yes","","Yes","Yes","","Yes","Yes","","","Yes"
2281,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
5225,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
3325,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2051,"","","Unknown","Yes","","","","","","","","","",""
163,"","","Unknown","Yes","","","","","","","","","",""
2911,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","Yes","Yes"
4081,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
4133,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","","Yes"
2560,"","","Unknown","Yes","","","Yes","Yes","","","Yes","","","Yes"
2755,"","","Unknown","Yes","","","","","","","","","",""
21,"","","Unknown","Yes","","","","","","","","","",""
2776,"","","Unknown","Yes","","","","","","Yes","","","Yes","Yes"
3246,"","","Unknown","Yes","","","","","","","","","",""
5572,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
3507,"","","Unknown","Unknown","","","","","","","","","",""
4073,"","","Unknown","Unknown","","","","","","","","","",""
3914,"","","Yes","Yes","","","","Yes","","","Yes","","","Yes"
5047,"","","Unknown","Unknown","","","","","","","","","",""
3137,"","4 political contributions in home","Unknown","Yes","","","","","","","","","",""
4926,"","","Unknown","Yes","","","","","","","","","",""
4018,"","1 political contribution  in home","Yes","Unknown","","","","","","","","","",""
2539,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes",""
4608,"","","Unknown","Unknown","","","","","","","","","",""
3473,"","","Unknown","Yes","","","","","","","","","",""
421,"","","Unknown","Yes","","","","","","","","","",""
5124,"","","Unknown","Unknown","","","","","","","","","",""
4341,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
977,"","","Unknown","Yes","","","","","","","","","",""
1443,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
1836,"","","Unknown","Yes","","","Yes","Yes","","","Yes","","Yes","Yes"
5119,"1 religious contribution  in home","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
5208,"","","Yes","Yes","","","","","","","","","",""
3706,"","","Unknown","Yes","","","","","","","","","",""
559,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
5389,"","","Unknown","Unknown","","","","","","","","","",""
4281,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
4819,"","","Unknown","Yes","","","","","","","","","",""
5791,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","",""
5920,"","","Unknown","Unknown","","","","","","","","","",""
4637,"","","Unknown","Unknown","","","","","","","","","",""
2478,"","","Unknown","Unknown","Yes","","Yes","Yes","","","Yes","","Yes","Yes"
4713,"","1 political contribution  in home","Unknown","Unknown","","","","","","Yes","","","","Yes"
4530,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
5173,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3759,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","","Yes"
4258,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
2473,"","","Unknown","Yes","","","","","","","","","",""
5770,"","","Unknown","Unknown","","","","","","","","","","Yes"
658,"","1 political contribution  in home","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
226,"","","Unknown","Unknown","","","","","","","","","",""
3239,"1 religious contribution  in home","","Yes","Unknown","","","","","","","","","",""
5301,"","1 political contribution  in home","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
3655,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1135,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","",""
616,"","","Unknown","Yes","","","","","","","","","",""
1393,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3255,"","","Unknown","Yes","","","","","","","","","","Yes"
2480,"","","Unknown","Yes","","","","","","","","","",""
293,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
4455,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
210,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
2905,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
4788,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
2098,"","","Unknown","Yes","","","","","","","","","",""
2709,"","","Unknown","Unknown","","","","","","","","","",""
5848,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
1868,"","","Yes","Unknown","","","","","","","","","Yes","Yes"
4417,"","","Unknown","Unknown","","","","","","","","","","Yes"
1495,"","","Unknown","Yes","","","","","","","","","",""
4165,"","","Unknown","Yes","Yes","","","Yes","","","Yes","","",""
2498,"","","Unknown","Yes","","","","","","","","","",""
5531,"","","Unknown","Yes","","","Yes","Yes","","","Yes","","Yes","Yes"
1292,"1 religious contribution  in home","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
3134,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
2450,"","","Unknown","Yes","","","","","","","","","",""
2083,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
5039,"1 religious contribution  in home","2 political contributions in home","Unknown","Unknown","","","","","","","","","Yes","Yes"
1488,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
591,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5784,"","","Unknown","Unknown","","","","","","","","","",""
127,"","","Unknown","Unknown","","","","","","","","","",""
1738,"","","Unknown","Yes","","","","","","","","","",""
1534,"","","Unknown","Yes","","","","","","","","","",""
4436,"","","Unknown","Unknown","","","","","","","","","","Yes"
3208,"","","Unknown","Yes","","","","","","","","","","Yes"
5536,"","","Unknown","Yes","","","","","","","","","",""
3683,"","","Unknown","Unknown","","","","","","","","","",""
235,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","",""
3276,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
2630,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","Yes","Yes"
351,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","Yes",""
2245,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
2209,"","","Unknown","Yes","","","","","","","","","",""
2227,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
2343,"","","Unknown","Yes","","","","","","","","","",""
1318,"","","Unknown","Unknown","","","","","","","","","",""
1965,"","","Unknown","Yes","","","","","","","","","","Yes"
4961,"","","Unknown","Unknown","","","","","","","","","",""
5358,"","","Unknown","Yes","","","","","","","","","",""
5880,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
734,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
906,"","","Unknown","Yes","","","","","","","","","",""
732,"","2 political contributions in home","Unknown","Unknown","","","","","","","","","","Yes"
1890,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
674,"","","Unknown","Yes","","","","","","","","","",""
5198,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
3736,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
13,"","","Unknown","Unknown","","","","","","","","","","Yes"
2495,"","","Unknown","Yes","","","","","","","","","",""
3258,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4102,"","1 political contribution  in home","Yes","Yes","","","","","","","","","Yes","Yes"
28,"","1 political contribution  in home","Yes","Yes","","","","","","","","","",""
171,"","","Unknown","Yes","","","","","","","","","",""
2655,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5597,"","","Unknown","Unknown","","","","","","","","","",""
1740,"","","Unknown","Yes","","","","","","","","","",""
1081,"1 religious contribution  in home","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
2052,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
4807,"","","Yes","Yes","","","","","","","","","","Yes"
3949,"","1 political contribution  in home","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
5075,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
4246,"","","Yes","Yes","","Yes","","","","","","","","Yes"
2864,"","","Unknown","Yes","","","","","","","","","",""
4033,"","","Unknown","Yes","","","","","","","","","",""
4147,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
1860,"","","Unknown","Unknown","","","","","","","","","",""
747,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
5674,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
3820,"","","Unknown","Unknown","","","","","","","","","",""
2629,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4306,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
958,"","","Unknown","Yes","","","","","","","","","",""
3750,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
3241,"","","Unknown","Yes","","","","","","","","","",""
3097,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1746,"","","Unknown","Yes","","","","","","","","","",""
1995,"","1 political contribution  in home","Yes","Unknown","","","","","","","","","",""
584,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
1508,"","","Unknown","Yes","","","","","","","","","Yes","Yes"
5894,"","","Unknown","Yes","","","","","","","","","",""
5646,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
3403,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
2257,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes",""
322,"","","Unknown","Unknown","","","","","","","","","","Yes"
594,"","","Unknown","Unknown","","","","","","","","","",""
838,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
1943,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
2070,"","","Unknown","Unknown","","","","","","","","","",""
1281,"","","Unknown","Unknown","","","","","","","","","","Yes"
4990,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
2888,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
5424,"","","Unknown","Unknown","","","","","","","","","",""
1565,"","","Yes","Yes","","","","","","","","","",""
1949,"","","Yes","Yes","","","","","","","","","",""
436,"","","Yes","Yes","","","","","","","","","",""
3100,"","","Unknown","Unknown","","","","","","","","","",""
1007,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
4542,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","Yes","Yes"
2917,"","","Unknown","Yes","","","","","","","","","","Yes"
1916,"","1 political contribution  in home","Yes","Unknown","","","","","","","","","",""
1917,"","","Unknown","Yes","","","Yes","Yes","","","Yes","","","Yes"
4096,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
815,"","","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
4083,"","","Unknown","Yes","","","","","","","","","",""
3483,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2708,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
1046,"","","Yes","Yes","","","","","","","","","",""
2511,"","","Yes","Unknown","","","","","","","","","",""
651,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
2646,"","","Unknown","Unknown","","","","","","","","","",""
585,"","","Unknown","Unknown","","","","","","","","","",""
1928,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
1101,"1 religious contribution  in home","","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
4426,"","","Unknown","Unknown","","","","","","","","","",""
266,"","","Yes","Yes","","","","","","","","","",""
4451,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
546,"","","Yes","Unknown","","","","","","","","","",""
1201,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
595,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
1808,"","","Unknown","Yes","","","","","","","","","",""
4169,"","","Unknown","Unknown","","","","","","","","","",""
2119,"1 religious contribution  in home","","Unknown","Yes","","","","Yes","","","Yes","","Yes",""
3579,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","Yes","Yes"
2722,"","","Unknown","Unknown","","","","","","","","","",""
797,"","1 political contribution  in home","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
3079,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","Yes",""
2970,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
2880,"","","Unknown","Yes","","","","","","","","","",""
5501,"","","Unknown","Unknown","","","","","","","","","",""
5041,"","","Unknown","Unknown","","","","","","","","","",""
2294,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
5718,"1 religious contribution  in home","","Unknown","Unknown","","","Yes","Yes","","","Yes","","Yes","Yes"
1363,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5967,"","1 political contribution  in home","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
3112,"","","Unknown","Unknown","","","","","","","","","",""
1518,"","","Unknown","Unknown","","","","","","","","","",""
