"tmpID","FamilyMagazineInHome","FemaleOrientedMagazineInHome","ReligiousMagazineInHome","GardeningMagazineInHome","CulinaryInterestMagazineInHome","HealthFitnessMagazineInHome","DoItYourselfMagazineInHome","FinancialMagazineInHome","InterestinCurrentAffairsPoliticsInHousehold"
198,"","","","","","","","",""
3440,"","","","","","2 health and fitness magazine purchases","","","Yes"
1008,"3 family-oriented magazine purchases","1 female magazine purchase ","","1 gardening magazine purchase ","1 culinary magazine purchase ","5 health and fitness magazine purchases","","1 financial magazine purchase ",""
885,"","","","","","","","",""
5904,"","","","","","","","",""
2060,"","","","","","","","","Yes"
1491,"","","","","","","","",""
3094,"3 family-oriented magazine purchases","","","","1 culinary magazine purchase ","8 health and fitness magazine purchases","","",""
730,"","","","","","2 health and fitness magazine purchases","","","Yes"
361,"","","","","","","","",""
5280,"","1 female magazine purchase ","","","","3 health and fitness magazine purchases","","1 financial magazine purchase ",""
3756,"1 family-oriented magazine purchase ","","","","","2 health and fitness magazine purchases","","",""
371,"","","","","","2 health and fitness magazine purchases","","","Yes"
3858,"1 family-oriented magazine purchase ","","","","","","","",""
2553,"","","","","","","","","Yes"
1020,"1 family-oriented magazine purchase ","","","","","","1 Do-It-Yourself magazine purchase ","3 financial magazine purchases",""
5448,"","","","","","","","","Yes"
2082,"","","","","","1 health and fitness magazine purchase ","","1 financial magazine purchase ",""
76,"","","","","","","","","Yes"
4260,"","","","","","","","",""
162,"","","","","","","","",""
563,"1 family-oriented magazine purchase ","","","","","","","","Yes"
2625,"","","","","","1 health and fitness magazine purchase ","","",""
564,"1 family-oriented magazine purchase ","","","","","","","",""
3263,"1 family-oriented magazine purchase ","","","","1 culinary magazine purchase ","2 health and fitness magazine purchases","2 Do-It-Yourself magazine purchases","1 financial magazine purchase ",""
3043,"","","","","","","","",""
3,"","","","","","","","",""
4671,"","","","","1 culinary magazine purchase ","3 health and fitness magazine purchases","","",""
4557,"","","","","","","","","Yes"
1804,"2 family-oriented magazine purchases","1 female magazine purchase ","","","","","","3 financial magazine purchases",""
3421,"","","","","","","","","Yes"
4843,"","","","","","1 health and fitness magazine purchase ","","","Yes"
421,"","","","","","","","",""
2072,"","","","1 gardening magazine purchase ","","4 health and fitness magazine purchases","","","Yes"
463,"1 family-oriented magazine purchase ","1 female magazine purchase ","","","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ","Yes"
812,"","","","","","1 health and fitness magazine purchase ","","1 financial magazine purchase ",""
5751,"","","","","","","","","Yes"
3763,"","","","","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
3337,"2 family-oriented magazine purchases","","","","","4 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
1161,"","","","","","1 health and fitness magazine purchase ","","",""
3934,"","","","","","1 health and fitness magazine purchase ","","",""
3048,"","","","","","","","",""
4307,"","","","1 gardening magazine purchase ","","2 health and fitness magazine purchases","3 Do-It-Yourself magazine purchases","",""
4131,"1 family-oriented magazine purchase ","","","","","","","",""
2327,"1 family-oriented magazine purchase ","","","3 gardening magazine purchases","","2 health and fitness magazine purchases","2 Do-It-Yourself magazine purchases","1 financial magazine purchase ",""
1145,"","","","","","","","",""
5413,"","","","","","1 health and fitness magazine purchase ","","",""
5768,"","","","","","1 health and fitness magazine purchase ","","",""
3711,"","","","","","3 health and fitness magazine purchases","","",""
2573,"","","","","","1 health and fitness magazine purchase ","","","Yes"
1014,"","","","","","","","","Yes"
2223,"","","","","","","","",""
634,"","","","","","","","",""
1335,"","","","","","","","",""
4306,"","","","","","","","",""
5776,"","","","","","","","",""
5373,"","","","","","","","",""
3157,"","","","","","","","",""
3127,"","","","","","","","",""
5879,"","","","","","","","",""
5796,"1 family-oriented magazine purchase ","","","","","3 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
4033,"2 family-oriented magazine purchases","1 female magazine purchase ","","","1 culinary magazine purchase ","4 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","8 financial magazine purchases",""
4498,"","","","","","","","",""
3605,"2 family-oriented magazine purchases","1 female magazine purchase ","","","","7 health and fitness magazine purchases","","",""
3734,"","","","","","","","",""
3030,"","","","","","","","",""
3272,"4 family-oriented magazine purchases","1 female magazine purchase ","","","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ","Yes"
5449,"","","","","","","","","Yes"
4958,"","","","","","","","","Yes"
2647,"","","","","","","","",""
1499,"","","","","1 culinary magazine purchase ","","","",""
3396,"","","","","","","","","Yes"
3271,"1 family-oriented magazine purchase ","","","","","","","",""
5741,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","",""
155,"","","","","","","","","Yes"
2244,"","","","","","4 health and fitness magazine purchases","","3 financial magazine purchases",""
1190,"","","","","","","","",""
3762,"","","","","","1 health and fitness magazine purchase ","","",""
2883,"","","","","","","","",""
5341,"","","","","","2 health and fitness magazine purchases","","",""
3685,"","","","","","1 health and fitness magazine purchase ","","",""
1947,"","","","","","","","",""
1046,"","","","","","","","",""
5030,"","","","","","","","",""
4636,"","","","","","","","",""
3103,"","","","","","","","2 financial magazine purchases",""
5506,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","4 financial magazine purchases",""
4210,"","","","","","","","",""
1769,"","","","","","","","",""
505,"","","","","","","","",""
5701,"","","","","","","","",""
3317,"2 family-oriented magazine purchases","1 female magazine purchase ","","","","8 health and fitness magazine purchases","","5 financial magazine purchases",""
651,"","","","","","","","",""
2027,"","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","1 Do-It-Yourself magazine purchase ","","Yes"
4253,"1 family-oriented magazine purchase ","","","3 gardening magazine purchases","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
1999,"","","","","","","","",""
5706,"1 family-oriented magazine purchase ","","","","","","","",""
400,"","","","","","","","",""
2339,"","","","","","","","",""
5181,"","","","","","","","","Yes"
4459,"","","","","","","","",""
2985,"","","","","","","","",""
978,"","","","","","","","",""
1662,"","","","","","","","",""
5560,"","","","1 gardening magazine purchase ","1 culinary magazine purchase ","2 health and fitness magazine purchases","2 Do-It-Yourself magazine purchases","",""
3709,"2 family-oriented magazine purchases","","","","","1 health and fitness magazine purchase ","","",""
2980,"","","","","","","","",""
4851,"","","","","","","","",""
5789,"","","","","","","","",""
319,"2 family-oriented magazine purchases","1 female magazine purchase ","","2 gardening magazine purchases","","4 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ",""
695,"2 family-oriented magazine purchases","2 female magazine purchases","","","","1 health and fitness magazine purchase ","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ","Yes"
4281,"","","","","","","","",""
446,"","","","","","2 health and fitness magazine purchases","","","Yes"
1717,"","","","","","1 health and fitness magazine purchase ","","","Yes"
3957,"","","","","","","","",""
1021,"","","","","","","","",""
699,"","","","","","","","",""
2813,"","","","","","","","",""
2230,"","","","","","","","","Yes"
5443,"","","","","","","","","Yes"
1146,"","","","","","1 health and fitness magazine purchase ","","","Yes"
3248,"7 family-oriented magazine purchases","1 female magazine purchase ","","4 gardening magazine purchases","3 culinary magazine purchases","9 health and fitness magazine purchases","3 Do-It-Yourself magazine purchases","9 financial magazine purchases",""
4574,"1 family-oriented magazine purchase ","","","","","","","",""
5010,"","","","","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ","Yes"
1981,"","","","","","","","",""
2966,"","","","","","","","",""
132,"","","","","","","","",""
5199,"2 family-oriented magazine purchases","","","","1 culinary magazine purchase ","3 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
2923,"","","","","","","","",""
2284,"","","","","","","","",""
5500,"1 family-oriented magazine purchase ","","","","","","","",""
2206,"","","","","","3 health and fitness magazine purchases","","",""
4292,"","","","","","","","",""
897,"","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","","",""
4662,"3 family-oriented magazine purchases","2 female magazine purchases","","3 gardening magazine purchases","1 culinary magazine purchase ","4 health and fitness magazine purchases","","1 financial magazine purchase ","Yes"
4640,"1 family-oriented magazine purchase ","","","","","","","",""
4882,"","","","","","1 health and fitness magazine purchase ","","",""
899,"1 family-oriented magazine purchase ","","","5 gardening magazine purchases","1 culinary magazine purchase ","5 health and fitness magazine purchases","4 Do-It-Yourself magazine purchases","",""
5251,"","","","","","","","",""
327,"","","","","","","","",""
1604,"1 family-oriented magazine purchase ","3 female magazine purchases","","","","2 health and fitness magazine purchases","","",""
3576,"1 family-oriented magazine purchase ","","","","","2 health and fitness magazine purchases","","",""
777,"","","","","","","","",""
4040,"1 family-oriented magazine purchase ","1 female magazine purchase ","","","","","","",""
1344,"","","","","","1 health and fitness magazine purchase ","","",""
1296,"","","","","","","","",""
518,"","","","","","","","1 financial magazine purchase ",""
3977,"","","","","","","","",""
1342,"","","","","","1 health and fitness magazine purchase ","","",""
4058,"","","","","","","","",""
5728,"","","","","","1 health and fitness magazine purchase ","","",""
4067,"","","","3 gardening magazine purchases","1 culinary magazine purchase ","2 health and fitness magazine purchases","2 Do-It-Yourself magazine purchases","","Yes"
4135,"1 family-oriented magazine purchase ","","","","","","","",""
5716,"","","","","","","","",""
2211,"","","","","","","","",""
462,"","","","","","","","",""
2546,"","","","","","","","",""
943,"","","","","","","","",""
684,"","","","","","","","",""
4699,"","","","","","","","",""
2927,"","","","","","","","",""
835,"","","","","","","","","Yes"
5591,"","","","","","","","","Yes"
2304,"","","","","","","","",""
5548,"","1 female magazine purchase ","","1 gardening magazine purchase ","","1 health and fitness magazine purchase ","","",""
3998,"","","","","","1 health and fitness magazine purchase ","","",""
2701,"","","","","","","","",""
4330,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","",""
1400,"","","","","1 culinary magazine purchase ","","1 Do-It-Yourself magazine purchase ","",""
1563,"1 family-oriented magazine purchase ","","","","","","","",""
3293,"","","","","","","","",""
2127,"","1 female magazine purchase ","","","","2 health and fitness magazine purchases","","",""
1853,"","","","","","1 health and fitness magazine purchase ","","","Yes"
5197,"","","","","","","","","Yes"
50,"","","","","","","","",""
691,"","","","","","","","","Yes"
1585,"2 family-oriented magazine purchases","2 female magazine purchases","","1 gardening magazine purchase ","1 culinary magazine purchase ","2 health and fitness magazine purchases","","",""
826,"1 family-oriented magazine purchase ","","","","","","","",""
4402,"","","","","","","","",""
4368,"","1 female magazine purchase ","","","1 culinary magazine purchase ","4 health and fitness magazine purchases","","",""
3056,"","","","","","","","",""
430,"","","","","","","","",""
4637,"","","","","","","","",""
2279,"","","","","","","","",""
2298,"","","","","","","","",""
4050,"","","","","","","","","Yes"
1498,"","","","","","","","","Yes"
1946,"","","","","","","","",""
5690,"","","","","","","","",""
5257,"","","","","","1 health and fitness magazine purchase ","","",""
3038,"","","","","","","","",""
558,"3 family-oriented magazine purchases","2 female magazine purchases","","","","2 health and fitness magazine purchases","","",""
627,"","","","","","","","",""
4741,"1 family-oriented magazine purchase ","","","1 gardening magazine purchase ","","3 health and fitness magazine purchases","","",""
3964,"","","","","","","","",""
1451,"","","","","","","","",""
2005,"","","","","","1 health and fitness magazine purchase ","","1 financial magazine purchase ",""
1766,"","","","","","","","","Yes"
480,"2 family-oriented magazine purchases","","","","","1 health and fitness magazine purchase ","","1 financial magazine purchase ",""
4453,"","","","","","","","",""
5707,"","","","","","1 health and fitness magazine purchase ","","1 financial magazine purchase ","Yes"
1998,"","","","","","","","",""
3466,"","1 female magazine purchase ","","","","","","",""
2488,"","","","","","","","",""
2191,"","","","","","","","1 financial magazine purchase ","Yes"
4032,"3 family-oriented magazine purchases","","","","1 culinary magazine purchase ","","","3 financial magazine purchases",""
268,"","","","","","","","",""
5200,"","","","","","","","",""
1694,"","","","","","","","",""
4006,"","","","","","1 health and fitness magazine purchase ","","","Yes"
3845,"","","","","","","","","Yes"
4430,"1 family-oriented magazine purchase ","","","","","","","","Yes"
5544,"","","","","","","","",""
5477,"","","","","","","","",""
3193,"2 family-oriented magazine purchases","","","","","3 health and fitness magazine purchases","","",""
2741,"","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","","",""
1202,"","","","","","","","",""
5048,"","","","","","","","2 financial magazine purchases",""
1191,"","","","","","","","","Yes"
1562,"1 family-oriented magazine purchase ","","","","","3 health and fitness magazine purchases","","",""
5292,"2 family-oriented magazine purchases","","","","","","","",""
5831,"","","","","","","","",""
4415,"","","","","","","","","Yes"
930,"","","","","","3 health and fitness magazine purchases","","",""
4698,"1 family-oriented magazine purchase ","","","","","","","",""
5459,"","","","","","","","",""
1314,"","","","","","","","",""
1151,"","","","","","2 health and fitness magazine purchases","","","Yes"
5610,"","","","","","","","",""
3129,"","","","","","","","",""
469,"","","","","","","","",""
60,"","","","","","","","",""
1075,"","","","","","1 health and fitness magazine purchase ","","",""
2140,"","","","","","","","1 financial magazine purchase ",""
621,"","","","","","","","","Yes"
5278,"","","","","","","","",""
2418,"","","","","","","","",""
2562,"","","","","","","","",""
3209,"","","","","","","","",""
3558,"","1 female magazine purchase ","","","1 culinary magazine purchase ","","","",""
5590,"1 family-oriented magazine purchase ","","","","","","","",""
967,"","","","","","","","",""
3788,"","","","","","","","",""
1030,"","","","","","","","",""
3013,"1 family-oriented magazine purchase ","","","","","2 health and fitness magazine purchases","","","Yes"
2290,"","","","","","3 health and fitness magazine purchases","","1 financial magazine purchase ","Yes"
4949,"","","","","","","","","Yes"
886,"","","","","","","","",""
2259,"1 family-oriented magazine purchase ","","","","","","","",""
1248,"","","","","","","","","Yes"
22,"1 family-oriented magazine purchase ","","","","","","","3 financial magazine purchases",""
1972,"","","","","","1 health and fitness magazine purchase ","","",""
2648,"","","","","","","","",""
5944,"","","","","","","","",""
1554,"","","","2 gardening magazine purchases","","","","","Yes"
1644,"","","","","","2 health and fitness magazine purchases","","",""
3519,"","","","","","","","","Yes"
3692,"","","","","","","","1 financial magazine purchase ","Yes"
5648,"","","","","","","","",""
4164,"","","","","","","","",""
3865,"","","","","","1 health and fitness magazine purchase ","","1 financial magazine purchase ",""
2770,"","","","","","","","",""
4247,"1 family-oriented magazine purchase ","","","","","","","1 financial magazine purchase ","Yes"
504,"","","","","","","","",""
2678,"","","","","","","","",""
3927,"","","","","","","","",""
4047,"","","","","","","","",""
1871,"","","","","","2 health and fitness magazine purchases","","",""
1618,"2 family-oriented magazine purchases","2 female magazine purchases","","","2 culinary magazine purchases","6 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
3922,"","","","","","","","",""
5596,"","","","","","3 health and fitness magazine purchases","","",""
5574,"","","","","","4 health and fitness magazine purchases","","",""
5139,"","","","","","2 health and fitness magazine purchases","","",""
1042,"","","","","","1 health and fitness magazine purchase ","","",""
5627,"","","","","","","","",""
4730,"","","","","","1 health and fitness magazine purchase ","","2 financial magazine purchases","Yes"
4201,"","","","","","","","",""
3757,"3 family-oriented magazine purchases","","","1 gardening magazine purchase ","1 culinary magazine purchase ","1 health and fitness magazine purchase ","","","Yes"
2391,"","","","","","","","",""
2960,"","","","","","","","",""
4951,"","","","","","","","",""
4856,"","","","","","","","",""
1159,"1 family-oriented magazine purchase ","","","","","","2 Do-It-Yourself magazine purchases","",""
2734,"","","","","","","","",""
3399,"","","","","","","","",""
447,"2 family-oriented magazine purchases","","","","","","","1 financial magazine purchase ",""
3430,"1 family-oriented magazine purchase ","","","","","","","","Yes"
5965,"","","","","","1 health and fitness magazine purchase ","","",""
4625,"","","","","","","","",""
1758,"","","","","","","","","Yes"
306,"1 family-oriented magazine purchase ","","","","","","","",""
2352,"","","","","","","","",""
4072,"","","","","","","","",""
900,"1 family-oriented magazine purchase ","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ",""
5503,"","","","","","","","",""
1360,"","","","","","","","",""
3651,"","","","","","","","",""
2224,"","","","","","2 health and fitness magazine purchases","","2 financial magazine purchases",""
3819,"","","","1 gardening magazine purchase ","","1 health and fitness magazine purchase ","1 Do-It-Yourself magazine purchase ","",""
5780,"","","","","","","","",""
2177,"2 family-oriented magazine purchases","","","","1 culinary magazine purchase ","4 health and fitness magazine purchases","","",""
4399,"","","","","","","","",""
5391,"","","","","","","","",""
4034,"","","","","","","","",""
123,"","","","","","","","",""
4900,"","","","","","","","","Yes"
3265,"","","","","","","","",""
4250,"","","","","","","","",""
5951,"","","","","","","","",""
3151,"1 family-oriented magazine purchase ","","","","","","","",""
5351,"","","","","","","","",""
52,"1 family-oriented magazine purchase ","","","","","","","",""
2385,"2 family-oriented magazine purchases","","","","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
1791,"","","","","","","","",""
1730,"","","","","","","","",""
5229,"1 family-oriented magazine purchase ","","","","","","","","Yes"
3985,"","","","","","","","",""
4989,"","","","","","","","",""
920,"","","","","","","","",""
4972,"","","","","","","","",""
4854,"1 family-oriented magazine purchase ","","","","","","","1 financial magazine purchase ",""
1872,"","","","","","","","",""
2037,"","1 female magazine purchase ","","","","7 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","",""
1460,"","","","","","","","",""
1753,"","","","","","1 health and fitness magazine purchase ","","",""
1357,"","","","","","","","","Yes"
2702,"","","","","","","","",""
5160,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","2 financial magazine purchases",""
2146,"","","","","","","","","Yes"
4298,"","","","","","","","",""
1244,"","","","","","","","","Yes"
1820,"","","","","","","","",""
5708,"1 family-oriented magazine purchase ","","","","","","","",""
2045,"","","","","","","","",""
4763,"","","","","","","","",""
3268,"","","","","","","","",""
5381,"","","","","","","","",""
3049,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","",""
875,"","","","","","","","","Yes"
439,"","","","","","1 health and fitness magazine purchase ","","",""
3197,"1 family-oriented magazine purchase ","","","","","","","",""
4966,"","","","","","","","",""
2996,"","","","","","1 health and fitness magazine purchase ","","",""
2306,"4 family-oriented magazine purchases","","","","","","","","Yes"
496,"","","","","","1 health and fitness magazine purchase ","","",""
289,"","","","","","","","",""
2302,"2 family-oriented magazine purchases","","","","","1 health and fitness magazine purchase ","2 Do-It-Yourself magazine purchases","1 financial magazine purchase ",""
3667,"","","","","","","","",""
5108,"","","","","","","","","Yes"
5580,"","","","","","","","",""
936,"1 family-oriented magazine purchase ","","","","","","","",""
4631,"","","","","","","","","Yes"
352,"","","","","","","","",""
1469,"","","","","","","","",""
140,"","","","","","1 health and fitness magazine purchase ","","",""
1389,"2 family-oriented magazine purchases","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","","","Yes"
1950,"","","","","","","","","Yes"
5599,"","","","","","","","","Yes"
5901,"2 family-oriented magazine purchases","","","","","","1 Do-It-Yourself magazine purchase ","","Yes"
3776,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","",""
5276,"","","","","","","","","Yes"
1606,"","","","","1 culinary magazine purchase ","","","",""
2895,"","","","","","3 health and fitness magazine purchases","","",""
4537,"3 family-oriented magazine purchases","","","","","3 health and fitness magazine purchases","","",""
5742,"","","","","","","","",""
863,"1 family-oriented magazine purchase ","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","","",""
3442,"","","","","","","","",""
3623,"","","","","","","","","Yes"
320,"","","","","","","","",""
4944,"","","","","","","","","Yes"
949,"1 family-oriented magazine purchase ","","","","","","","",""
487,"","","","","","","","",""
3832,"","","","","","","","",""
4291,"","","","","","","","",""
3074,"","","","","","","","1 financial magazine purchase ",""
1856,"","","","","","","","",""
1806,"1 family-oriented magazine purchase ","","","","","2 health and fitness magazine purchases","","",""
4975,"","1 female magazine purchase ","","1 gardening magazine purchase ","1 culinary magazine purchase ","","","","Yes"
1263,"","","","","","","","",""
3489,"","","","","","","","",""
4835,"","","","","","1 health and fitness magazine purchase ","","",""
736,"","","","","","","","",""
804,"","","","","","","","1 financial magazine purchase ",""
1001,"","","","","","","","",""
3995,"","","","","","","","",""
1092,"","","","","","2 health and fitness magazine purchases","","1 financial magazine purchase ","Yes"
1992,"","","","","","","","",""
5766,"","","","","","","","","Yes"
645,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","",""
5482,"","","","","","","","",""
2174,"","","","","","","","",""
5082,"","","","","","","","",""
3769,"","2 female magazine purchases","","","","5 health and fitness magazine purchases","","1 financial magazine purchase ",""
408,"","","","","","","","",""
911,"","","","","","","","1 financial magazine purchase ",""
3564,"","","","","","","","","Yes"
3967,"2 family-oriented magazine purchases","","","","","","1 Do-It-Yourself magazine purchase ","4 financial magazine purchases",""
5981,"2 family-oriented magazine purchases","","","","","1 health and fitness magazine purchase ","","2 financial magazine purchases",""
1475,"","","","","","","","","Yes"
5509,"","","","","","","","","Yes"
3943,"","","","","","1 health and fitness magazine purchase ","","",""
2735,"","","","","","","","","Yes"
5754,"","1 female magazine purchase ","","","","","","",""
888,"","","","","","1 health and fitness magazine purchase ","","","Yes"
5194,"","","","","","","","","Yes"
1428,"1 family-oriented magazine purchase ","","","","","","1 Do-It-Yourself magazine purchase ","",""
117,"","","","","","","","",""
4233,"","","","","","","","","Yes"
3441,"","","","","","2 health and fitness magazine purchases","","",""
5052,"","","","2 gardening magazine purchases","","","","",""
1362,"","","","","","","","","Yes"
2148,"","","","","","","","",""
5256,"","","","","","","","",""
199,"","","","","","","","",""
494,"","","","","","","","",""
4790,"","","","","","","","",""
4573,"1 family-oriented magazine purchase ","2 female magazine purchases","","","","2 health and fitness magazine purchases","","",""
4933,"","","","","","","","",""
2157,"4 family-oriented magazine purchases","1 female magazine purchase ","","","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ",""
4791,"","","","","","","","","Yes"
829,"","","","","","","","",""
5867,"","","","","","2 health and fitness magazine purchases","","",""
2825,"","","","","","","","","Yes"
4548,"","","","2 gardening magazine purchases","","","","1 financial magazine purchase ","Yes"
4293,"","","","","","","","",""
513,"","","","3 gardening magazine purchases","1 culinary magazine purchase ","5 health and fitness magazine purchases","5 Do-It-Yourself magazine purchases","",""
5445,"","","","","","","","","Yes"
654,"","","","","","","","","Yes"
4279,"","","","","","","","",""
2873,"","","","","","","","",""
491,"","","","","","","","",""
5355,"","","","","","","","",""
2789,"","","","","","","","",""
2862,"","","","","","","","",""
5791,"","","","","","","","","Yes"
5049,"","","","","","","","",""
4144,"","","","","","1 health and fitness magazine purchase ","","",""
291,"","","","","","","","",""
3889,"","","","","","","","",""
761,"","","","","","","","",""
673,"2 family-oriented magazine purchases","","","","","2 health and fitness magazine purchases","","5 financial magazine purchases",""
488,"","","","","","","","",""
4859,"","","","","","","","","Yes"
4588,"","","","","","","","",""
1320,"","","","","","","","","Yes"
4821,"","","","","","","","",""
5691,"","","","","","","","",""
782,"","","","","","","","",""
275,"","","","","","","","",""
5925,"","","","","","","","",""
1724,"","","","","","","","","Yes"
2691,"","","","","","","","",""
2742,"1 family-oriented magazine purchase ","","","2 gardening magazine purchases","","2 health and fitness magazine purchases","4 Do-It-Yourself magazine purchases","",""
1236,"1 family-oriented magazine purchase ","1 female magazine purchase ","","","","1 health and fitness magazine purchase ","","",""
4641,"","","","","","","","",""
4540,"","1 female magazine purchase ","","1 gardening magazine purchase ","","7 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","3 financial magazine purchases","Yes"
682,"1 family-oriented magazine purchase ","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","","",""
5917,"","","","","","","","",""
2275,"","","","","","","","",""
85,"","","","","","","","","Yes"
703,"","","","","","","","","Yes"
3121,"","","","","","","","","Yes"
786,"","","","","","","","","Yes"
4782,"","","","","","","","","Yes"
2686,"","","","","","","","",""
1211,"1 family-oriented magazine purchase ","","1 religious magazine purchase ","2 gardening magazine purchases","","2 health and fitness magazine purchases","5 Do-It-Yourself magazine purchases","1 financial magazine purchase ",""
3887,"","","","","","","","",""
5876,"","","","","","","","",""
4248,"1 family-oriented magazine purchase ","","","","","3 health and fitness magazine purchases","","",""
1474,"","","","","","","","",""
939,"","","","","","","","",""
1254,"","","","","","","","",""
2914,"","","","","","1 health and fitness magazine purchase ","","",""
5283,"1 family-oriented magazine purchase ","","","","","","","",""
4515,"","","","","","","","","Yes"
720,"","","","","","","","",""
5516,"","","","","","","","",""
3324,"","","","","","2 health and fitness magazine purchases","","",""
5322,"","","","","","","","","Yes"
122,"1 family-oriented magazine purchase ","","","","","","","",""
2167,"","","","","","1 health and fitness magazine purchase ","","",""
4648,"4 family-oriented magazine purchases","","","","","","","",""
5992,"","","","","","","","",""
4976,"","","","","","","","",""
3582,"4 family-oriented magazine purchases","","","","1 culinary magazine purchase ","5 health and fitness magazine purchases","","3 financial magazine purchases","Yes"
2464,"","","","","","","","",""
2238,"","","","","","","","",""
1401,"","1 female magazine purchase ","","","","1 health and fitness magazine purchase ","","",""
