"tmpID","ReligiousContributorInHome","PoliticalContributerInHome","DonatesEnvironmentCauseInHome","DonatesToCharityInHome","DonatestoAnimalWelfare","DonatestoArtsandCulture","DonatestoChildrensCauses","DonatestoHealthcare","DonatestoInternationalAidCauses","DonatestoVeteransCauses","DonatestoHealthcare1","DonatestoInternationalAidCauses1","DonatestoWildlifePreservation","DonatestoLocalCommunity"
2829,"","","Unknown","Unknown","","","","","","","","","",""
14580,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","",""
14856,"","","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","","Yes"
8817,"","","Unknown","Unknown","","","","","","","","","","Yes"
5163,"","","Yes","Yes","","","","","","","","","",""
6417,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
13707,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4953,"","","Unknown","Yes","","","Yes","Yes","","","Yes","","","Yes"
2909,"","","Unknown","Yes","","","","","","","","","",""
3534,"","","Unknown","Unknown","Yes","","","Yes","","","Yes","","","Yes"
4395,"","","Unknown","Yes","","","","","","","","","",""
9492,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
3935,"","1 political contribution  in home","Yes","Unknown","Yes","","","Yes","","Yes","Yes","","","Yes"
4167,"","","Unknown","Unknown","","","","","","","","","Yes","Yes"
7347,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
11316,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
2731,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
12866,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","Yes","Yes"
1875,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","","Yes"
11254,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
9507,"","","Unknown","Unknown","","","","","","","","","","Yes"
915,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
9832,"","","Unknown","Unknown","","","","","","","","","",""
10443,"","","Unknown","Yes","","","","","","","","","","Yes"
3495,"","","Unknown","Yes","","","","","","","","","",""
9804,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
12425,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
11360,"1 religious contribution  in home","","Unknown","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes"
6169,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
293,"","1 political contribution  in home","Unknown","Yes","","","Yes","Yes","","","Yes","","Yes","Yes"
9187,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","",""
11004,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
9913,"2 religious contributions in home","","Unknown","Unknown","","","","","","","","","",""
11397,"","","Unknown","Unknown","","","","","","","","","",""
12186,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2315,"","","Unknown","Unknown","","","","","","","","","",""
1122,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
6326,"","","Unknown","Unknown","","","","","","","","","",""
10089,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5967,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
14582,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
11557,"","","Unknown","Yes","","","","","","","","","",""
5003,"","","Unknown","Yes","","","","","","","","","",""
631,"1 religious contribution  in home","","Unknown","Yes","Yes","","","","","","","","",""
2153,"","","Unknown","Yes","","","","","","","","","",""
9542,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
8678,"1 religious contribution  in home","5 political contributions in home","Unknown","Yes","","","","","","","","","",""
213,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
1229,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
10858,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
11268,"","","Unknown","Yes","","","","","","","","","","Yes"
834,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
9210,"","","Unknown","Unknown","","","","","","","","","",""
8950,"","","Unknown","Unknown","","","","","","","","","",""
2597,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","",""
763,"","","Unknown","Unknown","","","Yes","","","","","","","Yes"
12271,"","","Unknown","Unknown","","","","","","","","","","Yes"
3128,"","","Unknown","Unknown","","","","","","","","","",""
1315,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
14459,"","","Unknown","Unknown","","","","","","","","","","Yes"
11359,"","","Unknown","Yes","","","","","","","","","",""
1232,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
7582,"","","Unknown","Yes","","","","","","","","","",""
14791,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
11820,"","","Unknown","Yes","","","","","","","","","",""
13251,"","","Unknown","Unknown","","","","","","","","","",""
11123,"","","Unknown","Unknown","","","","","","","","","",""
8963,"","","Unknown","Yes","","","","","","","","","",""
231,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
5421,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
5336,"","1 political contribution  in home","Yes","Yes","","","","","","","","","Yes",""
7422,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
14673,"","1 political contribution  in home","Unknown","Yes","Yes","","","Yes","","","Yes","","","Yes"
7480,"","","Unknown","Unknown","","","","","","","","","",""
8746,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
7420,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","Yes","Yes"
421,"","","Unknown","Unknown","","","","","","","","","",""
1666,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3794,"","","Unknown","Unknown","","","","","","","","","",""
3116,"","","Unknown","Yes","","","","","","","","","",""
14883,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1095,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","Yes","Yes"
10004,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
2671,"","","Unknown","Unknown","","","","","","","","","",""
835,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
13006,"","","Yes","Unknown","","","","Yes","","","Yes","","",""
6985,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
829,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3594,"","1 political contribution  in home","Unknown","Unknown","","","","","","Yes","","","","Yes"
4756,"1 religious contribution  in home","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
14898,"","","Unknown","Yes","","","","","","","","","",""
9089,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4976,"","","Unknown","Yes","","","","","","","","","",""
8900,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
3073,"","","Unknown","Unknown","","","","","","","","","",""
5945,"","1 political contribution  in home","Unknown","Yes","Yes","","","","","","","","",""
868,"","","Unknown","Yes","","","","","","","","","",""
3035,"","","Unknown","Unknown","","","","","","","","","",""
4018,"","","Unknown","Yes","","","","","","","","","",""
354,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
2485,"","","Unknown","Unknown","","","","","","","","","",""
818,"","","Unknown","Yes","","","","","","","","","",""
2603,"","","Unknown","Yes","","","","Yes","","Yes","Yes","","",""
950,"","","Unknown","Yes","","","","","","","","","","Yes"
13161,"","1 political contribution  in home","Unknown","Yes","","","Yes","Yes","","","Yes","","Yes","Yes"
5318,"","","Unknown","Yes","","","","","","","","","","Yes"
5385,"","","Unknown","Yes","","","","","","","","","","Yes"
12138,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
14037,"","","Unknown","Unknown","","","","","","","","","",""
13780,"","3 political contributions in home","Yes","Unknown","","","","","","","","","",""
47,"","3 political contributions in home","Unknown","Yes","","","","","","","","","",""
1524,"","","Unknown","Yes","","","","","","","","","",""
9328,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
3102,"","","Yes","Unknown","","","","","","","","","",""
1872,"","","Unknown","Unknown","","","","","","","","","",""
2246,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
9821,"","","Yes","Yes","","","","","","","","","",""
11006,"","","Yes","Unknown","","","","Yes","","","Yes","","Yes","Yes"
7394,"","","Unknown","Unknown","","","","","","","","","","Yes"
251,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
2823,"","1 political contribution  in home","Unknown","Unknown","","","Yes","","","","","","Yes","Yes"
3665,"","","Unknown","Unknown","","","","","","","","","","Yes"
4547,"","","Unknown","Yes","Yes","","","","","","","","",""
10270,"","5 political contributions in home","Unknown","Unknown","","","","","","","","","",""
4778,"","1 political contribution  in home","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
3095,"","","Unknown","Yes","","","","","","","","","",""
4103,"","","Unknown","Yes","","","","","","","","","",""
9705,"6 religious contributions in home","","Unknown","Yes","","","","","","","","","",""
2532,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
4827,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
1423,"","","Unknown","Unknown","Yes","","","Yes","","","Yes","","",""
11528,"1 religious contribution  in home","1 political contribution  in home","Yes","Unknown","","","","","","","","","",""
2075,"","","Unknown","Unknown","Yes","","","Yes","","","Yes","","","Yes"
966,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","Yes",""
2501,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
2326,"","","Unknown","Yes","","","","","","","","","",""
4861,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
7210,"","","Unknown","Unknown","","","","","","","","","","Yes"
6952,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
13156,"","","Unknown","Unknown","","","","","","","","","",""
9297,"","1 political contribution  in home","Unknown","Unknown","Yes","","","","","","","","","Yes"
12953,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
13850,"","","Unknown","Unknown","","","","","","","","","",""
2210,"","","Unknown","Yes","","","","","","","","","",""
10459,"","","Unknown","Unknown","","","","","","","","","",""
2618,"","","Unknown","Unknown","","","","","","","","","",""
14331,"","","Unknown","Unknown","","","","","","","","","",""
2978,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
14174,"","","Unknown","Unknown","","","","","","","","","",""
2179,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
10593,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
12774,"","","Unknown","Yes","","","","","","","","","",""
4707,"","","Unknown","Unknown","Yes","","","","","","","","",""
6902,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
9318,"","","Unknown","Yes","","","","","","","","","","Yes"
5524,"","","Unknown","Unknown","","","","","","","","","","Yes"
5548,"","","Unknown","Unknown","","","","","","","","","",""
8479,"","","Unknown","Yes","","","","","","","","","",""
3838,"","","Unknown","Yes","Yes","","","","","","","","",""
10758,"","","Unknown","Yes","","","","","","","","","",""
11888,"","","Unknown","Unknown","","","","","","","","","",""
14443,"","","Unknown","Unknown","","","","","","","","","",""
9593,"","","Unknown","Unknown","","","","","","","","","",""
10218,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
5129,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
6557,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
11379,"","2 political contributions in home","Unknown","Unknown","","","","","","","","","",""
2242,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
3049,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
3261,"","","Unknown","Unknown","","","Yes","","","","","","","Yes"
4207,"","","Unknown","Yes","","","","","","","","","",""
11052,"","","Unknown","Yes","Yes","","","","","","","","",""
12086,"","","Unknown","Unknown","Yes","","","","","","","","","Yes"
8664,"","","Unknown","Yes","","","","","","","","","",""
7862,"","1 political contribution  in home","Yes","Unknown","","","","","","","","","",""
7423,"","","Unknown","Unknown","","","","","","","","","",""
8495,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4385,"","2 political contributions in home","Unknown","Yes","","","","","","","","","",""
4227,"","","Unknown","Unknown","","","","","","","","","","Yes"
6334,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
11721,"","","Unknown","Unknown","","","","Yes","Yes","","Yes","Yes","Yes","Yes"
14536,"","","Unknown","Unknown","","","","","","","","","",""
5567,"","1 political contribution  in home","Unknown","Unknown","Yes","","","","","","","","","Yes"
1255,"","1 political contribution  in home","Yes","Unknown","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
7830,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3586,"1 religious contribution  in home","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
14869,"","","Unknown","Yes","","","Yes","Yes","","","Yes","","","Yes"
2625,"","","Unknown","Yes","","","","","","","","","",""
2742,"","","Unknown","Unknown","","","","","","","","","",""
2255,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
5506,"","","Unknown","Yes","","","","","","","","","",""
7020,"","","Unknown","Unknown","","","","","","","","","",""
4533,"","","Unknown","Unknown","","","","","","","","","",""
2659,"","","Unknown","Unknown","","","","","","","","","",""
8514,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","",""
4444,"","","Unknown","Unknown","","","","","","","","","",""
6348,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","Yes",""
8060,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
12650,"","","Unknown","Yes","","","","","","","","","",""
12957,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
2026,"","","Unknown","Yes","Yes","","","","","","","","",""
611,"","","Unknown","Yes","","","","","","","","","",""
8022,"","","Unknown","Unknown","","","","","","","","","",""
1219,"","","Unknown","Yes","","","","","","","","","",""
1409,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
481,"","","Unknown","Unknown","","","","","","","","","",""
11783,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
10312,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
5457,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
283,"","","Unknown","Unknown","","","","","","","","","",""
14378,"","","Unknown","Unknown","","","","","","","","","",""
7338,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
12386,"","","Unknown","Yes","","","","","","","","","",""
549,"","","Unknown","Yes","","","","","","","","","",""
8622,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
3335,"","","Yes","Unknown","Yes","","","","","","","","",""
11697,"","","Unknown","Yes","","","","","","","","","Yes","Yes"
6944,"","","Unknown","Yes","","","","","","","","","",""
4213,"","","Unknown","Yes","","","","","","","","","",""
4004,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
11109,"","","Unknown","Yes","Yes","","","","","","","","",""
3768,"","","Unknown","Unknown","","","","","","","","","",""
9608,"","","Unknown","Yes","Yes","","","","","","","","","Yes"
7728,"","","Unknown","Yes","","","","","","","","","",""
14485,"","","Unknown","Yes","","","","","","","","","",""
9522,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
10802,"","","Unknown","Yes","","","","","","","","","",""
7395,"","","Unknown","Yes","","","","","","","","","",""
3263,"","","Unknown","Unknown","","","","","","","","","",""
5956,"","","Unknown","Yes","","","","","","","","","",""
10184,"","","Unknown","Unknown","","","","","","","","","",""
12568,"","","Yes","Yes","","","","","","","","","",""
11945,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4657,"","","Unknown","Unknown","","","","","","","","","",""
8875,"1 religious contribution  in home","","Unknown","Yes","","","Yes","Yes","","","Yes","","","Yes"
7769,"","","Unknown","Yes","","","","","","","","","Yes","Yes"
1865,"","","Unknown","Unknown","","","","","","","","","",""
1772,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
6506,"","","Unknown","Unknown","","","","","","","","","",""
5749,"","","Unknown","Unknown","","","","","","","","","",""
3158,"","","Unknown","Unknown","","","","","","","","","",""
7722,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
6270,"","","Unknown","Unknown","","","","","","","","","","Yes"
3316,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","Yes",""
14279,"","","Unknown","Unknown","","","","","","","","","",""
2736,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","Yes",""
10965,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
2402,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
3816,"","","Unknown","Yes","","","","","","","","","",""
14384,"","","Unknown","Unknown","","","","","","","","","",""
6631,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
11920,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
3435,"","","Unknown","Yes","","","","","","","","","",""
4408,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
361,"2 religious contributions in home","","Unknown","Unknown","","","","","","","","","",""
8933,"","","Unknown","Unknown","","","","","","","","","",""
6600,"","","Unknown","Unknown","","","","","","","","","",""
4012,"","","Unknown","Yes","","","","","","","","","",""
11406,"","","Unknown","Yes","","","","","","","","","",""
12203,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","","Yes","","",""
7478,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
13471,"","","Unknown","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes"
7999,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
5286,"","","Unknown","Unknown","","","Yes","","","","","","","Yes"
10106,"","","Unknown","Yes","","","","","","","","","",""
8125,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
881,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
13075,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
11729,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","Yes","Yes"
8287,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
11164,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
10647,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
781,"","","Unknown","Unknown","","","","","","","","","",""
9573,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
9410,"","","Unknown","Yes","","","","","","","","","",""
2451,"","","Unknown","Yes","Yes","","","Yes","","Yes","Yes","","","Yes"
4495,"","","Unknown","Unknown","","","","","","","","","",""
9781,"1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
12604,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
12394,"","","Unknown","Yes","","","","","","","","","",""
7350,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
6138,"","1 political contribution  in home","Yes","Yes","","","","Yes","","","Yes","","","Yes"
7058,"","","Unknown","Unknown","","","","","","","","","",""
14090,"","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
13949,"","","Unknown","Yes","","","","","","","","","",""
13126,"","","Unknown","Unknown","","","","","","","","","",""
2607,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
13457,"","","Unknown","Unknown","","","","","","","","","",""
5227,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
2649,"","","Unknown","Unknown","","","","","","","","","",""
1674,"","1 political contribution  in home","Unknown","Yes","Yes","","","Yes","","","Yes","","",""
11087,"","1 political contribution  in home","Unknown","Yes","Yes","","","","","","","","",""
9732,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
4424,"","","Unknown","Unknown","","","","","","","","","",""
4152,"","","Unknown","Unknown","Yes","","","","","","","","",""
12894,"","","Unknown","Yes","","","","","","","","","",""
4796,"","","Unknown","Unknown","","","","","","","","","","Yes"
13777,"","","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","","Yes"
1713,"","","Unknown","Unknown","","","","","","","","","",""
2890,"1 religious contribution  in home","","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","","Yes"
6577,"","","Unknown","Yes","","","","","","","","","",""
4075,"1 religious contribution  in home","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","Yes"
5830,"","1 political contribution  in home","Unknown","Unknown","Yes","","","","","","","","","Yes"
14432,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
9879,"","","Unknown","Unknown","","","","","","","","","",""
14878,"","","Unknown","Unknown","","","","","","","","","","Yes"
10197,"","","Unknown","Unknown","","","","","","","","","","Yes"
14986,"","1 political contribution  in home","Unknown","Yes","","","","Yes","","Yes","Yes","","Yes","Yes"
8992,"1 religious contribution  in home","","Yes","Unknown","","","","Yes","","","Yes","","Yes","Yes"
14847,"","","Unknown","Yes","","","","","","","","","",""
4303,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
837,"","","Unknown","Unknown","","","","","","","","","",""
4483,"","","Unknown","Unknown","","","","","","","","","",""
8912,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
9282,"","","Unknown","Unknown","","","Yes","","","","","","","Yes"
4578,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
14138,"","","Unknown","Unknown","","","","","","","","","",""
2715,"","","Unknown","Unknown","","","","","","","","","",""
7441,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","Yes","","","","","","Yes","Yes"
2561,"","1 political contribution  in home","Unknown","Unknown","Yes","","","Yes","","","Yes","","",""
3447,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
9855,"","","Unknown","Yes","Yes","","","","","","","","",""
12760,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
8871,"","","Unknown","Unknown","","","","","","","","","","Yes"
11689,"","","Unknown","Yes","","","","","","","","","",""
12600,"","","Unknown","Yes","","","","","","","","","",""
5613,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
9966,"","","Unknown","Unknown","","","Yes","","","","","","Yes","Yes"
8271,"1 religious contribution  in home","","Unknown","Unknown","","","Yes","Yes","","","Yes","","Yes","Yes"
13104,"","","Unknown","Yes","","","","","","","","","",""
10522,"","","Unknown","Unknown","","","","","","","","","",""
6865,"","","Unknown","Unknown","","","","Yes","","","Yes","","Yes",""
1110,"","","Unknown","Yes","","","","","","","","","",""
3275,"","","Unknown","Unknown","","","","","","","","","Yes","Yes"
8484,"","","Unknown","Unknown","","","","","","","","","",""
2934,"","","Unknown","Yes","","","","","","","","","",""
4914,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3597,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
1777,"","","Unknown","Yes","","","","","","","","","",""
5207,"","","Unknown","Yes","Yes","","","","","","","","",""
8914,"","","Unknown","Yes","","","","","","","","","",""
11381,"","","Unknown","Unknown","","","","","","","","","",""
14284,"","","Unknown","Yes","","","","","","","","","",""
6040,"","2 political contributions in home","Unknown","Unknown","","","","","","","","","",""
5756,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
10800,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
12073,"","","Unknown","Yes","","","","","","","","","",""
774,"","","Unknown","Unknown","","","","","","","","","",""
11119,"","","Unknown","Yes","","","","","","","","","",""
14047,"","","Unknown","Yes","","","","","","","","","",""
7523,"","","Unknown","Unknown","","","","","","","","","",""
782,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
1548,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","","Yes"
4651,"","","Unknown","Unknown","","","","","","","","","",""
2329,"","","Unknown","Unknown","","","","","","","","","",""
10548,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
10906,"","","Unknown","Unknown","","","","","","","","","",""
9824,"","","Unknown","Yes","","","","","","","","","",""
6783,"","","Unknown","Yes","","","","","","","","","",""
12464,"","","Unknown","Yes","","","","","","","","","",""
2777,"","1 political contribution  in home","Yes","Yes","","","","","","","","","","Yes"
13619,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","","Yes"
11047,"","","Unknown","Unknown","","","","","","","","","","Yes"
12049,"","","Unknown","Yes","","","","","","","","","",""
14076,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
2154,"1 religious contribution  in home","","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
6117,"","","Unknown","Unknown","","","","","","","","","","Yes"
8063,"","","Unknown","Unknown","","","","","","","","","",""
7084,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
2443,"","","Unknown","Unknown","","","","","","","","","",""
10354,"","","Unknown","Yes","","","","","","","","","",""
1653,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
11348,"","","Unknown","Yes","","","","","","","","","Yes","Yes"
7638,"","","Yes","Yes","","","","Yes","","","Yes","","Yes","Yes"
4949,"","","Unknown","Unknown","","","","","","","","","",""
14123,"","","Unknown","Unknown","","","","","","","","","","Yes"
6574,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
3754,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
4420,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","Yes"
14818,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","","Yes"
5179,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
8360,"","","Unknown","Unknown","","","","","","","","","",""
14511,"","","Unknown","Unknown","","","","","","","","","",""
10591,"","","Unknown","Yes","","","","","","","","","",""
