"tmpID","PartiesDescription","ReligionsDescription","LikelyUnionMember","GunOwner","Veteran","supportsAffordableCareAct","supportsGayMarriage","supportsGunControl","supportsTaxesRaise","overallsocialviews","DonatestoConservativeCauses","DonatestoLiberalCauses"
753,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5306,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
335,"Republican","","","Unknown","Unknown","","","","","","",""
805,"Republican","Protestant","","Yes","Unknown","","","","","","",""
706,"Republican","","","Unknown","Unknown","","","","","","",""
814,"Republican","","","Unknown","Unknown","","","","","","",""
2459,"Democratic","","","Unknown","Unknown","","","","","","",""
5057,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
3836,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
2012,"Republican","Jewish","Yes","Unknown","Unknown","","","","","","",""
5914,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
4437,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4647,"Democratic","","","Unknown","Unknown","","","","","","",""
2078,"Republican","Protestant","","Yes","Unknown","","","","","","",""
1268,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
686,"Republican","","","Yes","Yes","","","","","","",""
739,"Non-Partisan","Jewish","","Yes","Unknown","","","","","","",""
4805,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
3760,"Democratic","","","Unknown","Unknown","","","","","","",""
3144,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5439,"Democratic","","","Unknown","Unknown","","","","","","",""
3979,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3949,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5075,"Republican","Catholic","","Unknown","Yes","","","","","","",""
5512,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
3673,"Republican","","","Unknown","Unknown","","","","","","",""
1000,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
5273,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2973,"Republican","","","Unknown","Unknown","","","","","","",""
3487,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5053,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2170,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2191,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
2822,"Republican","","","Unknown","Unknown","","","","","","",""
862,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3274,"Republican","Christian","","Unknown","Unknown","","","","","","",""
4813,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5274,"Democratic","","","Unknown","Unknown","","","","","","",""
4347,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5141,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4349,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
792,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
5123,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
982,"Republican","","","Yes","Unknown","","","","","","",""
2712,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5762,"Democratic","Jewish","","Unknown","Yes","","","","","Liberal","",""
13,"Democratic","Catholic","","Yes","Unknown","","","","","","",""
1964,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
1080,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5530,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5475,"Democratic","Jewish","","Yes","Yes","","","","","","",""
4650,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3035,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
368,"Democratic","","","Unknown","Unknown","","","","","","",""
