"tmpID","ResidenceHHGenderDescription","EthnicDescription","BroadEthnicGroupings","PresenceOfChildrenCode","ISPSA","HomeOwnerRenter","MosaicZ4","MedianEducationYears","NetWorth","Investor","BusinessOwner","Education","OccupationIndustry","HorseOwner","CatOwner","DogOwner","OtherPetOwner","HomeOffice","BookBuyerInHome","UpscaleBuyerInHome","BuyerofAntiquesinHousehold","BuyerofArtinHousehold","GeneralCollectorinHousehold","BooksAudioReadinginHousehold","ComputerOwnerInHome"
6604,"Mixed Gender Household","","English/Welsh","Modeled Not as Likely to have a child",9,"Likely Homeowner","",14,"$100000-249999","Yes","","Bach Degree - Likely","Education","","","","","","","","","","Yes","","Yes"
10826,"Mixed Gender Household","German","Swedish","",8,"Likely Homeowner","",15,"$499999+","","","HS Diploma - Extremely Likely","Unknown","","","","","","9 book purchases in home","","","","Yes","","Yes"
735,"Mixed Gender Household","English/Welsh","German","Modeled Not as Likely to have a child",6,"Likely Homeowner","Senior Discounts",16,"$100000-249999","Yes","","Unknown","Financial Services","","Yes","","","","","","","","","","Unknown"
3836,"Mixed Gender Household","English/Welsh","Italian","",6,"Likely Homeowner","",16,"$50000-99999","","","HS Diploma - Extremely Likely","Other","","","","","","3 book purchases in home","","","Yes","","","Unknown"
3787,"Male Only Household","Scots","Norwegian","Not Likely to have a child",8,"Likely Homeowner","",15,"$250000-499999","Yes","","Grad Degree - Likely","Unknown","","","","","","","","","","","","Unknown"
5312,"Mixed Gender Household","German","German","Not Likely to have a child",8,"Likely Renter","",14,"$50000-99999","","","Unknown","Unknown","","","Yes","","","","","","","","","Unknown"
13774,"Male Only Household","Dutch (Netherlands)","","Known Data",8,"Likely Renter","Rooted Flower Power",16,"","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
8524,"Mixed Gender Household","German","Polish","Modeled Not as Likely to have a child",9,"Likely Homeowner","Silver Sophisticates",14,"","Yes","","HS Diploma - Extremely Likely","Legal","","","","","Yes","6 book purchases in home","","","Yes","Yes","","Unknown"
9551,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",6,"Likely Homeowner","Silver Sophisticates",12,"","","","Grad Degree - Extremely Likely","Other","","","","","Yes","4 book purchases in home","","","","","","Unknown"
8290,"Mixed Gender Household","","Likely Af-Am (Modeled)","Not Likely to have a child",5,"Likely Renter","Rooted Flower Power",14,"$250000-499999","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
8794,"Mixed Gender Household","Irish","Scots","Not Likely to have a child",3,"Likely Homeowner","",16,"$250000-499999","","","HS Diploma - Extremely Likely","Management","","","","","","4 book purchases in home","","","Yes","","","Yes"
13304,"Female Only Household","Scots","Hispanic","Not Likely to have a child",7,"Likely Homeowner","No Place like Home",13,"$100000-249999","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
4549,"Male Only Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",NA,"Likely Renter","",16,"$25000-49999","","","Unknown","Unknown","","","","Yes","","","","","","","","Yes"
9649,"Mixed Gender Household","Scots","","Not Likely to have a child",8,"Likely Homeowner","",12,"$100000-249999","","","Some College - Likely","Unknown","","Yes","","","","","","","","","","Unknown"
761,"Mixed Gender Household","English/Welsh","Norwegian","Known Data",9,"Likely Homeowner","",16,"","","","HS Diploma - Extremely Likely","Medical","","","","","Yes","","","","","","","Yes"
12504,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",1,"Likely Homeowner","",15,"$50000-99999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
3534,"Mixed Gender Household","English/Welsh","German","Modeled Not as Likely to have a child",7,"Likely Homeowner","",16,"$250000-499999","","","Grad Degree - Likely","Unknown","","","","","","","","","","","","Yes"
2390,"Female Only Household","Scots","English/Welsh","Not Likely to have a child",1,"Likely Homeowner","",13,"$50000-99999","","","Some College - Likely","Unknown","","","","","","","","","","","","Unknown"
12924,"Mixed Gender Household","","German","Not Likely to have a child",8,"Likely Homeowner","",13,"$50000-99999","","","Unknown","Unknown","","","","Yes","","1 book purchase in home ","","","","","","Unknown"
64,"Mixed Gender Household","German","","",1,"Likely Renter","Soulful Spenders",12,"$25000-49999","Yes","","Some College -Extremely Likely","Manufacturing","","Yes","","","","4 book purchases in home","","","","","","Yes"
9721,"Male Only Household","English/Welsh","Polish","Known Data",6,"Likely Homeowner","",15,"$50000-99999","Yes","","Some College -Extremely Likely","Unknown","","","","","Yes","","","","","","","Unknown"
13846,"Mixed Gender Household","English/Welsh","Hawaiian","Not Likely to have a child",9,"Likely Homeowner","",15,"$250000-499999","Yes","","Grad Degree - Likely","Unknown","","","","","","","","","","Yes","","Yes"
14783,"Mixed Gender Household","German","English/Welsh","Known Data",1,"Likely Homeowner","Platinum Prosperity",13,"$100000-249999","","","Unknown","Clerical/Office","Yes","","","Yes","","1 book purchase in home ","","","","","","Yes"
6760,"Male Only Household","Hungarian","English/Welsh","Modeled Not as Likely to have a child",6,"Likely Homeowner","Rooted Flower Power",12,"$50000-99999","","Yes","Some College -Extremely Likely","Clerical/Office","","Yes","","","","","","","","Yes","","Unknown"
14788,"Mixed Gender Household","English/Welsh","English/Welsh","",8,"Likely Homeowner","",16,"$100000-249999","","","Grad Degree - Extremely Likely","Unknown","","Yes","","","","","","","","","","Yes"
14362,"Mixed Gender Household","Turkish","English/Welsh","Modeled Not as Likely to have a child",9,"Likely Renter","",14,"","","","Unknown","Management","","Yes","","","","","","","","","","Yes"
4456,"Mixed Gender Household","Swedish","Korean","Known Data",7,"Likely Homeowner","",13,"$100000-249999","","","Bach Degree - Likely","Unknown","","","","","","","","","","","","Yes"
10021,"Female Only Household","","English/Welsh","",9,"Likely Homeowner","",13,"$50000-99999","","","HS Diploma - Extremely Likely","Management","","","","","","3 book purchases in home","","","","","","Yes"
13507,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",4,"","",16,"","","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","Yes","","Unknown"
2927,"Mixed Gender Household","Dutch (Netherlands)","English/Welsh","Not Likely to have a child",6,"","",13,"","Yes","","Less than HS Diploma - Likely","Unknown","","","Yes","Yes","","1 book purchase in home ","","","","","","Yes"
3490,"Mixed Gender Household","English/Welsh","English/Welsh","",8,"Likely Homeowner","",15,"$50000-99999","","","HS Diploma - Extremely Likely","Civil Servant","","","","","Yes","","","","","","","Yes"
13030,"Female Only Household","Irish","French","Not Likely to have a child",NA,"","",15,"","Yes","","HS Diploma - Extremely Likely","Unknown","","","Yes","","","1 book purchase in home ","","","","Yes","","Yes"
12376,"Male Only Household","Austrian","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","",12,"$250000-499999","","","Bach Degree - Likely","Other","","","","","","1 book purchase in home ","","","","","","Yes"
7394,"Male Only Household","Scots","Scots","Not Likely to have a child",7,"Likely Homeowner","",17,"$250000-499999","","","Grad Degree - Extremely Likely","Medical","","","","","","7 book purchases in home","","","","","","Yes"
5619,"Female Only Household","Indian/Hindu","English/Welsh","Known Data",9,"Likely Homeowner","",NA,"$100000-249999","Yes","","Bach Degree - Likely","Other","","","","Yes","Yes","3 book purchases in home","","","","","","Yes"
4596,"Mixed Gender Household","German","English/Welsh","Not Likely to have a child",4,"Likely Homeowner","Reaping Rewards",15,"$100000-249999","","","Some College -Extremely Likely","Management","","","Yes","","","","","","","","","Yes"
9865,"Mixed Gender Household","","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","",14,"$50000-99999","Yes","","Grad Degree - Likely","Management","","","","","","4 book purchases in home","","","Yes","Yes","","Yes"
823,"Male Only Household","German","English/Welsh","Not Likely to have a child",5,"","",15,"","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Unknown"
14297,"Mixed Gender Household","","English/Welsh","",9,"Likely Renter","",16,"","Yes","","Grad Degree - Extremely Likely","Skilled Trades","","","","","","2 book purchases in home","","","Yes","Yes","","Yes"
1651,"Female Only Household","Dutch (Netherlands)","","Modeled Likely to have a child",8,"Likely Homeowner","",15,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
4054,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",9,"Likely Renter","",14,"$50000-99999","","","Unknown","Management","","","","","","","","","","Yes","","Yes"
5264,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","Rooted Flower Power",13,"","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","3 book purchases in home","","","","","","Yes"
12038,"Female Only Household","Chinese","English/Welsh","",6,"Likely Renter","",14,"","","","Some College -Extremely Likely","Medical","","","","","","1 book purchase in home ","","","","","","Yes"
12466,"Female Only Household","English/Welsh","Scots","",5,"","",13,"","","","Bach Degree - Likely","Education","","","Yes","","Yes","","","","","","","Yes"
13729,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",NA,"Likely Homeowner","",14,"$100000-249999","","","Unknown","Unknown","","","","","","","","","","Yes","","Yes"
12760,"Mixed Gender Household","Italian","Irish","",8,"Likely Homeowner","No Place like Home",16,"$50000-99999","","","Some College -Extremely Likely","Unknown","","","","","Yes","6 book purchases in home","3 upscale merchandise purchases","","","","","Yes"
3692,"Mixed Gender Household","Likely Af-Am (Modeled)","English/Welsh","Known Data",1,"Likely Homeowner","",12,"$25000-49999","","","Bach Degree - Extremely Likely","Unknown","","","Yes","Yes","","4 book purchases in home","","","Yes","","","Yes"
13634,"Female Only Household","English/Welsh","Czech","Known Data",9,"Likely Homeowner","Silver Sophisticates",13,"$100000-249999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
6455,"Mixed Gender Household","German","Likely Af-Am (Modeled)","Known Data",9,"Likely Homeowner","",12,"$1-4999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
11261,"Mixed Gender Household","English/Welsh","English/Welsh","",8,"Likely Homeowner","",15,"$250000-499999","Yes","","HS Diploma - Extremely Likely","Financial Services","","","Yes","","Yes","2 book purchases in home","","","Yes","Yes","","Yes"
6410,"Mixed Gender Household","Irish","Irish","Modeled Not as Likely to have a child",4,"Likely Homeowner","",15,"$100000-249999","","","Bach Degree - Extremely Likely","Unknown","","","","","","2 book purchases in home","","","","","","Yes"
7095,"Mixed Gender Household","English/Welsh","Irish","Not Likely to have a child",4,"Likely Renter","",14,"","Yes","","Unknown","Unknown","","Yes","","","","1 book purchase in home ","","","","","","Unknown"
10275,"Mixed Gender Household","Irish","English/Welsh","Known Data",6,"Likely Homeowner","",14,"","Yes","","Grad Degree - Extremely Likely","Skilled Trades","","","Yes","","","","","","","","","Yes"
14866,"Mixed Gender Household","German","English/Welsh","Not Likely to have a child",8,"Likely Homeowner","Aging of Aquarius",13,"$100000-249999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Yes"
273,"Female Only Household","English/Welsh","Dutch (Netherlands)","Not Likely to have a child",3,"Likely Homeowner","",17,"$250000-499999","","","HS Diploma - Extremely Likely","Other","","Yes","","","","","","","","","","Yes"
12643,"Mixed Gender Household","Hispanic","Swiss","Known Data",5,"Likely Homeowner","",15,"$100000-249999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Unknown"
3421,"Mixed Gender Household","English/Welsh","English/Welsh","",8,"Likely Renter","",16,"$50000-99999","Yes","","HS Diploma - Extremely Likely","Manufacturing","","","","","","","","","","","","Yes"
12206,"Mixed Gender Household","English/Welsh","Scots","Known Data",9,"Likely Homeowner","American Royalty",17,"","","","Some College -Extremely Likely","Unknown","","","","","","1 book purchase in home ","","","","Yes","","Yes"
13245,"Mixed Gender Household","","French","Known Data",8,"Likely Homeowner","",14,"$250000-499999","","","HS Diploma - Likely","Unknown","","","Yes","","","","","","Yes","Yes","","Yes"
293,"Mixed Gender Household","English/Welsh","","",5,"Likely Homeowner","",15,"$1-4999","","","Some College -Extremely Likely","Unknown","","","","Yes","Yes","6 book purchases in home","","","","","","Yes"
11127,"Mixed Gender Household","English/Welsh","Likely Af-Am (Modeled)","Known Data",8,"Likely Homeowner","",NA,"","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
6875,"Female Only Household","French","English/Welsh","",9,"Likely Homeowner","No Place like Home",13,"$25000-49999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","3 upscale merchandise purchases","","","","","Yes"
2500,"Male Only Household","German","English/Welsh","Not Likely to have a child",7,"Likely Homeowner","",12,"$50000-99999","Yes","","Unknown","Unknown","","","","","","","","","","","","Unknown"
11604,"Mixed Gender Household","French","Irish","Known Data",9,"Likely Homeowner","",14,"$50000-99999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Yes"
8375,"Mixed Gender Household","English/Welsh","Russian (omitting former Soviet States)","Not Likely to have a child",9,"Likely Homeowner","",16,"$250000-499999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","1 book purchase in home ","","","","Yes","","Yes"
10345,"Mixed Gender Household","German","English/Welsh","Modeled Not as Likely to have a child",0,"Likely Homeowner","",12,"$250000-499999","","","Some College -Extremely Likely","Unknown","","","","Yes","Yes","","","","Yes","","","Unknown"
9878,"Mixed Gender Household","English/Welsh","German","Known Data",9,"Likely Homeowner","",13,"","Yes","","Grad Degree - Likely","Other","","","","Yes","","6 book purchases in home","","","","","","Unknown"
12490,"Mixed Gender Household","German","English/Welsh","Not Likely to have a child",9,"Likely Renter","Silver Sophisticates",12,"","","","Unknown","Unknown","","Yes","","","","","","","Yes","Yes","","Unknown"
5656,"Male Only Household","English/Welsh","German","Not Likely to have a child",9,"Likely Homeowner","No Place like Home",15,"$100000-249999","","","Bach Degree - Likely","Unknown","","","","","Yes","","","","","","","Yes"
14796,"Mixed Gender Household","English/Welsh","Scots","Not Likely to have a child",6,"Likely Homeowner","",16,"","","","Grad Degree - Likely","Unknown","","","Yes","","","","","","Yes","Yes","","Yes"
10677,"Male Only Household","Swedish","English/Welsh","Not Likely to have a child",8,"Likely Homeowner","",16,"$250000-499999","Yes","","Bach Degree - Likely","Unknown","","","","","","","","","","","","Yes"
4718,"Mixed Gender Household","German","Likely Af-Am (Modeled)","Not Likely to have a child",9,"Likely Renter","",13,"$50000-99999","","","Grad Degree - Likely","Unknown","","","","","","","","","","","","Yes"
6876,"Male Only Household","Swedish","Swedish","Known Data",9,"Likely Renter","Senior Discounts",16,"$50000-99999","","","Bach Degree - Extremely Likely","Unknown","Yes","","","","","","","","","","","Yes"
3840,"Mixed Gender Household","Irish","English/Welsh","Modeled Not as Likely to have a child",5,"Likely Homeowner","",16,"$50000-99999","","","Unknown","Unknown","","","","","","","","","","","","Yes"
2567,"Mixed Gender Household","","Likely Af-Am (Modeled)","Not Likely to have a child",6,"Likely Homeowner","",15,"$100000-249999","","","Grad Degree - Extremely Likely","Unknown","","","","Yes","Yes","","","","","Yes","","Yes"
13458,"Mixed Gender Household","German","German","Modeled Likely to have a child",2,"","",16,"","","","Grad Degree - Likely","Unknown","","","","","","5 book purchases in home","","","Yes","","","Unknown"
9519,"Male Only Household","Likely Af-Am (Modeled)","","Not Likely to have a child",8,"Likely Homeowner","",16,"$100000-249999","Yes","","HS Diploma - Extremely Likely","Education","","","","Yes","","","","","","","","Unknown"
6816,"Mixed Gender Household","English/Welsh","Scots","Known Data",8,"Likely Homeowner","",12,"$100000-249999","","","Unknown","Unknown","","","","","","2 book purchases in home","","","","","","Yes"
13079,"Mixed Gender Household","German","English/Welsh","",9,"Likely Homeowner","",16,"$250000-499999","Yes","","Bach Degree - Extremely Likely","Manufacturing","","Yes","","","","","","","","","","Yes"
2663,"Mixed Gender Household","English/Welsh","","Known Data",9,"Likely Renter","",13,"$50000-99999","","","Some College - Likely","Unknown","","","","","","","","","Yes","Yes","","Yes"
6703,"Mixed Gender Household","French","French","Known Data",3,"","",12,"$250000-499999","","","Grad Degree - Extremely Likely","Unknown","","Yes","Yes","","","2 book purchases in home","","","","Yes","","Yes"
3652,"Female Only Household","English/Welsh","Likely Af-Am (Modeled)","Known Data",6,"Likely Homeowner","Reaping Rewards",13,"$100000-249999","","","Some College - Likely","Unknown","","","","","","9 book purchases in home","","","","","","Unknown"
13205,"Mixed Gender Household","Likely Af-Am (Modeled)","Chinese","Not Likely to have a child",1,"Likely Homeowner","",14,"$50000-99999","","","HS Diploma - Extremely Likely","Unknown","","","","Yes","","","","","","Yes","","Yes"
5335,"Mixed Gender Household","English/Welsh","Czech","Not Likely to have a child",8,"Likely Homeowner","Aging of Aquarius",16,"","","","Bach Degree - Likely","Unknown","","Yes","","","","","","","","","","Yes"
11393,"Mixed Gender Household","German","English/Welsh","Modeled Not as Likely to have a child",8,"Likely Renter","",15,"","","","Bach Degree - Extremely Likely","Education","Yes","","","","","","","","","Yes","","Unknown"
5272,"Mixed Gender Household","Likely Af-Am (Modeled)","Irish","Not Likely to have a child",0,"Likely Homeowner","",NA,"$250000-499999","Yes","","HS Diploma - Extremely Likely","Unknown","","","","","Yes","2 book purchases in home","","","","Yes","","Yes"
12071,"Mixed Gender Household","Swedish","English/Welsh","Not Likely to have a child",9,"Likely Renter","Hard Times",16,"$499999+","","","Grad Degree - Likely","Unknown","","","","","","","","","","Yes","","Unknown"
11584,"Mixed Gender Household","","French","Not Likely to have a child",8,"Likely Homeowner","No Place like Home",14,"$1-4999","","","Unknown","Clerical/Office","","","","","","","","","","","","Yes"
4719,"Mixed Gender Household","German","English/Welsh","Modeled Likely to have a child",9,"Likely Renter","",14,"$50000-99999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
10193,"Female Only Household","English/Welsh","Likely Af-Am (Modeled)","Modeled Not as Likely to have a child",7,"Likely Homeowner","",16,"$50000-99999","","","Grad Degree - Extremely Likely","Other","","","","","","1 book purchase in home ","","","","","Yes","Yes"
4644,"Mixed Gender Household","Likely Af-Am (Modeled)","Hispanic","Not Likely to have a child",6,"Likely Homeowner","Reaping Rewards",16,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Education","","","","Yes","","","","","","","","Yes"
6802,"Female Only Household","English/Welsh","Ukrainian","Known Data",7,"Likely Renter","Aging of Aquarius",NA,"","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","5 book purchases in home","","","","","","Yes"
11885,"Mixed Gender Household","Likely Af-Am (Modeled)","German","Modeled Not as Likely to have a child",1,"Likely Homeowner","",14,"$100000-249999","","","Unknown","Manufacturing","","","","Yes","","","","","","Yes","","Yes"
1392,"Mixed Gender Household","","English/Welsh","Not Likely to have a child",8,"Likely Homeowner","",15,"","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
14014,"Mixed Gender Household","English/Welsh","","Known Data",6,"Likely Homeowner","",15,"$50000-99999","","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","Yes","","Unknown"
5128,"Mixed Gender Household","","","",NA,"Likely Homeowner","",12,"$25000-49999","","","Bach Degree - Extremely Likely","Financial Services","","","","Yes","Yes","8 book purchases in home","","","","","","Yes"
4430,"Female Only Household","Russian (omitting former Soviet States)","Polish","Modeled Not as Likely to have a child",6,"Likely Homeowner","Silver Sophisticates",13,"$50000-99999","","","Bach Degree - Likely","Unknown","","","","","","2 book purchases in home","","","Yes","Yes","","Yes"
918,"Mixed Gender Household","Polish","English/Welsh","Modeled Not as Likely to have a child",7,"Likely Homeowner","",16,"$50000-99999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
7389,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",7,"Likely Renter","",15,"","Yes","","Grad Degree - Extremely Likely","Medical","","","","","","1 book purchase in home ","","","","","","Yes"
3463,"Female Only Household","Danish","German","",8,"Likely Homeowner","",16,"","","","Grad Degree - Likely","Other","","","","","","1 book purchase in home ","","","","Yes","","Yes"
10039,"Mixed Gender Household","Norwegian","Likely Af-Am (Modeled)","Not Likely to have a child",8,"Likely Homeowner","",13,"","","Yes","Unknown","Unknown","","","","","","1 book purchase in home ","","","Yes","","","Unknown"
14074,"Mixed Gender Household","Dutch (Netherlands)","German","Not Likely to have a child",8,"Likely Renter","",15,"$250000-499999","","","Grad Degree - Extremely Likely","Unknown","","Yes","Yes","","","","","","","Yes","","Yes"
6582,"Mixed Gender Household","","German","Not Likely to have a child",7,"Likely Homeowner","",17,"$25000-49999","","","Grad Degree - Extremely Likely","Management","","Yes","","","","3 book purchases in home","","","","","","Yes"
