City,Country,Latitude,Longitude
Edinburgh,United Kingdom,55.95206,-3.19648
Edinburgh,United Kingdom,55.95206,-3.19648
"Edinburgh, Mid",United Kingdom,,
"West Linton, Borders",United Kingdom,,
Edinburgh,United Kingdom,55.95206,-3.19648
Edinburgh,United Kingdom,55.95206,-3.19648
"Edinburgh, Midlothian",United Kingdom,,
"Stirling, Stirlingshi",United Kingdom,,
Stirling,United Kingdom,56.11903,-3.93682
Glasgow,United Kingdom,55.86515,-4.25763
"Glasgow, Strathclyde",United Kingdom,,
Gloustershire,United Kingdom,,
London,United Kingdom,51.50853,-0.12574
Surrey,United Kingdom,,
"Guildford, Surrey",United Kingdom,,
"Guildford, Surrey",United Kingdom,,
"Pinner, Middlesex",United Kingdom,,
"Ross-on-Wye, Hereford",United Kingdom,,
"Hull, East Yorkshire",United Kingdom,,
Walton on Thames,United Kingdom,,
"Weybridge, Surrey",United Kingdom,,
"New Malden, Surrey",United Kingdom,,
New malden,United Kingdom,51.39915,-0.2556
"Cupar, Fife",United Kingdom,,
St Andrews,United Kingdom,,
Liverpool,United Kingdom,53.41058,-2.97794
Liverpool,United Kingdom,53.41058,-2.97794
Liverpool,United Kingdom,53.41058,-2.97794
"Ormskirk, Lancashire",United Kingdom,,
Lancaster,United Kingdom,54.06667,-2.83333
"Lancaster, Lancashire",United Kingdom,,
"Leicester, Leics",United Kingdom,,
Leicestershire,United Kingdom,,
"Bangor, Gwynedd",United Kingdom,,
"Bangor, Gwynedo NW",United Kingdom,,
"Bangor, Gwynedd",United Kingdom,,
"Leeds, West",United Kingdom,,
"Leeds, West Yorkshire",United Kingdom,,
Leeds,United Kingdom,53.79648,-1.54785
"Ilkley, N Yorkshire",United Kingdom,,
"Luton, Bedfordshire",United Kingdom,,
"Luton, Bedfordshire",United Kingdom,,
"Luton, Bedfordshire",United Kingdom,,
Manchester,United Kingdom,53.48095,-2.23743
"Manchester,Lancashire",United Kingdom,,
Greater Manchester,United Kingdom,,
"Chorlton-sum-Hardy,",United Kingdom,,
Newcastle upon Tyne,United Kingdom,54.97328,-1.61396
Milton Keynes,United Kingdom,52.04172,-0.75583
Wolverhampton,United Kingdom,52.58547,-2.12296
London,United Kingdom,51.50853,-0.12574
LONDON,United Kingdom,51.50853,-0.12574
Tyne & Wear,United Kingdom,,
Tyne & Wear,United Kingdom,,
Nottingham,United Kingdom,52.9536,-1.15047
Nottinghamshire,United Kingdom,,
Sheffield,United Kingdom,53.38297,-1.4659
Nottingham,United Kingdom,52.9536,-1.15047
Northhants,United Kingdom,,
Northampton,United Kingdom,52.25,-0.88333
"Lowestoft, Suffolk",United Kingdom,,
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
"London, Camden",United Kingdom,,
London,United Kingdom,51.50853,-0.12574
Oxford,United Kingdom,51.75222,-1.25596
WALLINGFORD,United Kingdom,51.59982,-1.1248
Oxon,United Kingdom,,
"Oxford, Oxfordshire",United Kingdom,,
Longworth,United Kingdom,,
"Oxfordshire, Banbury",United Kingdom,,
Oxford,United Kingdom,51.75222,-1.25596
Portsmouth,United Kingdom,50.79899,-1.09125
"Oban, Argyll",United Kingdom,,
Peterborough,United Kingdom,52.57364,-0.24777
"Perth, Perthshire",United Kingdom,,
"Preston, Lancashire",United Kingdom,,
"Reading, Berkshire",United Kingdom,,
"Vastern Road, Reading",United Kingdom,,
"Reading, Berkshire",United Kingdom,,
Reading,United Kingdom,51.45625,-0.97113
"Reading, Berkshire",United Kingdom,,
Reading,United Kingdom,51.45625,-0.97113
Reading,United Kingdom,51.45625,-0.97113
Reading,United Kingdom,51.45625,-0.97113
Upminster,United Kingdom,51.55594,0.2556
"Sheffield, S Yorkshir",United Kingdom,,
Sheffield,United Kingdom,53.38297,-1.4659
Sheffield S Yorkshire,United Kingdom,,
"Sheffield, South",United Kingdom,,
South Yorkshire,United Kingdom,,
"Sheffield, South",United Kingdom,,
London,United Kingdom,51.50853,-0.12574
London SE1 8UG,United Kingdom,,
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Camberwell,United Kingdom,51.4739,-0.09381
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
"Ware, Hertfordshire",United Kingdom,,
Cheshire,United Kingdom,,
Cheshire,United Kingdom,,
Stockport,United Kingdom,53.40979,-2.15761
"Marlow, Bucks",United Kingdom,,
Bucks,United Kingdom,,
Southampton,United Kingdom,50.90395,-1.40428
Salisbury,United Kingdom,51.06931,-1.79569
Wiltshire,United Kingdom,,
Shaftesbury,United Kingdom,51.00528,-2.19333
Newcastle under Lyme,United Kingdom,53,-2.23333
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Kent,United Kingdom,,
"Sevenoaks, Kent",United Kingdom,,
"Ashford, Kent",United Kingdom,,
Stockton On Tees,United Kingdom,,
Middlesex,United Kingdom,,
Surrey,United Kingdom,,
"Staines, Surrey",United Kingdom,,
"Egham, Surrey",United Kingdom,,
Middlesex,United Kingdom,,
Stockley Park West,United Kingdom,,
"London, Middlesex",United Kingdom,,
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
LEOMINSTER,United Kingdom,52.22652,-2.73907
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
"Droitwich, Worcesters",United Kingdom,,
York,United Kingdom,53.95763,-1.08271
York,United Kingdom,53.95763,-1.08271
YORK,United Kingdom,53.95763,-1.08271
York,United Kingdom,53.95763,-1.08271
North Yorkshire,United Kingdom,,
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Liverpool,United Kingdom,53.41058,-2.97794
Southampton,United Kingdom,50.90395,-1.40428
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
"Swansea, Wales",United Kingdom,,
London,United Kingdom,51.50853,-0.12574
Cambridge,United Kingdom,52.2,0.11667
Kingsbridge,United Kingdom,50.28451,-3.77638
Belfast,United Kingdom,54.58333,-5.93333
Maidstone,United Kingdom,51.26667,0.51667
London,United Kingdom,51.50853,-0.12574
Belfast,United Kingdom,54.58333,-5.93333
Cambridge,United Kingdom,52.2,0.11667
Reading,United Kingdom,51.45625,-0.97113
Liverpool,United Kingdom,53.41058,-2.97794
London,United Kingdom,51.50853,-0.12574
Sheffield,United Kingdom,53.38297,-1.4659
Haslemere,United Kingdom,51.09015,-0.70785
,United Kingdom,,
London,United Kingdom,51.50853,-0.12574
Southend-on-Sea,United Kingdom,51.53782,0.71433
London,United Kingdom,51.50853,-0.12574
Cambridge,United Kingdom,52.2,0.11667
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Hitchin,United Kingdom,51.95314,-0.26519
Inverness,United Kingdom,57.47908,-4.22398
Belfast,United Kingdom,54.58333,-5.93333
Hayes,United Kingdom,51.51579,-0.4234
Cambridge,United Kingdom,52.2,0.11667
London,United Kingdom,51.50853,-0.12574
Farnborough,United Kingdom,51.53333,-1.36667
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Glasgow,United Kingdom,55.86515,-4.25763
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Stafford,United Kingdom,52.80521,-2.11636
Cambridge,United Kingdom,52.2,0.11667
Glasgow,United Kingdom,55.86515,-4.25763
Cambridge,United Kingdom,52.2,0.11667
London,United Kingdom,51.50853,-0.12574
West Linton,United Kingdom,55.74972,-3.35607
Cambridge,United Kingdom,52.2,0.11667
Leamington spa,United Kingdom,,
Surrey,United Kingdom,,
Cambridge,United Kingdom,52.2,0.11667
Wolverhampton,United Kingdom,52.58547,-2.12296
Nottingham,United Kingdom,52.9536,-1.15047
London,United Kingdom,51.50853,-0.12574
Eastbourne,United Kingdom,50.76871,0.28453
Southampton,United Kingdom,50.90395,-1.40428
London,United Kingdom,51.50853,-0.12574
Cambridge,United Kingdom,52.2,0.11667
London,United Kingdom,51.50853,-0.12574
Brighton,United Kingdom,50.82838,-0.13947
London,United Kingdom,51.50853,-0.12574
Malvern,United Kingdom,,
Coventry,United Kingdom,52.40656,-1.51217
London,United Kingdom,51.50853,-0.12574
Edinburgh,United Kingdom,55.95206,-3.19648
Glasgow,United Kingdom,55.86515,-4.25763
Cambridge,United Kingdom,52.2,0.11667
Birmingham,United Kingdom,52.48142,-1.89983
London,United Kingdom,51.50853,-0.12574
Nottingham,United Kingdom,52.9536,-1.15047
Canterbury,United Kingdom,51.27904,1.07992
Birmingham,United Kingdom,52.48142,-1.89983
Edinburgh,United Kingdom,55.95206,-3.19648
London,United Kingdom,51.50853,-0.12574
Lincoln,United Kingdom,53.22683,-0.53792
Liverpool,United Kingdom,53.41058,-2.97794
Lodon,United Kingdom,,
Blackburn,United Kingdom,57.2,-2.3
Edinburgh,United Kingdom,55.95206,-3.19648
London,United Kingdom,51.50853,-0.12574
St Albans,United Kingdom,,
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Kenilworth,United Kingdom,52.34286,-1.58015
Glasgow,United Kingdom,55.86515,-4.25763
Sleaford,United Kingdom,52.99826,-0.40941
London,United Kingdom,51.50853,-0.12574
Coventry,United Kingdom,52.40656,-1.51217
London,United Kingdom,51.50853,-0.12574
Cambridge,United Kingdom,52.2,0.11667
London,United Kingdom,51.50853,-0.12574
Milton Keynes,United Kingdom,52.04172,-0.75583
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Dubai,United Arab Emirates,25.25817,55.30472
Dubai,United Arab Emirates,25.25817,55.30472
Al Ain,United Arab Emirates,24.19167,55.76056
Al Ain,United Arab Emirates,24.19167,55.76056
Al Ain,United Arab Emirates,24.19167,55.76056
Dubai,United Arab Emirates,25.25817,55.30472
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Dubai,United Arab Emirates,25.25817,55.30472
Dubai,United Arab Emirates,25.25817,55.30472
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Abu dhabi,United Arab Emirates,24.46667,54.36667
Sharjah,United Arab Emirates,25.33737,55.41206
Al Ain,United Arab Emirates,24.19167,55.76056
Ras Al Khaimah,United Arab Emirates,,
"Al-Ain, Abu",United Arab Emirates,,
Abu Dhabi,United Arab Emirates,24.46667,54.36667
DUBAI,United Arab Emirates,25.25817,55.30472
Dubai,United Arab Emirates,25.25817,55.30472
Abu dhabi,United Arab Emirates,24.46667,54.36667
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Dubai,United Arab Emirates,25.25817,55.30472
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Dubai,United Arab Emirates,25.25817,55.30472
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Dubai,United Arab Emirates,25.25817,55.30472
Al Hamra,United Arab Emirates,,
Abu Dhabi,United Arab Emirates,24.46667,54.36667
Dubai,United Arab Emirates,25.25817,55.30472
Dubai,United Arab Emirates,25.25817,55.30472
Ankara,Turkey,39.91987,32.85427
"Istanbul, Cekmekoy",Turkey,,
Istanbul,Turkey,41.01384,28.94966
Istanbul,Turkey,41.01384,28.94966
ISTANBUL,Turkey,41.01384,28.94966
Istanbul,Turkey,41.01384,28.94966
Istanbul,Turkey,41.01384,28.94966
Istanbul,Turkey,41.01384,28.94966
Gebze,Turkey,40.80276,29.43068
Izmir,Turkey,38.41273,27.13838
Giresun,Turkey,40.91698,38.38741
Gaziantep,Turkey,37.05944,37.3825
Istanbul,Turkey,41.01384,28.94966
Istanbul,Turkey,41.01384,28.94966
Eskisehir,Turkey,39.77667,30.52056
Ankara,Turkey,39.91987,32.85427
Afyonkarahisar,Turkey,38.75667,30.54333
Antalya,Turkey,36.90812,30.69556
Arima,Trinidad and Tobago,10.63333,-61.28333
Trinidada and Tobago,Trinidad and Tobago,,
Couva,Trinidad and Tobago,10.42248,-61.46748
Tunapuna,Trinidad and Tobago,10.63333,-61.38333
St James,Trinidad and Tobago,,
Diego Martin,Trinidad and Tobago,,
Caroni,Trinidad and Tobago,,
St. Augustine,Trinidad and Tobago,,
"Tobago, Trinidad",Trinidad and Tobago,,
Woodbrook,Trinidad and Tobago,,
Princes Town,Trinidad and Tobago,10.26667,-61.38333
Charlieville,Trinidad and Tobago,,
"BangKae, Bangkok",Thailand,,
Bangkok,Thailand,13.75398,100.50144
Bangkok,Thailand,13.75398,100.50144
Bangkok,Thailand,13.75398,100.50144
"Rangsit Center, Phath",Thailand,,
"Meuang, Chantaburi",Thailand,,
Songkla,Thailand,,
Chonburi,Thailand,,
"Korogwe, Tanga",Tanzania,,
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Hsinchu,Taiwan,24.80361,120.96861
Taoyuan,Taiwan,24.9896,121.3187
Taiping,Taiwan,,
Taichung,Taiwan,24.1469,120.6839
Nan Tou,Taiwan,,
Tainan,Taiwan,22.99083,120.21333
Tainan,Taiwan,22.99083,120.21333
Tainan,Taiwan,22.99083,120.21333
Kaohsiung,Taiwan,22.61626,120.31333
Pingtung City,Taiwan,,
Taipei,Taiwan,25.04776,121.53185
Tapei,Taiwan,,
Keelung,Taiwan,25.12825,121.7419
New Taipei City,Taiwan,,
"Chung-Li, Taoyuan",Taiwan,,
Taichung City 402,Taiwan,,
Taichung North,Taiwan,,
Chiayi,Taiwan,,
Taipei,Taiwan,25.04776,121.53185
Taipei County,Taiwan,,
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
"Taipei, 110",Taiwan,,
Taipei,Taiwan,25.04776,121.53185
Taipei,Taiwan,25.04776,121.53185
Keelung,Taiwan,25.12825,121.7419
Kaohsiung City,Taiwan,,
Taipei City,Taiwan,,
Damascus,Syria,33.5102,36.29128
Aleppo,Syria,36.20124,37.16117
Aleppo,Syria,36.20124,37.16117
Lausanne,Switzerland,46.516,6.63282
"Pully, Vaud",Switzerland,,
"Lausanne, VD",Switzerland,,
Lausanne,Switzerland,46.516,6.63282
LAUSANNE,Switzerland,46.516,6.63282
Geneva,Switzerland,,
Geneva,Switzerland,,
Geneva,Switzerland,,
Geneve,Switzerland,46.20222,6.14569
Geneva,Switzerland,,
Geneva,Switzerland,,
Geneva,Switzerland,,
Geneva,Switzerland,,
Geneva,Switzerland,,
Geneva,Switzerland,,
"Meyrin, Geneva",Switzerland,,
"Geneva, GE",Switzerland,,
Geneva,Switzerland,,
"Givrins, Vaud",Switzerland,,
Zurich,Switzerland,47.36667,8.55
Delemont,Switzerland,47.36493,7.34453
Bern 60,Switzerland,,
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
Bern,Switzerland,46.94809,7.44744
"Zollikofen, Bern",Switzerland,,
Leukerbad,Switzerland,46.37943,7.62687
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
"Basel, Basel-Stadt",Switzerland,,
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
Solothurn,Switzerland,47.20791,7.53714
Luzern,Switzerland,47.05048,8.30635
Meggen,Switzerland,47.04691,8.37467
Lucerne,Switzerland,47.05048,8.30635
"Nottwill, Luzern",Switzerland,,
"Nottwil, Luzern",Switzerland,,
ZUG,Switzerland,47.17242,8.51744
Kuessnacht,Switzerland,,
Lugano,Switzerland,46.01008,8.96004
Zurich,Switzerland,47.36667,8.55
Zurich,Switzerland,47.36667,8.55
Bern,Switzerland,46.94809,7.44744
"Gottlieben, AL",Switzerland,,
Bassersdorf,Switzerland,47.44342,8.62851
"Winterthur, ZH",Switzerland,,
"Winterthur, Zurich",Switzerland,,
"Romanshorn, Thurgau",Switzerland,,
St.Gallen,Switzerland,,
Bern,Switzerland,46.94809,7.44744
Zurich,Switzerland,47.36667,8.55
"Geneva, GE",Switzerland,,
Riaz,Switzerland,46.64224,7.06183
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
"Nottwil, Luzern",Switzerland,,
Nottwil,Switzerland,47.13569,8.13712
Sion,Switzerland,46.22908,7.35942
Crans-pr?,Switzerland,,
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
Basel,Switzerland,47.5584,7.57327
Geneve,Switzerland,46.20222,6.14569
Basel,Switzerland,47.5584,7.57327
Thalwil,Switzerland,47.29175,8.56351
Lausanne,Switzerland,46.516,6.63282
Zurich,Switzerland,47.36667,8.55
Basel,Switzerland,47.5584,7.57327
Zurich,Switzerland,47.36667,8.55
Basel,Switzerland,47.5584,7.57327
Z??rich,Switzerland,,
Travers,Switzerland,46.94018,6.67595
Sierre,Switzerland,46.29192,7.53559
Zug,Switzerland,47.17242,8.51744
Zug,Switzerland,47.17242,8.51744
St.Gallen,Switzerland,,
Z??rich,Switzerland,,
Zurich,Switzerland,47.36667,8.55
Burgdorf,Switzerland,47.05901,7.62786
Landquart,Switzerland,46.95,9.56667
Z??rich,Switzerland,,
Zug,Switzerland,47.17242,8.51744
Aarau,Switzerland,47.39254,8.04422
Lausanne,Switzerland,46.516,6.63282
Bern,Switzerland,46.94809,7.44744
GENEVA,Switzerland,,
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Huddinge,Sweden,59.23705,17.98192
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Vallentuna,Sweden,59.53436,18.07758
Lund,Sweden,55.70584,13.19321
Lund,Sweden,55.70584,13.19321
Karlskrona,Sweden,56.16156,15.58661
"Karlskrona, Blekinge",Sweden,,
Gothenburg,Sweden,57.70716,11.96679
Gothenberg,Sweden,,
Linuoping,Sweden,,
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Avesta,Sweden,60.14545,16.16785
Sandviken,Sweden,60.61667,16.76667
Umea,Sweden,63.82842,20.25972
Umea,Sweden,63.82842,20.25972
Umea,Sweden,63.82842,20.25972
"Umea, Vasterbotten",Sweden,,
Lulea,Sweden,65.58415,22.15465
Lulea,Sweden,65.58415,22.15465
"Lulea, NLL",Sweden,,
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
STOCKHOLM,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Goteberg,Sweden,,
Gothenburg,Sweden,57.70716,11.96679
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
"Umea, Vaterbotten",Sweden,,
"Huddinge, Stockholms",Sweden,,
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Orebro,Sweden,59.27412,15.2066
Orebro,Sweden,59.27412,15.2066
Orebro,Sweden,59.27412,15.2066
Uppsala,Sweden,59.8585,17.64543
Umea,Sweden,63.82842,20.25972
Lulea,Sweden,65.58415,22.15465
Huddinge,Sweden,59.23705,17.98192
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Stockholm,Sweden,59.33258,18.0649
Valmo,Sweden,,
Huddinge,Sweden,59.23705,17.98192
Huddinge,Sweden,59.23705,17.98192
Huddinge,Sweden,59.23705,17.98192
Almhult,Sweden,,
Gothenburg,Sweden,57.70716,11.96679
Linkoping,Sweden,58.41086,15.62157
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
Uppsala,Sweden,59.8585,17.64543
"Umea, Vasterbotten",Sweden,,
Lule?,Sweden,,
SE 405 30 Gotheburg,Sweden,,
S-223 62 Lund,Sweden,,
H?,Sweden,,
Uppsala,Sweden,59.8585,17.64543
Stockholm,Sweden,59.33258,18.0649
Ume?,Sweden,,
Stockholm,Sweden,59.33258,18.0649
Ume?,Sweden,,
Danderyd,Sweden,,
Ume?,Sweden,,
Uppsala,Sweden,59.8585,17.64543
Karlstad,Sweden,59.3793,13.50357
Stockholm,Sweden,59.33258,18.0649
Sundsvall,Sweden,62.39129,17.3063
Malmo,Sweden,,
Linkoping,Sweden,58.41086,15.62157
Linkoping,Sweden,58.41086,15.62157
Stockholm,Sweden,59.33258,18.0649
Leksand,Sweden,60.73387,15.00316
?,Sweden,,
Ume?,Sweden,,
Linkoping,Sweden,58.41086,15.62157
"Mbabane, Hhohho",Swaziland,,
Paramaribo,Suriname,5.86638,-55.16682
"Conaree Beach, Basset",St. Kitts and Nevis,,
Colombo 8,Sri Lanka,,
Alava,Spain,,
"Vitoria-Gasteiz, Alava",Spain,,
Albacete,Spain,38.99424,-1.85643
Baleares,Spain,,
"Palma, Balearic Islands",Spain,,
Barcelona,Spain,41.38879,2.15899
Barcelona,Spain,41.38879,2.15899
Barcelona,Spain,41.38879,2.15899
Barcelona,Spain,41.38879,2.15899
Barcelona,Spain,41.38879,2.15899
Barcelona,Spain,41.38879,2.15899
