row#,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
31,22196,12,NULL,2,1194,409,NULL,NULL,41276.58,NULL,0,0,41276.52083,13.00446,77.56923,13.07746,77.60668,0
32,1112,12,NULL,2,353,393,NULL,NULL,41276.84,NULL,1,0,41276.54097,13.03241,77.59914,13.19956,77.70688,0
33,22239,85,NULL,2,393,1056,NULL,NULL,41276.81,41277,1,0,41276.5875,13.19956,77.70688,12.919199,77.60931,0
34,19545,12,NULL,2,1068,105,NULL,NULL,41276.73,NULL,1,0,41276.61528,13.044009,77.606805,13.01766,77.64503,0
35,22243,12,NULL,2,479,393,NULL,NULL,41277.24,NULL,0,0,41276.63333,13.02298,77.60922,13.19956,77.70688,0
36,22245,12,NULL,2,1084,112,NULL,NULL,41276.96,NULL,0,0,41276.65625,12.892657,77.581866,12.93331,77.56666,0
37,22252,12,NULL,2,393,1237,NULL,NULL,41276.89,NULL,0,0,41276.75278,13.19956,77.70688,12.92645,77.61206,0
38,16903,12,NULL,2,293,292,NULL,NULL,41276.81,NULL,0,0,41276.75972,12.849482,77.663187,12.93944,77.62923,0
39,22255,12,NULL,2,352,393,NULL,NULL,41277.17,NULL,0,0,41276.80486,13.03369,77.62821,13.19956,77.70688,0
40,33542,12,NULL,2,393,171,NULL,NULL,41276.93,NULL,0,0,41276.80903,13.19956,77.70688,12.98479,77.66128,0
41,21148,12,NULL,2,585,458,NULL,NULL,41276.91,NULL,0,0,41276.84444,12.97677,77.5727,13.00037,77.72746,0
42,17888,12,NULL,2,849,1312,NULL,NULL,41277.34,NULL,1,0,41276.85972,12.95434,77.60072,12.839879,77.658145,0
43,21761,12,NULL,2,392,297,NULL,NULL,41276.94,NULL,1,0,41276.86042,12.986284,77.735245,12.99789,77.61488,0
44,22265,12,NULL,2,156,585,NULL,NULL,41277.27,NULL,0,0,41276.92292,13.02622,77.70143,12.97677,77.5727,0
45,22266,12,NULL,2,1192,968,NULL,NULL,41277.25,NULL,0,0,41276.92639,12.97677,77.5727,12.96555,77.61912,0
46,21941,85,NULL,2,585,112,NULL,NULL,41277.38,NULL,0,0,41277.31667,12.97677,77.5727,12.93331,77.56666,0
47,22274,12,NULL,2,572,793,NULL,NULL,41277.50,NULL,0,0,41277.40625,12.91873,77.61494,13.02239,77.59492,0
48,41448,12,1,3,767,NULL,NULL,NULL,41279.60,41279,1,0,41277.43889,12.9122,77.51043,NULL,NULL,0
49,21343,85,NULL,2,410,393,NULL,NULL,41278.35,NULL,0,0,41277.56042,13.05121,77.54113,13.19956,77.70688,0
50,22282,65,NULL,2,450,393,NULL,NULL,41279.30,41280,1,0,41277.63194,12.9334,77.62652,13.19956,77.70688,0
51,22285,12,NULL,2,1085,393,NULL,NULL,41278.18,NULL,1,0,41277.66736,12.911942,77.651582,13.19956,77.70688,0
52,22286,12,NULL,2,1388,1390,NULL,NULL,41277.75,NULL,1,0,41277.67778,12.919722,77.592806,12.969368,77.641302,0
53,22063,12,NULL,2,585,767,NULL,NULL,41277.94,NULL,0,0,41277.74236,12.97677,77.5727,12.9122,77.51043,0
54,22293,12,NULL,2,1183,393,NULL,NULL,41278.35,NULL,0,0,41277.75972,12.965563,77.668576,13.19956,77.70688,0
55,9506,12,NULL,2,572,708,NULL,NULL,41278.27,NULL,0,0,41277.88056,12.91873,77.61494,13.03504,77.62341,0
56,22303,12,NULL,2,849,393,NULL,NULL,41279.29,NULL,0,0,41277.96736,12.95434,77.60072,13.19956,77.70688,0
57,1186,12,NULL,2,83,393,NULL,NULL,41278.18,NULL,0,0,41277.96806,12.92415,77.67229,13.19956,77.70688,0
58,22297,12,NULL,2,1166,1096,NULL,NULL,41278.53,NULL,0,0,41278.42778,12.997198,77.669514,12.96519,77.71932,0
59,20109,12,NULL,2,667,585,NULL,NULL,41278.60,NULL,0,0,41278.43681,12.97165,77.51316,12.97677,77.5727,0
60,18046,12,NULL,2,393,1136,NULL,NULL,41278.68,NULL,1,0,41278.44931,13.19956,77.70688,12.99049,77.69798,0
61,22236,24,2,3,1191,NULL,NULL,NULL,41278.52,NULL,0,0,41278.475,13.03017,77.56684,NULL,NULL,0
62,22318,65,NULL,1,293,NULL,15,32,41279.33,41280,0,0,41278.52986,12.849482,77.663187,NULL,NULL,0
63,19126,12,2,3,145,NULL,NULL,NULL,41278.66,NULL,0,0,41278.59931,12.99067,77.65587,NULL,NULL,0
64,22325,85,NULL,2,1384,1298,NULL,NULL,41281.27,NULL,0,0,41278.62083,13.02853,77.54625,12.879678,77.646355,0
65,22327,12,NULL,2,1095,1371,NULL,NULL,41279.51,NULL,0,0,41278.63819,12.92415,77.67229,13.000418,77.674835,0
66,22335,85,NULL,2,293,393,NULL,NULL,41279.28,NULL,0,0,41278.7125,12.849482,77.663187,13.19956,77.70688,0
67,756,12,NULL,2,83,849,NULL,NULL,41278.81,NULL,0,0,41278.72778,12.92415,77.67229,12.95434,77.60072,0
68,2017,12,NULL,2,571,136,NULL,NULL,41278.92,NULL,0,0,41278.75486,12.95185,77.69642,12.90796,77.62418,0
69,22338,12,NULL,2,852,1078,NULL,NULL,41278.79,NULL,0,0,41278.75486,12.98758,77.60512,12.992123,77.581667,0
70,20690,12,NULL,2,271,455,NULL,NULL,41278.93,NULL,0,0,41278.76389,12.95641,77.64076,12.999874,77.67812,0
71,15485,12,NULL,2,1217,410,NULL,NULL,41279.69,NULL,1,0,41278.76806,13.04937,77.51179,13.05121,77.54113,0
72,22343,28,NULL,2,768,393,NULL,NULL,41279.23,NULL,0,0,41278.79444,12.98999,77.55332,13.19956,77.70688,0
73,22347,12,NULL,2,1044,393,NULL,NULL,41279.15,NULL,1,0,41278.83889,12.968887,77.644329,13.19956,77.70688,0
74,22352,28,2,3,115,NULL,NULL,NULL,41280.06,41280,1,0,41278.87639,12.99319,77.54472,NULL,NULL,0
75,22360,12,NULL,2,393,1033,NULL,NULL,41281.34,NULL,1,0,41278.94861,13.19956,77.70688,12.906358,77.599547,0
76,19163,12,NULL,2,293,1166,NULL,NULL,41279.52,NULL,1,0,41278.98333,12.849482,77.663187,12.997198,77.669514,0
77,22367,12,NULL,2,1384,839,NULL,NULL,41280.28,NULL,0,0,41279.37639,13.02853,77.54625,12.85773,77.78642,0
78,20430,12,1,3,89,NULL,NULL,NULL,41279.45,NULL,0,0,41279.39444,12.96519,77.71932,NULL,NULL,0
79,22369,12,1,3,1170,NULL,NULL,NULL,41279.50,41279,1,0,41279.43611,12.98793,77.52612,NULL,NULL,0
80,22377,12,NULL,2,974,393,NULL,NULL,41280.19,NULL,1,0,41279.49167,13.07557,77.55904,13.19956,77.70688,0
81,15272,28,NULL,2,585,767,NULL,NULL,41280.47,NULL,1,0,41279.56042,12.97677,77.5727,12.9122,77.51043,0
82,1055,12,NULL,2,352,168,NULL,NULL,41280.21,NULL,0,0,41279.57431,13.03369,77.62821,12.99313,77.59828,0
83,22381,12,NULL,2,1056,625,NULL,NULL,41279.64,NULL,0,0,41279.57917,12.919199,77.60931,12.95431,77.6553,0
84,16934,12,2,3,293,NULL,NULL,NULL,41279.65,NULL,0,0,41279.60972,12.849482,77.663187,NULL,NULL,0
85,18898,12,NULL,2,363,393,NULL,NULL,41281.20,NULL,0,0,41279.63194,12.99287,77.71662,13.19956,77.70688,0
86,18898,85,NULL,2,393,363,NULL,NULL,41299.94,NULL,0,0,41279.63472,13.19956,77.70688,12.99287,77.71662,0
87,18310,12,NULL,2,814,570,NULL,NULL,41279.68,41280,1,0,41279.63542,12.908993,77.6889,12.94832,77.5882,0
88,22346,12,NULL,2,784,393,NULL,NULL,41280.18,NULL,0,0,41279.64792,12.96634,77.60709,13.19956,77.70688,0
89,20916,12,NULL,2,849,601,NULL,NULL,41279.96,NULL,0,0,41279.68819,12.95434,77.60072,13.02434,77.56593,0
90,22388,12,NULL,2,393,515,NULL,NULL,41279.98,NULL,1,0,41279.70069,13.19956,77.70688,12.97896,77.67345,0
91,22389,85,NULL,2,571,667,NULL,NULL,41279.75,NULL,0,0,41279.70764,12.95185,77.69642,12.97165,77.51316,0
92,16425,12,NULL,2,1383,567,NULL,NULL,41280.35,NULL,0,0,41279.76111,12.930451,77.685822,12.95764,77.6043,0
93,18275,12,NULL,2,142,567,NULL,NULL,41280.34,NULL,1,0,41279.80486,12.91281,77.60923,12.95764,77.6043,0
94,22357,12,NULL,2,218,271,NULL,NULL,41280.44,NULL,0,0,41279.80833,12.96799,77.58882,12.95641,77.64076,0
95,22397,12,NULL,2,393,1371,NULL,NULL,41280.42,NULL,0,0,41279.83472,13.19956,77.70688,13.000418,77.674835,0
96,22404,12,NULL,2,1086,852,NULL,NULL,41280.04,NULL,0,0,41279.90833,12.907487,77.64729,12.98758,77.60512,0
97,756,12,NULL,2,603,83,NULL,NULL,41279.98,NULL,0,0,41279.94931,12.97357,77.61043,12.92415,77.67229,0
98,22412,12,NULL,1,344,NULL,15,160,41280.33,41280.33333,0,0,41279.99375,12.94788,77.67092,NULL,NULL,0
99,22416,65,NULL,2,452,393,NULL,NULL,41280.54,NULL,0,0,41280.06042,12.95278,77.59088,13.19956,77.70688,0
100,22417,12,NULL,2,1038,393,NULL,NULL,41280.57,NULL,0,0,41280.14722,12.981266,77.637162,13.19956,77.70688,0
101,19900,12,NULL,2,1111,1349,NULL,NULL,41280.36,NULL,0,0,41280.30486,12.90796,77.62418,12.993686,77.587527,0
102,4099,12,NULL,2,393,542,NULL,NULL,41281.23,NULL,0,0,41280.33056,13.19956,77.70688,12.93823,77.62289,0
103,21901,12,2,3,58,NULL,NULL,NULL,41280.50,41280,1,0,41280.35486,12.88963,77.60119,NULL,NULL,0
104,22422,12,1,3,450,NULL,NULL,NULL,41280.54,NULL,0,0,41280.3625,12.9334,77.62652,NULL,NULL,0
105,22424,12,NULL,2,433,1084,NULL,NULL,41280.69,NULL,0,0,41280.38819,12.91226,77.59773,12.892657,77.581866,0
106,21727,85,NULL,2,393,793,NULL,NULL,41280.90,NULL,0,0,41280.50486,13.19956,77.70688,13.02239,77.59492,0
107,22434,12,NULL,2,561,393,NULL,NULL,41281.83,NULL,0,0,41280.50764,13.00983,77.62967,13.19956,77.70688,0
108,22437,12,NULL,2,448,1192,NULL,NULL,41280.79,NULL,0,0,41280.54931,12.92732,77.63575,12.97677,77.5727,0
109,7500,28,2,3,112,NULL,NULL,NULL,41280.63,NULL,0,0,41280.55,12.93331,77.56666,NULL,NULL,0
110,22440,23,NULL,2,1379,393,NULL,NULL,41280.71,NULL,1,0,41280.58403,13.062088,77.473672,13.19956,77.70688,0
111,22442,85,NULL,2,1181,393,NULL,NULL,41280.72,NULL,0,0,41280.58681,12.97896,77.67345,13.19956,77.70688,0
112,22448,12,NULL,2,1056,1021,NULL,NULL,41280.79,NULL,0,0,41280.69861,12.919199,77.60931,13.02853,77.54625,0
113,22236,12,NULL,2,393,949,NULL,NULL,41281.18,NULL,1,0,41280.70347,13.19956,77.70688,12.98275,77.61582,0
114,15800,12,NULL,2,689,601,NULL,NULL,41280.79,NULL,0,0,41280.71736,12.97672,77.64927,13.02434,77.56593,0
115,22456,12,NULL,2,1189,1384,NULL,NULL,41281.35,41282,1,0,41280.84028,12.91873,77.61494,13.02853,77.54625,0
116,22460,12,NULL,2,1059,393,NULL,NULL,41281.26,NULL,0,0,41280.86736,12.90881,77.631127,13.19956,77.70688,0
117,17008,12,NULL,2,1084,1384,NULL,NULL,41281.39,NULL,0,0,41280.92361,12.892657,77.581866,13.02853,77.54625,0
118,22321,12,NULL,2,1333,393,NULL,NULL,41283.27,NULL,0,0,41280.96111,12.895675,77.602293,13.19956,77.70688,0
119,22466,12,NULL,2,601,681,NULL,NULL,41281.35,NULL,0,0,41281.31667,13.02434,77.56593,13.09925,77.38845,0
120,16239,12,NULL,2,1017,1334,NULL,NULL,41281.42,NULL,1,0,41281.35139,13.11084,77.60074,13.050994,77.593661,0
121,22470,12,NULL,2,571,168,NULL,NULL,41281.53,NULL,0,0,41281.35833,12.95185,77.69642,12.99313,77.59828,0
122,4227,12,NULL,2,339,392,NULL,NULL,41281.41,NULL,0,0,41281.36111,12.91028,77.64512,12.986284,77.735245,0
123,22471,12,NULL,2,297,1389,NULL,NULL,41281.42,NULL,1,0,41281.36597,12.99789,77.61488,12.919785,77.577031,0
124,22476,65,NULL,2,410,393,NULL,NULL,41282.63,NULL,0,0,41281.44583,13.05121,77.54113,13.19956,77.70688,0
125,22372,12,NULL,2,846,585,NULL,NULL,41281.63,NULL,0,0,41281.45694,12.98635,77.58203,12.97677,77.5727,0
126,22212,12,NULL,2,393,1096,NULL,NULL,41283.49,NULL,1,0,41281.46319,13.19956,77.70688,12.96519,77.71932,0
127,19280,12,NULL,2,1063,156,NULL,NULL,41281.53,NULL,0,0,41281.47153,12.934477,77.611284,13.02622,77.70143,0
128,22481,12,NULL,2,83,529,NULL,NULL,41281.69,NULL,0,0,41281.52292,12.92415,77.67229,12.93615,77.61322,0
129,16801,12,1,3,1054,NULL,NULL,NULL,41281.67,41281,1,0,41281.52361,12.90184,77.581587,NULL,NULL,0
130,868,85,NULL,2,561,393,NULL,NULL,41281.71,NULL,0,0,41281.53403,13.00983,77.62967,13.19956,77.70688,0
131,22482,12,NULL,2,1373,393,NULL,NULL,41281.66,NULL,0,0,41281.55,13.037255,77.58166,13.19956,77.70688,0
132,22486,12,NULL,2,293,83,NULL,NULL,41281.64,NULL,0,0,41281.59444,12.849482,77.663187,12.92415,77.67229,0
133,18476,12,NULL,2,220,393,NULL,NULL,41282.16,NULL,1,0,41281.64653,12.99722,77.62003,13.19956,77.70688,0
134,22484,12,NULL,2,625,758,NULL,NULL,41281.68,NULL,0,0,41281.66806,12.95431,77.6553,12.98768,77.59851,0
135,15676,12,NULL,2,393,1096,NULL,NULL,41281.94,NULL,0,0,41281.67222,13.19956,77.70688,12.96519,77.71932,0
136,22486,28,NULL,2,83,393,NULL,NULL,41281.71,NULL,0,0,41281.67431,12.92415,77.67229,13.19956,77.70688,0
137,22325,12,2,3,1298,NULL,NULL,NULL,41282.40,NULL,0,0,41281.70347,12.879678,77.646355,NULL,NULL,0
138,22489,85,NULL,2,243,1059,NULL,NULL,41281.88,NULL,0,0,41281.71319,13.24373,77.70915,12.90881,77.631127,0
139,19545,85,NULL,2,105,1068,NULL,NULL,41282.44,NULL,1,0,41281.73056,13.01766,77.64503,13.044009,77.606805,0
140,8919,12,1,3,293,NULL,NULL,NULL,41281.79,41281,1,0,41281.73125,12.849482,77.663187,NULL,NULL,0
141,22491,54,NULL,2,357,463,NULL,NULL,41281.79,NULL,0,0,41281.74028,13.03064,77.6491,12.96037,77.58132,0
142,22493,28,NULL,2,1045,585,NULL,NULL,41281.90,NULL,1,0,41281.78889,12.940238,77.589161,12.97677,77.5727,0
143,12550,12,NULL,2,393,1261,NULL,NULL,41282.81,NULL,0,0,41281.80139,13.19956,77.70688,13.08324,77.480214,0
144,22496,12,NULL,2,25,1108,NULL,NULL,41281.90,NULL,0,0,41281.82361,12.98059,77.57475,13.00097,77.65079,0
145,22499,12,NULL,2,184,1384,NULL,NULL,41285.25,41286,1,0,41281.86181,12.95871,77.56337,13.02853,77.54625,0
146,20199,65,2,3,1010,NULL,NULL,NULL,41282.42,NULL,0,0,41281.87292,12.96691,77.74935,NULL,NULL,0
147,17888,12,1,3,849,NULL,NULL,NULL,41282.32,41282,1,0,41281.92847,12.95434,77.60072,NULL,NULL,0
148,12479,12,NULL,2,1096,455,NULL,NULL,41282.78,NULL,0,0,41282.03542,12.96519,77.71932,12.999874,77.67812,0
149,22511,12,NULL,2,433,1384,NULL,NULL,41282.21,NULL,0,0,41282.18681,12.91226,77.59773,13.02853,77.54625,0
150,22515,12,NULL,2,1010,58,NULL,NULL,41282.36,NULL,0,0,41282.34236,12.96691,77.74935,12.88963,77.60119,0
151,22520,12,NULL,2,768,393,NULL,NULL,41283.38,NULL,1,0,41282.46389,12.98999,77.55332,13.19956,77.70688,0
152,22521,28,NULL,2,1061,393,NULL,NULL,41282.70,NULL,0,0,41282.54097,12.924878,77.566255,13.19956,77.70688,0
153,13265,12,NULL,2,1281,186,NULL,NULL,41283.23,NULL,0,0,41282.62778,12.934634,77.611283,12.80257,77.70453,0
154,21186,12,1,3,83,NULL,NULL,NULL,41282.69,NULL,0,0,41282.66181,12.92415,77.67229,NULL,NULL,0
155,2374,65,2,3,1294,NULL,NULL,NULL,41284.38,NULL,0,0,41282.70764,12.964653,77.599573,NULL,NULL,0
156,20916,12,NULL,2,253,793,NULL,NULL,41282.74,NULL,0,0,41282.71597,12.97635,77.61468,13.02239,77.59492,0
157,20501,12,NULL,2,1165,1175,NULL,NULL,41282.75,NULL,0,0,41282.72708,12.990947,77.687112,12.959979,77.647998,0
158,22534,12,NULL,2,1034,463,NULL,NULL,41286.06,NULL,0,0,41282.80069,13.047926,77.597766,12.96037,77.58132,0
159,21479,85,NULL,2,393,308,NULL,NULL,41284.03,NULL,0,0,41282.80556,13.19956,77.70688,12.99049,77.69798,0
160,22536,12,NULL,2,1122,1021,NULL,NULL,41282.92,NULL,0,0,41282.80903,13.02622,77.70143,13.02853,77.54625,0
161,18310,12,NULL,2,1077,197,NULL,NULL,41282.90,NULL,0,0,41282.81042,12.990236,77.586393,12.9119,77.54682,0
162,22537,12,2,3,846,NULL,NULL,NULL,41283.38,41283,1,0,41282.82014,12.98635,77.58203,NULL,NULL,0
163,22270,12,1,3,601,NULL,NULL,NULL,41283.36,NULL,0,0,41282.85486,13.02434,77.56593,NULL,NULL,0
164,22543,12,NULL,2,112,393,NULL,NULL,41283.35,NULL,1,0,41282.87917,12.93331,77.56666,13.19956,77.70688,0
165,868,12,NULL,2,1375,393,NULL,NULL,41283.25,NULL,0,0,41282.8875,12.94371,77.600549,13.19956,77.70688,0
166,20774,12,NULL,2,150,393,NULL,NULL,41283.26,NULL,0,0,41282.89583,12.89724,77.61065,13.19956,77.70688,0
167,868,12,NULL,2,219,1154,NULL,NULL,41283.29,NULL,0,0,41282.90417,12.97029,77.56597,12.87153,77.60206,0
168,22551,12,1,3,1169,NULL,NULL,NULL,41283.35,NULL,0,0,41283.31389,13.018523,77.644366,NULL,NULL,0
169,4734,85,NULL,2,1147,393,NULL,NULL,41283.50,NULL,0,0,41283.32847,13.03064,77.6491,13.19956,77.70688,0
170,22552,12,1,3,1083,NULL,NULL,NULL,41283.45,NULL,0,0,41283.37431,12.900648,77.589183,NULL,NULL,0
171,22557,24,NULL,2,149,1096,NULL,NULL,41283.48,NULL,0,0,41283.41181,12.93022,77.56039,12.96519,77.71932,0
172,20994,12,NULL,2,1021,358,NULL,NULL,41283.69,NULL,0,0,41283.46667,13.02853,77.54625,13.13785,77.47725,0
173,13164,12,1,3,450,NULL,NULL,NULL,41283.55,NULL,0,0,41283.50903,12.9334,77.62652,NULL,NULL,0
174,22562,12,NULL,2,1232,393,NULL,NULL,41284.19,41285,1,0,41283.51111,12.88019,77.64558,13.19956,77.70688,0
175,22568,12,NULL,2,1192,393,NULL,NULL,41284.23,NULL,0,0,41283.59236,12.97677,77.5727,13.19956,77.70688,0
176,22559,12,NULL,2,789,677,NULL,NULL,41283.65,NULL,0,0,41283.62431,12.9634,77.60343,13.05845,77.64075,1
177,22502,12,NULL,2,1068,1244,NULL,NULL,41283.83,NULL,1,0,41283.76389,13.044009,77.606805,12.96462,77.68779,0
178,22594,85,NULL,2,1192,571,NULL,NULL,41284.31,NULL,0,0,41283.8375,12.97677,77.5727,12.95185,77.69642,0
179,12849,12,2,3,330,NULL,NULL,NULL,41284.28,NULL,0,0,41283.84653,12.858833,77.589127,NULL,NULL,0
180,19767,12,NULL,2,1230,149,NULL,NULL,41283.90,NULL,0,0,41283.85625,13.02239,77.59492,12.93022,77.56039,0
181,22597,12,NULL,2,1330,393,NULL,NULL,41285.20,NULL,0,0,41283.86736,12.953434,77.70651,13.19956,77.70688,0
182,22601,12,NULL,2,168,1388,NULL,NULL,41284.80,NULL,1,0,41283.92708,12.99313,77.59828,12.919722,77.592806,0
183,22603,28,NULL,2,271,585,NULL,NULL,41285.21,NULL,1,0,41283.95278,12.95641,77.64076,12.97677,77.5727,0
184,17664,12,NULL,2,767,1234,NULL,NULL,41284.48,NULL,1,0,41283.95625,12.9122,77.51043,12.98635,77.58203,0
185,22481,12,NULL,2,529,83,NULL,NULL,41284.35,NULL,0,0,41283.97986,12.93615,77.61322,12.92415,77.67229,0
186,22606,28,NULL,2,393,625,NULL,NULL,41284.79,NULL,1,0,41283.98333,13.19956,77.70688,12.95431,77.6553,0
187,20415,12,2,3,572,NULL,NULL,NULL,41284.38,NULL,0,0,41284.04167,12.91873,77.61494,NULL,NULL,0
188,22611,85,NULL,2,1010,832,NULL,NULL,41284.21,NULL,0,0,41284.19444,12.96691,77.74935,12.88019,77.64558,0
189,22619,12,2,3,784,NULL,NULL,NULL,41284.44,NULL,0,0,41284.39722,12.96634,77.60709,NULL,NULL,0
190,3355,12,NULL,2,293,448,NULL,NULL,41284.60,NULL,0,0,41284.59236,12.849482,77.663187,12.92732,77.63575,0
191,22569,85,NULL,2,1354,393,NULL,NULL,41284.66,NULL,0,0,41284.60625,12.900166,77.630421,13.19956,77.70688,0
192,22637,85,NULL,2,393,949,NULL,NULL,41300.96,NULL,0,0,41284.62847,13.19956,77.70688,12.98275,77.61582,0
193,22638,12,NULL,2,89,393,NULL,NULL,41286.25,NULL,0,0,41284.64236,12.96519,77.71932,13.19956,77.70688,0
194,22640,85,NULL,2,393,1314,NULL,NULL,41285.74,NULL,1,0,41284.65347,13.19956,77.70688,12.973553,77.62179,0
195,22646,28,NULL,2,571,451,NULL,NULL,41284.76,NULL,1,0,41284.7,12.95185,77.69642,12.9739,77.57914,1
196,22645,24,NULL,2,1390,393,NULL,NULL,41284.76,NULL,0,0,41284.70139,12.969368,77.641302,13.19956,77.70688,0
197,22648,12,NULL,2,201,393,NULL,NULL,41285.75,NULL,0,0,41284.75833,13.03779,77.59884,13.19956,77.70688,0
198,8769,65,NULL,2,571,393,NULL,NULL,41285.96,NULL,1,0,41284.78819,12.95185,77.69642,13.19956,77.70688,0
199,21039,12,NULL,2,24,849,NULL,NULL,41284.90,NULL,0,0,41284.79514,13.03289,77.59194,12.95434,77.60072,0
200,8769,65,NULL,2,571,393,NULL,NULL,41285.92,NULL,1,0,41284.79861,12.95185,77.69642,13.19956,77.70688,0
201,22652,12,NULL,2,1286,393,NULL,NULL,41285.35,NULL,0,0,41284.80069,12.973448,77.62032,13.19956,77.70688,0
202,16504,12,NULL,2,571,585,NULL,NULL,41284.99,NULL,1,0,41284.92569,12.95185,77.69642,12.97677,77.5727,0
203,19390,12,NULL,1,1323,NULL,15,131,41286.25,41287,0,0,41284.93333,12.869805,77.653211,NULL,NULL,0
204,22671,12,NULL,2,463,393,NULL,NULL,41285.21,NULL,0,0,41284.9375,12.96037,77.58132,13.19956,77.70688,0
205,22681,12,NULL,2,104,271,NULL,NULL,41285.35,NULL,0,0,41285.31458,12.93652,77.54481,12.95641,77.64076,0
206,864,12,2,3,1084,NULL,NULL,NULL,41285.46,NULL,0,0,41285.34097,12.892657,77.581866,NULL,NULL,0
207,22682,12,NULL,2,293,393,NULL,NULL,41285.42,NULL,1,0,41285.35,12.849482,77.663187,13.19956,77.70688,0
208,21858,12,NULL,2,1181,1038,NULL,NULL,41285.42,NULL,0,0,41285.35764,12.97896,77.67345,12.981266,77.637162,0
209,314,12,1,3,117,NULL,NULL,NULL,41285.46,NULL,0,0,41285.36042,12.86966,77.62737,NULL,NULL,0
