"tmpID","ResidenceHHGenderDescription","EthnicDescription","BroadEthnicGroupings","PresenceOfChildrenCode","ISPSA","HomeOwnerRenter","MosaicZ4","MedianEducationYears","NetWorth","Investor","BusinessOwner","Education","OccupationIndustry","HorseOwner","CatOwner","DogOwner","OtherPetOwner","HomeOffice","BookBuyerInHome","UpscaleBuyerInHome","BuyerofAntiquesinHousehold","BuyerofArtinHousehold","GeneralCollectorinHousehold","BooksAudioReadinginHousehold","ComputerOwnerInHome"
4958,"Mixed Gender Household","Irish","Swedish","Not Likely to have a child",4,"Likely Homeowner","",14,"$50000-99999","","","Bach Degree - Likely","Unknown","","","","","","","","","","Yes","","Yes"
4,"Mixed Gender Household","English/Welsh","Irish","Not Likely to have a child",7,"Likely Homeowner","",17,"$25000-49999","","","Grad Degree - Extremely Likely","Skilled Trades","","","Yes","","","1 book purchase in home ","","","","","","Yes"
2895,"Female Only Household","English/Welsh","Irish","Not Likely to have a child",9,"Likely Homeowner","",16,"$50000-99999","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
5678,"Mixed Gender Household","English/Welsh","Irish","",7,"Likely Homeowner","",14,"$100000-249999","","","Some College - Likely","Clerical/Office","","","","","","","","","Yes","Yes","","Unknown"
2087,"Mixed Gender Household","Likely Af-Am (Modeled)","Likely Af-Am (Modeled)","Not Likely to have a child",6,"Likely Homeowner","",15,"$50000-99999","Yes","","Some College - Likely","Unknown","","","","","","","","","Yes","","","Yes"
5257,"Mixed Gender Household","French","Swedish","Known Data",0,"Likely Homeowner","",13,"$50000-99999","","","Some College - Likely","Unknown","","","Yes","","","","","","","","","Yes"
4325,"Male Only Household","Scots","English/Welsh","Known Data",9,"Likely Homeowner","",14,"$499999+","","","Grad Degree - Likely","Unknown","","","","Yes","","","","","","Yes","","Yes"
2300,"Male Only Household","German","English/Welsh","Modeled Not as Likely to have a child",9,"Likely Homeowner","",13,"$50000-99999","","","Some College - Likely","Unknown","","","","Yes","","5 book purchases in home","","","Yes","Yes","","Yes"
4680,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","Rooted Flower Power",15,"$100000-249999","","","Bach Degree - Likely","Engineering","","","Yes","Yes","","3 book purchases in home","","","Yes","","","Yes"
4912,"Female Only Household","French","Swedish","Modeled Not as Likely to have a child",5,"Likely Homeowner","Aging in Place",17,"$5000-9999","","","Some College -Extremely Likely","Manufacturing","","","","","","4 book purchases in home","","","","","","Yes"
173,"Female Only Household","English/Welsh","English/Welsh","Modeled Likely to have a child",8,"","",12,"$50000-99999","","","Unknown","Unknown","","","","","","","","","","","","Unknown"
5679,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",6,"Likely Homeowner","No Place like Home",13,"$100000-249999","Yes","","Some College -Extremely Likely","Unknown","","","","","","","","","","","","Yes"
2415,"Mixed Gender Household","German","Scots","Not Likely to have a child",9,"Likely Homeowner","",12,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","Yes","","","","1 book purchase in home ","","","","","","Unknown"
1510,"Male Only Household","Polish","Chinese","Not Likely to have a child",9,"Likely Homeowner","",13,"","Yes","","Grad Degree - Extremely Likely","Unknown","","Yes","","","","","","","","","Yes","Yes"
762,"Mixed Gender Household","French","English/Welsh","Modeled Likely to have a child",9,"Likely Homeowner","",16,"$25000-49999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Yes"
1229,"Mixed Gender Household","Hispanic","Scots","Modeled Likely to have a child",8,"Likely Homeowner","",14,"$250000-499999","Yes","","Unknown","Clerical/Office","","","","","","2 book purchases in home","","","","","","Yes"
4380,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",6,"Likely Homeowner","",16,"$100000-249999","","","Some College -Extremely Likely","Other","","","","","Yes","2 book purchases in home","","","","","","Yes"
5600,"Male Only Household","Swedish","German","",9,"Likely Homeowner","",16,"$50000-99999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","Yes","","","Unknown"
3119,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",1,"Likely Homeowner","",15,"$5000-9999","Yes","","Unknown","Unknown","","","","","","","","","","","","Unknown"
2113,"Male Only Household","","Italian","Not Likely to have a child",7,"Likely Homeowner","",13,"$100000-249999","","","Grad Degree - Extremely Likely","Unknown","","","Yes","","Yes","","","","","Yes","","Unknown"
3138,"Mixed Gender Household","Hispanic","German","Modeled Not as Likely to have a child",5,"Likely Homeowner","",13,"$250000-499999","","","Bach Degree - Likely","Management","","","","","","1 book purchase in home ","","","Yes","Yes","","Yes"
2661,"Mixed Gender Household","English/Welsh","German","Known Data",9,"Likely Homeowner","",16,"","Yes","","Unknown","Other","","","","","","","","","","","","Unknown"
4124,"Mixed Gender Household","German","German","Not Likely to have a child",9,"Likely Homeowner","",13,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","","Yes","","","","","","Yes","Yes","","Yes"
5552,"Female Only Household","Polish","Irish","Known Data",9,"Likely Homeowner","",14,"$50000-99999","","","Grad Degree - Likely","Unknown","","","","","Yes","4 book purchases in home","","","","","","Unknown"
1201,"Female Only Household","","Austrian","Known Data",7,"Likely Homeowner","Rooted Flower Power",15,"$50000-99999","","","Unknown","Unknown","","","","","","7 book purchases in home","","","","","","Yes"
3870,"Mixed Gender Household","English/Welsh","French","Not Likely to have a child",2,"","",14,"$25000-49999","Yes","","Grad Degree - Extremely Likely","Skilled Trades","","","","","","","","","","","","Yes"
975,"Mixed Gender Household","English/Welsh","Scots","Known Data",9,"Likely Homeowner","",16,"","Yes","","Unknown","Unknown","","","","","","","","","","","","Yes"
5361,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Likely to have a child",6,"Likely Homeowner","",15,"$250000-499999","Yes","","Some College - Likely","Financial Services","","","","","","","","","","Yes","","Yes"
2517,"Mixed Gender Household","English/Welsh","German","Known Data",8,"Likely Homeowner","",13,"$499999+","","","Some College - Likely","Scientific","","","","","","","","","","Yes","","Yes"
2767,"Male Only Household","English/Welsh","English/Welsh","Not Likely to have a child",1,"","",16,"","Yes","","Unknown","Unknown","","","Yes","","","","","","","","","Yes"
2629,"Mixed Gender Household","","","Not Likely to have a child",6,"Likely Homeowner","",15,"$250000-499999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
413,"Mixed Gender Household","","English/Welsh","Not Likely to have a child",8,"Likely Homeowner","",15,"$10000-24999","","","Grad Degree - Extremely Likely","Medical","","","","Yes","","","","","","Yes","","Yes"
1061,"Mixed Gender Household","","Italian","Not Likely to have a child",6,"Likely Homeowner","",16,"$50000-99999","","","Some College -Extremely Likely","Unknown","","","","Yes","","","","","","","","Yes"
2802,"Mixed Gender Household","English/Welsh","Polish","Not Likely to have a child",8,"Likely Homeowner","",13,"$250000-499999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
4335,"Mixed Gender Household","","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","",13,"$25000-49999","","","Grad Degree - Extremely Likely","Financial Services","","","","","Yes","9 book purchases in home","1 upscale merchandise purchase ","","","","","Yes"
3421,"Mixed Gender Household","German","","Not Likely to have a child",NA,"Likely Homeowner","",12,"$250000-499999","Yes","","Bach Degree - Likely","Unknown","","","","","","4 book purchases in home","","","","","","Unknown"
5901,"Mixed Gender Household","English/Welsh","German","Not Likely to have a child",7,"Likely Homeowner","",16,"","","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","Yes","","Yes"
4619,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",9,"Likely Homeowner","",15,"$25000-49999","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","Yes","","","Yes"
3018,"Mixed Gender Household","English/Welsh","","Modeled Not as Likely to have a child",9,"Likely Renter","Aging of Aquarius",14,"$1-4999","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
3600,"Mixed Gender Household","Likely Af-Am (Modeled)","English/Welsh","",8,"Likely Renter","",15,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Clerical/Office","","","","","","","","","","Yes","","Yes"
2485,"Female Only Household","Irish","German","Not Likely to have a child",9,"","Settled and Sensible",14,"$10000-24999","","","Unknown","Unknown","","Yes","","","","","","","","","","Unknown"
1299,"Mixed Gender Household","French","English/Welsh","Modeled Not as Likely to have a child",7,"Likely Homeowner","",15,"$50000-99999","Yes","","Some College -Extremely Likely","Unknown","","","","","","","","","","Yes","","Unknown"
1285,"Mixed Gender Household","Dutch (Netherlands)","","",9,"Likely Homeowner","",15,"$50000-99999","Yes","","Some College - Likely","Unknown","","Yes","","","","","","","","Yes","","Yes"
1676,"Mixed Gender Household","French","English/Welsh","Modeled Not as Likely to have a child",9,"Likely Homeowner","",15,"","Yes","","Some College -Extremely Likely","Unknown","","","","","Yes","","","","Yes","","","Yes"
3567,"Mixed Gender Household","German","Irish","Known Data",8,"Likely Homeowner","",16,"","","","Bach Degree - Extremely Likely","Unknown","","","","","","9 book purchases in home","","","","","","Unknown"
5874,"Mixed Gender Household","Scots","","Not Likely to have a child",4,"Likely Homeowner","",NA,"$5000-9999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","3 book purchases in home","","","Yes","Yes","","Yes"
1438,"Female Only Household","Likely Af-Am (Modeled)","English/Welsh","Modeled Likely to have a child",8,"Likely Homeowner","Aging of Aquarius",14,"$50000-99999","","","Unknown","Unknown","","","","","Yes","","","","","","","Yes"
1186,"Male Only Household","German","Dutch (Netherlands)","Known Data",1,"Likely Homeowner","",15,"$100000-249999","","","Unknown","Management","","","","","","","","","Yes","","","Yes"
4904,"Female Only Household","Irish","","Not Likely to have a child",7,"Likely Renter","",15,"","","","HS Diploma - Extremely Likely","Unknown","","","Yes","","","1 book purchase in home ","","","","","","Yes"
4350,"Mixed Gender Household","German","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","",13,"$250000-499999","","","Grad Degree - Extremely Likely","Unknown","Yes","","","","","","","","","","","Yes"
1348,"Mixed Gender Household","German","Hispanic","",7,"","",15,"$1-4999","","","Unknown","Other","","","Yes","","","1 book purchase in home ","","","","","","Unknown"
3144,"Mixed Gender Household","English/Welsh","German","Not Likely to have a child",4,"Likely Homeowner","",13,"$250000-499999","","","Unknown","Other","","","","","Yes","","","","","","","Unknown"
4682,"Female Only Household","Irish","English/Welsh","",9,"Likely Homeowner","",NA,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","Yes","","","","Yes","Yes","","Yes"
2776,"Mixed Gender Household","","English/Welsh","Known Data",8,"Likely Homeowner","Rooted Flower Power",14,"$25000-49999","","","Some College - Likely","Unknown","","","Yes","","","","","","","Yes","","Yes"
2313,"Mixed Gender Household","Chinese","Likely Af-Am (Modeled)","Modeled Likely to have a child",9,"Likely Homeowner","",15,"","Yes","","Unknown","Unknown","","","","","","1 book purchase in home ","","","","","","Yes"
535,"Mixed Gender Household","Likely Af-Am (Modeled)","English/Welsh","Modeled Not as Likely to have a child",7,"Likely Homeowner","Reaping Rewards",15,"$50000-99999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","Yes","","","","Yes","","","Yes"
2224,"Female Only Household","Irish","German","Not Likely to have a child",9,"Likely Homeowner","Reaping Rewards",16,"$250000-499999","","","Grad Degree - Likely","Unknown","","","","","Yes","","","","","","","Yes"
942,"Mixed Gender Household","German","Norwegian","Not Likely to have a child",8,"Likely Homeowner","",16,"$499999+","","","Bach Degree - Likely","Other","","","Yes","","","","2 upscale merchandise purchases","","","","","Yes"
890,"Mixed Gender Household","Irish","Scots","Not Likely to have a child",9,"Likely Homeowner","",14,"$50000-99999","Yes","","Grad Degree - Likely","Unknown","","","","","","","","","","Yes","","Unknown"
1040,"Mixed Gender Household","Likely Af-Am (Modeled)","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","",16,"$250000-499999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
5403,"Mixed Gender Household","German","English/Welsh","Known Data",2,"Likely Homeowner","No Place like Home",12,"$10000-24999","","","Unknown","Financial Services","","","","","","","","","Yes","","","Yes"
347,"Mixed Gender Household","","English/Welsh","Known Data",9,"Likely Homeowner","",15,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Unknown","","","Yes","","","","","","","","","Unknown"
1863,"Mixed Gender Household","Irish","English/Welsh","Known Data",1,"Likely Homeowner","",15,"$50000-99999","","","Some College -Extremely Likely","Unknown","","","","Yes","Yes","","","","","","","Unknown"
1353,"Mixed Gender Household","","English/Welsh","Modeled Not as Likely to have a child",6,"Likely Homeowner","",15,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","Yes","","1 book purchase in home ","","","","","","Yes"
3663,"Male Only Household","Polish","Italian","Not Likely to have a child",9,"Likely Homeowner","",16,"$25000-49999","Yes","","Bach Degree - Likely","Unknown","","","","","","","","","","Yes","","Yes"
1594,"Mixed Gender Household","Likely Af-Am (Modeled)","Italian","Not Likely to have a child",1,"Likely Homeowner","",15,"$50000-99999","","","Some College - Likely","Unknown","","","","","","1 book purchase in home ","","","","","","Yes"
1437,"Mixed Gender Household","English/Welsh","","Not Likely to have a child",7,"Likely Renter","",13,"$499999+","","","Unknown","Unknown","","","","Yes","","","","","","","","Yes"
5293,"Mixed Gender Household","","Persian","Modeled Not as Likely to have a child",9,"Likely Homeowner","",15,"$25000-49999","","","Grad Degree - Likely","Clerical/Office","","","","","","","","","","","","Yes"
5071,"Female Only Household","English/Welsh","","Not Likely to have a child",8,"Likely Homeowner","Aging in Place",12,"$100000-249999","","","Grad Degree - Extremely Likely","Unknown","","Yes","","","Yes","1 book purchase in home ","","","Yes","Yes","","Yes"
2734,"Mixed Gender Household","German","English/Welsh","Modeled Not as Likely to have a child",6,"Likely Homeowner","",15,"","","","Grad Degree - Likely","Unknown","","","","Yes","","1 book purchase in home ","","","","","","Unknown"
573,"Male Only Household","English/Welsh","Irish","Not Likely to have a child",2,"Likely Homeowner","",15,"$100000-249999","","","Bach Degree - Extremely Likely","Unknown","","","","","","2 book purchases in home","","","","","","Unknown"
5910,"Female Only Household","German","","Not Likely to have a child",NA,"Likely Homeowner","",17,"$50000-99999","","","Bach Degree - Likely","Skilled Trades","","","Yes","","","","","","","","","Yes"
3315,"Mixed Gender Household","Italian","","Not Likely to have a child",9,"Likely Homeowner","Silver Sophisticates",16,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
1239,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",5,"Likely Homeowner","",14,"$250000-499999","Yes","","Grad Degree - Extremely Likely","Financial Services","","","","","Yes","","","","","","","Yes"
5782,"Mixed Gender Household","Chinese","Irish","Not Likely to have a child",9,"","Aging in Place",14,"","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Yes"
2875,"Female Only Household","English/Welsh","German","Not Likely to have a child",6,"Likely Homeowner","Rooted Flower Power",17,"$50000-99999","","","Grad Degree - Extremely Likely","Unknown","","","","","","1 book purchase in home ","","","Yes","","","Yes"
2898,"Mixed Gender Household","Irish","English/Welsh","Modeled Likely to have a child",9,"Likely Renter","",13,"$10000-24999","","","Grad Degree - Likely","Unknown","","","Yes","","","4 book purchases in home","","","","","","Yes"
5982,"Female Only Household","English/Welsh","English/Welsh","Not Likely to have a child",6,"Likely Homeowner","",14,"$100000-249999","","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","","","Unknown"
4246,"Female Only Household","Czech","Scots","Not Likely to have a child",7,"Likely Homeowner","Aging in Place",12,"$100000-249999","","","Some College - Likely","Financial Services","","","Yes","","","6 book purchases in home","","","","","","Unknown"
2497,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",8,"Likely Renter","",14,"","Yes","","HS Diploma - Extremely Likely","Education","","","","","","","","","","","","Yes"
4940,"Female Only Household","Chinese","English/Welsh","Known Data",9,"Likely Renter","Silver Sophisticates",13,"","","","Bach Degree - Likely","Management","","","","Yes","Yes","","","","","","","Yes"
3464,"Male Only Household","English/Welsh","English/Welsh","Not Likely to have a child",5,"Likely Homeowner","Soulful Spenders",14,"$100000-249999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
2873,"Mixed Gender Household","Italian","","Modeled Not as Likely to have a child",9,"Likely Homeowner","No Place like Home",12,"$25000-49999","","","Grad Degree - Extremely Likely","Unknown","","","Yes","","","","","","","","","Yes"
3742,"Mixed Gender Household","German","Likely Af-Am (Modeled)","",9,"Likely Homeowner","",15,"$25000-49999","","","Grad Degree - Extremely Likely","Education","","","","","","","","","","","","Yes"
186,"Mixed Gender Household","Irish","Irish","Modeled Not as Likely to have a child",8,"Likely Renter","",NA,"$100000-249999","Yes","","HS Diploma - Extremely Likely","Unknown","","","","Yes","","1 book purchase in home ","","","Yes","Yes","","Yes"
2924,"Female Only Household","Likely Af-Am (Modeled)","French","Not Likely to have a child",8,"Likely Homeowner","",16,"$100000-249999","Yes","","Unknown","Unknown","","","","","","","","","","","","Yes"
3929,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","",14,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Clerical/Office","","","","Yes","Yes","6 book purchases in home","","","","","","Yes"
4838,"Mixed Gender Household","English/Welsh","Hispanic","Known Data",7,"Likely Renter","",16,"$25000-49999","","","Bach Degree - Extremely Likely","Education","","","","","","","","","Yes","Yes","","Unknown"
5526,"Mixed Gender Household","Irish","German","Not Likely to have a child",8,"Likely Homeowner","",13,"","","","Unknown","Manufacturing","","","","","","","","","","","","Yes"
5906,"Female Only Household","English/Welsh","Irish","Known Data",7,"Likely Homeowner","No Place like Home",12,"","","","Grad Degree - Likely","Unknown","","","","","","","","","","","","Yes"
2843,"Mixed Gender Household","","English/Welsh","Not Likely to have a child",1,"Likely Renter","",13,"$50000-99999","","","Some College - Likely","Unknown","","","","","","","2 upscale merchandise purchases","","","","","Yes"
5873,"Mixed Gender Household","Hispanic","German","Not Likely to have a child",9,"Likely Renter","",16,"","","","Grad Degree - Extremely Likely","Unknown","","","Yes","","","","","","","","","Unknown"
952,"Mixed Gender Household","German","French","Modeled Likely to have a child",9,"Likely Homeowner","",14,"","Yes","","Grad Degree - Likely","Unknown","","","","","","4 book purchases in home","","","","","","Yes"
3874,"Mixed Gender Household","French","Polish","Not Likely to have a child",1,"Likely Homeowner","",14,"$25000-49999","","","Bach Degree - Extremely Likely","Manufacturing","","","","","","","","","","Yes","","Unknown"
4210,"Mixed Gender Household","","Dutch (Netherlands)","Not Likely to have a child",9,"Likely Homeowner","",15,"$250000-499999","","","Unknown","Unknown","","","Yes","Yes","Yes","","","","Yes","Yes","","Yes"
3050,"Mixed Gender Household","German","Scots","Modeled Not as Likely to have a child",8,"Likely Homeowner","",12,"","Yes","","Grad Degree - Extremely Likely","Management","","","","","","","","","","Yes","","Yes"
4729,"Mixed Gender Household","Likely Af-Am (Modeled)","English/Welsh","Modeled Not as Likely to have a child",4,"Likely Homeowner","",16,"$499999+","Yes","","Less than HS Diploma - Likely","Management","","","","Yes","","2 book purchases in home","","","","","","Yes"
1451,"Female Only Household","Greek","","Not Likely to have a child",6,"Likely Homeowner","",14,"","Yes","","Bach Degree - Likely","Skilled Trades","","","","","","3 book purchases in home","","","","","","Yes"
2797,"Mixed Gender Household","Likely Af-Am (Modeled)","Irish","Known Data",8,"Likely Homeowner","",16,"$250000-499999","Yes","","Unknown","Unknown","","","","","","","","","","","","Yes"
1693,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",8,"Likely Renter","Aging of Aquarius",14,"","","","Grad Degree - Extremely Likely","Management","","","","","","1 book purchase in home ","","","","","","Unknown"
1641,"Male Only Household","Italian","German","",6,"Likely Homeowner","",16,"$25000-49999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","Yes","Yes","","Yes"
2965,"Mixed Gender Household","Scots","German","Known Data",8,"Likely Homeowner","",17,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Financial Services","","Yes","","","","","","","Yes","Yes","","Yes"
3827,"Mixed Gender Household","German","English/Welsh","Known Data",5,"Likely Homeowner","Reaping Rewards",15,"$50000-99999","Yes","","HS Diploma - Extremely Likely","Unknown","","","","","","1 book purchase in home ","1 upscale merchandise purchase ","","Yes","Yes","","Unknown"
4385,"Mixed Gender Household","English/Welsh","","Known Data",9,"Likely Homeowner","",15,"$50000-99999","","","Grad Degree - Extremely Likely","Management","","Yes","","","","","","","Yes","Yes","","Yes"
1085,"Mixed Gender Household","English/Welsh","Irish","Known Data",8,"Likely Homeowner","",15,"$100000-249999","","","Unknown","Unknown","","","","","Yes","2 book purchases in home","","","","","","Unknown"
2751,"Female Only Household","German","Hispanic","Not Likely to have a child",8,"Likely Homeowner","Settled in Suburbia",16,"$50000-99999","","","Unknown","Management","","","","","","","","","","Yes","","Yes"
5050,"Mixed Gender Household","German","Likely Af-Am (Modeled)","Not Likely to have a child",6,"Likely Homeowner","",12,"$50000-99999","","Yes","Grad Degree - Likely","Unknown","","","","","","","","","Yes","Yes","","Unknown"
4021,"Mixed Gender Household","English/Welsh","Likely Af-Am (Modeled)","Modeled Not as Likely to have a child",1,"Likely Homeowner","",15,"$100000-249999","","","Bach Degree - Extremely Likely","Medical","","","","","","","","","","Yes","","Yes"
2400,"Mixed Gender Household","","English/Welsh","Known Data",3,"","",14,"$50000-99999","Yes","","Unknown","Unknown","","","","","","","","","Yes","","","Unknown"
2669,"Female Only Household","English/Welsh","Irish","Not Likely to have a child",9,"Likely Homeowner","",15,"","","","Bach Degree - Extremely Likely","Unknown","","Yes","","","","","","","Yes","","","Yes"
5157,"Mixed Gender Household","English/Welsh","Irish","Not Likely to have a child",1,"Likely Homeowner","",12,"$100000-249999","Yes","","HS Diploma - Extremely Likely","Other","","","","","","","","","","","","Yes"
4899,"Female Only Household","Irish","English/Welsh","Not Likely to have a child",8,"","",15,"$1-4999","Yes","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
1556,"Mixed Gender Household","Scots","English/Welsh","Known Data",4,"Likely Homeowner","",16,"$100000-249999","","","HS Diploma - Likely","Unknown","","","Yes","","","2 book purchases in home","","","","","","Unknown"
4919,"Female Only Household","Greek","German","Modeled Not as Likely to have a child",9,"Likely Homeowner","Colleges and Cafes",12,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","Yes","","","","Yes","Yes","","Yes"
1443,"Female Only Household","Scots","","Modeled Not as Likely to have a child",7,"Likely Homeowner","",14,"$250000-499999","","","Unknown","Unknown","","","","Yes","","","","","","","","Unknown"
5903,"Female Only Household","Italian","","Not Likely to have a child",6,"Likely Homeowner","",16,"$50000-99999","Yes","","Unknown","Medical","","","Yes","","","","","","Yes","Yes","","Yes"
1848,"Mixed Gender Household","English/Welsh","Danish","Not Likely to have a child",9,"Likely Homeowner","",15,"$250000-499999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Unknown"
4845,"Mixed Gender Household","Irish","English/Welsh","Not Likely to have a child",NA,"Likely Homeowner","",NA,"$100000-249999","","","HS Diploma - Extremely Likely","Other","","Yes","","Yes","","2 book purchases in home","","","","Yes","","Yes"
2876,"Male Only Household","Filipino","Russian (omitting former Soviet States)","Not Likely to have a child",4,"Likely Homeowner","Settled and Sensible",13,"$250000-499999","Yes","","Bach Degree - Extremely Likely","Education","","","","","","","","","","","","Yes"
1853,"Male Only Household","Indian/Hindu","","Modeled Not as Likely to have a child",9,"Likely Homeowner","",16,"$10000-24999","","","Grad Degree - Extremely Likely","Unknown","","","","","","1 book purchase in home ","","","","Yes","","Yes"
3193,"Mixed Gender Household","Scots","English/Welsh","Not Likely to have a child",9,"Likely Renter","Silver Sophisticates",16,"","","","Grad Degree - Extremely Likely","Unknown","","","","","","1 book purchase in home ","","","","","","Yes"
3719,"Mixed Gender Household","English/Welsh","Irish","Not Likely to have a child",9,"Likely Homeowner","",17,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Other","","","","","","","","","","","","Yes"
3266,"Mixed Gender Household","English/Welsh","Polish","Not Likely to have a child",7,"Likely Homeowner","",12,"$25000-49999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","1 upscale merchandise purchase ","","","Yes","","Yes"
