HHuniqueID,headOfhouseholdGender,annualDonations,EstRace,PetsPurchases,DigitalHabits_5_AlwaysOn,AffluencePurchases,Age,Job,Marital,Education
HH2a31912b90,F,,,FALSE,2,FALSE,54,services,divorced,NA
HH50f9a43871,M,"$1,089.14 ",,TRUE,5,TRUE,46,housemaid,married,primary
HHf50b8026c1,F,,,FALSE,1,FALSE,47,self-employed,married,secondary
HHc6c517ee4e,M,,,FALSE,5,TRUE,78,retired,married,NA
HHbcb018830e,F,,Alaska Native,FALSE,2,FALSE,31,blue-collar,married,secondary
HHa70fb3918e,M,"$1,219.23 ",,TRUE,4,TRUE,39,services,married,secondary
HH301d7478c4,M,,,FALSE,3,TRUE,31,admin.,married,secondary
HH7b4fa1e31c,F,,,FALSE,2,TRUE,46,entrepreneur,divorced,secondary
HHef87ab562c,M,,,FALSE,1,FALSE,34,management,single,NA
HH2d81042181,F,,,FALSE,3,FALSE,52,unemployed,married,secondary
HHe5272f3e75,F,,,FALSE,3,TRUE,36,management,divorced,tertiary
HHa60c5c38d7,M,,Comanche,FALSE,5,FALSE,39,entrepreneur,married,secondary
HHeb71dc4a1a,M,,,TRUE,1,FALSE,18,student,single,primary
HHe59d1b62ec,F,,,TRUE,2,TRUE,60,services,married,secondary
HH2b0fec4129,M,,,FALSE,5,FALSE,36,services,single,secondary
HH1863fe3c06,F,,Menominee,TRUE,5,FALSE,57,management,married,tertiary
HHd4f65a8732,F,,Alaskan Athabascan,TRUE,3,FALSE,28,blue-collar,single,secondary
HH25a8b233b0,M,,Polynesian,TRUE,5,TRUE,30,management,married,tertiary
HH13a4034e11,M,,,TRUE,4,FALSE,41,blue-collar,married,secondary
HH1a5c1f03b4,M,,,FALSE,3,TRUE,58,management,married,tertiary
HH26c0a747fd,F,,,TRUE,1,TRUE,23,housemaid,married,tertiary
HHe127b2b7a7,F,$338.73 ,,TRUE,4,FALSE,29,admin.,married,secondary
HH9fb8de2497,F,,,TRUE,3,FALSE,25,technician,single,secondary
HHa4599f6cf2,F,,,TRUE,3,FALSE,39,blue-collar,married,secondary
HHbb2c74cd56,F,,,TRUE,1,TRUE,45,technician,divorced,tertiary
HH80a864dee0,M,,,FALSE,5,TRUE,55,technician,divorced,secondary
HH6d7bd75027,F,,,TRUE,4,FALSE,32,technician,married,tertiary
HHba012e4b8f,F,,,TRUE,2,FALSE,36,management,married,tertiary
HHee9033b580,M,"$1,043.78 ",,FALSE,1,FALSE,34,management,single,tertiary
HH3e484b0b89,M,,,TRUE,2,TRUE,39,technician,single,secondary
HHb539944d00,F,$969.72 ,Ecuadorian,FALSE,3,FALSE,49,admin.,single,secondary
HHb1ae8c200f,F,,,TRUE,3,FALSE,37,technician,married,tertiary
HH553a65578b,M,"$1,307.80 ",,FALSE,4,FALSE,47,blue-collar,married,secondary
HHada635be07,F,,,TRUE,1,FALSE,49,retired,single,primary
HHa372f18f9a,F,,,FALSE,2,TRUE,49,unemployed,married,primary
HH56eb96495c,F,,,TRUE,4,FALSE,34,admin.,divorced,secondary
HH7250e97d65,F,,Sri Lankan,FALSE,5,FALSE,40,blue-collar,married,secondary
HHa39c74bf85,M,,,TRUE,3,TRUE,33,services,married,secondary
HHfd0ca0e875,F,,Costa Rican,TRUE,5,FALSE,40,admin.,single,secondary
HH2dca085566,F,,,FALSE,3,TRUE,41,entrepreneur,single,secondary
HH7fb9c920bd,M,,Seminole,FALSE,4,TRUE,56,management,married,tertiary
HH54b683268b,F,,,TRUE,3,FALSE,33,blue-collar,single,secondary
HH30a66315e9,F,,,TRUE,4,TRUE,43,blue-collar,divorced,primary
HHba4306ceeb,F,,,TRUE,3,FALSE,46,services,divorced,secondary
HH1ea622dd93,F,,Creek,FALSE,2,TRUE,39,blue-collar,married,secondary
HH82e96fe9ad,M,,,FALSE,2,TRUE,44,management,married,tertiary
HH3613182013,M,,,FALSE,2,TRUE,48,management,divorced,tertiary
HH143fef2fa3,M,,,TRUE,4,TRUE,39,blue-collar,single,tertiary
HHcc7f1f0528,F,,,TRUE,1,TRUE,46,blue-collar,married,primary
HHbff59feb61,M,,,FALSE,5,TRUE,19,student,single,primary
HH3008ead5b0,M,,,TRUE,5,FALSE,36,management,married,tertiary
HH58def17f56,M,,,FALSE,4,TRUE,43,technician,married,secondary
HH7b7b089be4,M,,,FALSE,1,FALSE,46,technician,married,secondary
HH3eb40e367f,M,,,FALSE,1,FALSE,56,retired,married,primary
HH5b25e5dad6,F,,,TRUE,5,TRUE,57,management,married,secondary
HH120025957a,M,$556.56 ,,TRUE,4,TRUE,33,technician,married,tertiary
HH4325b23bc0,M,,Asian,FALSE,1,TRUE,41,admin.,married,secondary
HH6b16c26d75,M,,,TRUE,1,FALSE,31,management,married,tertiary
HH76cc97573e,F,,,TRUE,3,TRUE,52,management,married,tertiary
HH455935cfb3,M,,Eskimo,TRUE,1,FALSE,48,blue-collar,single,secondary
HH658a5d29f5,F,,Osage,TRUE,2,FALSE,55,blue-collar,married,secondary
HHd96675f397,F,,,TRUE,4,FALSE,50,technician,married,secondary
HHde2575c1bf,F,,Cree,FALSE,3,FALSE,33,blue-collar,single,secondary
HHbb44460976,M,$966.32 ,,FALSE,1,FALSE,31,management,married,tertiary
HHad6f53eeae,F,,,FALSE,3,FALSE,33,admin.,married,tertiary
HHab96afc4de,M,,,TRUE,5,TRUE,31,management,married,tertiary
HHea2c60536b,M,$53.55 ,,TRUE,2,FALSE,37,services,married,secondary
HHc4d3f71f90,M,,,TRUE,2,FALSE,62,retired,married,secondary
HH4203ba42df,M,,,TRUE,2,TRUE,33,management,married,tertiary
HH63eeee394e,M,,,TRUE,4,FALSE,40,management,married,tertiary
HH1660e2d94d,F,,,TRUE,1,FALSE,37,technician,single,tertiary
HH7b8a8ac364,F,,Melanesian,FALSE,3,TRUE,46,management,divorced,tertiary
HH73aed61889,M,,Latin American Indian,FALSE,1,TRUE,64,entrepreneur,married,tertiary
HHe939293e89,M,,,TRUE,4,TRUE,43,unemployed,married,primary
HH316179b722,F,,,FALSE,4,TRUE,57,blue-collar,married,primary
HH516248cf1c,F,,,FALSE,2,FALSE,58,retired,divorced,primary
HH3e2f631f85,F,,,TRUE,4,TRUE,32,technician,divorced,tertiary
HHfda17621a9,M,,,TRUE,5,FALSE,43,blue-collar,married,secondary
HHd7b17d15eb,M,,,FALSE,5,FALSE,30,student,single,tertiary
HH565b1f470d,M,,,TRUE,4,TRUE,45,admin.,married,secondary
HHf13fc288db,M,,,TRUE,5,FALSE,56,management,married,tertiary
HH1bb8f13f8a,M,,Spaniard,TRUE,4,FALSE,44,management,married,NA
HHdcdb591f50,M,,,TRUE,5,TRUE,61,management,married,tertiary
HHc5e24892ac,M,,,TRUE,4,TRUE,37,technician,divorced,tertiary
HH1ce2f2f7f1,M,,,TRUE,2,TRUE,56,retired,married,secondary
HH822a6012d6,M,,,TRUE,3,FALSE,46,admin.,married,secondary
HH20126da885,M,,Malaysian,FALSE,5,TRUE,39,management,divorced,tertiary
HHc3ac5858f6,F,$905.07 ,Peruvian,FALSE,1,FALSE,27,services,single,secondary
HH83a106c735,M,$643.50 ,Thai,FALSE,3,TRUE,33,blue-collar,single,primary
HHa2b3d9d97c,M,,,TRUE,2,TRUE,52,technician,married,tertiary
HHee6750e326,M,,,FALSE,4,TRUE,45,blue-collar,married,secondary
HHe99d5ea598,M,$5.62 ,Asian,TRUE,2,TRUE,30,unemployed,single,secondary
HH320c5cbe5e,F,,,TRUE,3,TRUE,46,services,married,secondary
HHf5dc303bdb,F,,,FALSE,4,FALSE,32,services,single,secondary
HH9ed4c29e13,M,,Colville,FALSE,3,FALSE,62,entrepreneur,married,secondary
HH4df40f8db8,F,,,TRUE,1,FALSE,24,student,single,secondary
HH7fd2ad651a,M,,,FALSE,3,TRUE,47,management,single,tertiary
HH53f4ec50cd,M,,,FALSE,3,FALSE,32,blue-collar,single,secondary
HH5183ac1e85,F,,Puerto Rican,TRUE,1,FALSE,38,blue-collar,married,primary
HH031400227a,M,,,FALSE,3,FALSE,36,technician,single,tertiary
HH53e2c5eab2,F,,,TRUE,3,FALSE,57,management,divorced,NA
HH68ea78a2b4,M,,,TRUE,3,TRUE,73,retired,divorced,secondary
HH62a0b673fd,F,,Ottawa,TRUE,3,FALSE,55,technician,divorced,tertiary
HH3ffff1b607,M,,,TRUE,2,TRUE,57,blue-collar,married,primary
HHcaddfd7c5d,F,,,TRUE,4,TRUE,25,unemployed,single,primary
HH6ba8a9c6ce,M,,,FALSE,1,FALSE,62,retired,married,secondary
HHffba30578e,F,,Colville,TRUE,3,TRUE,45,technician,married,secondary
HH1ca4dde0f1,M,,,TRUE,2,FALSE,56,blue-collar,married,secondary
HHf28a9cb962,M,,,TRUE,1,FALSE,33,management,single,tertiary
HH632ba6f235,F,,,FALSE,3,FALSE,45,blue-collar,single,primary
HHa1c75cca2a,M,,,TRUE,5,TRUE,63,blue-collar,married,secondary
HHc8baf51f2c,M,,,FALSE,1,FALSE,57,retired,married,secondary
HH021b6ec2cc,F,,,TRUE,1,FALSE,60,retired,married,secondary
HH28cf708b70,F,,,FALSE,2,TRUE,61,self-employed,divorced,tertiary
HH473d543aa5,M,$328.31 ,,FALSE,2,TRUE,56,blue-collar,married,secondary
HHcf399ce0f5,F,,,TRUE,4,TRUE,26,blue-collar,single,secondary
HHa690c3f539,F,,Panamanian,FALSE,2,TRUE,58,unemployed,divorced,secondary
HH1b351133b6,F,,,TRUE,3,FALSE,46,services,married,secondary
HHddc5d7e1fe,M,,Ecuadorian,FALSE,1,FALSE,28,management,single,secondary
HH2db0b81ec2,M,,Micronesian,FALSE,2,TRUE,57,technician,married,secondary
HHe5e4af9a76,M,,,TRUE,3,FALSE,36,technician,single,secondary
HHa9ff3f516a,F,,,TRUE,1,FALSE,44,blue-collar,married,secondary
HH0191cb3776,M,,,FALSE,2,FALSE,54,services,divorced,secondary
HH3986c74e6d,F,$552.30 ,Cheyenne,TRUE,1,FALSE,38,technician,married,secondary
HHc6bed78d0e,F,,Hmong,TRUE,2,TRUE,34,management,single,tertiary
HH23a510c2ae,M,,,TRUE,4,FALSE,27,services,single,secondary
HH7911908e5f,F,,,FALSE,5,TRUE,29,self-employed,single,tertiary
HHe8596d0ee4,F,,,TRUE,1,FALSE,31,blue-collar,married,tertiary
HH296a4e224c,M,,,FALSE,5,TRUE,50,technician,divorced,secondary
HHe6991eb235,F,,,TRUE,5,TRUE,60,retired,married,tertiary
HHaf0d83fd13,M,,,FALSE,3,FALSE,32,services,married,secondary
HHff9a453dad,M,,Crow,FALSE,4,TRUE,36,services,married,secondary
HH5443a0a55d,F,,,TRUE,4,TRUE,45,admin.,married,secondary
HHcf17506547,M,$295.75 ,,TRUE,1,FALSE,40,technician,divorced,tertiary
HH76dd8f3b41,F,,,FALSE,5,FALSE,38,technician,married,secondary
HH321761e5bc,F,,Taiwanese,TRUE,1,FALSE,30,management,single,tertiary
HHa569e6af2b,M,,,FALSE,2,FALSE,31,management,married,tertiary
HHe0e5e582c2,F,,,TRUE,2,TRUE,28,management,single,tertiary
HH6259f2e9b4,F,,,TRUE,5,TRUE,49,blue-collar,divorced,primary
HHe2853124d0,M,,Comanche,TRUE,1,TRUE,34,self-employed,married,tertiary
HHba8db7a8ff,M,,,FALSE,5,TRUE,51,blue-collar,divorced,secondary
HH5e6e0ae9db,F,,,FALSE,5,FALSE,35,unemployed,divorced,primary
HHce47eed4c4,M,,,TRUE,4,TRUE,41,student,single,secondary
HH9897cfd4d3,M,$528.38 ,,TRUE,2,TRUE,49,housemaid,married,primary
HHbe3282ce15,F,,,FALSE,4,FALSE,33,management,single,tertiary
HHca0aa680ee,M,,,TRUE,3,TRUE,53,admin.,married,secondary
HH123d7db239,F,,,FALSE,3,TRUE,45,management,married,tertiary
HHf1d86989da,F,,,TRUE,4,FALSE,36,self-employed,divorced,tertiary
HH6afc323f25,F,,,FALSE,4,TRUE,43,management,married,tertiary
HH219229fcf8,F,,,FALSE,4,TRUE,31,blue-collar,married,primary
HHeb03604bff,M,,,FALSE,4,TRUE,56,blue-collar,married,primary
HHa3e56aae92,F,,Chilean,FALSE,5,TRUE,48,admin.,married,secondary
HH40820fe861,M,,,TRUE,1,FALSE,40,technician,single,tertiary
HHc9ac431ea5,M,,,FALSE,4,FALSE,60,admin.,married,secondary
HH558096884f,F,$333.10 ,,TRUE,3,FALSE,45,admin.,married,secondary
HHb4f205e933,M,,,TRUE,3,FALSE,45,technician,single,NA
HHdfad080c87,F,,,FALSE,3,TRUE,55,technician,divorced,secondary
HHf05d4b176d,F,,Blackfeet,FALSE,1,TRUE,41,blue-collar,married,primary
HH3e6a18fed0,M,,,TRUE,3,TRUE,46,management,married,tertiary
HHfe44c2824d,M,,,TRUE,2,TRUE,41,entrepreneur,married,secondary
HHecbb8e2404,F,,,FALSE,4,TRUE,51,admin.,married,secondary
HHabd552c2f1,M,,,TRUE,1,FALSE,55,technician,divorced,tertiary
HHea022a4f06,M,,Tohono O'Odham,FALSE,5,FALSE,34,services,married,secondary
HHc4e5de9ec3,F,,,FALSE,5,FALSE,40,admin.,married,secondary
HH47caf686f8,M,,,TRUE,1,FALSE,31,unemployed,single,secondary
HHa245ba88a0,M,,,TRUE,2,FALSE,32,management,single,tertiary
HH91e64bf99e,M,,,FALSE,1,FALSE,37,services,single,secondary
HH8873e09b65,M,,,FALSE,2,TRUE,31,services,married,secondary
HHfde106c458,F,$703.36 ,,FALSE,2,FALSE,56,retired,married,tertiary
HHf9ff823453,F,$368.82 ,,FALSE,4,TRUE,26,blue-collar,single,primary
HHb4620fea14,F,"$1,037.86 ",,TRUE,4,FALSE,45,management,married,tertiary
HH4e8aefe1bf,M,,Puget Sound Salish,FALSE,2,TRUE,32,management,married,secondary
HHa74f268554,M,,,TRUE,2,TRUE,41,management,married,tertiary
HHd9c5f4942c,F,,,FALSE,4,FALSE,28,blue-collar,married,secondary
HH47935c3434,F,,,FALSE,4,TRUE,42,blue-collar,married,secondary
HH5817008489,F,,Yaqui,TRUE,2,FALSE,46,technician,married,secondary
HHa0040d1fcd,M,,,FALSE,1,TRUE,55,retired,divorced,tertiary
HHe2866c9c03,F,,,TRUE,2,FALSE,26,student,single,tertiary
HH4021859473,F,,,TRUE,2,TRUE,29,management,single,tertiary
HH8a46fd890f,F,,,TRUE,1,TRUE,40,management,divorced,tertiary
HH18e857c28d,F,,,TRUE,4,TRUE,29,management,single,tertiary
HHd9d5e47bf3,F,,Polynesian,FALSE,5,FALSE,33,technician,married,secondary
HH478a0f5e9a,F,,,TRUE,4,FALSE,43,technician,single,NA
HH7b9259e459,F,$284.79 ,,TRUE,4,TRUE,31,technician,married,secondary
HH27f9cc5243,M,,Salvadoran,TRUE,1,TRUE,27,technician,single,secondary
HH0d22fbf44b,M,$114.47 ,,TRUE,1,TRUE,40,entrepreneur,married,tertiary
HHc2485f4a17,F,,Ute,FALSE,4,TRUE,58,admin.,married,secondary
HH868f4f6c5e,M,,,FALSE,4,TRUE,41,management,married,tertiary
HHeec2db88da,M,,Puerto Rican,TRUE,2,FALSE,40,technician,married,secondary
HH03e62d8039,F,,,FALSE,4,TRUE,41,NA,single,NA
HH3193e2f279,M,,,TRUE,2,FALSE,49,management,married,tertiary
HHafd62e69da,F,,,TRUE,3,TRUE,41,technician,married,secondary
HHf327ab65df,F,,Bolivian,FALSE,3,TRUE,57,technician,married,secondary
HH5c28b19014,M,,,TRUE,4,FALSE,59,retired,married,primary
HH5f7a65815d,M,,,TRUE,1,TRUE,48,blue-collar,married,secondary
HH25dfa64c45,M,,,TRUE,1,FALSE,46,technician,married,secondary
HHf3578790e1,F,,,TRUE,3,FALSE,44,blue-collar,married,NA
HHeccf75afc3,F,,Colville,FALSE,4,FALSE,48,management,divorced,tertiary
HHcc427f7650,F,,,TRUE,2,FALSE,33,technician,married,secondary
HH3cdb02e5fe,M,,,FALSE,1,FALSE,33,admin.,divorced,tertiary
HH0766aa6450,F,,,TRUE,1,TRUE,37,management,single,tertiary
HH1625fc4a02,F,$774.97 ,Puget Sound Salish,FALSE,4,FALSE,39,blue-collar,married,NA
HHd703976689,M,,,FALSE,4,TRUE,39,self-employed,married,tertiary
HHdd216b074f,F,,,TRUE,5,FALSE,24,unemployed,single,secondary
HH70b07429c3,M,$353.40 ,,TRUE,2,FALSE,58,blue-collar,married,primary
HHb67df5ab83,M,,,FALSE,4,TRUE,46,management,divorced,tertiary
HHc2b5ea1fdb,F,,Thai,TRUE,4,TRUE,39,services,single,secondary
HHc43880e05c,F,,,TRUE,1,FALSE,36,blue-collar,married,primary
HHcf437e4320,M,,,TRUE,2,TRUE,43,blue-collar,married,secondary
HHe20c4429db,M,,,FALSE,3,TRUE,35,blue-collar,single,tertiary
HH57ac27e32f,F,,,FALSE,4,TRUE,48,blue-collar,married,primary
HHffeac33a29,F,,,TRUE,3,FALSE,48,technician,married,secondary
HH5eb01c469f,M,,,FALSE,2,TRUE,41,blue-collar,married,secondary
HH5c611964fd,M,,,FALSE,5,FALSE,34,admin.,married,secondary
HHd7eca1899c,M,,,TRUE,2,TRUE,32,entrepreneur,married,tertiary
HHe6a062c6fa,M,,,TRUE,1,FALSE,51,admin.,married,secondary
HHeffe070ee9,M,,,FALSE,1,TRUE,47,self-employed,married,NA
HH2c0b287274,M,,Crow,FALSE,1,TRUE,44,services,married,secondary
HHc713eeffe1,F,,Korean,TRUE,3,TRUE,66,technician,married,secondary
HH84705ae3b8,M,,,TRUE,4,TRUE,61,blue-collar,married,primary
HHe2799373cc,M,,,TRUE,5,TRUE,41,blue-collar,married,secondary
HHb0e6b52aae,M,,,TRUE,1,FALSE,38,entrepreneur,married,secondary
HH67d4ee25ab,F,,Yakama,FALSE,4,FALSE,54,housemaid,married,tertiary
HHbb9f5b9086,M,,,FALSE,3,TRUE,48,unemployed,divorced,secondary
HHce483106f5,M,,Comanche,TRUE,2,FALSE,44,management,single,tertiary
HHe31ea43851,M,,,TRUE,1,FALSE,50,technician,married,secondary
HH1eea4fcd2f,M,,,TRUE,4,FALSE,55,technician,married,secondary
HHa76bf0ae6d,M,,,TRUE,2,FALSE,34,management,married,tertiary
HH1adbc9e4b6,M,,,FALSE,1,FALSE,50,housemaid,divorced,primary
HHcd31f16dc8,M,,Yaqui,FALSE,4,FALSE,34,blue-collar,married,secondary
HHcc10e8a88a,F,,,FALSE,4,TRUE,29,blue-collar,married,secondary
HH8e34dd6335,M,,,TRUE,3,FALSE,46,management,married,secondary
HHc2c24b98ca,F,,,FALSE,1,TRUE,58,self-employed,divorced,tertiary
HH3974ea80c1,M,,,FALSE,5,FALSE,33,services,married,secondary
HHfbee1c21ee,F,,,TRUE,4,FALSE,33,management,single,tertiary
HH57c5f44785,F,"$1,249.41 ",,FALSE,2,FALSE,60,retired,divorced,secondary
HH9ef4a0b898,M,,,TRUE,2,FALSE,45,blue-collar,married,secondary
HHbe57db1aa0,F,,,FALSE,4,TRUE,31,student,single,tertiary
HH8fe736f6ad,M,,Mexican,FALSE,4,FALSE,47,services,married,secondary
HH9c42f584d9,M,,,FALSE,1,TRUE,39,entrepreneur,married,tertiary
HH3cceee68ec,M,,,FALSE,1,TRUE,32,blue-collar,single,secondary
HH38c23bfce6,F,,,FALSE,1,TRUE,52,unemployed,married,secondary
HH1997893c91,F,,,FALSE,3,TRUE,30,admin.,married,secondary
HH067ee31675,F,,,TRUE,3,TRUE,37,blue-collar,married,secondary
HH59d4cca396,M,,,FALSE,1,TRUE,47,services,married,secondary
HH0cc871a380,F,,,FALSE,3,TRUE,34,admin.,single,tertiary
HHc325db4303,F,,,TRUE,1,TRUE,20,student,single,NA
HH994ba0159c,M,,,TRUE,5,FALSE,25,self-employed,single,tertiary
HH4004995a9b,F,,,FALSE,2,FALSE,25,admin.,single,tertiary
HHa1959a9af5,F,,Melanesian,TRUE,3,FALSE,23,services,single,secondary
HHa48683c666,F,$22.92 ,,TRUE,4,TRUE,48,entrepreneur,divorced,tertiary
HH6a3965ff4b,F,,,TRUE,5,TRUE,35,management,married,tertiary
HH610edac5c8,F,,,TRUE,4,TRUE,30,management,single,tertiary
HH37d5c03e67,M,"$1,281.61 ",,TRUE,4,TRUE,35,management,married,tertiary
HHcf5e0f281f,F,,,TRUE,1,TRUE,37,management,married,tertiary
HH9189bfb995,F,,,FALSE,2,TRUE,35,technician,single,tertiary
HH409a605f75,F,,,TRUE,1,TRUE,44,entrepreneur,married,tertiary
HH51ff3589e3,F,,,TRUE,1,TRUE,30,student,single,secondary
HHd9c844fcfa,M,,,TRUE,1,FALSE,32,management,single,tertiary
HH94d5e6cfb6,M,,,TRUE,3,FALSE,19,student,single,secondary
HHcf895f335f,M,,,TRUE,2,TRUE,58,retired,married,secondary
HH797ec13894,M,,,FALSE,1,TRUE,29,management,married,tertiary
HH963f85d3f1,F,,,TRUE,3,FALSE,25,student,single,NA
HH1aa10d1b70,F,,Costa Rican,TRUE,2,FALSE,40,management,married,tertiary
HH0168eeef96,F,,,TRUE,5,TRUE,31,technician,single,secondary
HHc6302d4a4c,M,,,FALSE,2,TRUE,47,admin.,divorced,secondary
HHcdf373e1be,M,"$1,048.90 ",,TRUE,3,TRUE,59,services,divorced,secondary
HHb6e7997ab2,M,,Melanesian,FALSE,1,TRUE,42,blue-collar,married,secondary
HHb0d046a270,M,,Chilean,FALSE,3,FALSE,59,management,divorced,tertiary
HHcb04f98695,F,,Osage,TRUE,5,FALSE,38,technician,single,secondary
HH2f2ea1e268,M,,,TRUE,1,TRUE,33,services,married,secondary
HH663a641cfa,M,,,FALSE,4,TRUE,30,blue-collar,single,secondary
HHeb6c7aceac,M,,,FALSE,4,TRUE,31,self-employed,married,tertiary
HHaf638a4dc5,F,,Indonesian,TRUE,3,TRUE,52,admin.,divorced,secondary
HH2b770c9b00,M,,,FALSE,4,TRUE,47,blue-collar,married,secondary
HHa7587ee9e6,M,,,TRUE,2,FALSE,27,self-employed,single,secondary
HH5d022527bd,M,,,FALSE,5,FALSE,56,technician,married,secondary
HH6dcec70aaf,F,,,FALSE,4,FALSE,31,technician,single,tertiary
HH4974d1ad75,F,,,FALSE,4,FALSE,77,retired,married,primary
HH5e14622e47,F,,Melanesian,TRUE,3,TRUE,29,management,single,secondary
HH748f3fc904,M,,,TRUE,5,TRUE,27,blue-collar,single,secondary
HHe7226352b9,F,,,TRUE,4,TRUE,44,blue-collar,married,secondary
HHb298f22e9b,M,,,TRUE,3,FALSE,61,management,married,secondary
HH2eb693e15c,M,$731.14 ,Thai,TRUE,2,TRUE,46,management,divorced,tertiary
HH256a956d59,M,,,TRUE,1,TRUE,26,blue-collar,single,secondary
HHc2e23b1231,F,,South American,FALSE,3,TRUE,53,management,married,NA
HH1b58db9ea0,F,,,FALSE,5,FALSE,20,student,single,NA
HH0fbfbe7bea,F,,,TRUE,1,FALSE,29,technician,single,secondary
HH2c210940a5,M,,Osage,TRUE,1,TRUE,38,admin.,married,secondary
HHe918894929,M,,Yakama,FALSE,4,FALSE,35,blue-collar,single,secondary
HHc4149cfcda,F,,,FALSE,4,FALSE,46,services,divorced,secondary
HH0f3a7bdae1,M,,,FALSE,4,TRUE,32,blue-collar,married,secondary
HH7ed674c73a,F,,,TRUE,1,TRUE,52,technician,married,secondary
HH32b4848fe9,F,,American Indian and Alaska Native (AIAN),FALSE,4,FALSE,26,technician,single,tertiary
HH6bcc3b4a5d,F,,,FALSE,1,TRUE,33,services,divorced,secondary
HH3fa8a7aa9d,M,$767.65 ,,TRUE,4,FALSE,30,technician,single,secondary
HH44b683a192,M,"$1,015.80 ",,TRUE,2,FALSE,48,technician,single,secondary
HH557e060326,F,,Colville,FALSE,2,TRUE,36,technician,married,secondary
