"RowID","uniqueID","zipRange","homeOwner","NUMCHLD","INCOME","gender","WEALTH","HV","Icmed","Icavg","IC15","NUMPROM","RAMNTALL","MAXRAMNT","LASTGIFT","totalmonths","TIMELAG","AVGGIFT","Y1_Donation","Y2_DonatedAmt"
44,"donor346","80000-99999","Yes",1,1,"MALE",0,998,273,354,19,72,90,10,5,31,12,6,"Yes",5
45,"donor347","40000-59999","Yes",1,4,"FEMALE",8,568,184,216,40,21,32,12,12,31,3,10.66666667,"No",0
46,"donor15349-9","60000-79999","No",1,4,"FEMALE",5,620,388,405,16,52,107,15,11,35,6,9.727272727,"No",0
47,"donor356","40000-59999","Yes",1,4,"FEMALE",0,314,165,207,48,76,204,25,25,37,4,12,"Yes",25
48,"donor357","80000-99999","No",1,5,"FEMALE",8,4347,410,454,8,33,42,10,10,31,5,6,"Yes",7
49,"donor368","80000-99999","No",1,3,"FEMALE",NA,470,300,324,18,29,74,20,20,31,5,14.8,"Yes",20
50,"donor369","80000-99999","Yes",1,4,"MALE",1,835,310,364,22,70,126,6,6,34,8,4.344827586,"Yes",4
51,"donor382","80000-99999","Yes",1,4,"FEMALE",5,1772,418,492,3,99,288,21,15,17,5,13.71428571,"Yes",19
52,"donor383","80000-99999","No",1,1,"MALE",8,1000,468,506,6,28,39,10,5,29,3,6.5,"No",0
53,"donor386","80000-99999","Yes",1,NA,"FEMALE",8,4138,787,835,1,37,82,13,13,29,6,11.71428571,"Yes",12
54,"donor387",NA,"Yes",1,4,"MALE",3,1229,359,490,10,39,35,15,15,34,13,11.66666667,"No",0
55,"donor406","60000-79999","No",1,5,"MALE",9,4135,805,880,9,65,82,15,15,37,12,8.2,"No",0
56,"donor409","80000-99999","Yes",1,4,"MALE",5,971,347,NA,12,50,84,10,7,30,6,6.461538462,"No",0
57,"donor416","60000-79999","Yes",1,2,"FEMALE",3,596,279,353,21,68,94,7,5,29,2,4.7,"Yes",5
58,"donor423","80000-99999","Yes",1,NA,"MALE",7,NA,344,390,15,82,191,15,15,32,6,9.55,"Yes",12
59,"donor428","80000-99999","Yes",1,4,"MALE",1,634,344,362,13,58,88,15,15,31,12,8,"Yes",15
60,"donor430","40000-59999","Yes",1,6,"MALE",8,567,379,421,8,21,38,12,6,28,3,7.6,"Yes",10
61,"donor437","20000-39999","Yes",1,7,"FEMALE",8,1046,521,576,1,30,66,12,12,28,4,11,"Yes",15
62,"donor438","80000-99999","No",1,2,"MALE",4,761,485,511,2,51,93,12,11,32,1,9.3,"Yes",12
63,"donor451","80000-99999","Yes",1,2,"MALE",8,1772,592,688,0,15,15,15,15,37,5,15,"No",0
64,"donor467","40000-59999","No",1,5,"FEMALE",8,436,194,245,33,30,67,15,15,33,7,13.4,"No",0
65,"donor470","80000-99999","No",1,6,"FEMALE",8,2483,627,668,2,49,98,50,50,30,4,16.33333333,"No",0
66,"donor475","80000-99999","Yes",1,6,"FEMALE",9,1591,675,693,6,68,115,15,10,NA,9,11.5,"No",0
67,"donor486","80000-99999","Yes",1,NA,"MALE",1,1366,250,276,32,55,91,10,5,28,4,NA,"Yes",0
68,"donor488","80000-99999","Yes",1,6,"MALE",8,5790,1124,1045,3,20,22,10,7,31,2,7.333333333,"Yes",7
69,"donor491","60000-79999","Yes",1,NA,"MALE",8,1165,563,607,2,69,187,25,25,28,6,14.38461539,"Yes",23
70,"donor494","20000-39999","No",1,3,"FEMALE",8,660,308,329,10,53,48,14,7,33,0,6.857142857,"No",0
71,"donor498","20000-39999","Yes",1,2,"MALE",8,982,549,533,10,66,165,14,14,31,7,10.3125,"No",0
72,"donor511","60000-79999","Yes",1,5,"MALE",8,1732,603,653,0,13,20,20,20,36,5,20,"Yes",20
73,"donor514","60000-79999","Yes",1,4,"FEMALE",8,1019,389,473,15,21,26,16,16,37,5,13,"No",0
74,"donor519","20000-39999","Yes",1,4,"FEMALE",8,597,459,475,4,23,27,10,10,31,5,6.75,"Yes",183
75,"donor123193-4","20000-39999","No",1,1,"FEMALE",9,1516,597,668,4,61,128,40,40,29,14,21.33333333,"No",0
76,"donor536","40000-59999","Yes",1,2,"FEMALE",4,702,324,357,11,52,70,10,10,33,3,6.363636364,"Yes",153
77,"donor539","40000-59999","Yes",1,1,"FEMALE",4,578,376,399,13,86,121,5,3,30,9,3.457142857,"No",0
78,"donor546","40000-59999","Yes",1,2,"MALE",7,992,524,563,6,63,100,20,3,21,6,7.692307692,"Yes",3
79,"donor553","80000-99999","Yes",1,4,"FEMALE",6,643,363,423,NA,56,68,7,4,28,4,4.533333333,"Yes",5
80,"donor559",NA,"Yes",1,4,"MALE",2,359,221,237,27,61,128,20,15,NA,17,14.22222222,"Yes",20
81,"donor571","80000-99999","Yes",1,6,"FEMALE",8,3408,581,632,3,21,25,20,20,33,3,12.5,"Yes",11
82,"donor51819-98","60000-79999","Yes",1,5,"MALE",8,1080,521,529,8,21,20,15,15,32,5,10,"Yes",10
83,"donor578","20000-39999","Yes",1,4,"MALE",8,834,371,408,10,35,92,37,37,37,5,23,"No",0
84,"donor585","60000-79999","Yes",1,4,"FEMALE",5,437,354,356,16,83,194,10,6,28,4,4.217391304,"Yes",5
85,"donor589","80000-99999","No",1,5,"MALE",8,2124,526,554,2,28,49,20,10,31,2,8.166666667,"No",0
86,"donor600","80000-99999","No",1,2,"MALE",8,1505,359,445,12,47,77,11,8,28,11,7.7,"No",0
87,"donor601","80000-99999","Yes",1,4,"MALE",8,1531,305,351,17,19,30,30,30,37,5,30,"Yes",50
88,"donor608","80000-99999","No",1,2,"MALE",8,1631,331,400,14,24,31,10,10,28,6,7.75,"No",0
89,"donor614","80000-99999","Yes",1,5,"MALE",8,1473,332,370,14,32,70,15,15,28,2,10,"No",0
90,"donor630","40000-59999","Yes",1,2,"MALE",1,639,209,259,36,72,146,12,11,36,5,7.3,"No",0
91,"donor631","60000-79999","No",1,6,"MALE",8,1305,530,597,5,16,28,25,25,30,15,14,"No",0
92,"donor638","20000-39999","Yes",1,3,"FEMALE",8,457,253,285,25,NA,98,5,3,32,9,4.9,"Yes",4
93,"donor641","60000-79999","Yes",1,4,"MALE",NA,806,347,354,15,76,119,15,NA,31,10,10.81818182,"Yes",10
94,"donor659","40000-59999","No",1,4,"FEMALE",3,349,302,324,19,55,66,7,5,30,9,4.714285714,"No",0
95,"donor675","20000-39999","Yes",1,4,"MALE",3,525,277,278,24,52,157,10,7,28,6,7.136363636,"Yes",7
96,"donor679","40000-59999","Yes",1,4,"MALE",8,306,181,204,38,21,45,35,35,29,7,22.5,"No",0
97,"donor685","40000-59999","No",1,2,"FEMALE",5,698,335,348,14,59,276,15,NA,33,10,11.5,"Yes",15
98,"donor693","80000-99999","Yes",1,4,"MALE",8,910,245,370,28,72,182,15,10,33,4,9.1,"No",0
99,"donor695","20000-39999","No",1,5,"MALE",1,550,296,304,20,101,154,20,20,23,3,14,"No",0
100,"donor700","80000-99999","Yes",1,6,"MALE",8,2635,516,535,4,19,30,30,30,37,5,30,"No",0
101,"donor722","60000-79999","No",1,3,"MALE",5,422,290,319,18,66,132,16,10,31,5,9.428571429,"Yes",14
102,"donor725","80000-99999",NA,1,6,"MALE",8,4218,711,762,0,54,43,5,3,29,6,3.307692308,"No",0
103,"donor728","60000-79999","No",1,4,"MALE",8,567,279,327,20,24,48,16,16,35,2,12,"No",0
104,"donor736","20000-39999","Yes",1,7,"FEMALE",8,1586,762,823,0,21,NA,16,16,37,5,13,"No",0
105,"donor738","40000-59999","No",1,1,"FEMALE",8,745,438,446,5,54,63,12,12,26,2,9,"No",0
106,"donor740","80000-99999","Yes",1,6,"MALE",8,578,258,315,28,22,40,20,20,37,7,20,"Yes",20
107,"donor750","80000-99999","No",1,5,"FEMALE",8,3361,719,760,2,17,25,25,25,37,5,25,"No",0
108,"donor759","40000-59999","No",1,5,"FEMALE",8,625,368,489,6,34,30,10,7,32,14,6,"No",0
109,"donor780","20000-39999","Yes",1,4,"FEMALE",8,1115,349,465,17,21,30,20,20,33,15,15,"Yes",25
110,"donor785","80000-99999",NA,3,6,"MALE",8,2968,590,631,2,74,161.25,15,15,19,11,5.201612903,"No",0
111,"donor796","20000-39999","Yes",1,2,"MALE",7,645,377,362,12,82,120,10,10,17,6,4.285714286,"Yes",8
112,"donor803","80000-99999","Yes",1,3,"FEMALE",8,869,304,410,10,26,35,10,10,32,6,8.75,"Yes",5
113,"donor806","40000-59999","Yes",1,4,"FEMALE",8,512,289,271,25,34,114,15,13,32,3,11.4,"No",0
114,"donor808","80000-99999","No",1,5,"FEMALE",8,2194,464,506,6,43,119,30,22,23,1,10.81818182,"Yes",22
115,"donor818","60000-79999","Yes",1,3,"FEMALE",0,250,164,228,47,57,102,7,5,28,4,4.434782609,"Yes",5
116,"donor821","80000-99999","Yes",1,1,"FEMALE",4,1723,366,427,3,67,370,20,13,36,2,12.33333333,"No",0
117,"donor836","40000-59999","Yes",1,5,"MALE",5,573,315,367,15,70,145,15,10,37,2,9.0625,"Yes",10
118,"donor838","60000-79999","Yes",1,3,"FEMALE",9,840,522,561,9,80,204,9,7,30,3,6.181818182,"Yes",5
119,"donor839","60000-79999","No",1,3,"FEMALE",5,622,339,377,13,87,241,17,15,23,5,13.38888889,"Yes",17
120,"donor840","80000-99999","Yes",1,2,"MALE",0,913,239,288,36,69,NA,50,50,37,4,25.33333333,"No",0
121,"donor853","80000-99999","No",1,7,"FEMALE",8,2827,616,620,0,40,61,19,19,30,11,12.2,"Yes",22
122,"donor875","40000-59999","Yes",1,4,"MALE",8,711,465,495,4,48,46,NA,10,31,10,5.111111111,"Yes",6
123,"donor36026-35","80000-99999","Yes",1,4,"MALE",8,2810,477,541,12,29,34,6,6,31,1,4.857142857,"No",0
124,"donor917","80000-99999","Yes",1,4,"MALE",8,1969,NA,563,11,16,20,20,20,36,5,20,"Yes",20
125,"donor924","80000-99999","No",1,1,"MALE",0,2582,148,207,52,52,150,50,50,37,3,30,"No",0
126,"donor925","80000-99999","Yes",1,4,"MALE",8,3850,583,667,3,33,50,16,16,31,10,12.5,"Yes",14
127,"donor929","40000-59999","Yes",1,6,"MALE",5,953,383,388,20,49,64,10,10,33,4,6.4,"No",0
128,"donor930","40000-59999","No",2,2,"MALE",8,623,379,388,6,43,37,9,5,29,NA,3.7,"No",0
129,"donor946","60000-79999","Yes",1,4,"FEMALE",8,921,493,527,0,77,214,15,11,29,7,8.230769231,"No",0
130,"donor950","80000-99999","No",1,5,"FEMALE",8,1007,330,366,15,18,25,NA,25,37,5,25,"No",0
131,"donor952","80000-99999","Yes",1,5,"MALE",8,921,386,385,7,37,70,20,20,31,9,10,"No",0
132,"donor954","80000-99999","Yes",2,2,"MALE",6,1541,488,497,13,69,140,13,6,30,5,7,"No",0
133,"donor960","80000-99999","Yes",1,4,"MALE",9,1523,374,376,9,72,NA,10,10,31,11,6.266666667,"Yes",10
134,"donor963","80000-99999","Yes",1,3,"FEMALE",8,422,250,320,20,24,44,12,12,29,3,11,"No",0
135,"donor969","40000-59999","Yes",1,7,"FEMALE",8,504,311,315,15,23,20,15,15,36,7,10,"No",0
136,"donor997","60000-79999","Yes",NA,4,"FEMALE",8,437,313,363,10,15,20,20,20,37,5,20,"Yes",20
137,"donor1035","40000-59999","No",1,1,"MALE",4,383,296,336,16,32,36,16,16,36,14,12,"No",0
138,"donor1039","40000-59999","No",1,1,"MALE",8,332,NA,403,4,24,29,11,8,29,6,7.25,"No",0
139,"donor1040","20000-39999","Yes",1,4,"FEMALE",8,561,268,292,24,25,44,10,10,32,2,8.8,"No",0
140,"donor1060","80000-99999","No",1,2,"MALE",1,761,236,285,25,79,205,10,5,28,14,5,"No",0
141,"donor1069","60000-79999","Yes",1,7,"MALE",8,3984,1500,1125,10,35,101,24,21,36,4,20.2,"No",0
142,"donor1070","60000-79999","Yes",1,4,"FEMALE",8,869,541,602,0,69,114,7,6,35,9,5.181818182,"Yes",6
143,"donor1079",NA,"No",1,NA,"FEMALE",2,674,259,327,19,36,50,12,12,30,7,8.333333333,"Yes",12
144,"donor1102","80000-99999","Yes",1,3,"FEMALE",6,2441,474,512,12,33,NA,12,11,35,15,9.6,"No",0
145,"donor1104","80000-99999","Yes",1,4,"MALE",8,2505,502,580,3,29,50,20,15,20,3,12.5,"Yes",15
146,"donor1105",NA,"No",1,1,"MALE",3,497,267,325,18,66,119,10,6,29,4,5.666666667,"Yes",7
147,"donor1113","80000-99999",NA,1,5,"MALE",7,535,363,NA,0,53,115,35,35,33,13,23,"No",0
148,"donor1115","20000-39999","Yes",1,6,"FEMALE",8,1311,363,410,19,15,20,20,20,37,5,20,"Yes",20
149,"donor1117","60000-79999","Yes",1,4,"MALE",9,2130,724,791,7,73,189,25,20,36,2,15.75,"No",0
150,"donor1129","80000-99999","No",1,1,"MALE",8,1596,171,218,40,47,91,6,5,17,1,5.055555556,"Yes",5
151,"donor1133","20000-39999","Yes",1,5,"MALE",8,1011,441,483,6,29,36,7,7,33,4,6,"No",0
152,"donor1136","40000-59999","Yes",1,4,"FEMALE",5,627,433,407,4,56,115,12,4,34,10,6.764705882,"No",0
153,"donor89196-5","60000-79999","Yes",1,4,"MALE",8,702,457,510,2,105,183,15,5,17,1,7.625,"No",0
154,"donor1161","40000-59999","No",1,1,"FEMALE",8,409,294,337,18,55,67,6,6,30,6,3.722222222,"Yes",5
155,"donor1165","80000-99999","Yes",1,4,"FEMALE",7,1749,624,685,6,59,128,7,5,28,3,5.12,"Yes",5
156,"donor1179","40000-59999","Yes",1,4,"FEMALE",4,679,432,448,3,NA,140.5,10,10,37,8,5.403846154,"Yes",7
157,"donor1181","80000-99999","Yes",1,4,"MALE",8,824,290,375,11,49,41,5,5,30,3,3.727272727,"Yes",1
158,"donor1183","80000-99999","Yes",1,7,"FEMALE",8,1324,568,599,4,36,68,10,5,31,13,5.666666667,"Yes",25
159,"donor1186","40000-59999","Yes",1,4,"MALE",5,466,NA,375,8,75,159,25,5,28,13,4.076923077,"No",0
160,"donor1191","20000-39999","Yes",1,6,"FEMALE",9,3538,759,817,4,135,555,15,10,18,6,6.098901099,"Yes",10
161,"donor1192","80000-99999","No",1,3,"FEMALE",8,1692,388,440,8,57,104,12,12,30,5,8.666666667,"Yes",11
162,"donor1209","20000-39999","Yes",1,4,"FEMALE",8,2088,560,635,6,17,42,22,22,29,7,21,"No",0
163,"donor1213","20000-39999","No",2,4,"FEMALE",3,931,435,477,NA,43,109,10,9,31,8,6.411764706,"No",0
164,"donor1236","20000-39999","Yes",1,NA,"FEMALE",5,1430,336,NA,19,58,74,10,6,34,8,6.166666667,"Yes",6
165,"donor1241","80000-99999","No",1,2,"MALE",8,2809,657,718,1,21,36,10,8,28,1,7.2,"No",0
166,"donor1256","40000-59999","No",1,2,"FEMALE",8,610,360,393,14,64,83,15,10,NA,22,9.222222222,"No",0
167,"donor1259","80000-99999","Yes",1,4,"MALE",8,5177,845,892,6,24,26,16,16,36,5,13,"No",0
168,"donor1260","80000-99999","Yes",1,4,"FEMALE",8,2962,613,709,0,64,111,15,15,28,13,10.09090909,"Yes",10
169,"donor1261","20000-39999","Yes",1,4,"MALE",8,409,244,285,25,43,90,25,25,26,4,22.5,"No",0
170,"donor1263","20000-39999","No",1,4,"MALE",8,1172,480,534,7,31,73,15,15,30,6,10.42857143,"No",0
171,"donor1272","20000-39999","Yes",1,4,"MALE",3,489,290,314,20,68,123,15,5,28,NA,6.473684211,"Yes",0
172,"donor1274","40000-59999","Yes",1,4,"MALE",4,718,308,332,21,68,159,5,5,30,5,3.613636364,"Yes",4
173,"donor1285","80000-99999","Yes",1,4,"FEMALE",1,1348,361,454,14,98,214.5,15,10,19,3,6.919354839,"Yes",10
174,"donor1299","80000-99999","Yes",1,4,"MALE",0,414,190,197,40,76,383,15,13,29,7,10.07894737,"No",147
175,"donor1312","20000-39999","No",1,2,"FEMALE",5,379,238,250,25,77,137,10,5,29,3,4.151515152,"No",0
176,"donor1320","40000-59999","No",1,3,"FEMALE",7,1122,441,545,12,83,275,17,15,37,6,10.57692308,"Yes",15
177,"donor1339","80000-99999","Yes",1,4,"MALE",8,1030,291,307,25,17,20,20,20,36,5,20,"Yes",20
178,"donor1342",NA,"Yes",1,4,"FEMALE",8,721,423,486,6,33,70,6,6,29,3,5,"No",0
179,"donor1348","60000-79999","Yes",1,5,"FEMALE",6,791,360,NA,22,63,184,15,10,30,9,11.5,"No",0
180,"donor1370","40000-59999","Yes",1,4,"FEMALE",3,379,220,255,24,44,126,10,10,37,6,8.4,"No",0
181,"donor1372","80000-99999","Yes",1,4,"MALE",4,2835,545,570,5,64,89,12,12,34,1,6.846153846,"Yes",16
182,"donor1375","80000-99999","Yes",1,4,"FEMALE",9,3014,530,640,2,69,71,5,4,30,18,3.380952381,"No",0
183,"donor1378","40000-59999","Yes",1,5,"MALE",9,1174,582,619,3,64,81,7,7,28,5,3.857142857,"Yes",5
184,"donor1382","40000-59999","No",1,7,"MALE",5,708,460,567,3,60,NA,12,10,34,3,7.764705882,"No",0
185,"donor1394","20000-39999","Yes",1,3,"FEMALE",4,543,282,335,14,77,213,7,5,32,2,5.071428571,"Yes",5
186,"donor1397","60000-79999","Yes",1,6,"FEMALE",8,600,277,307,27,21,34,12,12,30,5,11.33333333,"Yes",11
187,"donor1399","80000-99999","Yes",1,4,"FEMALE",6,2080,525,533,4,58,122,12,8,28,8,7.176470588,"No",0
188,"donor1408","80000-99999","Yes",1,7,"MALE",8,2015,783,787,7,21,NA,16,16,37,5,13,"Yes",0
189,"donor1413","20000-39999","Yes",1,5,"FEMALE",8,877,454,482,5,16,20,20,20,37,5,20,"Yes",30
190,"donor1414","40000-59999","Yes",1,4,"FEMALE",1,321,232,267,27,42,64,NA,15,37,8,9.142857143,"No",0
191,"donor1445","60000-79999","Yes",1,4,"MALE",3,878,415,430,10,58,85,7,5,31,2,4.473684211,"Yes",4
192,"donor1446","40000-59999","Yes",1,1,"FEMALE",8,654,363,393,9,71,NA,15,15,30,4,6.552631579,"No",0
193,"donor1449","40000-59999","Yes",1,5,"FEMALE",NA,823,462,536,0,23,30,20,20,37,5,15,"No",0
194,"donor1450","20000-39999","No",2,3,"MALE",8,841,464,498,4,29,64,10,7,29,1,8,"Yes",8
195,"donor1461","40000-59999","Yes",1,4,"MALE",2,345,257,271,30,45,80,10,5,29,11,8.888888889,"No",0
196,"donor1462","80000-99999","Yes",2,7,"MALE",8,1198,556,590,6,60,101,NA,10,34,6,6.3125,"No",0
197,"donor1466","80000-99999","No",1,6,"MALE",8,594,400,411,10,108,321,20,NA,28,3,13.95652174,"No",0
198,"donor1469","40000-59999","Yes",1,4,"MALE",5,598,363,420,10,46,122,25,15,30,1,15.25,"No",0
199,"donor1471","40000-59999","No",1,1,"MALE",8,1147,439,529,15,95,128,10,10,30,6,6.736842105,"No",0
200,"donor1483","80000-99999","No",1,3,"MALE",8,2492,358,377,6,62,104,25,10,17,10,11.55555556,"Yes",19
201,"donor1498","60000-79999","Yes",1,2,"MALE",9,976,578,563,6,70,189,25,22,37,5,17.18181818,"Yes",23
202,"donor1501","80000-99999","Yes",1,7,"FEMALE",8,938,492,536,10,20,25,20,20,31,6,12.5,"Yes",11
203,"donor1502","80000-99999","No",1,1,"MALE",0,643,298,376,20,76,112,20,10,36,3,11.2,"No",0
204,"donor1508","80000-99999","Yes",1,4,"FEMALE",1,865,262,328,21,53,120,20,16,37,4,9.230769231,"No",0
205,"donor1509","20000-39999","Yes",NA,7,"FEMALE",8,1613,516,572,9,26,97,40,32,32,5,32.33333333,"Yes",41
206,"donor1517","20000-39999","Yes",1,4,"MALE",8,903,457,503,4,63,122,13,13,31,3,8.133333333,"Yes",14
207,"donor1520","80000-99999","No",1,3,"FEMALE",8,661,291,334,19,15,20,20,20,37,5,20,"No",0
208,"donor1539","60000-79999","Yes",1,4,"MALE",8,782,323,357,27,16,32,12,12,29,0,10.66666667,"No",0
209,"donor1549","80000-99999","Yes",1,4,"MALE",7,1113,483,505,5,59,180,12,10,36,10,8.571428571,"No",0
210,"donor113617-18","40000-59999","Yes",1,1,"FEMALE",4,805,318,344,29,74,213,15,10,33,6,11.21052632,"No",0
211,"donor1568","80000-99999","Yes",1,NA,"MALE",8,2721,208,282,33,24,101,32,32,31,2,25.25,"No",0
212,"donor1571","80000-99999","No",1,1,"MALE",8,729,390,424,6,48,142,20,18,28,2,15.77777778,"Yes",17
213,"donor1580","20000-39999","No",1,1,"FEMALE",6,1522,388,453,12,56,NA,12,12,29,27,7.888888889,"No",0
214,"donor1581","80000-99999","Yes",1,5,"FEMALE",8,3695,452,491,13,51,82,8,7,28,37,5.466666667,"Yes",5
215,"donor1591","80000-99999","Yes",3,6,"FEMALE",6,2932,612,656,1,38,73,17,15,35,4,14.6,"No",0
216,"donor1598","80000-99999","Yes",1,4,"FEMALE",8,1086,382,440,12,22,35,NA,10,37,4,11.66666667,"No",0
217,"donor1612","40000-59999","Yes",1,5,"MALE",8,687,365,463,5,32,44,6,6,31,5,4.4,"Yes",5
218,"donor1623","80000-99999","No",1,5,"FEMALE",3,453,267,277,24,NA,129,12,10,28,6,8.0625,"No",0
219,"donor1631","40000-59999","No",1,1,"MALE",8,812,425,464,7,57,174,25,25,36,2,17.4,"No",0
220,"donor1641","80000-99999","No",1,2,"FEMALE",8,1557,317,393,8,32,44,7,7,28,6,5.5,"Yes",5
221,"donor1651","20000-39999","Yes",1,5,"FEMALE",8,982,399,446,9,29,50,15,10,32,4,10,"No",0
222,"donor1663","80000-99999","Yes",1,3,"FEMALE",4,1157,405,422,10,35,52,13,12,31,5,NA,"No",0
223,"donor1669","80000-99999","Yes",1,6,"FEMALE",8,1464,308,380,14,28,51,10,10,28,2,7.285714286,"Yes",10
224,"donor1684","20000-39999","Yes",1,2,"MALE",2,417,251,240,29,43,85,10,5,31,6,6.538461539,"Yes",8
225,"donor1697","80000-99999","Yes",1,6,"FEMALE",5,1760,388,485,3,68,142,20,20,37,7,11.83333333,"Yes",15
226,"donor1698","80000-99999","Yes",1,4,"FEMALE",8,3002,552,627,3,68,118,10,5,28,4,6.210526316,"No",0
227,"donor1699","60000-79999","Yes",1,7,"MALE",5,486,321,353,18,83,227,10,5,28,3,5.279069767,"Yes",7
228,"donor1703","40000-59999","No",1,1,"FEMALE",2,335,266,286,23,30,63,10,10,28,5,7,"No",0
