"location","postalCode","city","county","state"
"santa monica, california","90401","Santa Monica","Los Angeles County","California"
"bellwood, illinois",NA,NA,NA,NA
"los angeles, california","90012","Los Angeles","Los Angeles County","California"
"moss beach, california","94038","Moss Beach","San Mateo County","California"
"nha trang, vietnam","650000",NA,NA,"Khánh Hòa"
"hillsborough, california",NA,NA,NA,NA
"olema, california",NA,NA,NA,NA
"union city, california","94587","Union City","Alameda County","California"
"colma, california","94014","Colma","San Mateo County","California"
"cork, ireland",NA,NA,NA,NA
"new orleans, louisiana","70112","New Orleans","Orleans Parish","Louisiana"
"kensington, california","94707","Kensington","Contra Costa County","California"
"redwood shores, california","94065","Redwood City","San Mateo County","California"
"utica, michigan","48317","Utica","Macomb County","Michigan"
"brea, california","92821","Brea","Orange County","California"
"lagunitas, california","94938","Lagunitas","Marin County","California"
"stinson beach, california","94970","Stinson Beach","Marin County","California"
"santa clara, california","95050","Santa Clara","Santa Clara County","California"
"studio city, california","91604","Los Angeles","Los Angeles County","California"
"concord, california","94519","Concord","Contra Costa County","California"
"piedmont, california",NA,NA,NA,NA
"grand rapids, michigan","49503","Grand Rapids","Kent County","Michigan"
"seaside, california","93955","Seaside","Monterey County","California"
"leander, texas","78641","Leander","Williamson County","Texas"
"forest knolls, california","94933","Forest Knolls","Marin County","California"
"edinburgh, united kingdom","EH2","Edinburgh","Edinburgh","Scotland"
"magalia, california","95969","Paradise","Butte County","California"
"london, united kingdom","SW1A 2DY","London","Greater London","England"
"astoria, new york","11102",NA,"Queens County","New York"
"chicago, illinois","60602","Chicago","Cook County","Illinois"
"orange, california","92866","Orange","Orange County","California"
"south wellfleet, massachusetts","02667","Wellfleet","Barnstable County","Massachusetts"
"bayshore, california","94014","Daly City","San Mateo County","California"
"asheville, north carolina","28801","Asheville","Buncombe County","North Carolina"
"los gatos, california","95030","Los Gatos","Santa Clara County","California"
"boise, idaho","83702","Boise","Ada County","Idaho"
"islip terrace, new york","11752","Islip Terrace","Suffolk County","New York"
"sunnyvale, california","94086","Sunnyvale","Santa Clara County","California"
"cambridge, massachusetts","02139","Cambridge","Middlesex County","Massachusetts"
"lake orion, michigan","48362","Orion charter Township","Oakland County","Michigan"
"ozone park, new york","11417",NA,"Queens County","New York"
"jackson, mississippi","39201","Jackson","Hinds County","Mississippi"
"ashland, california","94578","San Leandro","Alameda County","California"
"south orange, new jersey","07079","South Orange","Essex County","New Jersey"
"fort lauderdale, florida","33301","Fort Lauderdale","Broward County","Florida"
"minneapolis, minnesota","55415","Minneapolis","Hennepin County","Minnesota"
"pasadena, california","91101","Pasadena","Los Angeles County","California"
"atlanta, georgia","30303","Atlanta","Fulton County","Georgia"
"salt lake city, utah","84111","Salt Lake City","Salt Lake County","Utah"
"arcadia, california","91007","Arcadia","Los Angeles County","California"
"milpitas, california","95035","Milpitas","Santa Clara County","California"
"san antonio, texas","78205","San Antonio","Bexar County","Texas"
"port costa, california","94569","Port Costa","Contra Costa County","California"
"nicasio, california","94946","Nicasio","Marin County","California"
"livingston, california","95334","Livingston","Merced County","California"
"bellingham, washington","98225","Bellingham","Whatcom County","Washington"
"crowley, texas","76036","Crowley","Tarrant County","Texas"
"boston, massachusetts","02109","Boston","Suffolk County","Massachusetts"
"longwood, florida","32750","Longwood","Seminole County","Florida"
"fayetteville, west virginia","25840","Fayetteville","Fayette County","West Virginia"
"granite bay, california","95746","Granite Bay","Placer County","California"
"isla vista, california","93117","Isla Vista","Santa Barbara County","California"
"hilarita, california","94920","Tiburon","Marin County","California"
"campbell, california","95008","Campbell","Santa Clara County","California"
"stratford, connecticut","06614","Stratford","Fairfield County","Connecticut"
"santa ana, california","92701","Santa Ana","Orange County","California"
"santa rosa, california","95404","Santa Rosa","Sonoma County","California"
"kula, hawaii","96790","Kula","Maui County","Hawaii"
"murfreesboro, tennessee","37130","Murfreesboro","Rutherford County","Tennessee"
"brooklyn, new york","11201",NA,"Kings County","New York"
"north hollywood, california","91601","Los Angeles","Los Angeles County","California"
"nevada city, california","95959","Nevada City","Nevada County","California"
"providence, rhode island","02903","Providence","Providence County","Rhode Island"
"stockton, california","95202","Stockton","San Joaquin County","California"
"marin city, california","94965","Sausalito","Marin County","California"
"washington, district of columbia","20560","Washington",NA,"District of Columbia"
"waterford, california","95386","Waterford","Stanislaus County","California"
"vancouver, british columbia, canada","V5Y 1V4","Vancouver","Greater Vancouver","British Columbia"
"muir beach, california","94965","Muir Beach","Marin County","California"
"pacheco, california","94553","Pacheco","Contra Costa County","California"
"irvine, california","92606","Irvine","Orange County","California"
"kansas city, missouri","64105","Kansas City","Jackson County","Missouri"
"kassel, germany","34117","Kassel","Kassel","Hessen"
"canyon, california","94516","Canyon","Contra Costa County","California"
"philadelphia, pennsylvania","19107","Philadelphia","Philadelphia County","Pennsylvania"
"oceanview, california","94112","San Francisco","San Francisco County","California"
"long beach, new york","11561","Long Beach","Nassau County","New York"
"amsterdam, netherlands","1082 SJ","Amsterdam","Amsterdam","Noord-Holland"
"taunton, massachusetts","02780","Taunton","Bristol County","Massachusetts"
"napa, california","94559","Napa","Napa County","California"
"austin, texas","78701","Austin","Travis County","Texas"
"san luis obispo, california","93401","San Luis Obispo","San Luis Obispo County","California"
"modesto, california","95354","Modesto","Stanislaus County","California"
"bonaduz, switzerland","7402","Bonaduz","Imboden","Graubünden"
"costa mesa, california","92626","Costa Mesa","Orange County","California"
"guadalajara, mexico","44180","Guadalajara","Guadalajara","Jalisco"
"oakley, california","94561","Oakley","Contra Costa County","California"
"columbus, ohio","43215","Columbus","Franklin County","Ohio"
"chico, california","95926","Chico","Butte County","California"
"south lake tahoe, california","96150","South Lake Tahoe","El Dorado County","California"
"vacaville, california","95688","Vacaville","Solano County","California"
"miami, florida","33130","Miami","Miami-Dade County","Florida"
"long beach, california","90802","Long Beach","Los Angeles County","California"
"denver, colorado","80204","Denver","Denver County","Colorado"
"seattle, washington","98104","Seattle","King County","Washington"
"cincinnati, ohio","45202","Cincinnati","Hamilton County","Ohio"
"phoenix, arizona","85003","Phoenix","Maricopa County","Arizona"
"rochester, michigan","48307","Rochester","Oakland County","Michigan"
