Name,Year,Conference,points,points_avg,fg_made,fg_attempted,fg_pct,ft_made,ft_attempted,ft_pct,threefg_made,threefg_attempted,threefg_pct,rebounds_total,rebounds_total_avg,rebounds_offensive,rebounds_offensive_avg,rebounds_defensive,rebounds_defensive_avg,assists,assists_avg,assist_turnover_ratio,assist_pct,turnovers,turnovers_avg,turnover_pct,steals,steals_avg,steal_pct,blocks,blocks_avg,block_pct,fouls,fouls_avg,dqs,possessions,possessions_avg,points_possession_avg,floor_pct,efficiency,effective_fg_pct,true_shooting_pct,ft_rate_pct,fg_dist_pct,Seeds,Game Region,Game ID,Unique Game ID,Round 1 game score,R1 Class 1=win
Valparaiso,2012-2013 Season,Horizon,2366,71.7,804,1645,48.9,512,699,21.6,246,655,31.2,1086,32.9,295,8.9,791,24,457,13.8,0.95,56.8,479,14.5,22.5,220,6.7,10.2,109,3.3,6.3,574,17.4,7,2162,65.5,1.09,51.7,109.4,56.4,59.8,73.2,47.2,14,Midwest,MW5,2013MW5,,
Mi St,2012-2013 Season,Big Ten,2252,68.2,810,1761,46,468,653,20.8,164,480,21.8,1230,37.3,379,11.5,851,25.8,438,13.3,0.99,54.1,443,13.4,19.2,267,8.1,12.5,126,3.8,7.1,525,15.9,8,2137,64.8,1.05,53.9,105.4,50.7,54.4,71.7,57.4,3,Midwest,MW5,2013MW5,,
Middle Tenn St,2012-2013 Season,Sun Belt,2377,72,826,1783,46.3,522,752,22,177,468,22.3,1215,36.8,401,12.2,814,24.7,467,14.2,1.03,56.5,455,13.8,22,234,7.1,10.7,125,3.8,7.5,680,20.6,5,2188,66.3,1.09,54.8,108.6,51.3,55.5,69.4,54.6,11,Midwest,MW6,2013MW6,,
Memphis,2012-2013 Season,Conference USA,2579,75.9,937,1958,47.9,495,743,19.2,210,554,24.4,1286,37.8,418,12.3,868,25.5,585,17.2,1.18,62.4,497,14.6,20.6,305,9,12.8,214,6.3,11.1,615,18.1,4,2390,70.3,1.08,55.2,107.9,53.2,55.8,66.6,56.4,6,Midwest,MW6,2013MW6,,
Creighton,2012-2013 Season,Missouri Valley,2583,76,907,1787,50.8,451,601,17.5,298,708,34.6,1198,35.2,286,8.4,912,26.8,584,17.2,1.4,64.4,417,12.3,15.5,170,5,7.7,88,2.6,4.5,551,16.2,7,2212,67,1.17,54.1,116.8,59.1,62.3,75,47.2,7,Midwest,MW7,2013MW7,,
Cincinnati,2012-2013 Season,Big East,2199,66.6,764,1899,40.2,446,687,20.3,225,709,30.7,1320,40,474,14.4,846,25.6,403,12.2,0.95,52.7,423,12.8,19.6,231,7,10.7,204,6.2,11.3,584,17.7,11,2167,65.7,1.01,53.3,101.5,46.2,49.4,64.9,49,10,Midwest,MW7,2013MW7,,
Duke,2012-2013 Season,ACC,2505,78.3,875,1837,47.6,507,693,20.2,248,611,29.7,1082,33.8,309,9.7,773,24.2,470,14.7,1.37,53.7,343,10.7,19.7,209,6.5,9.5,121,3.8,6.6,567,17.7,5,2197,68.7,1.14,54.3,114,54.4,57.8,73.2,50.1,2,Midwest,MW8,2013MW8,,
Albany,2012-2013 Season,America East,2190,64.4,742,1696,43.8,502,684,22.9,204,560,27.9,1142,33.6,335,9.9,807,23.7,380,11.2,0.84,51.2,455,13.4,15.7,185,5.4,8.6,69,2,3.8,545,16,10,2142,63,1.02,50.1,102.2,49.8,54.2,73.4,49.1,15,Midwest,MW8,2013MW8,,
Western Kentucky,2012-2013 Season,Sun Belt,2409,68.8,816,1893,43.1,497,737,20.6,223,689,27.8,1266,36.2,423,12.1,843,24.1,392,11.2,0.74,48,527,15.1,21,214,6.1,9.1,115,3.3,6,667,19.1,15,2352,67.2,1.02,51.2,102.4,49,53.7,67.4,49.2,16,South,S1,2013S1,,
Kansas,2012-2013 Season,Big 12,2563,75.4,905,1886,48,548,748,21.4,205,558,24,1330,39.1,373,11,957,28.1,532,15.6,1.14,58.8,465,13.7,21.6,244,7.2,10.5,225,6.6,11.4,577,17,5,2332,68.6,1.1,54.4,109.9,53.4,57.2,73.3,54.6,1,South,S1,2013S1,,
Villanova,2012-2013 Season,Big East,2236,67.8,705,1699,41.5,626,870,28,200,596,26.8,1197,36.3,368,11.2,829,25.1,407,12.3,0.79,57.7,517,15.7,22.7,254,7.7,11.2,112,3.4,6.4,629,19.1,13,2261,68.5,0.99,48.4,98.9,47.4,52.9,72,45.2,9,South,S2,2013S2,,
North Carolina,2012-2013 Season,ACC,2626,77.2,977,2199,44.4,415,618,15.8,255,681,29.1,1323,38.9,466,13.7,857,25.2,588,17.3,1.42,60.2,414,12.2,16.1,278,8.2,11.4,114,3.4,5.6,505,14.9,10,2442,71.8,1.08,55.2,107.5,50.2,52.7,67.2,55,8,South,S2,2013S2,,
VCU,2012-2013 Season,A-10,2629,77.3,952,2120,44.9,455,649,17.3,270,768,30.8,1184,34.8,472,13.9,712,20.9,500,14.7,1.24,52.5,402,11.8,21.9,402,11.8,17.1,107,3.1,6.2,677,19.9,8,2355,69.3,1.12,56.5,111.6,51.3,54.1,70.1,51.9,5,South,S3,2013S3,,
Akron,2012-2013 Season,MAC,2327,72.7,837,1831,45.7,425,659,18.3,228,676,29.4,1214,37.9,416,13,798,24.9,480,15,1.1,57.3,436,13.6,22.1,229,7.2,10.6,183,5.7,10.4,565,17.7,6,2159,67.5,1.08,55.3,107.8,51.9,54.3,64.5,52.3,12,South,S3,2013S3,,
Michigan,2012-2013 Season,Big Ten,2480,75.2,923,1908,48.4,387,547,15.6,247,645,29.9,1159,35.1,352,10.7,807,24.5,471,14.3,1.55,51,304,9.2,14,198,6,9.3,94,2.8,5,430,13,7,2128,64.5,1.17,57.6,116.5,54.8,57.2,70.7,54.5,4,South,S4,2013S4,,
South Dakota State,2012-2013 Season,Summit League,2512,73.9,887,1886,47,472,619,18.8,266,675,39.4,1182,34.8,323,9.5,859,25.3,493,14.5,1.4,55.6,353,10.4,16,172,5.1,7.8,78,2.3,4.1,482,14.2,11,2210,65,1.14,54,113.7,54.1,57.6,76.3,49.4,13,South,S4,2013S4,,
Florida,2012-2013 Season,SEC,2364,71.6,865,1799,48.1,357,524,15.1,277,728,35.2,1157,35.1,348,10.5,809,24.5,489,14.8,1.33,56.5,367,11.1,18.6,230,7,11.1,109,3.3,6.5,466,14.1,7,2067,62.6,1.14,56,114.4,55.8,57.7,68.1,49.7,3,South,S5,2013S5,,
Northwestern State,2012-2013 Season,Southland,2512,81,901,1957,46,524,764,20.9,186,587,22.2,1219,39.3,428,13.8,791,25.5,480,15.5,1.11,53.3,433,14,20.7,305,9.8,13.2,148,4.8,7.9,600,19.4,8,2316,74.7,1.08,55.6,108.5,50.8,54.1,68.6,56.9,14,South,S5,2013S5,,
UCLA,2012-2013 Season,Pac-12,2541,74.7,941,2068,45.5,492,681,19.4,167,492,19.7,1234,36.3,368,10.8,866,25.5,549,16.1,1.46,58.3,376,11.1,14.7,278,8.2,11.6,125,3.7,5.9,507,14.9,9,2399,70.6,1.06,53.6,105.9,49.5,53.1,72.2,60.9,6,South,S6,2013S6,,
Minnesota,2012-2013 Season,Big Ten,2190,68.4,764,1726,44.3,495,723,22.6,167,512,22.9,1246,38.9,480,15,766,23.9,473,14.8,1.08,61.9,440,13.8,21.1,242,7.6,11.9,183,5.7,10.7,561,17.5,12,2028,63.4,1.08,57.4,108,49.1,52.9,68.5,54.5,11,South,S6,2013S6,,
San Diego State,2012-2013 Season,Mountain West,2215,69.2,788,1799,43.8,451,667,20.4,188,580,25.5,1179,36.8,351,11,828,25.9,394,12.3,1.03,50,382,11.9,18.2,220,6.9,10.3,146,4.6,8.1,475,14.8,10,2138,66.8,1.04,52.2,103.6,49,52.3,67.6,54.2,7,South,S7,2013S7,,
Oklahoma,2012-2013 Season,Big 12,2205,71.1,780,1789,43.6,491,646,22.3,154,472,21,1139,36.7,369,11.9,770,24.8,384,12.4,1.05,49.2,367,11.8,18.6,200,6.5,9.6,87,2.8,4.9,537,17.3,11,2090,67.4,1.06,53.3,105.5,47.9,52.6,76,56.8,10,South,S7,2013S7,,
Georgetown,2012-2013 Season,Big East,2002,64.6,713,1563,45.6,394,579,19.7,182,509,27.3,1021,32.9,286,9.2,735,23.7,459,14.8,1.17,64.4,393,12.7,20.7,234,7.5,12,119,3.8,7.4,523,16.9,6,1953,63,1.03,51.1,102.5,51.4,54.5,68,53,2,South,S8,2013S8,,
Florida GC,2012-2013 Season,Atlantic Sun,2496,73.4,902,1960,46,453,669,18.1,230,678,27.6,1245,36.6,390,11.5,855,25.1,476,14,0.96,52.8,498,14.6,19.9,306,9,12.8,128,3.8,6.6,598,17.6,10,2389,70.3,1.04,52.6,104.5,51.9,54.8,67.7,53.8,15,South,S8,2013S8,,
Gonzaga,2012-2013 Season,West Coast,2563,77.7,917,1820,50.4,518,733,20.2,210,566,24.6,1231,37.3,377,11.4,854,25.9,503,15.2,1.36,54.9,370,11.2,17.2,263,8,12.2,94,2.8,5.2,518,15.7,2,2159,65.4,1.19,59.1,118.7,56.2,59.1,70.7,55.2,1,West,W1,2013W1,,
Southern,2012-2013 Season,SWAC,2165,67.7,743,1711,43.4,463,671,21.4,216,596,29.9,1125,35.2,280,8.8,845,26.4,366,11.4,1.05,49.3,349,10.9,22.1,240,7.5,11.4,126,3.9,7.2,550,17.2,9,2100,67.7,1.03,49.7,103.1,49.7,53.3,69,48.7,16,West,W1,2013W1,,
Wichita State,2012-2013 Season,Missouri Valley,2393,70.4,836,1887,44.3,465,676,19.4,224,665,28.1,1307,38.4,447,13.1,860,25.3,469,13.8,1.08,56.1,435,12.8,22.4,254,7.5,11.5,148,4.4,8.5,602,17.7,8,2202,64.8,1.09,55.3,108.7,50.2,54.2,68.8,51.1,9,West,W2,2013W2,,
Pittsburgh,2012-2013 Season,Big East,2227,69.6,818,1721,47.5,429,646,19.3,162,450,21.8,1131,35.3,414,12.9,717,22.4,529,16.5,1.52,64.7,349,10.9,21.9,213,6.7,10.9,126,3.9,8.1,548,17.1,8,1948,60.9,1.14,59.5,114.3,52.2,54.9,66.4,58.9,8,West,W2,2013W2,,
Wisconsin,2012-2013 Season,Big Ten,2228,65.5,808,1901,42.5,360,569,16.2,252,755,33.9,1247,36.7,391,11.5,856,25.2,455,13.4,1.37,56.3,331,9.7,17,193,5.7,9.1,146,4.3,8,475,14,11,2118,62.3,1.05,53.7,105.2,49.1,51.3,63.3,49.9,5,West,W3,2013W3,,
Mississippi,2012-2013 Season,SEC,2648,77.9,925,2110,43.8,567,829,21.4,231,701,33,1317,38.7,445,13.1,872,25.6,428,12.6,1.11,46.3,386,11.4,15.8,286,8.4,11.7,175,5.1,8.7,576,16.9,14,2436,71.6,1.09,54.9,108.7,49.3,52.9,68.4,52.4,12,West,W3,2013W3,,
LaSalle,2012-2013 Season,A-10,2173,72.4,772,1722,44.8,401,543,18.5,228,615,31.5,951,31.7,303,10.1,648,21.6,431,14.4,1.23,55.8,351,11.7,16.8,242,8.1,11.9,107,3.6,6.4,459,15.3,9,2027,67.6,1.07,51.9,107.2,51.5,54.9,73.8,50.1,13,West,W4,2013W4,,
Kansas State,2012-2013 Season,Big 12,2353,69.2,848,1945,43.6,423,1945,18,234,645,,1199,35.3,455,13.4,744,21.9,545,16,1.38,64.3,394,11.6,18.2,241,7.1,11.1,122,3.6,7,617,18.1,10,2167,63.7,1.09,55.7,108.6,49.6,52.6,68.9,43.6,4,West,W4,2013W4,,
Harvard,2012-2013 Season,Ivy League,1964,70.1,639,1325,48.2,474,658,24.1,178,444,27.2,823,29.4,205,7.3,618,22.1,369,13.2,0.98,57.7,378,13.5,18.1,208,7.4,11.5,122,4.4,8.2,423,15.1,9,1813,64.8,1.08,49.6,108.3,54.9,60,72,46.9,14,West,W5,2013W5,,
New Mexico,2012-2013 Season,Mountain West,2293,67.4,747,1759,42.5,581,805,25.3,218,615,35.4,1198,35.2,319,9.4,879,25.9,497,14.6,1.27,66.5,391,11.5,17.6,208,6.1,9.4,133,3.9,7,525,15.4,12,2218,65.2,1.03,49.6,103.4,48.7,53.5,45.8,46.1,3,West,W5,2013W5,,
Belmont,2012-2013 Season,Ohio Valley,2472,77.2,886,1793,49.4,426,581,17.2,271,702,32.9,1031,32.2,302,9.4,729,22.8,509,15.9,1.18,57.4,432,13.5,21.4,315,9.8,14.4,88,2.8,5.2,584,18.2,6,2189,68.4,1.13,53.4,112.9,57,59.7,73.3,49.8,11,West,W6,2013W6,,
Arizona,2012-2013 Season,Pac-12,2345,73.3,801,1781,45,498,666,21.2,245,675,31.3,1163,36.3,369,11.5,791,24.7,443,13.8,1.06,55.3,419,13.1,19.4,222,6.9,10.3,125,3.9,7.2,523,16.3,7,2153,67.3,1.09,53.2,108.9,51.9,55.9,74.8,47.4,6,West,W6,2013W6,,
Notre Dame,2012-2013 Season,Big East,2392,70.4,870,1878,46.3,428,605,17.9,224,600,28.1,1232,36.2,378,11.1,854,25.1,578,17,1.54,66.4,376,11.1,15.5,173,5.1,8,130,3.8,6.7,484,14.2,9,2166,61.9,1.1,55.4,110.4,52.3,55.2,70.7,54,7,West,W7,2013W7,,
Iowa St,2012-2013 Season,Big 12,2628,79.6,910,2000,45.5,483,661,18.4,325,878,37.1,1278,38.7,405,12.3,873,26.5,527,16,1.2,57.9,438,13.3,19.7,215,6.5,9.1,96,2.9,4.9,560,17,11,2353,71.3,1.12,53.9,111.7,53.6,56.8,73.1,44.5,10,West,W7,2013W7,,
Ohio State,2012-2013 Season,Big Ten,2287,69.3,828,1824,45.4,432,623,18.9,199,567,26.1,1171,35.5,352,10.7,819,24.8,440,13.3,1.26,53.1,350,10.6,18,224,6.8,10.6,142,4.3,8.2,513,15.5,7,2105,63.8,1.09,54.3,108.6,50.8,53.9,69.3,55,2,West,W8,2013W8,,
Iona,2012-2013 Season,MAAC,2663,80.7,933,2041,45.7,520,668,19.5,277,743,31.2,1188,36,381,11.5,807,24.5,510,15.5,1.27,54.7,401,12.2,16.9,218,6.6,9.2,99,3,4.9,564,17.1,13,2378,72.1,1.12,53.8,112,52.5,56.5,77.8,49.3,15,West,W8,2013W8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
